"","AAL.Open","AAL.High","AAL.Low","AAL.Close","AAL.Volume","AAL.Adjusted"
"1",47.279999,47.34,46.139999,46.299999,6737800,44.741226
"2",46.630001,47.439999,46.349998,46.700001,5859600,45.127762
"3",46.52,46.93,45.610001,45.889999,6825300,44.345036
"4",45.849998,46.720001,45.470001,46.209999,7260200,44.654266
"5",46.009998,47.34,45.779999,47.080002,4739100,45.494972
"6",47,48.509998,46.970001,48.48,7483800,46.847839
"7",49.290001,49.900002,48.099998,48.639999,6925800,47.002449
"8",48.669998,49,46.84,48.099998,5447300,46.480621
"9",48.16,48.43,47.540001,47.650002,3541700,46.045776
"10",47.560001,47.75,46.669998,46.75,5350800,45.176079
"11",47.400002,47.799999,46.650002,47.639999,5176500,46.03611
"12",47.639999,48.09,46.880001,47.259998,3729300,45.6689
"13",47.540001,48.16,47.240002,48,5611800,46.383999
"14",47.900002,48.09,46.75,46.939999,4284200,45.359684
"15",47.049999,47.799999,46.799999,47.540001,4926700,45.939484
"16",47.900002,48.209999,47.610001,47.91,5075800,46.297028
"17",48.43,49.709999,48.330002,49.59,10332800,47.920467
"18",50,50,46.720001,46.950001,19411100,45.369343
"19",45.619999,45.919998,43.860001,44.900002,16786100,43.388363
"20",44.790001,44.84,43.740002,44.25,11719800,42.760246
"21",44.75,45,43.91,44.049999,7955500,42.566978
"22",43.610001,44.52,43.57,44.009998,7607700,42.528328
"23",44.310001,44.549999,43.759998,44.200001,6357900,42.711929
"24",44.799999,45.599998,44.740002,45.299999,6496100,43.774899
"25",45.75,46.130001,45.009998,45.169998,6120000,43.649273
"26",45.259998,45.259998,44.509998,45.060001,4329900,43.542984
"27",45.07,46.599998,44.939999,46.299999,7089900,44.84074
"28",46.619999,46.700001,46.169998,46.450001,4040600,44.986008
"29",46.560001,47.779999,46.5,47.41,6158600,45.91576
"30",47.259998,47.279999,46.450001,46.57,6271700,45.102226
"31",47.59,48.049999,46.93,47.540001,8394800,46.04166
"32",47.5,47.650002,46.66,46.970001,5681800,45.489628
"33",46.830002,47.099998,46.43,46.91,4581600,45.431515
"34",47.009998,47.27,46.580002,46.810001,4672000,45.334667
"35",46.5,46.700001,45.869999,46.32,5799600,44.860111
"36",46.419998,47.32,45.889999,46.099998,5247000,44.647041
"37",46,46.299999,45.580002,46.279999,4489600,44.821373
"38",46.18,46.360001,45.68,46.32,4130500,44.860111
"39",46.32,46.720001,46.029999,46.360001,4935600,44.898857
"40",46.790001,48.139999,46.700001,47.09,8278900,45.605839
"41",46.669998,46.740002,45.639999,45.720001,7590700,44.279022
"42",45.849998,47.259998,45.77,46.82,7256900,45.344349
"43",46.41,46.68,44.380001,45.310001,11336600,43.881947
"44",45.02,45.23,44.560001,44.84,4565300,43.426758
"45",44.790001,45.299999,44.599998,44.889999,5520400,43.475182
"46",44.5,44.93,43.25,43.330002,9330100,41.964344
"47",43.459999,43.950001,42.970001,43.900002,6842300,42.516384
"48",43.73,44.119999,42.259998,42.369999,8882300,41.034599
"49",42.060001,42.099998,40.84,41.209999,10208500,39.911163
"50",40.5,42.189999,40.209999,42.09,13986200,40.763424
"51",42.18,42.349998,41.450001,42.130001,7058300,40.802177
"52",42,42.209999,41.599998,41.720001,10185800,40.405087
"53",42.18,42.419998,41.450001,41.700001,6229800,40.385723
"54",41.880001,41.98,40.34,40.419998,7938700,39.146057
"55",39.779999,40.549999,39.209999,40.349998,9943000,39.078262
"56",40.700001,41.860001,40.48,41.41,9516600,40.104866
"57",41.689999,42.07,41.419998,41.73,6596600,40.414772
"58",41.07,41.889999,40.560001,41.740002,6050500,40.424461
"59",41.830002,42.93,41.549999,42.599998,6185800,41.257362
"60",42.689999,42.759998,41.869999,41.959999,5331400,40.637527
"61",41.849998,42.639999,41.790001,42.540001,3681400,41.199242
"62",42.369999,42.939999,42.27,42.299999,5427700,40.966812
"63",42.330002,42.57,41.630001,42.450001,5764700,41.112087
"64",42.09,42.23,40.82,40.900002,7254700,39.610935
"65",41.150002,42.130001,41.060001,41.310001,7012700,40.008015
"66",41.400002,41.959999,41.16,41.720001,3627600,40.405087
"67",41.529999,42.099998,41.279999,41.810001,4137000,40.49226
"68",41.810001,42.669998,41.619999,42.32,4650500,40.986187
"69",42.779999,43.950001,42.41,43.93,10269600,42.545437
"70",44.790001,45.349998,43.830002,43.959999,9991100,42.574493
"71",43.950001,44.02,43.34,43.349998,5504900,41.983719
"72",43.470001,44.25,43.360001,44.23,4563200,42.835987
"73",44.029999,44.529999,43.400002,43.810001,5808900,42.429226
"74",44.07,44.779999,43.900002,44.400002,6573400,43.000633
"75",44.709999,45.380001,44.560001,45.220001,4956500,43.794777
"76",45.5,45.5,44.990002,45.150002,5536000,43.726994
"77",45.5,46.439999,45.470001,46.439999,6335300,44.97633
"78",46.799999,47.389999,46.380001,46.610001,5960600,45.140968
"79",46.509998,46.900002,46.240002,46.400002,6027600,44.937588
"80",43.91,44.209999,42.41,43.98,18988600,42.593861
"81",44.02,44.060001,42.560001,42.619999,13358000,41.276718
"82",42.759998,42.959999,42.009998,42.080002,8591400,40.75375
"83",42.060001,43.91,42.049999,43.869999,9402500,42.487324
"84",43.669998,44.169998,43.419998,43.919998,5144300,42.535755
"85",44.18,44.389999,43.200001,43.91,4476100,42.526062
"86",44,44.52,43.77,44.509998,5462800,43.107159
"87",44.599998,45.049999,44.52,44.939999,6190700,43.523605
"88",45.400002,47.299999,45.25,47.080002,11116800,45.596161
"89",47.029999,47.779999,46.669998,47.299999,7379800,45.809223
"90",47.209999,47.240002,45.650002,46.540001,6086300,45.073174
"91",46.259998,46.439999,45.73,45.830002,3888700,44.481133
