"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"1",170.779999,171.360001,169.309998,170.600006,691300,166.497498
"2",170.369995,173.169998,170.369995,172,641700,167.863831
"3",170.869995,173.059998,170.229996,171.880005,861000,167.746719
"4",171.320007,171.990005,169.300003,169.630005,828000,165.550812
"5",170.059998,170.279999,168.320007,169.529999,560100,165.453201
"6",168.699997,171.919998,168.630005,169.919998,621200,165.833786
"7",173.509995,174.990005,170.919998,173.429993,889000,169.259399
"8",172.419998,174.610001,172,174.470001,747400,170.274429
"9",174.419998,175.860001,173.520004,174.789993,1196200,170.586716
"10",174.339996,177.5,172.940002,173,1048900,168.839767
"11",173.009995,174.179993,171.759995,173.979996,791400,169.796188
"12",174.210007,174.820007,171.220001,171.720001,606300,167.590546
"13",172.240005,172.910004,170.410004,171.5,731300,167.375824
"14",167.080002,168.630005,164.270004,167.779999,1416800,163.745285
"15",168.800003,170.979996,167.779999,168.289993,882400,164.243042
"16",169.399994,170.309998,167,167.5,969100,163.472046
"17",167.75,169.419998,165.339996,165.5,1301600,161.520142
"18",166.149994,166.279999,163.940002,164.369995,768500,160.417313
"19",165.350006,165.350006,162.889999,164.630005,727000,160.671066
"20",162.399994,164.679993,162.270004,164.240005,1056000,160.290405
"21",164.020004,164.889999,159.699997,160.589996,1594900,156.728195
"22",160.089996,163.050003,160,162.339996,1485400,158.436066
"23",162.979996,163.699997,161.919998,162.75,850400,158.836227
"24",161.729996,163.029999,159.929993,160.270004,944700,156.415909
"25",161.210007,162.059998,157.779999,159.179993,1191300,155.352112
"26",158.289993,163.649994,158.259995,162.729996,1921800,158.816742
"27",162.259995,165.169998,161.309998,164.830002,1102000,160.866226
"28",165.229996,165.869995,163.190002,164.050003,734900,160.104996
"29",165,165,162.149994,162.389999,986200,158.484894
"30",162.389999,164.789993,161.850006,164.369995,935300,160.417313
"31",163.289993,165.300003,163.009995,163.880005,694700,159.939056
"32",164.210007,164.460007,160.320007,160.990005,1357800,157.118607
"33",160.610001,161.880005,159.75,161.580002,1561300,157.694412
"34",164.5,169.550003,160.690002,161.149994,3286400,157.274689
"35",160.740005,161.990005,155.270004,159.679993,3442900,155.840103
"36",159.410004,159.660004,156.660004,157.720001,1395800,153.927231
"37",156.460007,158.229996,155.449997,157.330002,1599600,153.546585
"38",156.850006,157.389999,155.360001,156.940002,1443300,153.16597
"39",155.639999,158.690002,155.179993,156.610001,1087300,152.843918
"40",158.589996,158.589996,155.639999,156.679993,1037800,152.912216
"41",156.679993,158.089996,156.449997,157.360001,1158100,153.575836
"42",157.300003,158.139999,154.300003,155.350006,1252000,151.614197
"43",155.350006,156.100006,154.190002,154.25,1057600,150.540665
"44",154.259995,154.800003,151.619995,151.990005,1102700,148.335037
"45",153.509995,155.740005,152.820007,155.210007,1415600,151.477585
"46",154.970001,155.479996,154.210007,155.149994,1024600,151.418991
"47",155.520004,155.809998,153.389999,153.970001,1064500,150.26738
"48",152.759995,154.960007,151.990005,154.350006,978900,150.63826
"49",154.300003,154.639999,152.899994,153.710007,896600,150.013641
"50",153.580002,153.600006,151.149994,152.919998,1593700,149.24263
"51",152.740005,153.770004,151.830002,153.410004,583400,149.720886
"52",152.419998,153.25,150.899994,152.399994,1134600,148.735138
"53",152.949997,154.229996,151.860001,152.440002,1051400,148.7742
"54",152.539993,152.830002,150.639999,151.220001,1061900,147.583542
"55",151.600006,152.059998,150.460007,151.270004,661400,147.690933
"56",151.300003,152.380005,150.119995,150.779999,653100,147.21254
"57",150.779999,151,149.350006,149.729996,615600,146.187332
"58",148.5,148.770004,146.179993,147.800003,769900,144.303009
"59",147.190002,148.880005,146.360001,148.360001,1118600,144.849792
"60",148.610001,150.070007,147.610001,149.669998,738800,146.128784
"61",149.240005,149.639999,148.350006,148.669998,699600,145.152435
"62",148.259995,149.399994,147.380005,148.259995,981800,144.752136
"63",148.399994,149.199997,143.559998,145.5,2029800,142.057434
"64",144.929993,145.220001,142.669998,143.039993,1072000,139.655624
"65",143.759995,144.690002,142.539993,142.740005,741500,139.362778
"66",143.75,144.649994,142.360001,142.559998,765100,139.187012
"67",142.509995,143.539993,141.929993,142.050003,928100,138.689072
"68",141.880005,143.759995,141.869995,142.839996,739400,139.460342
"69",142.490005,143.919998,141.490005,143.460007,763700,140.065674
"70",142.910004,142.910004,141.070007,141.740005,596100,138.386383
"71",141.919998,142.839996,140.889999,140.889999,476100,137.556534
"72",141.259995,141.479996,140.149994,140.839996,645900,137.50769
"73",140.330002,141.600006,140.330002,140.910004,646400,137.57605
"74",141.529999,144.770004,141.529999,142.419998,1230100,139.050323
"75",143.559998,146.820007,143.089996,146.559998,1278900,143.092346
"76",146.470001,147.020004,145.029999,146.839996,1021600,143.365723
"77",147.880005,148.350006,145.919998,147.100006,905200,143.619614
"78",147,147,144.199997,145.669998,1030400,142.223389
"79",146.289993,146.910004,145.399994,145.779999,1112900,142.330795
"80",145.75,148.279999,140.960007,143.190002,2079700,139.802078
"81",142.970001,142.970001,140.119995,142.139999,1458400,138.776947
"82",143.149994,143.149994,140.360001,140.529999,922500,137.205048
"83",140.440002,142.669998,139.869995,142.550003,806400,139.177216
"84",142.490005,143.429993,141.960007,142.820007,545300,139.440826
"85",142.710007,144.949997,142.710007,144.809998,595900,141.383774
"86",144.979996,145.020004,143.600006,144.979996,617500,141.549759
"87",145.169998,147.059998,144.759995,146.970001,838200,143.492661
"88",146.809998,147.110001,144.789993,146.119995,807800,142.66275
"89",145.830002,146.259995,145.149994,146.160004,383800,142.701828
"90",145.490005,146.169998,143.029999,145.949997,773000,142.496811
"91",145.759995,145.759995,144.389999,145.020004,593200,141.588806
"92",144.660004,147.149994,144.490005,145.850006,1097700,142.399155
"93",146.649994,146.649994,142.110001,145.25,2319800,141.813354
"94",145.25,145.25,142.889999,144.559998,1205600,141.139679
"95",144.729996,149.160004,144.520004,148.509995,1581100,144.996246
"96",148.850006,151.720001,147.910004,151.470001,1617200,147.886169
"97",150.899994,151.350006,147.199997,147.369995,1921500,143.883179
"98",139.149994,143.830002,139.139999,140.660004,3897500,137.331955
"99",131.649994,135.899994,131.300003,133.020004,5963900,129.872696
"100",133,134.070007,129.399994,131.970001,3933600,128.847595
"101",131.839996,135.699997,131.440002,134.160004,2250300,130.985748
"102",134.649994,135.210007,132.770004,132.990005,1543800,129.843445
"103",134.139999,135.399994,131.619995,133.630005,2118500,130.468292
"104",134.100006,137.100006,133.75,137.100006,1313300,133.856201
"105",136.979996,138.229996,136.130005,137.800003,1209200,134.539642
"106",137,137,134.729996,135.570007,1406800,132.362396
"107",134.990005,134.990005,129.949997,131.300003,2213000,128.193405
"108",132.089996,133.940002,130.369995,130.619995,996300,127.52951
"109",130.619995,131.380005,125.82,125.919998,2226100,122.940697
"110",125.940002,128.630005,123.489998,128.360001,1679200,125.322983
"111",128.110001,130.949997,127.629997,130.949997,1466200,127.851715
"112",130.949997,131.669998,128.630005,131.630005,896100,128.51561
"113",131.929993,131.929993,130.130005,130.589996,880900,127.500198
"114",130.529999,131.809998,129.100006,131.149994,1220600,128.046967
"115",130.470001,130.919998,127.639999,130.160004,1725200,127.080383
"116",130.300003,131.070007,128.580002,129.600006,1069500,126.533661
"117",128.279999,128.350006,123.57,123.580002,2233700,120.656067
"118",124.260002,124.260002,118.260002,120.110001,2492900,117.325142
"119",120.209999,122.519997,119.830002,120.699997,2118400,117.901459
"120",120.75,121.43,118.75,119.739998,2289600,116.963715
"121",120.059998,124.620003,120.059998,121.790001,1544400,118.966179
"122",121.389999,123.300003,121.290001,121.959999,1652600,119.132271
"123",119.75,120.599998,116.629997,116.709999,2106100,114.00396
"124",116.25,118.25,115.620003,116.050003,2184100,113.359276
"125",116.449997,117.82,116.029999,116.589996,994900,113.886734
"126",117.449997,118.730003,116.269997,118.410004,914800,115.664543
"127",110.129997,111.699997,99.129997,105.209999,7348700,102.770592
"128",104.480003,105.830002,102.25,103.160004,2718300,100.76815
"129",102.699997,103.169998,100.93,101.93,2118500,99.566658
"130",101.940002,102.389999,99.5,101.169998,1909300,98.824287
"131",101.150002,101.93,99.370003,100.25,1432900,97.925606
"132",101.029999,102.43,100.5,100.940002,1997100,98.599609
"133",100.690002,103.790001,100.690002,103.220001,2222300,100.826767
"134",103.660004,103.68,101.629997,102.040001,1205400,99.674118
"135",101.809998,102.989998,101.620003,101.739998,1646800,99.381065
"136",101.779999,102,99.980003,100.300003,2218300,97.974442
"137",100.470001,101.910004,99.949997,100.870003,1413700,98.53125
"138",100.699997,104.139999,99.809998,103.230003,1714500,100.836525
"139",103.370003,105.459999,103.360001,105.269997,1216400,102.829216
"140",105.110001,105.199997,103.120003,103.169998,1413700,100.777908
"141",103.589996,105.959999,103.470001,105.290001,1249100,102.848747
"142",105.730003,107.480003,105.18,106.699997,1700200,104.226051
"143",108.050003,110.540001,107.239998,110.339996,2247300,107.781677
"144",109.900002,111.190002,109.25,110.209999,1033100,107.654686
"145",111.610001,112.900002,110.550003,112.010002,1977700,109.412949
"146",112,114.099998,110.82,114.050003,1513100,111.405655
"147",113.68,114.879997,113.459999,114.480003,1775200,111.825676
"148",114.269997,115.400002,110.449997,110.529999,1812700,107.967255
"149",111.129997,111.849998,110.300003,111.010002,944000,108.436142
"150",110.860001,111.169998,108.199997,109.489998,1435300,106.95137
"151",109.510002,110.809998,108.290001,109.389999,863600,106.853683
"152",109.239998,110.279999,108.410004,109.18,938000,106.648567
"153",108.440002,108.82,105.25,106.129997,1844500,103.669273
"154",106.089996,107.470001,105.239998,107.339996,1902800,104.851227
"155",107.879997,109.809998,106.330002,109.32,2130200,106.785316
"156",91.989998,93,82.209999,87.080002,19749500,85.060974
"157",86.559998,92.849998,86.550003,91.510002,6530800,89.388283
"158",90.75,95.489998,90.18,92.849998,4675100,90.697189
"159",92.839996,95,92.129997,93.260002,3073800,91.097694
"160",93.93,95.949997,93.519997,95.190002,1968900,92.982941
"161",95.230003,96.75,95.07,95.800003,2075200,93.578804
"162",95.290001,95.959999,93.099998,93.540001,1775600,91.371178
"163",94.18,95.25,92.360001,93.099998,1407800,90.941414
"164",93.489998,97.839996,93,95.800003,1633200,93.578804
"165",95.940002,96.309998,93.949997,94.660004,1108300,92.465225
"166",93.900002,95.309998,93.099998,95.120003,1749400,92.914551
"167",95.120003,98.080002,95.120003,96.809998,1441200,94.565384
"168",97.290001,98.610001,96.839996,97.900002,1913400,95.630096
"169",98.309998,99.43,97.650002,98.059998,1095600,95.786377
"170",97.709999,98.919998,96.279999,96.730003,1191700,94.487244
"171",96.919998,97.699997,95.019997,95.610001,1893200,93.393204
"172",96,96.330002,92.769997,93.529999,2863200,91.36142
"173",93.589996,95.029999,92.480003,94.029999,1823800,91.849838
"174",94,95.019997,93.370003,94.400002,1249900,92.21125
"175",92.309998,97.949997,91.459999,97.260002,2286800,95.004944
"176",97.07,100.32,97.07,100.099998,2080200,97.779083
"177",100.089996,100.089996,99,100.019997,1322700,97.700935
"178",99.769997,99.769997,98.260002,99.510002,2586900,97.202774
"179",99.660004,100.290001,98.489998,98.580002,2072100,96.294334
"180",99,100.709999,94.239998,94.849998,3099100,92.650803
"181",94.5,96.099998,93.669998,94.75,1454400,92.553131
"182",94.75,94.970001,93.190002,93.68,1597300,91.565926
"183",93.900002,95.910004,93.68,95.589996,1784100,93.432823
"184",95.830002,98.550003,95.389999,97.940002,2681300,95.729767
"185",97.989998,98.43,96.900002,97.589996,1175500,95.387688
"186",98.199997,99.449997,97.410004,99.330002,1254000,97.08844
"187",99.260002,99.919998,98.910004,99.5,1132800,97.254578
"188",99.699997,99.989998,98.239998,99.199997,1878200,96.961334
"189",99.580002,99.739998,98.389999,99.360001,1517300,97.117737
"190",99.459999,100.099998,98.239998,98.980003,935000,96.746323
"191",95.040001,98.410004,94.480003,94.93,2780300,92.787704
"192",94.769997,95.849998,93.599998,94.330002,2050800,92.201241
"193",94.139999,95.669998,93.690002,94.290001,1316800,92.162148
"194",94.230003,94.470001,90.989998,91.120003,1951300,89.06369
"195",91.220001,92.379997,91.019997,91.839996,1260600,89.767448
"196",91.699997,92.160004,89.18,89.400002,1527600,87.3825
"197",89.379997,89.5,86.489998,86.559998,2514600,84.606606
"198",86.760002,86.870003,85.400002,85.510002,1969500,83.580307
"199",85.699997,86.050003,84.760002,86.010002,2448000,84.069023
"200",86.379997,88.970001,86.199997,88.089996,2099400,86.102066
"201",87.830002,88.879997,87.440002,87.809998,2345200,85.828407
"202",86.239998,87.959999,85.339996,86.919998,2400900,84.958473
"203",87.360001,87.720001,85.93,86.779999,1156800,84.821625
"204",86.550003,87.440002,85.580002,85.910004,1344900,83.971275
"205",85.730003,85.93,83.5,84.25,1789500,82.34874
"206",83.709999,84.059998,81.82,83.309998,2052700,81.429932
"207",82.889999,87.639999,81.309998,85.650002,3229400,83.717133
"208",85.139999,85.650002,81.809998,81.93,2927800,80.081078
"209",81.93,82.129997,81.129997,82,2309800,80.149521
"210",82.169998,83.150002,81.68,81.739998,1081500,79.895386
"211",82.330002,82.739998,80.68,80.75,1157000,78.927704
"212",81.019997,82.910004,80.209999,81.690002,1669100,79.846497
"213",81.389999,82.379997,80.269997,81.800003,1108600,79.954018
"214",81.529999,81.809998,80.309998,80.709999,1173500,78.888596
"215",80.660004,80.830002,78.900002,79.379997,1261600,77.588646
"216",79.199997,80.620003,78.809998,79.410004,3233400,77.617958
"217",79.559998,81.089996,79.139999,80.449997,1898500,78.634476
"218",80.160004,81.989998,80,81.220001,1942400,79.387108
"219",80.720001,82.82,80.459999,82.279999,3894500,80.423195
"220",94.879997,102.889999,94.75,95.720001,10153800,93.559891
"221",93.93,95.489998,91.370003,91.580002,3074000,89.513329
"222",92,92.769997,89.239998,90.5,2289000,88.45768
"223",91.019997,91.440002,89.129997,89.269997,1549200,87.255447
"224",89.209999,91.68,88.239998,91.43,1498100,89.366707
"225",90.940002,90.949997,88.900002,88.93,1610700,86.923119
"226",89.199997,90.309998,88.82,89.620003,907700,87.597542
"227",89.639999,89.900002,88.959999,89.230003,523500,87.216354
"228",89.610001,90.779999,89.040001,89.870003,858800,87.841919
"229",89.889999,92.910004,89.629997,92.839996,1145400,90.744873
"230",93.959999,100.370003,93.410004,99.949997,3895200,97.694443
"231",99.580002,101.650002,98.669998,101,2353900,98.720741
"232",100.739998,100.970001,97.889999,99.279999,2252900,97.039558
"233",100.940002,105.199997,100.760002,104.019997,2225100,101.672577
"234",107.099998,107.790001,100.019997,101.150002,2462400,98.867348
"235",100.870003,101.419998,97.470001,97.5,1285800,95.299728
"236",97.75,98.370003,96.57,97.610001,1171700,95.407242
"237",98.209999,100.620003,97.379997,100.309998,925600,98.04631
"238",100.150002,101.669998,99.110001,100.849998,1490300,98.574127
"239",101.709999,105.559998,101.709999,103.029999,2442400,100.704918
