"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"1",62.919998,63.029999,61.939999,62.41,9328200,49.596874
"2",62.639999,63.799999,62.639999,63.290001,8674800,50.296207
"3",63.380001,63.950001,63.029999,63.77,5359400,50.677658
"4",63.880001,64,63.52,63.790001,4722300,50.693554
"5",63.799999,64.379997,63.75,64.209999,8794500,51.027325
"6",64.050003,64.5,63.77,64.07,6523500,50.916061
"7",63.380001,63.650002,60.59,61.139999,13565200,49.077858
"8",60.77,61.43,60.419998,61.279999,8194400,49.190235
"9",61.349998,62.41,61.049999,61.990002,7295100,49.760162
"10",61.75,62.040001,61.099998,61.860001,8446700,49.655804
"11",61.759998,62.139999,61.32,61.66,5519400,49.495262
"12",61.450001,61.880001,61.119999,61.380001,5384200,49.270512
"13",61.41,61.77,61.080002,61.150002,6730000,49.085876
"14",61.02,61.259998,60.68,60.959999,5244700,48.933365
"15",60.91,60.93,59.669998,60.580002,6642000,48.628334
"16",60.599998,61.630001,60.34,61.380001,8052800,49.270512
"17",61.16,61.900002,61.07,61.27,7765300,49.182201
"18",60,61.25,59.52,60,14151200,48.162758
"19",59.91,60.470001,59.27,60.43,7792700,48.507927
"20",60.009998,61.32,59.75,61.110001,8149800,49.05378
"21",61.07,61.099998,60.27,60.889999,5888700,48.877171
"22",60.650002,61.119999,60.48,60.889999,5365300,48.877171
"23",60.900002,61.060001,60.439999,60.669998,6470300,48.700577
"24",60.509998,60.970001,60.349998,60.650002,5358100,48.684532
"25",60.650002,60.869999,60.400002,60.560001,4210300,48.612286
"26",60.139999,61.02,60.049999,60.52,5357800,48.58017
"27",60.52,61,60.419998,60.84,4324600,48.83704
"28",60.849998,61,60.27,60.419998,5749200,48.499901
"29",60.580002,60.860001,60.43,60.509998,6396000,48.572147
"30",60.439999,60.98,60.150002,60.82,13562200,48.820988
"31",60.919998,61.84,60.400002,61.650002,8927600,49.48724
"32",61.669998,61.91,60.810001,61.48,5662000,49.35078
"33",61.540001,62.080002,61.169998,61.77,8124400,49.583561
"34",61.84,62.110001,61.5,61.830002,8503500,49.631725
"35",61.720001,61.950001,61.299999,61.360001,6422200,49.254448
"36",61.68,62.240002,61.450001,61.939999,8057700,49.720024
"37",61.919998,62.23,61.490002,62.09,6536400,49.840435
"38",62.02,62.369999,61.68,62.220001,5214100,49.944778
"39",62.110001,62.400002,61.689999,61.84,6756100,49.639751
"40",62.16,62.93,61.950001,62.830002,7737400,50.434441
"41",62.779999,63.599998,62.599998,63.25,8190000,50.771576
"42",63.110001,63.529999,62.830002,63.34,6125800,50.843819
"43",63,63.849998,62.880001,63.549999,6837000,51.01239
"44",63.139999,64.139999,62.970001,63.689999,9638000,51.124771
"45",63.75,64.68,63.5,64.139999,7049700,51.485992
"46",64.139999,64.720001,64.050003,64.5,6957000,51.774967
"47",65.300003,66.449997,65.110001,65.879997,12788100,52.882717
"48",65.870003,65.940002,65.300003,65.849998,7577400,52.858631
"49",65.879997,66.050003,65.599998,65.669998,3727200,52.714138
"50",65.699997,66.790001,65.68,66.550003,5241200,53.420532
"51",66.400002,66.449997,65.550003,65.900002,5162800,52.898766
