"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"1",78.510002,83.099998,78.309998,82.610001,4134200,75.750687
"2",82.599998,85.139999,82.470001,84.660004,2561900,77.630463
"3",84.379997,84.830002,82.620003,83.68,2136200,76.731827
"4",83.529999,85.779999,83.529999,84.800003,2132000,77.75885
"5",84.599998,86.07,84.599998,85.480003,2081600,78.38237
"6",85.099998,86.139999,84.300003,84.830002,1860900,77.786339
"7",85.150002,86.32,79.940002,81.529999,3994900,74.760338
"8",82.279999,84.940002,81.949997,83.860001,2771200,76.896881
"9",84.080002,85.120003,83.510002,84.620003,1397900,77.593765
"10",84.919998,86.470001,84.089996,85.989998,2103000,78.850029
"11",85.949997,86.18,85.190002,85.510002,2094000,78.409882
"12",85.279999,85.779999,84.82,85.470001,1574500,78.373199
"13",85.860001,86.269997,83.209999,83.75,3780100,76.796013
"14",83.720001,85.099998,83.309998,84.879997,1420100,77.832184
"15",84.699997,85.190002,84.059998,84.410004,1513500,77.401215
"16",84.900002,85.919998,84.580002,85.830002,1858200,78.703308
"17",81.040001,85.199997,81.040001,83.389999,3482900,76.465912
"18",83.68,83.68,82.07,82.43,1865400,75.585617
"19",82.550003,83.75,80.82,83.620003,2650000,76.676804
"20",86.620003,87.839996,83,87.279999,5827300,80.032906
"21",87.709999,88.699997,86.089996,88.610001,3362000,81.252472
"22",88.050003,88.779999,86.57,88.050003,3836300,80.738976
"23",88.57,89.610001,87.739998,89.279999,2990300,81.866844
"24",89.169998,91.650002,88.93,89.980003,2869800,82.508743
"25",89.849998,91.639999,89.709999,90.330002,2108500,82.829659
"26",90.18,91.110001,89.68,91.07,1469800,83.508202
"27",91.07,91.779999,90.160004,91.650002,1630300,84.040047
"28",91.540001,91.75,90.269997,91.169998,1527300,83.599915
"29",91.529999,94.5,89.419998,90.480003,3037800,82.967201
"30",90,91.089996,89.730003,90.82,2066300,83.278984
"31",90.650002,91.470001,89.660004,91.18,1944700,83.609077
"32",91,91.540001,89,90.32,2282900,83.153366
"33",90.239998,90.879997,89.720001,90.760002,1441200,83.558449
"34",90.739998,91.150002,89.559998,91.010002,2061200,83.788605
"35",91.190002,92.199997,91.010002,91.339996,1152900,84.092438
"36",91.449997,92.400002,90.959999,91.610001,2169800,84.340996
"37",91.510002,92.160004,90.529999,92.160004,1001700,84.847359
"38",92.309998,92.739998,91.300003,91.730003,1139600,84.451492
"39",91.900002,91.93,90.980003,91.510002,1915500,84.248924
"40",92.190002,92.809998,91.690002,92.230003,1393700,84.911789
"41",91.889999,92.730003,91.449997,91.940002,1438400,84.644814
"42",92.220001,92.669998,91.470001,92.230003,1405300,84.911789
"43",91.580002,91.870003,89.739998,89.989998,1808000,82.849525
"44",89.230003,89.800003,87.919998,88.480003,2612100,81.459366
"45",88.32,89.970001,88.32,89.080002,1847600,82.011734
"46",89.400002,89.400002,88.080002,88.610001,1125700,81.579041
"47",88.989998,89,87.760002,88.309998,1545600,81.302841
"48",88.760002,89.25,88.220001,89.139999,1673900,82.066971
"49",88.959999,89.199997,88.040001,88.809998,1243500,81.763153
"50",88.849998,89.57,88.139999,89.480003,1800400,82.380028
"51",89.580002,89.760002,87.889999,88,1520000,81.017441
"52",87.910004,88.330002,86.879997,87.529999,2296100,80.584724
"53",87.650002,87.889999,86.25,86.910004,1618700,80.013947
"54",87,87.290001,85.769997,85.910004,1988800,79.093285
"55",86.120003,86.279999,85.220001,85.879997,1189700,79.065651
"56",85.860001,86.75,85.790001,85.989998,1440200,79.166931
"57",85.989998,86.830002,85.720001,86.559998,1241000,79.691689
"58",86.139999,87.550003,86.120003,87.480003,1558600,80.538681
"59",87.120003,87.970001,87.120003,87.5,1199900,80.557106
"60",87.400002,89.769997,87.400002,89.510002,2280700,82.407631
"61",89.349998,89.879997,89.029999,89.139999,1395000,82.066971
"62",88.870003,89.650002,88.470001,88.5,1793100,81.47776
"63",88.410004,88.629997,86.800003,87.330002,1379300,80.400604
"64",87.059998,87.989998,86.709999,86.93,1372300,80.032341
"65",87.440002,88.260002,86.989998,87.18,1187100,80.262489
"66",87.260002,87.690002,86.849998,87.639999,1586000,80.685989
"67",87.57,88.07,87.290001,87.620003,933400,80.667595
"68",87.75,89.25,87.589996,88.440002,1007800,81.422523
"69",88.279999,88.349998,86.82,87.870003,1449600,80.897758
"70",87.150002,87.589996,86.139999,86.82,1887700,79.931076
"71",86.639999,87.290001,86.360001,86.669998,787500,79.792961
"72",86.639999,86.720001,86.209999,86.639999,1284400,79.765366
"73",83.169998,83.440002,81.129997,82.559998,4384100,76.009087
"74",82.639999,83.089996,81.620003,81.849998,1904900,75.355431
"75",82.230003,82.93,81.620003,82.370003,2058600,75.834167
"76",82.199997,82.290001,81.110001,81.260002,1138900,74.812233
"77",82.029999,82.110001,80.809998,80.940002,2300100,74.517632
"78",80.82,81.57,79.400002,81.489998,1988100,75.023979
"79",81.5,82.169998,81.199997,81.25,1219400,74.803017
"80",81.379997,82.190002,81.300003,82.120003,1671200,75.604004
"81",82.169998,82.400002,81.610001,82.050003,1476200,75.539558
"82",82.32,83.010002,81.860001,82.489998,1708800,75.944664
"83",82.760002,82.919998,81.07,82.660004,1825600,76.101151
"84",82.449997,83.110001,81.599998,82.669998,2920300,76.110367
"85",83.5,87.970001,83.5,86.529999,3767600,79.664085
"86",86.660004,86.970001,85.540001,85.889999,1707300,79.074852
"87",86.209999,86.980003,86.019997,86.589996,1791300,79.719307
"88",86.699997,88.209999,86.669998,87.540001,1923600,80.593941
"89",87.57,88.709999,87.559998,88.139999,1297300,81.146339
"90",87.839996,88.940002,87.800003,88.860001,2145800,81.809219
"91",88.610001,88.970001,88.440002,88.75,1202100,81.707916
"92",88.489998,90.989998,88.470001,89.919998,2107500,82.785095
"93",89.839996,89.839996,88.57,89.120003,1273200,82.048592
"94",89.120003,89.120003,86.129997,86.279999,1797000,79.433899
"95",86.260002,87.660004,86.120003,86.690002,1152100,80.150475
"96",87.620003,89.790001,87.050003,89.160004,1812800,82.434128
"97",89,90.199997,89,89.480003,1343300,82.729996
"98",89.730003,89.849998,89.029999,89.190002,1709800,82.461868
"99",89.379997,90.32,88.550003,89.970001,1260500,83.183037
"100",90,91.43,89.830002,91.110001,1047100,84.23703
"101",91.190002,91.5,90.910004,91,891900,84.135323
"102",90.660004,91.389999,90.529999,91.029999,1248400,84.163071
"103",91.330002,91.790001,90.75,91.769997,1870200,84.847244
"104",91.709999,93.300003,91.440002,93.139999,1326900,86.113884
"105",93.5,93.839996,92.709999,93.580002,1285000,86.520699
"106",93.199997,93.57,92.510002,93.32,1050800,86.280319
"107",93.190002,93.199997,91.459999,91.690002,1377400,84.773285
"108",91.949997,92.230003,91.449997,91.93,1182800,84.995186
"109",91.93,92.190002,91.209999,91.57,1113600,84.662338
"110",91.279999,92.309998,91.029999,92.099998,1157100,85.152359
"111",91.889999,92.629997,91.889999,92.360001,816500,85.392731
"112",92.510002,93,92.029999,93,636400,85.984467
"113",93,94.589996,92.900002,93.900002,901900,86.816551
"114",93.5,95.18,92.75,94.43,1733300,87.306572
"115",94.540001,94.559998,91.739998,92.529999,1880600,85.549889
"116",92.610001,94.019997,91.760002,93.75,1072900,86.677872
"117",93.75,93.900002,92.809998,93.25,1089100,86.215607
"118",93.339996,95.650002,92.949997,95.620003,1092700,88.406822
"119",95.699997,97.669998,95.5,96.370003,1730000,89.10025
"120",96.5,96.809998,95.300003,95.82,1624100,88.591728
"121",96.199997,96.720001,95.629997,95.989998,1171100,88.748894
"122",95.919998,96.699997,95.099998,95.529999,1253100,88.323608
"123",96.169998,97.110001,96.07,96.379997,897600,89.109474
"124",96.68,97.849998,95.389999,95.760002,1053300,88.536263
"125",94.940002,95.230003,93.349998,94.529999,1236100,87.399048
"126",94.860001,95.360001,94.400002,94.699997,527400,87.556198
"127",94.910004,95.68,94.25,95.220001,908900,88.036995
"128",94.690002,95.190002,92.239998,92.510002,951100,85.531425
"129",93.040001,94.260002,92.739998,93.910004,1158700,86.825821
"130",93.650002,94.540001,92.279999,92.489998,1255300,85.512932
"131",92.650002,92.650002,91.150002,92.18,911500,85.226311
"132",92.839996,93.699997,92.610001,93.209999,655100,86.178619
"133",93.550003,93.790001,92.32,92.860001,788800,85.855019
"134",93.059998,93.419998,92.529999,92.959999,859000,85.947479
"135",93.050003,93.370003,92.550003,92.709999,1017700,85.716316
"136",92.68,92.68,90.970001,91.370003,1299300,84.477417
"137",91.559998,91.669998,90.300003,91.169998,1331600,84.292503
"138",91.199997,92.349998,90.620003,91.949997,1136400,85.013657
"139",91.82,92.080002,91.440002,91.620003,604400,84.708557
"140",91.639999,93.660004,91.339996,93.129997,1273700,86.104637
"141",93.400002,95.110001,92.599998,94.650002,1413500,87.509995
"142",94.269997,94.730003,93.410004,94.209999,1366100,87.103172
"143",93.489998,93.669998,91.860001,92.779999,1493300,85.781059
"144",93,94.169998,92.379997,93.970001,869200,86.881294
"145",94.300003,94.419998,93.25,93.82,1062100,86.742599
"146",94.110001,94.169998,92.660004,92.980003,1256100,85.965958
"147",92.190002,92.190002,89.089996,91.269997,2300500,84.384964
"148",84.110001,85.330002,80.510002,81.709999,7434700,75.546135
"149",81.709999,81.970001,79.580002,80.830002,2882900,74.732513
"150",80.800003,81.029999,79.239998,80.580002,2287100,74.501366
"151",80.910004,82.339996,80.129997,80.330002,1742000,74.270241
"152",79.860001,79.949997,78.599998,79.800003,2620100,73.78022
"153",79.43,80.029999,78.129997,78.879997,2417100,72.929611
"154",78.830002,80.309998,78.730003,80.019997,2214800,73.983612
"155",80.309998,80.529999,79.660004,80.080002,2032900,74.039085
"156",80.25,80.43,79.779999,80,2126700,73.965134
"157",80.290001,80.580002,79.529999,80.029999,1599800,73.992867
"158",79.68,81.339996,79.68,79.940002,1727400,74.248291
"159",79.690002,79.889999,78.459999,78.599998,2091900,73.003693
