"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"1",38.630001,39.080002,38.34,39.049999,9677300,35.741619
"2",39.060001,39.73,39.060001,39.360001,22644500,36.02536
"3",39.240002,39.75,38.98,39.700001,12080100,36.336559
"4",39.700001,40.990002,39.66,40.779999,14628900,37.325058
"5",40.790001,41.060001,40.619999,40.740002,10992500,37.288441
"6",40.810001,41.619999,40.779999,41.290001,9256300,37.791847
"7",41.049999,41.419998,40.490002,41.080002,10699400,37.842503
"8",40.790001,40.790001,40.310001,40.720001,8633400,37.510883
"9",40.75,41.360001,40.689999,40.93,9533300,37.70433
"10",40.669998,41.040001,40.529999,40.900002,8272700,37.676697
"11",41.049999,41.099998,40.509998,40.759998,7195100,37.547729
"12",40.639999,40.73,40.240002,40.400002,7160200,37.216103
"13",40.509998,40.77,40.349998,40.459999,5908000,37.271362
"14",40.32,40.549999,40.200001,40.34,7351900,37.160828
"15",40.32,40.5,40.119999,40.310001,7773700,37.133194
"16",39.759998,40.470001,39.25,40.310001,16890200,37.133194
"17",40.459999,41.119999,40.450001,40.959999,9410200,37.73196
"18",41.110001,41.310001,40.900002,41,7033600,37.76881
"19",40.860001,41.139999,40.77,41.009998,13811600,37.778027
"20",40.73,41.790001,40.599998,41.77,12318200,38.478138
"21",41.509998,42.369999,41.439999,42.330002,11948800,38.993996
"22",42.330002,42.790001,41.849998,42.75,11836900,39.380894
"23",42.939999,43.130001,42.540001,42.779999,11642200,39.408527
"24",42.57,42.75,42.23,42.43,8735200,39.086109
"25",42.57,42.98,42.5,42.889999,8697300,39.509857
"26",42.66,42.73,42.279999,42.400002,6731400,39.058483
"27",42.400002,42.779999,42.32,42.540001,5138400,39.187443
"28",42.740002,42.799999,42.48,42.740002,3692400,39.371689
"29",43,43.220001,42.860001,43.220001,5672400,39.81385
"30",43.009998,43.73,42.959999,43.650002,8458800,40.209976
"31",43.5,44.080002,43.419998,44,7946400,40.532379
"32",44,44.209999,43.740002,44.200001,8975500,40.716614
"33",44.169998,44.700001,44.09,44.689999,9632000,41.168007
"34",44.650002,45.150002,44.540001,45.009998,11387800,41.462776
"35",44.880001,45.110001,44.810001,45.009998,7534600,41.462776
"36",45.029999,45.509998,44.849998,45.400002,9459400,41.822052
"37",45.290001,45.68,45.23,45.68,7608600,42.07999
"38",45.509998,45.560001,45.189999,45.459999,6142600,41.877323
"39",45.41,45.43,44.830002,45.080002,14211400,41.527271
"40",45.369999,45.700001,45.189999,45.59,8886300,41.997082
"41",45.5,45.84,45.349998,45.689999,11164100,42.089195
"42",45.419998,45.560001,45.110001,45.25,6789600,41.683872
"43",44.990002,45.380001,44.860001,45.130001,6001300,41.573326
"44",44.810001,45.16,44.669998,45,6476300,41.453579
"45",45.029999,45.459999,44.919998,45.360001,6398500,41.785191
"46",45.360001,45.740002,45.349998,45.630001,5691000,42.033928
"47",45.77,45.84,45.509998,45.720001,6105900,42.116829
"48",45.650002,45.779999,45.23,45.529999,7040500,41.941799
"49",45.189999,45.25,44.77,44.799999,7504500,41.269337
"50",44.959999,45.400002,44.860001,45.32,6844400,41.748352
"51",45.169998,45.369999,44.619999,44.98,6704200,41.435146
"52",45.099998,45.27,44.77,45.189999,12277400,41.628605
"53",45.189999,45.23,44.869999,44.98,3521600,41.435146
"54",45.150002,45.380001,44.599998,44.799999,5567100,41.269337
"55",44.939999,45.07,44.59,44.810001,5198900,41.278561
"56",44.709999,44.990002,44.59,44.77,3952800,41.241699
"57",44.759998,45.150002,44.599998,44.73,4753200,41.204853
"58",44.529999,44.799999,44.389999,44.700001,6914700,41.177219
"59",44.740002,44.779999,44.259998,44.700001,5377400,41.177219
"60",44.669998,44.84,44.369999,44.669998,4186900,41.149582
"61",44.630001,44.66,44.360001,44.549999,4411600,41.039036
"62",44.330002,44.82,44.330002,44.41,7146500,40.910076
"63",44.419998,44.610001,44.080002,44.470001,7955000,40.96534
"64",44.529999,44.549999,44.009998,44.18,5399200,40.6982
"65",44.169998,44.540001,43.700001,43.799999,7762300,40.348148
"66",43.810001,43.810001,43.349998,43.669998,6067300,40.22839
"67",43.619999,43.950001,43.57,43.830002,5327800,40.375778
"68",43.830002,43.959999,43.540001,43.59,4321300,40.154694
"69",43.220001,43.599998,43.150002,43.580002,4871900,40.391041
"70",43.32,43.59,43.189999,43.48,4778900,40.298355
"71",42.400002,42.959999,42.389999,42.669998,11427000,39.547626
"72",42.669998,43.380001,42.310001,43.310001,8068500,40.140797
"73",43.09,43.59,42.959999,43.43,10131200,40.252014
"74",43.779999,44,43.119999,43.59,13454600,40.400307
"75",43.689999,44.150002,43.52,43.98,5871900,40.761765
"76",43.939999,43.98,43.43,43.529999,7519800,40.344692
"77",44.07,44.259998,43.84,44.130001,6727000,40.900791
"78",44.209999,44.389999,43.759998,43.759998,6793100,40.557861
"79",43.93,44.150002,43.709999,43.799999,5591200,40.594936
"80",43.959999,44.009998,43.599998,43.650002,7487300,40.455917
"81",43.669998,43.75,43.5,43.639999,6014100,40.446644
"82",43.57,43.66,43.32,43.48,5119100,40.298355
"83",43.66,43.77,43.41,43.599998,6166100,40.409576
"84",43.610001,43.75,43.490002,43.720001,4579700,40.52079
"85",43.75,44.59,43.720001,44.59,6551400,41.327126
"86",44.580002,44.689999,44.48,44.639999,5893200,41.373474
"87",44.700001,44.900002,44.630001,44.68,6320100,41.410542
"88",44.650002,44.77,44.560001,44.669998,4943100,41.401272
"89",44.700001,44.700001,44.369999,44.5,5253300,41.243717
"90",44.389999,44.389999,43.779999,43.860001,7071600,40.650555
"91",43.900002,44.169998,43.869999,43.959999,5775800,40.743233
"92",43.919998,44.23,43.900002,44.040001,4223500,40.817375
"93",44.59,44.59,43.41,43.689999,7159300,40.492992
"94",43.689999,43.689999,43.049999,43.080002,5989300,39.927628
"95",43.169998,43.279999,42.880001,42.98,5225100,39.834942
"96",43.150002,43.32,43.009998,43.16,5883000,40.001774
"97",43.27,43.869999,43.099998,43.73,5802200,40.53006
"98",43.709999,44.169998,43.619999,43.68,4672400,40.483719
"99",43.790001,43.790001,43.400002,43.529999,4585400,40.344692
"100",43.779999,44,43.439999,43.950001,4473400,40.733963
"101",43.919998,44.849998,43.830002,44.709999,8624100,41.438351
"102",44.459999,45.099998,44.209999,45,8119700,41.707134
"103",45.200001,45.75,45.18,45.66,10449800,42.318832
"104",45.52,46.099998,45.470001,46.099998,7385500,42.726624
"105",46.330002,46.549999,46.150002,46.5,6885700,43.097363
"106",46.57,46.75,46.380001,46.619999,7810600,43.20858
"107",46.580002,46.700001,46.32,46.360001,6048300,42.967609
"108",46.380001,46.599998,46.23,46.560001,4358400,43.152969
"109",46.560001,46.98,45.919998,46.720001,8364400,43.30127
"110",46.810001,47.310001,46.66,47.290001,9117300,43.829571
"111",47.290001,47.720001,47.169998,47.169998,7365500,43.718346
"112",47.240002,47.669998,47.200001,47.459999,7163700,43.98711
"113",47.459999,47.869999,47.450001,47.639999,6076900,44.153938
"114",47.580002,48.34,47.369999,48.119999,9366700,44.59882
"115",48.18,48.380001,47.799999,48.209999,9902200,44.682236
"116",48.34,49.169998,48.150002,48.889999,7409500,45.312481
"117",48.889999,49.299999,48.75,48.77,8500700,45.201263
"118",48.790001,48.93,48.290001,48.57,8271800,45.015896
"119",48.599998,49.59,48.509998,49.27,8714100,45.664665
"120",49.18,49.360001,48.970001,49.080002,9343900,45.488575
"121",49.209999,49.450001,48.889999,48.91,5302600,45.331013
"122",48.950001,49.130001,48.650002,48.669998,3893200,45.108574
"123",48.93,49.02,48.349998,48.48,8366300,44.932476
"124",48.73,49.200001,48.5,48.73,6048500,45.164188
"125",48.779999,49.049999,48.610001,48.610001,4723300,45.052963
"126",48.73,49.040001,48.66,48.709999,2454800,45.145653
"127",48.720001,49.099998,48.66,49,5637200,45.414425
"128",48.830002,48.860001,47.900002,47.939999,5665300,44.431995
"129",48.169998,48.48,47.98,48.439999,4354300,44.895412
"130",48.419998,48.529999,48.139999,48.23,3479900,44.700764
"131",48.200001,48.43,48.040001,48.150002,4084400,44.626629
"132",48.169998,48.689999,48,48.43,3906900,45.134544
"133",48.43,48.529999,47.830002,48.080002,7016600,44.808357
"134",48.200001,49.110001,48.150002,48.91,4111000,45.581875
"135",48.91,49.029999,48.720001,48.759998,3358400,45.442089
"136",48.689999,48.849998,48.279999,48.740002,4163600,45.423454
"137",48.799999,49.470001,48.759998,49.43,6485000,46.066498
"138",49.68,51.130001,49.349998,50.849998,12331200,47.38987
"139",50.73,50.93,50.490002,50.84,7980300,47.380554
"140",50.810001,50.990002,50.470001,50.799999,8584300,47.343277
"141",50.98,51,50.619999,50.830002,5692800,47.371235
"142",50.740002,50.810001,50.27,50.400002,6057100,46.970486
"143",50.32,50.360001,49.91,50.110001,7370900,46.700226
"144",50.16,50.200001,49.509998,49.610001,5688300,46.234249
"145",49.610001,49.84,49.16,49.18,6036200,45.833511
"146",49.209999,49.310001,48.720001,49.150002,5098000,45.80555
"147",49.139999,49.259998,48.790001,49.23,4841500,45.8801
"148",49.259998,49.290001,48.93,49.16,4365700,45.814869
"149",49.240002,49.360001,49.09,49.259998,3334700,45.908066
"150",49.259998,49.380001,49.099998,49.299999,2898300,45.945343
"151",49.240002,49.240002,48.810001,48.880001,3390700,45.553921
"152",48.759998,48.869999,48.43,48.77,4102900,45.451408
"153",48.740002,48.849998,48.049999,48.060001,4652200,44.789719
"154",48.240002,48.77,48.060001,48.540001,3978900,45.237064
"155",48.740002,49.25,48.700001,49.080002,3248400,45.740314
"156",49.060001,49.209999,48.810001,48.82,2922100,45.498001
"157",49.040001,49.860001,48.970001,49.810001,6492100,46.420643
"158",49.630001,50.150002,49.25,49.290001,6633100,45.936024
"159",49.099998,49.169998,48.68,48.740002,4810800,45.423454
"160",48.779999,48.990002,48.580002,48.880001,4282000,45.553921
"161",48.950001,49.849998,48.880001,49.709999,4018800,46.327446
"162",49.549999,49.759998,49.380001,49.639999,4559000,46.262203
"163",49.740002,49.84,49.330002,49.380001,3871800,46.019901
"164",49.59,49.799999,49.349998,49.349998,4852400,45.991936
"165",49.540001,50.349998,49.52,50.259998,6126900,46.840015
"166",49.91,50.279999,49.490002,50.150002,4117300,46.737499
"167",50.02,50.209999,49.869999,50.110001,2926200,46.700226
"168",50.299999,51.049999,50.110001,50.939999,6207800,47.473747
"169",51.029999,51.41,50.810001,51.18,4599400,47.697422
"170",50.84,51.18,50.639999,51.029999,4027200,47.557617
"171",51.200001,51.419998,51.060001,51.189999,7719500,47.70673
"172",51.400002,51.619999,51.130001,51.490002,4631700,47.986328
"173",51.290001,52.150002,51.290001,52.02,6221800,48.480255
"174",52.349998,52.599998,52.009998,52.450001,3668800,48.881001
"175",52.490002,52.540001,51.880001,52.25,3759600,48.694611
"176",52.240002,52.330002,51.889999,52,4214100,48.461613
"177",51.93,52.099998,51.57,51.689999,5568300,48.172703
"178",51.75,51.880001,51.490002,51.759998,6699700,48.237953
"179",51.889999,52.09,51.599998,52.080002,3371000,48.536175
"180",52.150002,52.240002,51.369999,51.41,3790900,47.911766
"181",51.389999,51.919998,51.389999,51.889999,4967000,48.359097
"182",51.880001,51.98,51.380001,51.43,5737600,47.930408
"183",51.509998,52.580002,51.5,52.509998,7979000,48.936909
"184",52.459999,52.779999,52.310001,52.610001,9778100,49.030113
"185",52.619999,53.299999,52.59,52.849998,6960100,49.253769
"186",52.849998,53.080002,51.549999,52.150002,8025600,48.60141
"187",54.75,54.799999,53.610001,53.639999,14861100,49.990025
"188",53.639999,53.790001,53.290001,53.360001,8459000,49.729076
"189",53.639999,53.700001,53.200001,53.68,8681900,50.027294
"190",53.75,54,53.700001,53.75,4464900,50.092537
"191",53.669998,54.34,53.610001,54.34,5629700,50.642387
"192",54.369999,55.110001,54.349998,54.919998,5143100,51.182926
"193",54.900002,55.060001,54.509998,55,4302100,51.257481
"194",55.049999,55.049999,54.610001,54.66,3985600,50.940617
"195",54.77,55.43,54.529999,55.400002,4943100,51.630268
"196",55.259998,55.349998,54.32,54.439999,6940000,50.735592
"197",54.240002,54.73,54.110001,54.709999,4405000,51.236618
"198",54.639999,54.790001,54.450001,54.650002,4951800,51.180428
"199",54.619999,54.91,54.52,54.630001,3725500,51.161705
"200",54.59,55.23,54.400002,55.060001,5433000,51.564396
"201",55.18,56.599998,54.919998,55.77,9043700,52.229328
"202",55.900002,56.18,55.41,56,4864800,52.444721
"203",56.169998,56.439999,55.939999,56.32,5528700,52.7444
"204",56.209999,56.689999,56.07,56.080002,4709000,52.519646
"205",56,56.07,55.18,55.380001,7201000,51.864086
"206",55.380001,55.880001,55.189999,55.490002,6113200,51.967102
"207",55.34,55.689999,55.080002,55.48,5032600,51.957733
"208",55.490002,55.619999,55.18,55.369999,4724300,51.854725
"209",55.18,55.310001,54.060001,54.290001,7542500,50.843292
"210",54.48,54.540001,54.029999,54.23,7676200,50.787098
"211",53.889999,54.57,53.610001,54,7641900,50.571697
"212",54.049999,54.650002,53.959999,54.369999,6953200,50.918209
"213",54.57,55.5,54.470001,55.470001,4567100,51.948372
"214",55.32,55.400002,55.009998,55.009998,3133500,51.517578
"215",55.150002,55.259998,54.669998,55.16,4844000,51.658062
"216",54.98,55.349998,54.720001,55.25,3712600,51.742336
"217",55.060001,55.5,54.91,55.450001,3644000,51.929642
"218",55.23,55.32,54.369999,54.799999,5032600,51.320904
"219",54.689999,55.369999,54.560001,55.299999,3854500,51.789162
"220",55.049999,55.209999,54.759998,55.009998,6180400,51.517578
"221",54.779999,55.080002,54.540001,54.830002,4999800,51.349003
"222",55.110001,55.84,54.860001,55.540001,6866900,52.013924
"223",55.290001,55.709999,55.220001,55.560001,6284200,52.032669
"224",55.66,55.68,55.130001,55.290001,3699400,51.779797
"225",55.450001,56.32,55.439999,56.119999,4613000,52.557098
"226",56.029999,56.150002,55.57,55.799999,3552100,52.257416
"227",55.849998,56.189999,55.740002,56.130001,2148300,52.566467
"228",56.169998,56.52,56.009998,56.150002,4518300,52.585201
"229",56.299999,56.299999,55.580002,56.02,6841700,52.463451
"230",56.09,56.299999,55.380001,55.580002,7277900,52.051388
"231",55.669998,56.459999,55.310001,56.369999,10086300,52.791225
"232",56.299999,56.68,55.27,55.98,5322300,52.425995
"233",56.139999,56.200001,54.689999,54.709999,4589100,51.236618
"234",54.639999,55.32,54.34,54.790001,4321100,51.311539
"235",54.889999,55.110001,54.32,54.66,7828600,51.189796
"236",54.759998,54.939999,54.349998,54.689999,4421900,51.217892
"237",54.66,54.849998,54.330002,54.639999,5103900,51.171062
"238",54.77,55.119999,54.48,54.939999,4273000,51.452015
"239",55.450001,55.869999,55.16,55.700001,9860700,52.163769
"240",55.669998,55.759998,54.799999,55.060001,9962300,51.564396
"241",55.049999,55.220001,54.630001,54.73,5935200,51.255348
"242",55.029999,55.560001,54.84,55.5,14655500,51.976471
"243",55.52,56.52,55.419998,56.400002,6053900,52.819332
"244",56.509998,56.950001,56.450001,56.799999,7116800,53.193939
"245",56.740002,57.299999,56.400002,57.02,11948400,53.399967
"246",57.139999,57.27,56.740002,56.93,6154700,53.315685
"247",56.939999,57.32,56.759998,56.93,5449300,53.315685
"248",57.009998,57.25,56.900002,57,3187900,53.381241
"249",57.09,57.599998,57.049999,57.470001,5243900,53.821396
"250",57.439999,57.689999,57.369999,57.459999,3387100,53.812038
"251",57.599998,57.77,57.07,57.07,3995200,53.446793
"252",58.200001,59.200001,57.82,58.790001,10112800,55.05759
"253",58.990002,59.02,58.310001,58.919998,5683700,55.179337
"254",59.5,59.599998,58.759998,58.82,6240000,55.085678
"255",59.040001,59.09,58.639999,58.990002,5836900,55.2449
"256",58.849998,58.98,58.529999,58.82,5411500,55.085678
"257",59.099998,59.099998,58.380001,58.919998,7466900,55.179337
"258",58.75,58.91,58.290001,58.830002,4340800,55.095062
"259",58.650002,58.959999,58.290001,58.950001,4240900,55.471447
