"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"1",117.379997,117.809998,115.82,116.459999,2351600,107.657791
"2",116.910004,117.800003,116.43,116.739998,2639800,107.916626
"3",116.980003,117.139999,114.949997,114.989998,3685400,106.298897
"4",114.989998,116.739998,114.339996,116.300003,4125300,107.50988
"5",116.139999,116.349998,114.919998,115,2550800,106.308151
"6",114.940002,115.989998,114.639999,115.059998,2550100,106.363594
"7",115.400002,116.260002,114.910004,116.120003,2845800,107.343506
"8",115.620003,115.970001,114.839996,115.779999,2110800,107.02919
"9",115.349998,117.440002,115.349998,116.949997,2665600,108.110748
"10",115.919998,116.360001,115.470001,116.029999,2374300,107.2603
"11",116.540001,116.949997,115.739998,115.949997,2262200,107.186348
"12",115.599998,116,115.269997,115.5,1647100,106.770355
"13",115.879997,116.25,114.809998,115.07,2781400,106.372856
"14",114.779999,115.269997,114.610001,114.82,2320000,106.141731
"15",115.199997,116.639999,114.839996,116.480003,2810100,107.676285
"16",116.900002,118.360001,116.699997,117.57,2905900,108.683899
"17",116.989998,117.440002,115.620003,115.93,2864600,107.167854
"18",116.199997,116.440002,115.07,115.349998,2545100,106.631683
"19",115.32,115.330002,113.410004,114.629997,2529700,105.966103
"20",113.970001,114.019997,112.610001,113.870003,2339000,105.263557
"21",113.800003,114.769997,112.309998,113.209999,2471600,104.653435
"22",113.150002,113.769997,112.709999,113.639999,2450500,105.050934
"23",114,114.830002,113.339996,114.489998,1663700,105.8367
"24",114.07,115.220001,113.379997,114.18,2019400,105.550125
"25",114.949997,116.169998,114.949997,115.919998,2538200,107.1586
"26",116.150002,116.150002,114.919998,115.43,2373700,106.705635
"27",115.43,117.459999,115.43,116.980003,2117100,108.138481
"28",116.699997,118.839996,116.519997,117.599998,2183000,108.711624
"29",117.900002,118.949997,117.730003,118.589996,1988400,109.626808
"30",118.470001,120,118.410004,120,2559400,110.930237
"31",119.610001,120.169998,119.300003,119.93,1951100,110.865517
"32",119.93,120.989998,119.529999,120.720001,1966900,111.595802
"33",120.510002,121.290001,120.099998,121.230003,1904900,112.067276
"34",120.629997,122.220001,120.57,122.099998,2117100,112.871513
"35",121.660004,122.879997,121.580002,122.209999,1557000,112.973206
"36",122.589996,122.709999,121.730003,122.480003,1439600,113.222794
"37",122,123.43,121.599998,123.43,1447700,114.10099
"38",123.010002,123.43,122.480003,122.790001,1679800,113.509346
"39",122.75,123.089996,121.93,122.5,1744900,113.241295
"40",123.239998,124.290001,122.459999,124.07,1879700,114.692612
"41",123.989998,124.43,123.559998,124.349998,1896600,114.951447
"42",124.199997,124.25,122.989998,123.639999,2123000,114.295128
"43",122.989998,123.43,122.529999,123.239998,1814100,113.925354
"44",123.629997,124.379997,123.120003,124.139999,2705300,114.757332
"45",124.110001,124.790001,123.779999,124.459999,2168600,115.053139
"46",124.370003,124.370003,122.650002,123.18,2338100,113.869888
"47",123.650002,124.330002,123.07,123.93,1931100,114.563194
"48",124.230003,124.75,123.470001,124.040001,2233700,114.664909
"49",124.169998,124.730003,123.629997,123.910004,1627800,114.544716
"50",123.410004,124.989998,123.029999,124.800003,2087700,115.367432
"51",124.889999,125.190002,123.610001,124.099998,2182000,114.720352
"52",124.709999,125.449997,123.830002,125.220001,4603600,115.755699
"53",125.220001,125.389999,124.169998,124.389999,2257400,114.988441
"54",125.080002,125.410004,123.629997,124.639999,3219900,115.219543
"55",125.029999,126.529999,124.470001,126.480003,4288600,116.920471
"56",122.709999,123.010002,120.540001,120.760002,7116800,111.632805
"57",120.779999,121.309998,118.760002,118.980003,3949800,109.98732
"58",118.730003,119.800003,118.300003,119.389999,3122800,110.366341
"59",119.82,122.339996,119.010002,121.349998,5516000,112.178177
"60",121.660004,121.709999,120.150002,120.980003,2438900,111.836151
"61",120.889999,121,120.050003,120.519997,2030200,111.410919
"62",120.709999,121.209999,119.839996,119.879997,2102800,110.819305
"63",118,118.169998,117,117.639999,3917500,108.748596
