"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
"1",103.43,104.029999,102.809998,103.480003,2277400,103.480003
"2",103.739998,104.370003,103.5,104.139999,1712600,104.139999
"3",104.129997,106.019997,103.769997,105.910004,2504000,105.910004
"4",105.980003,108.43,105.25,108.300003,2625600,108.300003
"5",107.959999,108.790001,107.559998,108.57,2925000,108.57
"6",108.57,108.790001,107.610001,108.260002,3081000,108.260002
"7",108.230003,109.050003,108,108.989998,1784000,108.989998
"8",107.989998,108.739998,107.160004,108.589996,1617900,108.589996
"9",108.839996,108.900002,107.980003,108.529999,1593500,108.529999
"10",107.790001,108.050003,107.059998,108,1697800,108
"11",108.5,109.169998,107.529999,108.790001,2536900,108.790001
"12",108.629997,109.980003,108.040001,109.790001,3090500,109.790001
"13",110.019997,110.809998,109.57,110.709999,3179200,110.709999
"14",110.709999,111.919998,110.300003,110.970001,2574200,110.970001
"15",111.459999,114.169998,111.339996,113.720001,3654400,113.720001
"16",113.769997,114.57,113.290001,114.25,3919300,114.25
"17",113.790001,114.440002,112.730003,112.879997,2745200,112.879997
"18",113.07,114.010002,112.75,113.989998,1696800,113.989998
"19",113.220001,113.870003,112.260002,113.82,2176500,113.82
"20",113.220001,113.75,112.699997,113.379997,1716600,113.379997
"21",113.309998,113.639999,112.68,113.360001,1859100,113.360001
"22",112.82,113.580002,112.269997,113.160004,1695400,113.160004
"23",113.550003,115.449997,113.419998,115.169998,2507500,115.169998
"24",114.68,114.830002,113.290001,114.459999,3067500,114.459999
"25",114.830002,115.190002,114.540001,114.959999,1643500,114.959999
"26",115,116.379997,114.449997,116.129997,2591700,116.129997
"27",116.260002,116.900002,116.019997,116.440002,1688900,116.440002
"28",116.510002,116.940002,115.029999,116.849998,2612900,116.849998
"29",117.029999,117.940002,116.199997,117.650002,1910400,117.650002
"30",117.650002,117.790001,116.669998,117.580002,1556500,117.580002
"31",117.330002,119.089996,117.07,118.730003,1699600,118.730003
"32",118.839996,119.470001,118.470001,118.93,1649300,118.93
"33",118.790001,119.720001,118.239998,119.669998,2143300,119.669998
"34",119.730003,120.169998,119.309998,119.629997,2032300,119.629997
"35",119.669998,119.889999,118.849998,119.470001,1981800,119.470001
"36",120.099998,120.150002,118.029999,118.830002,2381700,118.830002
"37",118.300003,119.32,117.830002,119.309998,1942500,119.309998
"38",119.019997,119.199997,118.07,118.779999,1550400,118.779999
"39",118.830002,118.839996,118.019997,118.339996,2008000,118.339996
"40",119.239998,120.57,118.379997,120.349998,2356500,120.349998
"41",120.089996,120.120003,119.279999,119.900002,1819700,119.900002
"42",119.830002,120.129997,119.480003,120.040001,1361100,120.040001
"43",119.730003,120.480003,119.370003,120.150002,1979700,120.150002
"44",120.059998,120.690002,119.690002,119.980003,1872500,119.980003
"45",120.209999,120.660004,119.349998,119.599998,2962800,119.599998
"46",119.82,120.260002,119.110001,119.910004,1984200,119.910004
"47",120.57,121.370003,120.239998,121.089996,2211000,121.089996
"48",121.110001,121.959999,120.889999,121.800003,1805200,121.800003
"49",121.650002,121.989998,120.620003,121.440002,1507500,121.440002
"50",122,122.419998,120.900002,122.110001,2396300,122.110001
"51",123.25,123.599998,121.529999,122.349998,4044600,122.349998
"52",128.449997,130.300003,126.940002,127.010002,8749900,127.010002
"53",126.989998,128.089996,125.790001,126.309998,3320900,126.309998
"54",126.639999,127.360001,124.959999,125.07,3105300,125.07
"55",124.599998,126.940002,124.510002,126.209999,3477300,126.209999
"56",126.199997,127.25,126.010002,126.870003,2197200,126.870003
"57",127.860001,129,127.050003,127.699997,3044000,127.699997
