"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume","AEP.Adjusted"
"1",63.009998,63.029999,62.349998,62.759998,1943800,52.934074
"2",62.91,63.41,62.669998,62.849998,2127200,53.009979
"3",63.029999,63.43,62.389999,63.189999,3884800,53.296757
"4",62.900002,63.310001,62.720001,63.139999,1769900,53.254578
"5",62.959999,63.330002,62.200001,62.310001,2381300,52.554527
"6",62.580002,62.700001,61.82,62.119999,2046000,52.394268
"7",62.209999,63.189999,62.119999,63.18,2918400,53.288311
"8",62.959999,63.400002,62.799999,63.290001,2139900,53.381104
"9",63.099998,63.299999,62.75,63.23,2506500,53.330482
"10",63.450001,64.029999,63.299999,63.810001,1705800,53.819683
"11",63.529999,63.919998,63.389999,63.459999,1883900,53.524479
"12",63.189999,63.41,62.540001,62.700001,2628100,52.883465
"13",62.900002,63.150002,62.490002,62.91,2015000,53.060596
"14",62.91,63.139999,62.639999,62.709999,1317800,52.891907
"15",62.639999,62.900002,62.509998,62.779999,2061100,52.950932
"16",62.639999,62.830002,62.41,62.529999,2316900,52.740089
"17",62.5,62.82,62.139999,62.639999,2525600,52.832855
"18",62.779999,63.040001,62.48,62.970001,2537400,53.111187
"19",63.110001,63.400002,62.779999,63.209999,2265000,53.313618
"20",63.150002,64.110001,62.950001,64.059998,2712300,54.03054
"21",63.580002,63.810001,63.02,63.09,2779500,53.212402
"22",63.110001,63.810001,62.970001,63.779999,1802600,53.794373
"23",63.779999,64.339996,63.639999,64.029999,2288300,54.005241
"24",64.25,64.410004,63.720001,63.82,1741400,53.828117
"25",63.82,64.010002,63.560001,63.93,1552800,53.920895
"26",63.32,64.019997,63.32,63.799999,1817000,54.312481
"27",63.799999,64.019997,63.360001,63.419998,2517000,53.988987
"28",63.349998,64.080002,63.310001,63.950001,2429800,54.440186
"29",63.970001,64.099998,63.459999,63.790001,2188300,54.303978
"30",63.639999,63.740002,62.959999,63.27,2218600,53.861313
"31",62.93,63.330002,62.689999,63.290001,2068300,53.878334
"32",63.389999,63.720001,63.310001,63.700001,1890300,54.227352
"33",63.799999,64.129997,63.529999,64.110001,1955900,54.576393
"34",63.98,64.870003,63.75,64.760002,2067300,55.129734
"35",64.669998,65.410004,64.519997,65.309998,2455900,55.597939
"36",65.550003,66.089996,65.309998,66.010002,2286600,56.193844
"37",66.190002,67.220001,66.150002,67.150002,4094100,57.164318
"38",67.059998,67.120003,66.510002,66.699997,3101200,56.781231
"39",66.699997,67.150002,66.480003,66.970001,3912000,57.011086
"40",66.199997,66.739998,65.889999,66.120003,3147100,56.287498
"41",65.900002,66.959999,65.860001,66.5,2442900,56.610977
"42",66.57,66.620003,65.959999,66.519997,2127400,56.628002
"43",66.370003,66.599998,66.059998,66.349998,1832300,56.483292
"44",66.25,66.519997,66.129997,66.239998,2770000,56.389637
"45",65.769997,65.900002,65.019997,65.150002,3126100,55.461735
"46",65.120003,65.650002,64.809998,64.839996,2532300,55.19783
"47",65.300003,65.589996,64.940002,65.400002,2358600,55.674557
"48",65.410004,65.849998,65.330002,65.809998,1922000,56.02359
"49",65.779999,65.93,65.519997,65.790001,1641900,56.006557
