"","AIG.Open","AIG.High","AIG.Low","AIG.Close","AIG.Volume","AIG.Adjusted"
"1",65.949997,66.010002,64.690002,65.120003,7321900,57.015915
"2",65.489998,66.209999,65.279999,65.970001,4927500,57.760143
"3",65.809998,66.07,64.93,65.599998,4107900,57.43618
"4",66.57,67.080002,66.190002,66.809998,5603700,58.495598
"5",66.690002,66.870003,66.07,66.379997,4345000,58.11911
"6",66.410004,67.470001,66.260002,67.199997,4952500,58.837051
"7",66.839996,67.269997,66.32,66.949997,4762000,58.618172
"8",66.559998,66.610001,65.75,66.25,5558700,58.005295
"9",66.139999,66.910004,66.120003,66.349998,5391500,58.092842
"10",65.699997,66.410004,65.459999,66.059998,5155000,57.838947
"11",66.339996,66.470001,65.860001,66.239998,4953900,57.996525
"12",66.449997,66.650002,65.959999,66.290001,4406400,58.04031
"13",66.290001,67.449997,66.260002,66.540001,9070900,58.259209
"14",66.519997,66.529999,65.440002,65.489998,5707100,57.339859
"15",65.839996,65.93,65.339996,65.5,6524900,57.348618
"16",65.720001,66.07,65.43,65.720001,6799000,57.541248
"17",66.010002,66.400002,65.550003,66.019997,4866900,57.803909
"18",66,66.050003,64.989998,65.209999,5612800,57.094719
"19",64.949997,64.949997,64.019997,64.889999,5149900,56.814537
"20",64.75,65.139999,64.050003,64.260002,6201100,56.262947
"21",64.75,65,64.059998,64.269997,4690400,56.271698
"22",63.869999,64.610001,63.75,64.120003,4532800,56.140362
"23",64.970001,65.18,64.5,64.940002,4380500,56.858322
"24",64.540001,65.050003,64.5,64.900002,2871500,56.823299
"25",65.190002,65.25,64.760002,64.879997,3645700,56.805782
"26",64.699997,65.040001,64.5,64.910004,3181900,56.832054
"27",64.910004,65.580002,64.910004,65.32,5373100,57.191029
"28",65.410004,65.879997,65.349998,65.610001,5076200,57.444939
"29",65.739998,66.300003,65.650002,66.139999,4568700,57.908981
"30",66.43,66.93,66.260002,66.889999,7933700,58.565639
"31",62.540001,62.990002,60.41,60.849998,38234900,53.277309
"32",60.799999,62.689999,60.700001,62.27,14253600,54.520596
"33",62.09,62.52,61.810001,62.5,7797900,54.721973
"34",62.759998,63.580002,62.509998,63.41,9402400,55.518719
"35",63.099998,64.440002,63.029999,63.830002,10006600,55.886459
"36",64.239998,64.269997,63.880001,64.019997,6081400,56.052807
"37",63.689999,63.709999,63.220001,63.630001,6466500,55.711342
"38",63.549999,64.510002,63.529999,64,8548800,56.035294
"39",63.759998,64.290001,63.700001,63.919998,8014700,55.965256
"40",64.730003,64.900002,64.370003,64.629997,10137000,56.586895
"41",64.589996,64.730003,63.849998,63.900002,6833700,55.947742
"42",63.860001,64.370003,63.77,64.220001,4639900,56.227928
"43",63.799999,64.010002,63.369999,63.779999,5305700,55.842678
"44",63.689999,63.759998,62.66,63.450001,8144800,55.553757
"45",63.849998,64.050003,63.290001,63.439999,5863800,55.544991
"46",64.540001,64.75,62.950001,63.209999,8564500,55.343609
"47",63.290001,63.400002,62.869999,63.080002,5005600,55.229797
"48",61.970001,63.330002,61.810001,63.18,8328100,55.599396
"49",62.75,63.02,62.41,62.880001,5131200,55.335396
"50",63.09,63.389999,62.880001,63.23,5862600,55.643398
"51",63.150002,63.470001,62.779999,62.91,5185800,55.361801
"52",62.639999,63.049999,62.029999,62.419998,16458400,54.930584
"53",62.209999,62.84,61.880001,62.369999,4596600,54.886589
"54",62.68,62.68,61.560001,61.759998,7307300,54.349773
"55",61.580002,61.830002,61.099998,61.240002,7417700,53.892174
"56",61.310001,61.900002,61.200001,61.34,6894600,53.980171
"57",61.5,61.77,60.439999,60.880001,8466700,53.575356
"58",60.139999,61.119999,59.889999,60.93,6639300,53.619373
"59",60.689999,62.25,60.619999,61.860001,6491000,54.437782
"60",61.599998,61.889999,61.509998,61.77,5369800,54.358585
"61",61.73,62.889999,61.68,62.57,4706600,55.062588
"62",62.41,62.84,62.25,62.43,5296000,54.939392
"63",62.43,62.560001,61.34,61.790001,5158800,54.376175
"64",61.709999,62.259998,61.5,62.18,4553200,54.719387
"65",62.529999,62.77,61.549999,61.619999,4605300,54.22657
"66",61.5,62.07,61.389999,61.84,3862600,54.420181
"67",61.52,61.82,61.290001,61.34,4847200,53.980171
"68",61.41,61.889999,61.27,61.48,4760900,54.103374
"69",61.279999,61.41,60.560001,60.790001,6147800,53.496162
"70",60.189999,60.459999,59.740002,60.169998,7518300,52.95055
"71",59.990002,60.299999,59.5,59.549999,5956100,52.404942
"72",59.610001,60.060001,59.369999,59.93,5939400,52.739346
"73",59.59,59.919998,59.299999,59.5,4841300,52.360947
"74",59.82,59.98,58.709999,58.98,6125700,51.903336
"75",59.150002,60.490002,58.93,59.669998,9397700,52.51054
"76",59.560001,59.700001,59.080002,59.130001,6473200,52.035332
"77",59.900002,59.959999,59.41,59.689999,7930500,52.528137
"78",60.009998,60.299999,59.900002,60.07,8367500,52.862549
"79",60.009998,60.82,59.919998,60.16,12413500,52.941753
"80",60.209999,61.41,60.119999,61.150002,6860400,53.812973
"81",61.049999,61.32,60.869999,60.91,4822600,53.601768
"82",61.189999,61.880001,61.07,61.610001,5778700,54.217773
"83",61.5,62.060001,61.389999,61.529999,5205000,54.147377
"84",61.400002,61.91,61.259998,61.540001,7526900,54.156178
"85",62.919998,63.48,62.599998,62.669998,8490500,55.150589
"86",62.759998,62.950001,62.610001,62.709999,6056900,55.185783
"87",62.759998,62.799999,61.75,61.919998,6488100,54.490578
"88",61.900002,62.439999,61.66,61.82,6299900,54.402592
"89",61.650002,61.799999,61.220001,61.369999,3964100,54.006577
"90",62.880001,62.900002,61.720001,61.790001,9098400,54.376175
"91",61.580002,61.810001,60.919998,60.990002,14479100,53.672165
"92",61.25,61.860001,61.25,61.82,9583200,54.402592
"93",62.330002,62.369999,61.830002,62.080002,7962500,54.631393
"94",62.080002,62.080002,61.18,61.560001,13252200,54.173786
"95",61.48,61.880001,61.16,61.389999,9934800,54.024166
"96",61.509998,61.790001,61.119999,61.200001,9709600,53.856968
"97",61.610001,61.91,61.169998,61.380001,9260300,54.015369
"98",61.360001,62.279999,61.209999,62.169998,7968900,54.710587
"99",62.23,62.84,62.169998,62.599998,11406200,55.088985
"100",62.849998,63.240002,62.549999,63.119999,9920700,55.546597
"101",63,63.900002,62.91,63.549999,8817100,55.924999
"102",63.299999,64.32,63.259998,64.099998,6358300,56.409019
"103",64.190002,64.190002,63.52,63.630001,7493000,55.995411
"104",63.810001,64.040001,63.630001,63.900002,5146700,56.233021
"105",63.560001,64.349998,63.450001,64.239998,5736900,56.532207
"106",64,64.150002,63.779999,63.830002,3251100,56.17141
"107",63.57,63.650002,63.049999,63.310001,4157900,55.713802
"108",63.400002,63.419998,63.080002,63.16,4203700,55.581799
"109",63.16,64.209999,63.060001,63.66,4868400,56.021801
