"","AJG.Open","AJG.High","AJG.Low","AJG.Close","AJG.Volume","AJG.Adjusted"
"1",52,52.330002,51.799999,52.240002,1058600,47.427856
"2",52.419998,53.23,52.240002,52.900002,1382800,48.027065
"3",52.759998,53.09,52.580002,53.02,1309500,48.136009
"4",53.220001,53.360001,53.09,53.139999,871900,48.244957
"5",52.990002,53.139999,52.369999,52.400002,922100,47.573112
"6",52.43,52.75,52.27,52.419998,616300,47.591278
"7",52.389999,52.610001,52.040001,52.48,621500,47.645752
"8",52.169998,52.650002,51.959999,52.580002,1076200,47.736542
"9",52.650002,53.040001,52.650002,52.810001,507800,47.945354
"10",52.419998,52.810001,52.139999,52.57,689900,47.727467
"11",52.740002,53.009998,52.290001,52.93,510500,48.054302
"12",53.040001,53.060001,52.509998,52.669998,520700,47.818245
"13",52.889999,52.970001,52.57,52.84,703700,47.972584
"14",52.740002,52.959999,52.580002,52.740002,721700,47.881802
"15",52.93,53.419998,52.77,53.23,876500,48.326668
"16",53.5,53.869999,53.299999,53.790001,914300,48.835079
"17",53.889999,54.07,53.740002,53.790001,856000,48.835079
"18",53.700001,54.650002,53.049999,54.619999,1053700,49.588615
"19",54.259998,54.509998,53.330002,53.869999,1075600,48.907703
"20",53.77,54,53.529999,53.830002,833100,48.871395
"21",54,54.189999,53.389999,53.439999,754600,48.517307
"22",53.369999,54.169998,53.189999,53.950001,871300,48.980339
"23",54.259998,54.470001,53.860001,54.009998,846400,49.034813
"24",53.82,54.200001,53.82,54.02,440400,49.043884
"25",54.279999,54.279999,53.77,53.93,578900,48.962189
"26",53.84,54.080002,53.630001,54.060001,632300,49.080208
"27",54.150002,54.75,54.07,54.709999,779200,49.670334
"28",54.830002,55.310001,54.470001,55.169998,928400,50.087948
"29",55.349998,55.740002,55.16,55.549999,678300,50.432953
"30",55.259998,55.790001,55.189999,55.560001,886000,50.442032
"31",55.560001,55.889999,55.360001,55.82,567100,50.678089
"32",55.82,56.490002,55.779999,56.470001,640500,51.268211
"33",56.240002,56.939999,55.959999,56.939999,1206100,51.694912
"34",56.700001,57.189999,56.060001,56.150002,1215700,50.977692
"35",56.049999,56.400002,55.790001,56.220001,705300,51.041245
"36",56.23,56.470001,56.169998,56.470001,553200,51.268211
"37",56.139999,56.91,55.959999,56.860001,751300,51.62228
"38",56.860001,57.080002,56.799999,56.98,645400,51.731236
"39",57.040001,57.259998,56.77,56.950001,833300,51.703999
"40",57.259998,57.82,57.040001,57.759998,1145100,52.800964
"41",57.709999,57.790001,56.720001,56.779999,816600,51.905102
"42",56.619999,56.939999,56.459999,56.860001,654200,51.978241
"43",56.419998,56.700001,56.299999,56.400002,662100,51.557732
"44",56.34,56.540001,55.849998,56.32,880600,51.484604
"45",56.599998,56.630001,55.970001,56.150002,679000,51.329197
"46",56.169998,56.470001,55.970001,56.240002,701300,51.411465
"47",56.610001,56.73,56.220001,56.66,585200,51.795414
"48",56.560001,57,56.509998,56.990002,1217200,52.097073
"49",56.790001,56.93,56.529999,56.849998,618900,51.969093
"50",56.889999,57.16,56.75,57.07,813600,52.170212
"51",57.330002,57.529999,56.73,56.860001,857200,51.978241
"52",56.900002,57.110001,56.57,56.93,5600800,52.042221
"53",56.950001,57.27,56.66,56.880001,848400,51.996525
"54",57.169998,57.169998,55.970001,56.009998,997700,51.201218
"55",55.950001,56.43,55.84,56.119999,1013700,51.301769
"56",56.200001,56.799999,55.919998,56.279999,764300,51.448032
"57",56.459999,56.919998,56.220001,56.439999,879300,51.594303
"58",55.869999,56.650002,55.540001,56.540001,628400,51.685715
"59",56.389999,57.09,56.119999,57.009998,665000,52.115345
"60",56.869999,57.099998,56.73,56.790001,777900,51.914246
"61",56.639999,56.919998,56.59,56.77,447800,51.895962
"62",56.599998,56.82,56.5,56.540001,941300,51.685715
"63",56.599998,56.639999,55.810001,56.02,887000,51.210358
"64",56.009998,56.509998,55.77,56.380001,712400,51.539448
"65",56.509998,56.66,55.950001,56,830800,51.19207
"66",56.09,56.5,55.73,56.400002,689300,51.557732
"67",56.27,56.57,56.080002,56.330002,894900,51.493748
"68",56.259998,56.540001,56.130001,56.34,1235000,51.502884
"69",56.099998,56.529999,55.889999,56.299999,1034000,51.466309
"70",56.16,56.18,55.610001,55.790001,1008700,51.000095
"71",55.66,55.860001,55.470001,55.509998,534900,50.744141
"72",55.740002,56.330002,55.490002,56.279999,871900,51.448032
"73",56.139999,56.439999,55.880001,56.040001,774300,51.22863
"74",56.360001,56.450001,55.689999,55.82,744700,51.027527
"75",56.029999,56.48,55.790001,56.25,2009700,51.420605
"76",56,56.369999,55.610001,55.610001,767300,50.835564
"77",56.490002,56.5,55.849998,56.049999,833600,51.237785
"78",56.400002,56.57,56.16,56.439999,786400,51.594303
"79",56.43,56.700001,56.279999,56.349998,954200,51.512012
"80",56.5,56.990002,56.5,56.73,765700,51.859394
"81",56.310001,56.310001,55.25,55.810001,1130000,51.018391
"82",56.099998,56.139999,55.669998,55.939999,779400,51.137222
"83",55.66,56.209999,54.889999,55.07,1749700,50.341923
"84",54.950001,55.23,54.82,55.009998,1336800,50.287071
"85",55.25,55.459999,54.860001,55.360001,1241800,50.607021
"86",55.48,55.709999,55.360001,55.709999,655000,50.926971
"87",55.830002,55.93,55.349998,55.48,750400,50.716721
"88",55.580002,55.759998,55.150002,55.220001,696300,50.479042
"89",55.09,55.619999,54.93,55.48,950900,50.716721
"90",55.240002,55.57,54.799999,55.130001,953500,50.396755
"91",54.919998,55.200001,54.619999,54.73,791800,50.031113
"92",54.669998,55.27,54.5,55.189999,916400,50.451622
"93",55.27,55.48,55.049999,55.310001,561100,50.561306
"94",55.310001,55.310001,54.630001,54.959999,830400,50.241367
"95",55.240002,55.59,54.91,55.380001,790000,50.625305
"96",55.32,55.939999,55.27,55.759998,1256400,50.972664
"97",55.900002,56.32,55.669998,56.27,789400,51.438885
"98",56.279999,56.75,56.060001,56.689999,889400,51.82283
"99",56.720001,56.91,56.52,56.84,542400,51.959957
"100",57,57.57,56.82,57.549999,764200,52.608994
"101",57.419998,57.540001,57.110001,57.119999,854800,52.215916
"102",56.810001,57.150002,56.549999,56.970001,970800,52.078789
"103",56.810001,56.939999,56.34,56.73,1357100,52.216858
"104",56.880001,57.459999,56.720001,57.459999,1224100,52.888779
"105",57.330002,57.549999,57.060001,57.349998,533600,52.787529
"106",57.240002,57.490002,56.880001,56.91,791300,52.382538
"107",56.700001,56.700001,56.189999,56.25,589900,51.775043
"108",56.490002,57.139999,56.23,56.93,1002200,52.400948
"109",56.93,57.439999,56.869999,57.389999,785600,52.824348
"110",57.5,57.950001,57.23,57.880001,703000,53.275372
"111",57.869999,58.060001,57.73,58.049999,919500,53.431843
"112",58.189999,58.560001,58.080002,58.130001,859100,53.505493
"113",58.009998,58.189999,57.650002,57.970001,1354600,53.358212
"114",57.759998,58.84,57.740002,58.810001,1583900,54.131386
"115",58.77,59.029999,58.560001,58.970001,1256100,54.278656
"116",58.990002,59.110001,58.740002,59.009998,738800,54.315468
"117",58.919998,59.09,58.66,58.66,576100,53.993309
"118",58.869999,58.970001,57.830002,57.900002,753800,53.293789
"119",57.669998,57.860001,57.099998,57.099998,688900,52.557419
"120",57.18,57.34,56.700001,56.709999,1197700,52.198456
"121",56.950001,57.169998,56.709999,56.860001,1143200,52.336521
"122",56.880001,56.990002,56.43,56.509998,1184400,52.014366
"123",56.830002,57.509998,56.639999,57.389999,917900,52.824348
"124",57.709999,57.75,56.610001,57.02,860900,52.483784
"125",57.349998,57.450001,56.98,57.25,813100,52.695488
"126",57.599998,58.009998,57.529999,57.529999,449100,52.953201
"127",57.619999,57.740002,57.34,57.490002,696100,52.916397
"128",57.419998,57.75,57.080002,57.16,714300,52.612648
"129",57.529999,58.07,57.32,57.709999,633700,53.118896
"130",57.709999,57.84,57.400002,57.459999,883600,52.888779
"131",57.459999,57.720001,56.720001,56.759998,788500,52.244469
"132",56.939999,57.259998,56.75,56.869999,783700,52.345722
"133",56.959999,57.68,56.799999,57.560001,623200,52.980831
"134",57.349998,57.73,57.080002,57.610001,549900,53.026852
"135",57.599998,57.689999,57.169998,57.5,790200,52.925606
"136",57.110001,57.720001,57.110001,57.560001,469400,52.980831
"137",57.75,57.75,57.259998,57.689999,522400,53.100487
"138",57.799999,58.27,57.779999,58.27,637900,53.634346
"139",58.119999,58.779999,58.119999,58.650002,755300,53.984119
"140",58.689999,58.91,58.32,58.830002,565500,54.149792
"141",59.330002,59.5,59,59.099998,433900,54.398319
"142",59.130001,59.18,58.560001,58.669998,572800,54.002525
"143",58.68,58.779999,56.200001,58.029999,802600,53.413433
"144",58.619999,59.639999,57.810001,59.41,800600,54.683655
"145",59.57,59.57,58.740002,58.790001,731900,54.112972
"146",59.029999,59.330002,58.880001,59.189999,485600,54.481159
"147",59.080002,59.18,58.720001,59.02,652200,54.324673
"148",59.080002,59.080002,58.57,58.650002,490900,53.984119
"149",58.869999,59.110001,58.610001,59.02,735200,54.324673
"150",59,59.119999,58.669998,58.91,598300,54.223434
"151",58.779999,58.970001,58.68,58.810001,533700,54.131386
"152",58.720001,59.040001,58.720001,58.900002,430200,54.214226
"153",58.650002,58.970001,58.43,58.610001,924300,53.947296
"154",58.630001,58.98,58.349998,58.419998,546200,53.772408
"155",58.82,58.990002,58.709999,58.860001,551500,54.177414
"156",59.040001,59.169998,58.610001,58.720001,331400,54.048546
"157",58.959999,59.380001,58.869999,58.91,501400,54.223434
"158",58.860001,59.119999,57.830002,57.849998,422200,53.247753
"159",57.740002,58.130001,57.52,57.939999,581800,53.330601
"160",57.900002,58.32,57.669998,58.130001,576300,53.505493
"161",58.290001,58.630001,58,58.619999,505900,53.956497
"162",58.389999,58.689999,58.18,58.209999,427000,53.579117
"163",58.279999,58.400002,58.009998,58.310001,667300,53.671165
"164",58.540001,58.68,58.330002,58.380001,487000,53.735592
"165",58.43,58.630001,58.23,58.299999,408100,53.661953
"166",57.869999,58.150002,57.759998,58.040001,497200,53.422642
"167",57.700001,58.139999,57.68,57.82,637000,53.580173
"168",58.009998,58.209999,57.740002,57.900002,688700,53.654316
"169",58.009998,58.369999,57.919998,57.919998,437900,53.672844
"170",57.700001,57.990002,57.189999,57.709999,1466100,53.478245
"171",57.959999,58.389999,57.290001,58.18,692100,53.91378
"172",58.200001,58.27,57.549999,57.68,629700,53.450447
"173",57.59,59.919998,57.529999,59.689999,1378200,55.313061
"174",59.490002,60.330002,59.189999,60.040001,1529000,55.637394
"175",60.130001,61.439999,59.41,60.32,861400,55.896862
"176",60.18,60.299999,59.279999,59.959999,1032800,55.563255
"177",60.02,60.189999,59.639999,60,1356000,55.600327
"178",59.939999,60.560001,59.75,60.380001,1816700,55.952457
"179",60.34,60.619999,60.130001,60.400002,993400,55.970993
"180",60.400002,60.77,60.290001,60.369999,820000,55.943192
"181",60.52,60.849998,60.259998,60.720001,766100,56.267525
"182",60.720001,60.830002,60.459999,60.669998,575800,56.221195
"183",60.650002,61.029999,60.509998,60.990002,785500,56.517731
"184",60.91,61.060001,60.48,60.880001,1026300,56.415794
"185",60.82,61.66,60.740002,61.48,1183500,56.971806
"186",61.869999,61.869999,61.189999,61.630001,1039500,57.110806
"187",61.650002,61.75,61.360001,61.509998,578400,56.999592
"188",61.200001,61.630001,61.130001,61.549999,798800,57.036663
"189",61.68,61.740002,60.970001,61.689999,858200,57.166401
"190",61.630001,62.07,61.52,62,618200,57.453655
"191",61.650002,61.73,60.869999,61.599998,602000,57.082993
"192",61.599998,61.900002,61.52,61.799999,471900,57.268333
"193",61.970001,62.119999,61.529999,61.759998,578400,57.231262
"194",61.75,61.900002,61.450001,61.599998,578500,57.082993
"195",61.560001,61.869999,61.52,61.869999,533000,57.333206
"196",61.84,61.860001,61.580002,61.720001,497100,57.194202
"197",61.77,62.139999,61.75,62.040001,470000,57.49073
"198",62,62.310001,61.779999,62.02,390900,57.472198
"199",62.07,62.209999,61.490002,62.119999,485200,57.564873
"200",62.220001,62.360001,61.709999,61.880001,603900,57.342464
"201",61.98,62.389999,61.75,62.130001,564100,57.574135
"202",62,62.639999,61.830002,62.639999,623900,58.046738
"203",63.110001,63.139999,62.75,62.919998,558500,58.30621
"204",63.02,63.139999,62.5,62.959999,512800,58.343277
"205",62.939999,63.200001,62.66,62.830002,576000,58.222801
"206",62.799999,62.91,62.209999,62.540001,538800,57.954071
"207",62.740002,62.91,62.099998,62.25,759400,57.685337
"208",62.849998,63.200001,61.91,62.540001,844800,57.954071
"209",62.5,62.84,62.139999,62.740002,758200,58.139408
"210",62.57,63.369999,62.57,63.330002,761500,58.686138
"211",63.57,64.050003,63.450001,63.599998,607700,58.93634
"212",63.669998,64.059998,62.75,63.880001,919300,59.195808
"213",63.59,63.93,63.310001,63.689999,523500,59.019741
"214",63.380001,64.239998,63.380001,64.139999,672000,59.436741
"215",64.190002,64.449997,63.43,63.709999,794700,59.038273
"216",63.630001,63.779999,63.330002,63.529999,663200,58.871468
"217",63.299999,63.77,63.139999,63.650002,317200,58.982674
"218",63.66,64.199997,63.360001,64.080002,590400,59.381138
"219",63.98,64.32,63.689999,63.939999,589600,59.251404
"220",63.75,65.120003,63.669998,65.099998,1245800,60.326347
"221",65,65.440002,64.650002,65.330002,997100,60.539486
"222",65.440002,65.940002,65.339996,65.830002,1333300,61.002827
"223",65.610001,66.120003,65.489998,65.970001,1750100,61.132549
"224",66.120003,66.169998,65.669998,66.010002,1702900,61.169621
"225",66.139999,67.050003,66,66.959999,1985000,62.049957
"226",66.809998,67.040001,66.449997,66.620003,3079900,61.734886
"227",66.529999,66.830002,65.389999,65.389999,624500,60.595093
"228",65.309998,65.919998,65.309998,65.709999,2632700,60.891613
"229",65.830002,66.720001,65.709999,66.629997,1187800,61.744156
"230",66.800003,67.32,66.269997,66.419998,1299500,61.549564
"231",66.57,66.57,65.480003,65.830002,3083100,61.363132
"232",66.169998,66.760002,64.800003,66.57,1823800,62.052917
"233",67.129997,67.300003,66.470001,66.580002,1491200,62.062237
"234",66.620003,66.660004,65.82,65.82,756900,61.353802
"235",66.190002,66.379997,65.779999,65.830002,918400,61.363132
"236",65.849998,66,65.139999,65.269997,1185700,60.841125
"237",65.5,65.75,65.160004,65.690002,814200,61.232628
"238",65.709999,65.809998,65.279999,65.480003,844700,61.036873
"239",65.510002,65.629997,64.730003,64.790001,1130600,60.393703
"240",65.040001,65.040001,63.959999,64.209999,1926100,59.85305
"241",64.209999,64.349998,63.619999,63.689999,1369100,59.368336
"242",63.790001,64.370003,63.560001,63.98,5084900,59.638657
"243",64.470001,64.699997,63.66,63.849998,1441300,59.517487
"244",64.360001,64.870003,63.889999,64.400002,1559300,60.030163
"245",64.68,64.760002,64.18,64.209999,823300,59.85305
