"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"1",67.269997,68.370003,67.110001,67.57,1077400,67.57
"2",67.510002,68.470001,67.190002,68.330002,1174300,68.330002
"3",68.120003,69.75,68.120003,69.550003,1779800,69.550003
"4",69.379997,70.510002,68.919998,69.790001,1967300,69.790001
"5",69.739998,70.290001,69.699997,70,1550300,70
"6",70,70.480003,69.82,70.279999,1462200,70.279999
"7",70.589996,71.639999,70.089996,70.120003,2247200,70.120003
"8",70.010002,70.300003,69.150002,69.93,1259700,69.93
"9",70.230003,70.419998,69.860001,70.019997,1491700,70.019997
"10",69.809998,70,69.18,69.790001,1016700,69.790001
"11",69.739998,69.809998,68.940002,69.599998,1075500,69.599998
"12",69.360001,69.739998,68.959999,68.980003,1409700,68.980003
"13",69.360001,69.599998,68.849998,69.150002,1447100,69.150002
"14",69.050003,69.349998,67.839996,67.970001,1455800,67.970001
"15",67.970001,68.279999,67.470001,67.739998,1566100,67.739998
"16",68.349998,68.82,67.790001,68.730003,1751300,68.730003
"17",68.540001,68.699997,67.730003,67.779999,1416300,67.779999
"18",68.040001,68.080002,67.550003,67.970001,1535700,67.970001
"19",67.989998,68.349998,67.360001,67.809998,1893900,67.809998
"20",67.57,68.849998,67.199997,68.589996,1548700,68.589996
"21",68.669998,68.800003,67.760002,68.699997,1579500,68.699997
"22",68.370003,69.669998,67.830002,69.400002,1333600,69.400002
"23",69.849998,69.849998,69.010002,69.550003,1420000,69.550003
"24",69.220001,69.709999,68.629997,69.709999,1630000,69.709999
"25",70,71.339996,69.580002,71.120003,3881700,71.120003
"26",66.580002,66.589996,61.540001,63.549999,15940200,63.549999
"27",63.830002,64.580002,63.610001,63.849998,4080900,63.849998
"28",63.849998,64.279999,63.5,63.950001,2507600,63.950001
"29",64.199997,64.199997,63.349998,63.599998,1769900,63.599998
"30",63.75,64.129997,63.369999,63.549999,2180900,63.549999
"31",63.299999,64.099998,63.209999,63.900002,1371200,63.900002
"32",64.220001,64.769997,63.75,64.239998,1761000,64.239998
"33",63.830002,63.869999,62,62.34,3981100,62.34
"34",62.5,63.150002,62.459999,62.639999,1808300,62.639999
"35",62.5,63.150002,62.5,63.009998,1350400,63.009998
"36",63.049999,63.130001,62.639999,62.700001,1125600,62.700001
"37",62.5,62.889999,62.389999,62.869999,1363800,62.869999
"38",62.759998,63.119999,62.459999,62.860001,861800,62.860001
"39",62.799999,63.110001,62.310001,62.599998,1589600,62.599998
"40",62.82,63.59,62.790001,63.380001,1382700,63.380001
"41",63.240002,64.5,63.07,63.790001,2158400,63.790001
"42",63.549999,63.549999,63.130001,63.360001,1325800,63.360001
"43",63.16,63.25,62.830002,63.060001,1067000,63.060001
"44",63.099998,64.519997,63.099998,63.299999,1658800,63.299999
"45",63.299999,63.849998,62.959999,63.549999,1291200,63.549999
"46",63.639999,64.349998,63.400002,64.199997,1336600,64.199997
"47",64.370003,64.739998,63.759998,64.220001,1259800,64.220001
"48",64.339996,65.199997,64.18,64.589996,1341200,64.589996
"49",64.529999,64.949997,63.540001,63.630001,1197900,63.630001
"50",64,64.559998,63.389999,64.389999,1327800,64.389999
"51",64.709999,64.93,64.43,64.629997,1083800,64.629997
"52",64.940002,65.220001,64.620003,65,2912700,65
"53",64.959999,65.040001,64.330002,64.860001,922400,64.860001
"54",65.410004,65.650002,62.919998,62.950001,2295900,62.950001
"55",63.139999,63.759998,62.93,63.68,921100,63.68
"56",63.689999,64.419998,63.400002,63.66,980700,63.66
"57",63.82,64.309998,63.459999,63.630001,1008300,63.630001
"58",62.880001,63.439999,62.509998,63.09,1836700,63.09
"59",63.060001,63.610001,63,63.25,2299200,63.25
"60",63.279999,63.700001,63.080002,63.439999,2068300,63.439999
"61",63.169998,64.07,60.369999,60.529999,6001100,60.529999
"62",60.560001,60.91,59.5,59.700001,3600900,59.700001
"63",59.740002,59.990002,57.860001,58.099998,3522700,58.099998
"64",58.189999,59.41,58.189999,59.299999,4459700,59.299999
"65",59.299999,59.73,58.650002,58.799999,1982600,58.799999
"66",59.07,59.700001,58.389999,58.75,1902500,58.75
"67",58.650002,58.740002,58,58.099998,2256600,58.099998
"68",58.360001,58.82,57.990002,58.509998,1974400,58.509998
"69",58.619999,59.23,58.43,59.009998,2130200,59.009998
