"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"1",87.150002,88.120003,86.980003,88.050003,975600,82.216766
"2",88.720001,91.150002,88.690002,90.699997,1147600,84.691216
"3",90.639999,91.389999,89.730003,90.389999,913200,84.401749
"4",90.620003,91,89.860001,90.809998,550900,84.79393
"5",90.730003,90.980003,90.370003,90.480003,936100,84.485786
"6",90.860001,91.169998,89.089996,89.879997,825000,83.925522
"7",90.57,94.129997,90.080002,93.300003,1807500,87.118965
"8",93.529999,94.309998,92.199997,93.75,1042200,87.539169
"9",94.169998,94.940002,93.339996,94,603400,87.772591
"10",95.139999,95.790001,93.910004,94.349998,844600,88.099396
"11",94.839996,95.010002,92.300003,92.599998,1104800,86.465347
"12",92.75,94.410004,92.540001,93.050003,609600,86.885536
"13",93.559998,94.050003,92.839996,93.360001,701600,87.174995
"14",93.379997,93.910004,92.849998,93.699997,349400,87.492455
"15",93.940002,95.839996,93.709999,95.550003,921900,89.21991
"16",95.82,95.860001,93.25,94,1083700,87.772591
"17",94.089996,95.889999,94.040001,95.480003,795800,89.154541
"18",95.339996,95.870003,94.760002,95.419998,452800,89.098511
"19",94.790001,94.849998,93.510002,94.57,677400,88.304825
"20",94.610001,94.68,92.519997,92.639999,1453700,86.502701
"21",93.190002,93.639999,91.660004,93.410004,855100,87.221672
"22",93.400002,93.400002,91.5,92.910004,588900,86.754791
"23",93.379997,94.449997,93,94.269997,446800,88.024712
"24",94.040001,94.470001,93.769997,94.290001,478100,88.043388
"25",94,94.449997,92.260002,92.800003,756200,86.652092
"26",92.910004,94.389999,92.199997,94.349998,661600,88.099396
"27",94.349998,94.849998,93.650002,93.910004,498300,87.688553
"28",94.449997,94.449997,93.269997,93.699997,637800,87.492455
"29",94.330002,95.410004,93.650002,94.75,660400,88.4729
"30",94.370003,94.370003,90.349998,91.190002,1654700,85.148735
"31",91.309998,93.010002,91.019997,92.760002,1510500,86.614738
"32",92.879997,93.989998,92.07,92.410004,593700,86.287918
"33",92.440002,92.800003,91.57,91.919998,1016700,85.830383
"34",92.510002,93.830002,92.410004,93.779999,790200,87.567169
"35",93.410004,93.650002,92.379997,92.440002,652200,86.315956
"36",93.120003,93.239998,91.769997,92.410004,738600,86.287918
"37",91.93,93.139999,91.019997,92.93,7e+05,86.773468
"38",92.989998,93.400002,92.220001,92.459999,930600,86.334602
"39",95.800003,102.559998,95.739998,101.510002,4246500,94.785057
"40",102.900002,104.330002,102,102.660004,2591800,95.858871
"41",102.809998,104.779999,102.150002,103.059998,2040100,96.232376
"42",103.400002,105.199997,103.080002,104.769997,1153200,97.829086
"43",101.919998,102.669998,98.629997,102.110001,2329000,95.345322
"44",102.110001,104.82,101.57,103.790001,1396700,96.914009
"45",103.589996,103.889999,102.239998,102.739998,1285100,95.933578
"46",102.959999,103.370003,102.029999,102.5,1457100,95.70948
"47",102.699997,104.010002,102.360001,103.050003,1422600,96.223015
"48",102.580002,104.550003,102.150002,104.5,1336600,97.88092
"49",104.010002,104.389999,103.059998,103.949997,752600,97.365753
"50",104.5,105.510002,103.860001,105.220001,781700,98.555321
"51",105.099998,105.730003,103.709999,104.010002,1017400,97.421967
"52",104.489998,106.529999,104.400002,106.209999,1436900,99.48262
"53",106.040001,106.190002,105.120003,106.07,1032400,99.351479
"54",106.07,107.559998,104.07,104.25,1249500,97.646751
"55",104.599998,105.470001,103.300003,105.220001,984800,98.555321
"56",105.18,106.389999,104.849998,105.150002,690000,98.489754
"57",105.540001,106.18,104.029999,104.449997,527400,97.834076
"58",103.620003,104.949997,102.650002,104.599998,841100,97.974586
"59",104.580002,105.459999,104.129997,104.879997,805000,98.236847
"60",105,105.949997,104.900002,105.040001,916300,98.386726
"61",105.080002,106.089996,104.839996,105.139999,671400,98.480392
"62",104.959999,106.489998,104.379997,105.639999,936800,98.948715
"63",105.730003,106.300003,103.830002,105.029999,991500,98.377365
"64",104.970001,105.919998,104.809998,105.5,884000,98.817581
"65",105.690002,106.699997,104.910004,105.209999,1168300,98.545944
"66",105.330002,106.169998,104.900002,106.029999,705100,99.314018
"67",106.019997,106.300003,105.510002,105.940002,1211600,99.229713
"68",105.959999,106.209999,104.580002,104.860001,984200,98.218132
"69",104.559998,105.699997,104.330002,105.610001,645700,98.920609
"70",106,106.080002,103.800003,104.120003,689600,97.524986
"71",104,104.809998,103.419998,103.620003,499300,97.056679
"72",103.75,104.629997,103.459999,104.629997,721100,98.002693
"73",103.949997,105.809998,103.949997,105.769997,890800,99.070496
"74",106.050003,106.93,105.370003,105.839996,948500,99.136063
"75",106.139999,106.25,105.389999,105.519997,888800,98.836304
"76",105.599998,106.019997,104.889999,105.099998,1106600,98.442894
"77",106.019997,106.940002,105.879997,106.830002,934000,100.063332
"78",107.440002,108.459999,107.370003,108.089996,706500,101.243546
"79",108.110001,108.559998,107.239998,108.300003,671200,101.440231
"80",108.279999,109.230003,107.779999,108.18,759300,101.327827
"81",108.239998,109.050003,108.199997,108.910004,1206100,102.011581
"82",109.089996,110.129997,107,109.389999,854800,102.461197
"83",109.339996,109.339996,108,108.379997,831000,101.51516
"84",108.349998,108.629997,107.190002,107.650002,968600,100.831398
"85",111.989998,112.730003,108.440002,108.709999,1977000,101.824265
"86",109.360001,110.900002,108.849998,110.010002,1116500,103.041916
"87",110.019997,110.309998,108.720001,109.559998,864000,102.62043
"88",109.5,109.919998,108.699997,109.330002,709800,102.404984
"89",109.5,110.599998,109.160004,110.57,819200,103.56646
"90",110.57,110.940002,110.080002,110.739998,549000,103.72567
"91",110.440002,110.739998,110.089996,110.379997,601900,103.388466
"92",111.089996,112.82,110.720001,112.050003,654200,104.952705
"93",112.449997,112.879997,111.699997,112.370003,759900,105.252411
"94",112.370003,112.370003,110.489998,110.540001,981300,103.53833
"95",109.980003,110.669998,108.870003,110,921000,103.032555
"96",110.449997,111.800003,110.160004,110.32,897000,103.332268
"97",110.910004,111.059998,109.739998,110.580002,797800,103.575821
"98",110.910004,112,110.589996,111.709999,592100,104.634232
"99",111.709999,112.550003,111.550003,112.050003,548600,104.952705
"100",112.529999,113.699997,112.260002,112.589996,635900,105.458496
"101",112.5,113.059998,112.199997,112.860001,601000,105.711411
"102",112.790001,112.889999,111.440002,112.459999,772000,105.336739
"103",112.279999,113.730003,111.889999,113.599998,1136200,106.404526
"104",113.68,114.290001,112.889999,113.360001,813600,106.179718
"105",113.400002,114.400002,113.059998,114.089996,605100,106.863487
"106",113.800003,114.489998,113.160004,113.610001,689500,106.413895
"107",113.5,113.959999,112.620003,112.68,754600,105.542809
"108",112.68,113.169998,112.379997,112.800003,1068500,105.655197
"109",112.800003,114.760002,112.370003,114.269997,1440700,107.032089
"110",114.75,116.639999,114.089996,115.400002,1131500,108.090523
"111",115.220001,115.400002,110.970001,111.190002,1804700,104.147194
"112",112.330002,112.910004,110.980003,112.660004,1111600,105.828644
"113",112.610001,112.660004,108.559998,109.269997,1710400,102.644196
"114",107.959999,108,103.629997,106.050003,2579100,99.619438
"115",106.199997,108.120003,105.849998,108.089996,1704100,101.535751
"116",108.5,109.230003,106.900002,108.330002,1114700,101.761192
"117",107.849998,109.139999,107,107.739998,804900,101.206955
"118",107.57,107.620003,105.870003,106.190002,1274100,99.750969
"119",106.470001,106.699997,105.110001,105.199997,1180000,98.820984
"120",105.309998,105.910004,104.419998,104.849998,3099700,98.492203
"121",105.110001,106.559998,104.25,105.019997,1826300,98.651909
"122",105.389999,105.690002,104.300003,104.470001,1313000,98.135254
"123",105.129997,107.330002,104.629997,106.919998,1201500,100.436684
"124",107.18,107.260002,103.769997,104.669998,985700,98.323105
"125",105.220001,106.529999,105.120003,105.540001,807200,99.140366
"126",106.339996,106.529999,105.339996,106.029999,555400,99.60067
"127",106,108.660004,106,108.019997,1356400,101.469978
"128",107.860001,109.080002,107.300003,108.050003,1173700,101.498177
"129",108.32,110.449997,108.150002,109.989998,1567300,103.320518
"130",110.209999,111.900002,110,111.339996,1443600,104.588676
"131",111.68,113.080002,110.849998,112.949997,1321700,106.101059
"132",113.5,117.129997,113.379997,116.540001,2115100,109.473366
"133",116.599998,119,116.599998,117.68,2336800,110.54425
"134",118.370003,118.989998,117.010002,117.57,1723100,110.440903
"135",117.660004,117.769997,116.459999,116.860001,863700,109.773964
"136",116.82,118.18,116.169998,117.730003,688900,110.591225
"137",117.970001,119.589996,116.660004,119.160004,1215400,111.934486
"138",119,119.160004,117.639999,117.910004,928700,110.760315
"139",117.989998,118.879997,117.589996,118.339996,1017200,111.164207
"140",118.529999,119.389999,117.839996,118.599998,1596600,111.408432
"141",119.5,119.5,118.400002,118.800003,1128000,111.596336
"142",119.160004,119.279999,117,117.199997,870700,110.093338
"143",117.809998,118.309998,115.199997,116.370003,955900,109.313667
"144",116.360001,116.980003,115.900002,116.5,1388000,109.435799
"145",116.800003,117.010002,115.730003,115.800003,925200,108.778236
"146",116.059998,117.68,115.300003,117.43,916200,110.309387
"147",117.5,119.959999,117.050003,119.449997,1527100,112.206902
"148",119.790001,119.959999,118.480003,118.800003,1321400,111.596336
"149",118.970001,119.989998,118.75,119.599998,1077200,112.347809
"150",120.620003,123.480003,120,123.080002,3815400,115.616798
"151",119.129997,119.169998,113.68,115.410004,5311600,108.411888
"152",114.660004,115.709999,111.230003,113.160004,2603600,106.298309
"153",112.5,112.510002,110.25,110.949997,2603500,104.222313
"154",110,110.279999,108.599998,109.360001,2137700,102.72876
"155",110.139999,111.480003,110.050003,110.830002,1620100,104.109612
"156",111,112.43,110.010002,111.879997,1179300,105.09594
"157",112,113.839996,111.260002,113.419998,1289000,106.542549
"158",113.940002,113.940002,112,112.110001,1046000,105.311981
"159",112.040001,113.32,111.559998,112.589996,872700,105.762878
"160",112.650002,113.589996,112.230003,113.480003,686000,106.598915
