"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"1",96.489998,98.330002,95.800003,96.959999,816700,96.959999
"2",96.849998,98.82,96.800003,97.769997,675500,97.769997
"3",97.519997,97.769997,94.410004,94.82,731700,94.82
"4",94.82,95.739998,93.599998,94.080002,998400,94.080002
"5",94.129997,95.870003,93.510002,94.790001,1033000,94.790001
"6",94.610001,96.790001,94.150002,96.129997,781200,96.129997
"7",96.07,96.760002,95.059998,96,6e+05,96
"8",95.57,95.849998,94.400002,95.550003,513500,95.550003
"9",95.650002,96.639999,95.279999,96.010002,516400,96.010002
"10",95.470001,96.169998,94.629997,95.339996,539500,95.339996
"11",95.790001,96.110001,93.830002,94.419998,794100,94.419998
"12",91.510002,91.849998,90.209999,90.550003,2107500,90.550003
"13",90.889999,92.029999,90.860001,91.699997,822200,91.699997
"14",91.580002,92.470001,91.440002,92.040001,673000,92.040001
"15",92.529999,92.669998,90.779999,91.650002,848700,91.650002
"16",91.879997,93.599998,91.760002,93.410004,449200,93.410004
"17",93.459999,93.559998,91.839996,92.230003,594600,92.230003
"18",91.669998,92.470001,89.959999,90.93,1719100,90.93
"19",89.639999,90.089996,88.559998,89.980003,1433400,89.980003
"20",91.690002,91.75,89.32,91.690002,1693000,91.690002
"21",97,102,95.43,97.25,3782000,97.25
"22",97.379997,98.540001,94.720001,95.129997,1761600,95.129997
"23",95.43,96.519997,94.139999,95.82,1104700,95.82
"24",96,96.239998,93.300003,93.849998,1238500,93.849998
"25",94.309998,94.5,93.089996,93.650002,954100,93.650002
"26",93.25,94.190002,92.610001,94.169998,599400,94.169998
"27",94.199997,96.489998,94.199997,95.980003,670500,95.980003
"28",95.959999,97.220001,95.169998,96.970001,740500,96.970001
"29",96.919998,98.019997,96.400002,97.610001,592100,97.610001
"30",97.669998,99.279999,97.309998,98.389999,791100,98.389999
"31",98.269997,100.120003,98.169998,99.959999,598000,99.959999
"32",100,100.760002,99.620003,100.419998,846200,100.419998
"33",100.349998,101.830002,99.599998,101.769997,664200,101.769997
"34",102.279999,102.900002,101.059998,101.860001,571800,101.860001
"35",100.610001,101.199997,100.029999,101.089996,870900,101.089996
"36",101.209999,101.650002,100.269997,101.160004,610400,101.160004
"37",100.57,103.040001,100.57,102.889999,723900,102.889999
"38",102.57,103.239998,102.110001,102.260002,631000,102.260002
"39",102.269997,103.830002,102.269997,102.760002,778500,102.760002
"40",103.769997,104.419998,102.669998,103.830002,780900,103.830002
"41",104.089996,104.529999,103.160004,104.120003,568500,104.120003
"42",104.199997,104.25,103.120003,104.040001,516600,104.040001
"43",104.099998,104.699997,102.18,102.739998,771700,102.739998
"44",102.470001,103.82,102.019997,103.150002,609300,103.150002
"45",103.650002,104.589996,103.389999,103.720001,375200,103.720001
"46",104.089996,105.589996,103.220001,105.360001,481400,105.360001
"47",105.839996,105.919998,104.400002,105.32,448000,105.32
"48",105.470001,108.269997,105.470001,107.989998,665800,107.989998
"49",107.839996,107.839996,106.620003,107.480003,490500,107.480003
"50",107.589996,110.870003,107.120003,110.309998,1082000,110.309998
"51",110.650002,111.400002,109.760002,110.470001,616800,110.470001
"52",110.889999,113,110.559998,111.849998,1195100,111.849998
"53",112.25,113.309998,111.650002,113.230003,862200,113.230003
"54",113.769997,114.290001,110.580002,111.059998,1027600,111.059998
"55",110.949997,112.489998,110.25,111.989998,509500,111.989998
"56",111.93,113.330002,111.349998,112.550003,526700,112.550003
"57",112.639999,114.989998,112.639999,113.870003,664400,113.870003
"58",113.419998,114.489998,112.209999,114.019997,641100,114.019997
"59",113.760002,114.349998,113.220001,113.900002,394400,113.900002
"60",113.809998,114.919998,113.25,114.230003,297600,114.230003
"61",114.589996,114.980003,113.75,113.959999,637300,113.959999
"62",113.699997,115.199997,113.459999,114.709999,563200,114.709999
"63",115.129997,116.75,114.800003,116.360001,1110000,116.360001
"64",116.559998,116.989998,115.25,115.610001,578900,115.610001
"65",115.940002,116.449997,114.720001,114.800003,448800,114.800003
"66",114.769997,115.360001,114.18,115.190002,509600,115.190002
"67",114.760002,115.739998,114.660004,114.739998,511700,114.739998
"68",115.25,115.25,114.269997,114.730003,446300,114.730003
"69",114.82,115.25,114.099998,114.949997,473900,114.949997
"70",115.160004,115.5,113.93,114.110001,484600,114.110001
"71",113.970001,114.720001,113.400002,113.730003,497200,113.730003
"72",113.959999,115.309998,113.82,115.18,465000,115.18
"73",114.940002,116.400002,114.739998,116.32,410100,116.32
"74",116.650002,117.980003,116.57,117.550003,490000,117.550003
"75",117.5,119.190002,116.32,118.870003,670100,118.870003
"76",119.099998,120.019997,118.080002,118.440002,719400,118.440002
"77",120.019997,120.879997,119.050003,120.339996,824100,120.339996
"78",121.470001,121.790001,118.370003,118.779999,1075000,118.779999
"79",119.239998,120.059998,118.449997,119.739998,570000,119.739998
"80",119.959999,120.410004,119.160004,120.089996,1301300,120.089996
"81",139.789993,145.240005,133.710007,134.619995,4319300,134.619995
"82",135.389999,136.330002,133.029999,133.679993,1433300,133.679993
"83",133.559998,135.300003,133.380005,134.119995,1643000,134.119995
"84",134.5,135.839996,131.320007,131.970001,1720200,131.970001
"85",132.210007,142.179993,132.020004,141.889999,2072500,141.889999
"86",141.690002,141.850006,137.770004,138.029999,1440100,138.029999
"87",138.25,138.770004,136.320007,137,1411600,137
"88",137.970001,138.970001,137.229996,138.169998,729900,138.169998
"89",137.960007,138.350006,135.809998,137.009995,1119300,137.009995
"90",136.509995,137.610001,135.850006,137.460007,561000,137.460007
"91",137.240005,139.229996,137.139999,138.669998,689600,138.669998
"92",138.899994,139.949997,138.160004,138.460007,788700,138.460007
"93",138.830002,139.119995,137.5,138.610001,595600,138.610001
"94",137.529999,137.889999,134.679993,136.080002,733300,136.080002
"95",136,138.839996,135.589996,137.690002,882700,137.690002
"96",138,138.990005,137.699997,138.429993,768100,138.429993
"97",139.229996,139.419998,138.039993,138.100006,982900,138.100006
"98",137.929993,138.309998,136.259995,138.220001,894300,138.220001
"99",138.779999,139.259995,137.779999,138.649994,1017400,138.649994
"100",138.710007,141.940002,138.710007,141.389999,1908300,141.389999
"101",141.399994,143.089996,140.240005,142.100006,1176600,142.100006
"102",142.559998,144.449997,141.699997,143.330002,766700,143.330002
"103",144.589996,146,142.600006,145.199997,1151300,145.199997
"104",146.360001,147,144.039993,145.910004,964600,145.910004
"105",146.570007,150.350006,146.520004,149.699997,1235800,149.699997
"106",150,150.559998,148.600006,148.830002,830600,148.830002
"107",148.740005,149.529999,147.399994,148.619995,534500,148.619995
"108",149.149994,149.639999,148.570007,149.130005,652300,149.130005
"109",149.25,151.910004,148.460007,151.820007,776400,151.820007
"110",152.160004,153.929993,146.110001,148.850006,1149900,148.850006
"111",147.339996,147.789993,139,143.410004,2236800,143.410004
"112",144.169998,146.029999,142.039993,144.380005,1023900,144.380005
"113",145.380005,145.809998,142.990005,144.300003,867300,144.300003
"114",142.949997,144.169998,142.009995,144.020004,1055600,144.020004
"115",144.779999,145.509995,144.009995,145.259995,17940200,145.259995
"116",146.320007,152.139999,146.25,149.699997,1636500,149.699997
"117",150.080002,150.839996,146.770004,146.990005,943500,146.990005
"118",147.160004,149.770004,147.149994,149.419998,670200,149.419998
"119",150.070007,150.979996,148.850006,149.690002,654900,149.690002
"120",154.850006,154.850006,151.240005,153.5,2206200,153.5
"121",153.660004,154.789993,151.449997,151.669998,724800,151.669998
"122",151.149994,152.830002,148.940002,149.339996,883100,149.339996
"123",150.190002,152.589996,149.619995,152.240005,727700,152.240005
"124",151.5,152.089996,148.009995,148.619995,781100,148.619995
"125",148.330002,150.949997,148.330002,150.119995,577200,150.119995
"126",151.059998,152.229996,148.949997,149.029999,340600,149.029999
"127",151.520004,152.800003,149.160004,151.940002,551900,151.940002
"128",151.119995,151.479996,149.5,149.740005,679100,149.740005
"129",150.979996,152.800003,150.919998,151.949997,486400,151.949997
"130",152.100006,153.479996,150.559998,151.580002,533000,151.580002
"131",151.559998,152.259995,150.330002,151.589996,754800,151.589996
"132",152.070007,152.929993,151.139999,152.509995,682600,152.509995
"133",153.130005,153.649994,150.759995,152.190002,409800,152.190002
"134",152.139999,154.820007,152.119995,154.300003,517900,154.300003
"135",155.009995,157.860001,154.899994,156.210007,1003200,156.210007
"136",155.990005,156.75,155.110001,156.020004,556000,156.020004
"137",157.089996,159.449997,156.759995,159.279999,892300,159.279999
"138",159.5,160.539993,158.100006,160.169998,952700,160.169998
"139",160.309998,160.929993,158.419998,158.869995,837300,158.869995
"140",158.669998,161.809998,158.649994,161.190002,833300,161.190002
"141",161.809998,161.809998,158.449997,158.559998,1071000,158.559998
"142",158.660004,159.929993,157.369995,158.690002,810300,158.690002
"143",160.520004,160.649994,155.550003,157.259995,1489200,157.259995
"144",168.100006,173.789993,160.369995,173.059998,2454700,173.059998
"145",173.339996,173.75,166.110001,167.229996,1289400,167.229996
"146",167.410004,171.649994,167.369995,169.429993,1286000,169.429993
"147",170.279999,171.050003,166.380005,167.990005,725800,167.990005
"148",168.089996,170.619995,167.589996,170.460007,757000,170.460007
"149",170.880005,171,168.570007,169.300003,508600,169.300003
"150",169.490005,174.820007,169.490005,174.009995,1088100,174.009995
"151",173.889999,176.839996,173.350006,173.619995,1085400,173.619995
"152",173.839996,176.440002,172.369995,175.770004,991800,175.770004
"153",174.919998,174.919998,171.149994,171.229996,1084000,171.229996
"154",171.759995,175.160004,171.479996,173.559998,719200,173.559998
"155",173.910004,175.360001,173.679993,174.160004,610600,174.160004
"156",174.880005,178.580002,174.179993,177.970001,893500,177.970001
"157",178.889999,179.759995,176.809998,178.460007,628700,178.460007
"158",177.899994,177.899994,169.130005,169.360001,1957700,169.360001
"159",169.960007,172.179993,167.270004,168.610001,1393400,168.610001
"160",168.509995,169.639999,165.179993,167.979996,953400,167.979996
"161",167.970001,173,166.639999,172.550003,899800,172.550003
"162",172.330002,173.839996,170.789993,172.850006,869700,172.850006
"163",174,175.960007,173.350006,175.309998,926300,175.309998
"164",175.410004,176.199997,171.550003,172.550003,822600,172.550003
"165",173.020004,175.929993,173.020004,175.110001,598300,175.110001
"166",173.029999,174.610001,172.270004,173.990005,699000,173.990005
"167",173.550003,174.910004,172.910004,174.880005,589300,174.880005
