"","AMCR.Open","AMCR.High","AMCR.Low","AMCR.Close","AMCR.Volume","AMCR.Adjusted"
"1",10.63,10.63,10.63,10.63,0,8.641808
"2",10.63,10.63,10.63,10.63,0,8.641808
"3",10.63,10.63,10.63,10.63,0,8.641808
"4",10.63,10.63,10.63,10.63,0,8.641808
"5",10.63,10.63,10.63,10.63,0,8.641808
"6",10.63,10.63,10.63,10.63,0,8.641808
"7",10.63,10.63,10.63,10.63,0,8.641808
"8",10.63,10.63,10.63,10.63,0,8.641808
"9",10.63,10.63,10.63,10.63,0,8.641808
"10",10.63,10.63,10.63,10.63,0,8.641808
"11",10.63,10.63,10.63,10.63,0,8.641808
"12",10.63,10.63,10.63,10.63,0,8.641808
"13",10.63,10.63,10.63,10.63,0,8.641808
"14",10.63,10.63,10.63,10.63,0,8.641808
"15",10.63,10.63,10.63,10.63,0,8.641808
"16",10.63,10.63,10.63,10.63,0,8.641808
"17",10.63,10.63,10.63,10.63,0,8.641808
"18",10.63,10.63,10.63,10.63,0,8.641808
"19",10.63,10.63,10.63,10.63,0,8.641808
"20",10.63,10.63,10.63,10.63,0,8.641808
"21",10.63,10.63,10.63,10.63,0,8.641808
"22",10.63,10.63,10.63,10.63,0,8.641808
"23",10.63,10.63,10.63,10.63,0,8.641808
"24",10.63,10.63,10.63,10.63,0,8.641808
"25",10.63,10.63,10.63,10.63,0,8.641808
"26",10.63,10.63,10.63,10.63,0,8.641808
"27",10.63,10.63,10.63,10.63,0,8.641808
"28",10.63,10.63,10.63,10.63,0,8.641808
"29",10.63,10.63,10.63,10.63,0,8.641808
"30",10.63,10.63,10.63,10.63,0,8.641808
"31",10.63,10.63,10.63,10.63,0,8.641808
"32",10.63,10.63,10.63,10.63,0,8.641808
"33",10.63,10.63,10.63,10.63,0,8.641808
"34",10.63,10.63,10.63,10.63,0,8.641808
"35",10.63,10.63,10.63,10.63,0,8.641808
"36",10.63,10.63,10.63,10.63,0,8.641808
"37",10.63,10.63,10.63,10.63,0,8.80583
"38",10.63,10.63,10.63,10.63,0,8.80583
"39",10.63,10.63,10.63,10.63,0,8.80583
"40",10.63,10.63,10.63,10.63,0,8.80583
"41",10.63,10.63,10.63,10.63,0,8.80583
"42",10.63,10.63,10.63,10.63,0,8.80583
"43",10.63,10.63,10.63,10.63,0,8.80583
"44",10.73,10.73,10.73,10.73,100,8.888669
"45",10.73,10.73,10.73,10.73,0,8.888669
