"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"1",147.860001,151,147.119995,150.729996,3640900,130.481033
"2",152.089996,153.720001,151.770004,152.869995,3945900,132.333542
"3",152.720001,153.399994,151.509995,152.979996,3441700,132.428741
"4",159.880005,161,156.669998,156.779999,9899300,135.718323
"5",157.009995,158.949997,156.630005,158.839996,4247700,137.501541
"6",158.490005,159.130005,157.240005,158.759995,3324400,137.432251
"7",159.160004,159.160004,154.5,156.619995,4821300,135.579773
"8",155.440002,156.149994,154.559998,155.360001,3234800,134.489014
"9",155.279999,157.210007,154.889999,156.119995,2637500,135.146927
"10",155.139999,156.119995,153.529999,154.800003,3404900,134.004242
"11",155.690002,155.940002,154.509995,155.770004,2432600,134.843933
"12",155.130005,155.690002,153.25,153.800003,2571900,133.138596
"13",154.710007,155.350006,153.820007,154.669998,3067400,133.891739
"14",154.210007,154.550003,152.399994,152.720001,2458200,132.20369
"15",152.820007,153,150.380005,151.850006,3027700,131.450562
"16",152.529999,154.820007,151.770004,154.100006,3479500,133.398315
"17",155,155.800003,152.899994,152.979996,3366900,132.428741
"18",153.229996,157.5,152.759995,157.160004,4885200,136.047195
"19",157.100006,157.179993,153.770004,154.429993,3758400,133.683929
"20",153.699997,156.960007,153.149994,156.679993,3351300,135.631683
"21",158.589996,159.75,157.050003,159.669998,3924800,138.220001
"22",159.729996,159.940002,156.910004,159.580002,4445400,138.142136
"23",166.100006,167.850006,164.860001,167.529999,7366600,145.024109
"24",166.179993,166.889999,165.130005,166.580002,4389200,144.201706
"25",167,167.720001,165.600006,166.820007,3584300,144.409515
"26",166.5,168.350006,166.320007,168.119995,3493400,145.534836
"27",165.75,167.789993,165.5,167.470001,4281400,144.972198
"28",167.800003,168.309998,167.029999,167.889999,2931200,145.33577
"29",167.720001,168.259995,166.679993,167.660004,3602800,146.13765
"30",167.070007,168.070007,165.570007,168.050003,3116700,146.477615
"31",167.320007,172,167,171.789993,4058800,149.737457
"32",171.559998,172.169998,170.300003,172.110001,2660600,150.016434
"33",171.350006,173.360001,168.889999,173.289993,4154900,151.044922
"34",172.850006,173.5,171.860001,173.139999,3941200,150.914169
"35",172.330002,174.699997,171.889999,172.610001,2579800,150.452209
