"","AOS.Open","AOS.High","AOS.Low","AOS.Close","AOS.Volume","AOS.Adjusted"
"1",47.700001,48.110001,47.189999,47.5,887100,43.835979
"2",47.700001,48.52,47.68,47.919998,1041600,44.223579
"3",47.810001,48.23,47.5,47.700001,1447700,44.02055
"4",47.700001,48.150002,47.490002,47.720001,978800,44.039013
"5",47.5,47.66,46.900002,47.400002,767100,43.743698
"6",47.439999,48.119999,47.349998,47.759998,902000,44.075924
"7",47.860001,48.34,47.689999,48.310001,539300,44.583504
"8",48.27,48.27,47.27,47.830002,660900,44.140526
"9",47.849998,48.880001,47.849998,48.459999,795900,44.721928
"10",48.27,48.27,47.689999,47.869999,731400,44.177437
"11",47.91,48.169998,47.689999,47.900002,989000,44.205128
"12",47.830002,48.25,47.330002,47.450001,1187200,43.789848
"13",47.439999,47.889999,47.27,47.889999,1325500,44.195904
"14",47.759998,48.310001,47.540001,47.970001,890500,44.269722
"15",48.07,49.200001,48.07,48.98,903000,45.201817
"16",49.32,49.849998,49.310001,49.41,704000,45.598648
"17",49.439999,49.650002,48.48,48.810001,896900,45.044933
"18",48.700001,48.75,48.25,48.580002,672500,44.961628
"19",48.209999,48.459999,47.389999,48.450001,986500,44.841312
"20",48.099998,48.970001,47.610001,48.75,2236700,45.118965
"21",48.669998,49.220001,48.049999,48.450001,2014000,44.841312
"22",46.939999,48.259998,46.439999,47.189999,2708100,43.675167
"23",47.57,49.82,47.57,49.360001,2300100,45.683544
"24",49.310001,49.759998,49.139999,49.57,1169000,45.877895
"25",49.540001,49.639999,49.060001,49.360001,1054000,45.683544
"26",49.360001,49.5,49.080002,49.360001,571900,45.683544
"27",49.360001,49.990002,49,49.889999,705900,46.174057
"28",49.950001,50.119999,49.599998,49.830002,861300,46.118542
"29",50.150002,50.400002,49.93,49.950001,535400,46.229595
"30",49.720001,49.84,49.049999,49.669998,628300,45.970444
"31",49.630001,49.66,48.93,49.34,828500,45.665028
"32",49.400002,49.779999,49.130001,49.68,581300,45.979702
"33",49.439999,49.669998,48.959999,49.59,754500,45.896404
"34",49.59,50.48,49.540001,50.290001,735900,46.54427
"35",50.299999,50.52,49.93,50.48,722500,46.720112
"36",50.639999,50.830002,49.959999,50.52,1044800,46.757133
"37",50.110001,50.57,49.889999,50.560001,684400,46.794159
"38",50.529999,51.259998,50.52,51.130001,1077800,47.321701
"39",51,51,50.310001,50.360001,1279800,46.609058
"40",50.959999,51.619999,50.959999,51.080002,1029400,47.275421
"41",50.84,50.900002,49.84,49.869999,894300,46.15554
"42",49.939999,50.34,49.860001,50.18,561600,46.442463
"43",49.880001,50.130001,49.610001,49.619999,653400,45.924171
