"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"1",143.559998,144.729996,142.839996,143.399994,1402100,128.13736
"2",144.039993,144.839996,143.690002,144.649994,2012200,129.254272
"3",144.380005,144.419998,142.839996,143.220001,1260300,127.976524
"4",143.240005,144.800003,142.949997,144.360001,1745900,128.995163
"5",144.300003,147.589996,144.289993,146.309998,2370400,130.73761
"6",146.490005,146.889999,145.210007,145.259995,1038800,129.799393
"7",144.789993,146.100006,144.789993,146.009995,1000800,130.469528
"8",145.960007,145.960007,144.199997,145.839996,654000,130.317642
"9",145.699997,146.080002,145.050003,145.350006,996500,129.879807
"10",145.070007,145.839996,144.669998,145.339996,1268700,129.87088
"11",145.559998,146.350006,144.559998,146.330002,1147600,130.755493
"12",146.360001,146.639999,145.169998,145.470001,1239400,129.987045
"13",145.699997,146.779999,145.589996,146.619995,1150000,131.014587
"14",146.389999,146.880005,144.770004,146.070007,1268400,130.523209
"15",146.550003,147.410004,146.259995,147.130005,2016400,131.470352
"16",147.5,148.729996,147.149994,148.529999,1597800,132.721344
"17",148.240005,149.460007,147.679993,148.809998,1856100,132.971527
"18",140,142.470001,137.050003,142.009995,5469500,126.895287
"19",140.100006,141.830002,139.910004,140.990005,2724900,125.983887
"20",140.990005,141.220001,139.139999,139.759995,2483800,124.884773
"21",139.320007,140.240005,138,138.679993,1652300,123.919731
"22",138.679993,139.850006,137.460007,139.279999,1438500,124.455872
"23",139.770004,140.289993,139.149994,140.160004,1300200,125.242195
"24",140,140.270004,138.639999,139.050003,808600,124.250343
"25",139.089996,139.490005,137.880005,138.800003,1466900,124.026955
"26",138.179993,138.809998,137.720001,138.589996,1649000,123.839294
"27",138.589996,139.460007,138.220001,138.539993,1298000,123.79464
"28",138.899994,140.440002,138.539993,140.130005,2272600,125.215408
"29",140.75,141.25,139.850006,140.5,1670500,125.546028
"30",140.399994,142.259995,139.75,142.130005,2001500,127.00251
"31",141.669998,142.990005,141.190002,142.380005,1429000,127.225929
"32",142.570007,143.119995,141.059998,141.869995,860900,126.77018
"33",141.970001,142.139999,141.100006,141.5,717400,126.439583
"34",140.979996,141.800003,140.830002,141.470001,1148200,126.412766
"35",140.770004,141.369995,140.279999,140.339996,992600,125.403061
"36",140.970001,141.210007,139.320007,140.360001,1434200,125.420868
"37",140.070007,141.009995,139.610001,140.860001,890300,125.867706
"38",140.929993,141.229996,139.119995,139.380005,1079200,124.545189
"39",138.929993,140.699997,138.800003,140.470001,1677800,125.519218
"40",142.130005,144.059998,141.979996,143.690002,1707000,128.396469
"41",143.410004,143.410004,140.410004,140.570007,1267500,125.608559
"42",140.339996,140.869995,139.130005,139.520004,923200,124.670296
"43",139.020004,140.110001,138.660004,139.309998,973500,124.482651
"44",139.220001,139.839996,138.850006,139.639999,870700,124.777519
"45",139.729996,140.419998,139.149994,139.559998,1183400,124.706047
"46",139.600006,140.509995,138.029999,138.580002,1570800,123.830368
