"","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted"
"1",22.6,22.68,22.200001,22.530001,99298100,20.444729
"2",22.719999,22.959999,22.6,22.950001,76875100,20.825857
"3",22.82,22.93,22.35,22.68,86826400,20.580845
"4",22.780001,22.85,22.559999,22.68,66281500,20.580845
"5",22.51,22.709999,22.4,22.549999,75901500,20.462875
"6",22.59,23.139999,22.540001,22.940001,100977700,20.81678
"7",22.940001,23.07,22.719999,23.07,92385600,20.93475
"8",23.01,23.120001,22.610001,22.92,120474200,20.798634
"9",23.209999,23.41,22.799999,23.01,161930900,20.880302
"10",22.68,22.790001,22.01,22.049999,152495900,20.009157
"11",22.299999,22.65,22.1,22.629999,124366000,20.535473
"12",22.73,22.809999,22.41,22.530001,75990800,20.444729
"13",22.66,22.93,22.52,22.639999,102564900,20.544548
"14",22.620001,22.76,22.42,22.559999,61385600,20.471954
"15",22.610001,23.1,22.48,22.950001,98508700,20.825857
"16",23.32,23.42,23.1,23.370001,99753300,21.206985
"17",23.41,23.549999,23.280001,23.440001,84146400,21.2705
"18",23.43,23.450001,23.280001,23.360001,54590200,21.197906
"19",23.200001,23.200001,22.709999,22.950001,91561200,20.825857
"20",22.77,23.030001,22.5,22.639999,91044300,20.544548
"21",22.969999,23.219999,22.82,22.889999,103630900,20.77141
"22",22.74,22.790001,22.51,22.719999,88679100,20.617146
"23",23.15,23.35,22.950001,23.290001,116035100,21.13439
"24",23.15,23.379999,23.07,23.120001,92228400,20.980122
"25",23.280001,23.290001,22.860001,22.9,87982900,20.780479
"26",22.73,22.73,22.450001,22.67,102264500,20.571774
"27",22.76,23.15,22.639999,23.120001,102634200,20.980122
"28",23.190001,23.24,22.959999,23.08,90548300,20.943823
"29",23.17,23.540001,23.17,23.4,105342500,21.234201
"30",23.4,24.17,23.33,24.059999,139711400,21.83312
"31",24.34,24.77,24.110001,24.58,151233300,22.304991
"32",24.540001,24.620001,24.299999,24.58,98144500,22.304991
"33",24.280001,24.58,24.200001,24.52,85789200,22.250546
"34",24.59,24.799999,24.58,24.780001,78571500,22.486473
"35",24.610001,24.950001,24.540001,24.790001,81531900,22.495552
"36",24.790001,24.889999,24.51,24.58,85846000,22.304991
"37",24.120001,24.35,24.02,24.23,97074400,21.987383
"38",24.200001,24.66,24.190001,24.57,69129100,22.295918
"39",24.48,24.700001,24.42,24.68,90242000,22.395737
"40",25.370001,25.610001,25.219999,25.5,143947500,23.210373
"41",25.68,25.799999,25.200001,25.23,99824600,22.964615
"42",25.299999,25.65,25.299999,25.440001,92456100,23.155758
"43",25.33,25.35,25.08,25.25,75660400,22.982819
"44",25.219999,25.360001,25.1,25.209999,64053700,22.946411
"45",25.6,25.77,25.219999,25.26,105314600,22.991924
"46",25.35,25.530001,25.23,25.35,78984600,23.073841
"47",25.620001,25.620001,25.09,25.309999,86998800,23.03743
"48",25.299999,25.41,25.129999,25.299999,56886200,23.028328
"49",25.190001,25.34,25.049999,25.32,63182700,23.04653
"50",25.389999,25.549999,24.959999,25.18,114662700,22.919106
"51",25.24,25.49,25.190001,25.219999,70306200,22.955509
"52",25.219999,25.27,24.83,24.860001,105222400,22.627834
"53",24.58,24.76,24.42,24.440001,87287500,22.245548
"54",24.5,24.559999,22.950001,23.02,259545800,20.953051
"55",22.65,23.18,22.450001,22.940001,167984400,20.880234
"56",23.040001,23.49,22.91,23.07,111666800,20.99856
"57",23.200001,23.35,22.76,23.120001,113499100,21.044071
"58",22.280001,23.049999,22.16,23.030001,119513500,20.962154
"59",23.01,23.67,23,23.48,95761700,21.371746
"60",23.51,23.65,23.309999,23.35,67204500,21.25342
"61",23.379999,23.98,23.33,23.870001,79189200,21.72673
"62",23.83,23.969999,23.59,23.59,77158300,21.471874
"63",23.65,23.75,23.08,23.59,88076600,21.471874
"64",23.200001,23.51,23.200001,23.440001,75244400,21.335335
"65",23.77,23.879999,23.15,23.17,97453300,21.089586
"66",23.17,23.459999,22.959999,23.26,82975200,21.171499
"67",23.030001,23.34,22.93,23.16,79519400,21.080484
"68",23.129999,23.280001,22.91,23.02,63254700,20.953051
"69",22.83,22.950001,22.58,22.92,94206700,20.86203
"70",22.879999,22.940001,22.610001,22.65,76556300,20.61627
"71",22.559999,22.959999,22.34,22.34,88061800,20.334105
"72",22.360001,22.83,22.26,22.809999,85053200,20.761909
"73",23.110001,23.15,22.379999,22.709999,146488400,20.670887
"74",22.92,23.15,22.68,22.74,101771800,20.698191
"75",22.959999,23.17,22.82,23.07,103802600,20.99856
"76",23.030001,23.08,22.59,22.709999,127235400,20.670887
"77",23.24,23.85,23.24,23.629999,138638900,21.50828
"78",23.99,24.35,23.91,23.98,131531100,21.826855
"79",24,24.190001,23.860001,23.889999,95172200,21.74493
"80",23.9,23.93,23.459999,23.65,80024200,21.526482
"81",23.57,23.719999,23.32,23.34,69384900,21.244318
