"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"1",43.049999,43.16,42.23,42.759998,5362700,37.78072
"2",43.34,44.18,43.310001,43.77,4745100,38.673096
"3",42.75,42.810001,41.790001,42.639999,5829100,37.674694
"4",42.869999,43.040001,42.400002,42.77,3926500,37.789555
"5",42.91,43.810001,42.799999,43.34,5400000,38.293182
"6",43.52,44.290001,43.189999,43.860001,4718400,38.752621
"7",44.040001,44.169998,43.009998,43.419998,2899100,38.363865
"8",43.779999,44.240002,43.5,44.23,4094500,39.079544
"9",44.130001,44.369999,43.759998,43.830002,3700300,38.72612
"10",44.02,45.830002,44.02,44.880001,5182300,39.653851
"11",44.220001,44.779999,43.700001,44.77,3905400,39.556656
"12",44.75,44.82,43.400002,43.630001,4767800,38.549416
"13",43.52,43.580002,42.5,43.360001,6142200,38.310844
"14",43.240002,43.720001,42.830002,43.540001,2517700,38.469898
"15",43.48,44.310001,43.48,44.169998,2333400,39.026524
"16",44.490002,44.950001,44.450001,44.669998,3126100,39.4683
"17",44.75,45.380001,44.709999,45.23,3611700,39.963097
"18",45.290001,45.360001,42.990002,43.470001,6706400,38.408043
"19",43.419998,44.299999,43.290001,44.220001,3420600,39.070705
"20",43.779999,44.650002,43.360001,44.52,4565100,39.335766
"21",44.580002,44.73,44.049999,44.5,3059300,39.318104
"22",44.41,44.98,44.23,44.310001,3872400,39.150227
"23",44.48,45.259998,44.259998,44.73,4530800,39.521317
"24",44.73,45.169998,43.860001,43.959999,4151300,38.840969
"25",44.130001,44.299999,43.450001,43.529999,3830200,38.46106
"26",43.689999,43.880001,43.27,43.869999,3888600,38.761459
"27",44.049999,45.119999,43.830002,44.73,3703800,39.521317
"28",44.959999,45,44.310001,44.68,2433000,39.477139
"29",44.919998,45.09,43.959999,43.970001,3790700,38.849815
"30",44.099998,45.450001,44.09,45.290001,5090200,40.016109
"31",45.43,46.099998,45.259998,45.919998,4132000,40.572735
"32",45.869999,46.23,45.139999,45.369999,3203200,40.086792
"33",45.220001,45.529999,44.73,45.240002,3017400,39.971931
"34",45.66,46.080002,45.389999,45.98,3627500,40.625759
"35",46.080002,46.200001,45.549999,45.720001,2300700,40.396038
"36",45.82,45.939999,44.060001,44.310001,4135300,39.150227
"37",44.34,45.790001,44.16,45.560001,6789000,40.254669
"38",45.66,46.450001,45.529999,46.150002,6698500,40.775967
"39",45.619999,45.619999,43.75,44.130001,8709400,38.991192
"40",42.549999,42.799999,41.669998,42.139999,16415100,37.232922
