"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"1",161.949997,165.289993,161.5,165.149994,1696700,154.987061
"2",165.460007,165.899994,164.429993,164.940002,1182800,154.789948
"3",163.809998,165.320007,163.360001,164.800003,1128700,154.658554
"4",165.289993,168.580002,164.940002,167.889999,1051500,157.558426
"5",168.229996,169.669998,168.029999,168.869995,1165400,158.478088
"6",168.559998,172.899994,168.369995,170.940002,1271700,160.420731
"7",170.509995,173.740005,168.860001,173.710007,1640500,163.020279
"8",172.869995,173.690002,170.570007,173.490005,1040500,162.813782
"9",173.399994,174.160004,172.259995,173.350006,646600,162.682404
"10",172.529999,173.869995,171.309998,173.419998,609500,162.748138
"11",173.919998,174.089996,172.690002,173.979996,909800,163.273666
"12",173.300003,174.210007,172.679993,173.520004,1797000,162.841949
"13",173.779999,174.339996,172.029999,172.289993,1466600,161.687668
"14",172.410004,173.679993,170.800003,170.880005,801600,160.36441
"15",171.380005,171.789993,169.190002,170.360001,784100,159.876419
"16",170.889999,172.110001,170.449997,171.570007,949800,161.011963
"17",171.600006,172.440002,170.529999,171.089996,751200,160.561462
"18",172.309998,175.899994,171.860001,175.279999,898100,164.493637
"19",175.399994,175.399994,173.529999,174.820007,984300,164.061951
"20",174.410004,177.539993,174.130005,177.289993,1545700,166.379974
"21",175.880005,179.139999,174.350006,178.970001,1715900,167.956573
"22",181,181.440002,176.740005,177.970001,1285200,167.018097
"23",178.75,179.449997,177.580002,179.369995,1170300,168.33194
"24",178.630005,178.940002,177.649994,178.360001,724000,167.384079
"25",179,180,178.479996,178.809998,857200,167.806381
"26",178.039993,179.020004,177.440002,178.059998,536000,167.102524
"27",178.059998,179.039993,176.649994,177.809998,1439300,166.86795
"28",177.809998,178.679993,177.539993,178.029999,597700,167.074448
"29",178.520004,178.910004,177.720001,178.550003,441800,167.562424
"30",178.440002,179,177.720001,178.770004,655800,167.768906
"31",177.919998,180.490005,177.919998,180.089996,855000,169.007629
"32",180.240005,180.899994,178.919998,180.619995,921000,169.505051
"33",180.199997,180.899994,179.320007,180.899994,810300,169.767822
"34",180.770004,182.649994,179.910004,182.020004,943700,170.818848
"35",181.330002,182.580002,181.130005,181.949997,649600,170.753189
"36",182.229996,182.850006,181.550003,182.300003,612600,171.08165
"37",181.979996,183.419998,181.139999,183.419998,657600,172.132736
"38",183.160004,183.880005,182.330002,182.820007,698400,171.569641
"39",182.949997,183.880005,182.449997,183.050003,642400,171.785477
"40",183.660004,186.110001,182.789993,185.339996,758500,173.934586
"41",185,185.320007,183.850006,184.729996,507400,173.362106
"42",184.179993,184.940002,183.820007,184.690002,606600,173.3246
"43",183.720001,184.919998,183.220001,184.490005,812100,173.136902
"44",183.759995,184.520004,182.800003,183.940002,622200,172.620697
"45",182.289993,184.619995,182.270004,184.059998,822400,173.421616
"46",183.889999,185.539993,183.440002,185.070007,870500,174.373215
"47",185.220001,185.699997,184.320007,185.309998,737900,174.599319
"48",185.089996,185.440002,183.919998,184.899994,831600,174.213028
"49",184.360001,184.649994,182.070007,182.979996,1035300,172.404022
"50",183.600006,184.759995,182.860001,184.539993,1227800,173.87384
"51",183.449997,183.949997,180.100006,181.369995,1609800,170.887085
"52",181.690002,184.220001,181.229996,183.789993,1842500,173.167191
"53",184.119995,184.199997,182.089996,182.630005,788800,172.074249
"54",183.279999,183.990005,180.399994,181.320007,1180900,170.839966
"55",181.899994,183.880005,180.509995,182.639999,1331000,172.083679
"56",182.149994,185,181.759995,183.710007,1088900,173.091827
"57",183.669998,185.089996,183.419998,183.869995,658100,173.242599
"58",183.100006,184.399994,182.089996,183.759995,818500,173.138916
"59",183.470001,184.320007,182.309998,183.919998,660800,173.289673
"60",183.210007,184.470001,182.580002,183.869995,454000,173.242599
"61",183.589996,184.389999,182.669998,183.710007,548300,173.091827
"62",183.169998,183.889999,182.600006,183.440002,716400,172.837448
"63",184,185.210007,182.630005,184.279999,617100,173.628891
"64",184.399994,184.399994,182.309998,183.070007,754700,172.488831
"65",183.770004,184.929993,182.949997,183.309998,703300,172.714935
"66",183.080002,183.800003,182.339996,183.399994,713500,172.799713
"67",183.5,184.600006,183.429993,184.110001,635700,173.468658
"68",185.070007,185.070007,183.350006,184.039993,1041700,173.402756
"69",183.429993,184.429993,182.710007,183.779999,514800,173.157806
"70",182.910004,183.940002,182.460007,183.220001,715900,172.630142
"71",182.800003,183.770004,182.589996,182.589996,582800,172.036545
"72",183.229996,184.100006,182.770004,183.960007,423900,173.327393
"73",183.309998,183.880005,182.190002,183.380005,544000,172.78093
"74",184.270004,184.889999,183.800003,184.160004,545000,173.515808
"75",184.139999,186.399994,183.330002,186.050003,627200,175.296616
"76",185.990005,186.139999,184.25,185.289993,577700,174.580475
"77",185.289993,185.289993,175.660004,177.070007,9752100,166.835632
"78",178.520004,180.789993,177.300003,179.070007,4023500,168.720016
"79",179.699997,180.130005,178.279999,179.809998,2552600,169.417206
"80",179.970001,182.850006,179.429993,182.550003,2207000,171.998856
"81",182.089996,187.199997,181.669998,186.970001,3770900,176.163422
"82",186.380005,187.630005,184.839996,186.380005,2404200,175.607529
"83",185.520004,186.380005,183.009995,185.279999,3292000,174.571091
"84",184.839996,185.330002,182.5,183.759995,2571900,173.138916
"85",183.649994,184.860001,182.779999,184.860001,1969500,174.175354
"86",184.779999,186.089996,184.110001,185.399994,1426000,174.684128
"87",184.289993,184.800003,182.350006,182.619995,2460000,172.064819
"88",182.070007,182.440002,179.509995,180.660004,3214500,170.218079
"89",181.149994,181.550003,177.639999,179.759995,5007600,169.370102
"90",181.699997,184.949997,181.559998,184.860001,11111600,174.175354
"91",184.860001,187.690002,184.119995,184.619995,3134700,173.949203
"92",184.119995,185.220001,183.539993,185.130005,2852200,174.429779
"93",185.619995,185.809998,182.639999,182.75,1866400,172.187302
"94",182.75,182.75,180.440002,181.479996,2269100,170.990723
"95",181.479996,183.449997,180.899994,182.610001,1575900,172.05542
"96",183,185.100006,182.960007,184.130005,2427300,173.487549
"97",184.080002,185.779999,183.169998,184.770004,1819700,174.090561
"98",185.130005,187.190002,185.029999,186.619995,1788700,175.833588
"99",186.559998,187.25,185.710007,187,1465300,176.191696
"100",187.139999,187.419998,185.330002,186.770004,1205900,175.974945
"101",187.029999,187.410004,185.649994,186.479996,1248800,175.701706
"102",185.759995,188.479996,185.330002,188.070007,1581400,177.199829
"103",189.289993,190.710007,188.100006,189.229996,2351700,178.292755
"104",188.369995,193.350006,188.300003,192.830002,2024200,181.684692
"105",192.960007,194.110001,192.360001,193.059998,1397300,181.901443
"106",193.199997,193.949997,192.419998,193.070007,1312500,181.910828
"107",193.380005,193.889999,191.330002,191.899994,1375700,180.808426
"108",191.559998,193.149994,191.309998,192.589996,1214000,182.151489
"109",192.589996,193.699997,190.740005,191.830002,1569700,181.432678
"110",192,192.949997,190.979996,192,1677100,181.593445
"111",192.199997,192.580002,189.470001,191,1807000,180.647659
"112",191.029999,192.889999,190.059998,192.360001,1162100,181.93396
"113",193,193.710007,191.770004,192.520004,907600,182.085312
"114",191.770004,192.919998,190.940002,191.850006,1159000,181.451614
"115",191.949997,192.389999,190.600006,191.289993,1538300,180.921967
"116",191.869995,194.039993,191.600006,193.479996,1188100,182.99324
"117",193.210007,195.880005,193.009995,194.460007,1793300,183.920151
"118",194.759995,195.520004,193.100006,193.490005,1581200,183.002716
"119",193.320007,195.389999,192.940002,195.059998,1285900,184.487625
"120",195.080002,195.449997,193.839996,195.149994,1694000,184.572723
"121",194.949997,195.279999,194.149994,194.720001,1255800,184.166061
"122",194.5,196.009995,193.919998,194.990005,1941100,184.421402
"123",195.889999,195.979996,194.630005,194.910004,1192100,184.345734
"124",194.5,195.559998,192.020004,193.229996,937200,182.756805
"125",195.070007,196.589996,195.009995,195.110001,1259300,184.534912
"126",195.789993,196.220001,194.630005,194.630005,681600,184.080963
"127",194.529999,197.270004,194.220001,196.979996,1063700,186.303528
"128",196.380005,196.660004,194.880005,195.339996,1314200,184.752441
"129",196,197.850006,195.389999,197.789993,1052100,187.069656
"130",197.839996,198.149994,196.669998,197.5,1317900,186.795364
"131",197.449997,198.149994,196.199997,196.380005,1184800,185.736115
"132",197.479996,199.240005,196.789993,198.149994,1075700,187.410126
