"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"1",58.779999,59.68,58.580002,59.450001,10061700,51.234417
"2",59.459999,59.75,59.029999,59.139999,6703400,51.303822
"3",59.389999,60.419998,59.310001,60.130001,8422300,52.16264
"4",60.040001,60.330002,58.849998,59.950001,10104600,52.006496
"5",59.75,59.919998,59.650002,59.73,5263000,51.815643
"6",59.779999,60.450001,59.720001,59.98,6103700,52.032513
"7",58.119999,58.869999,56.529999,56.799999,20497900,49.273876
"8",56.5,56.779999,56.02,56.549999,9977900,49.057003
"9",56.560001,56.73,56.049999,56.220001,7660200,48.770737
"10",55.889999,56.580002,55.209999,56.279999,10416300,48.822765
"11",56.509998,56.549999,55.889999,56.07,6639200,48.640598
"12",56.099998,56.310001,55.34,55.490002,7122300,48.137451
"13",55.490002,55.490002,48.919998,49.23,77021200,42.706924
"14",49.529999,50.310001,49.150002,50,23886100,43.374893
"15",50.049999,50.139999,48.93,48.959999,17172800,42.472698
"16",49.34,49.57,48.799999,49.549999,15978500,42.984516
"17",48.59,49.509998,46.009998,46.82,44800800,40.616245
"18",47.259998,48.619999,47.119999,47.740002,22918700,41.414345
"19",48.220001,49.099998,47.959999,48.689999,15738200,42.238464
"20",48.400002,49.419998,48.209999,49.16,15094000,42.646183
"21",49.130001,49.32,48.32,49.290001,16021900,42.758968
"22",49.349998,50.889999,49.27,50.5,18610200,43.808636
"23",50.599998,50.91,50.360001,50.779999,10934000,44.051533
"24",50.650002,51.09,50.560001,51.040001,8263400,44.277088
"25",51.490002,52.32,51.259998,51.66,15747800,44.814934
"26",51.290001,52.119999,51.119999,52,12236500,45.109882
"27",52,52.25,51.459999,51.509998,5813100,44.684807
"28",51.610001,51.970001,51.52,51.650002,5845600,44.806255
"29",51.830002,52.09,51.619999,52.029999,6769700,45.135902
"30",52.310001,54.27,52.09,53.709999,19785200,46.593307
"31",53.700001,55.34,53.599998,55.029999,11860800,47.738403
"32",55.080002,55.16,53.919998,54.279999,9917100,47.08778
"33",54.299999,54.720001,54.080002,54.59,9706100,47.356709
"34",54.41,57.209999,53.41,54.779999,26919300,47.521523
"35",55.490002,56.450001,55.290001,55.349998,21293700,48.016006
"36",55.630001,56.09,55.02,55.77,14410400,48.380356
"37",55.919998,56.470001,55.880001,56.439999,11382500,48.961571
"38",56.5,57,56.240002,56.560001,11285300,49.065678
"39",56.540001,56.93,56.209999,56.709999,9046000,49.195797
