"","BRO.Open","BRO.High","BRO.Low","BRO.Close","BRO.Volume","BRO.Adjusted"
"1",22.52,22.655001,22.254999,22.41,1223600,21.343771
"2",22.5,22.885,22.5,22.780001,1936200,21.696173
"3",22.715,22.795,22.530001,22.530001,1358600,21.458063
"4",22.514999,22.610001,22.434999,22.455,1606400,21.386637
"5",22.455,22.5,22.290001,22.33,1191200,21.267582
"6",22.33,22.49,22.215,22.305,1110200,21.243773
"7",22.334999,22.355,22.059999,22.139999,1800000,21.086622
"8",22.030001,22.17,21.805,21.975,1519400,20.929472
"9",22.049999,22.264999,22.049999,22.129999,1139000,21.077097
"10",22.07,22.190001,21.865,21.99,1178000,20.943756
"11",22.065001,22.07,21.84,22.02,1436200,20.972332
"12",22.075001,22.24,21.82,21.940001,1022000,20.896135
"13",22.004999,22.09,21.885,21.915001,1337000,20.872328
"14",21.9,21.995001,21.67,21.715,2020800,20.681841
"15",21.625,21.855,21.08,21.629999,2966000,20.600885
"16",21.695,21.825001,21.485001,21.6,1831400,20.572321
"17",21.594999,21.799999,21.58,21.74,1033200,20.705658
"18",21.780001,21.82,21.575001,21.629999,1827400,20.600885
"19",21.57,21.58,21.094999,21.195,2592200,20.186584
"20",21.200001,21.33,21,21.065001,3461800,20.062769
"21",21.049999,21.17,20.870001,20.975,1565800,20.041271
"22",20.950001,21.17,20.91,21.129999,1884800,20.189369
"23",21.280001,21.280001,21.120001,21.264999,1000400,20.318361
"24",21.18,21.25,21.040001,21.105,1043800,20.165482
"25",21.129999,21.219999,21,21.004999,1237200,20.069933
"26",20.985001,20.995001,20.84,20.945,1183200,20.012609
"27",20.945,21.190001,20.879999,21.07,1846000,20.13204
"28",21.155001,21.525,21.08,21.49,1769000,20.533342
"29",21.504999,21.59,21.365,21.57,1292000,20.609783
"30",21.475,21.639999,21.365,21.549999,1237400,20.59067
"31",21.51,21.74,21.5,21.74,1364400,20.772217
"32",21.735001,21.889999,21.684999,21.879999,787200,20.905975
"33",21.705,21.940001,21.615,21.934999,1015800,20.958532
"34",21.889999,21.92,21.645,21.665001,911400,20.70055
"35",21.58,21.73,21.49,21.58,1180800,20.619339
"36",21.555,21.655001,21.485001,21.575001,1003200,20.614561
"37",21.475,21.715,21.424999,21.709999,1116400,20.743549
"38",21.674999,21.805,21.65,21.76,1036400,20.791327
"39",21.594999,21.780001,21.545,21.549999,1483600,20.59067
"40",21.764999,21.98,21.665001,21.934999,1969000,20.958532
"41",21.92,21.92,21.565001,21.575001,945400,20.614561
"42",21.540001,21.805,21.540001,21.799999,1134200,20.829542
"43",21.655001,21.74,21.58,21.620001,820400,20.657553
"44",21.610001,21.66,21.469999,21.57,1130400,20.609783
"45",21.635,21.695,21.434999,21.450001,890600,20.495127
"46",21.450001,21.540001,21.42,21.504999,868000,20.547672
"47",21.605,21.665001,21.495001,21.605,817000,20.643227
"48",21.555,21.700001,21.555,21.635,617400,20.67189
"49",21.559999,21.639999,21.540001,21.6,719000,20.638453
"50",21.610001,21.795,21.575001,21.76,1027800,20.791327
"51",21.780001,21.865,21.705,21.745001,411000,20.776995
"52",21.76,21.934999,21.625,21.879999,2169800,20.905975
"53",21.844999,21.875,21.620001,21.635,741200,20.67189
"54",21.725,21.725,21.254999,21.27,1105200,20.323137
"55",21.25,21.344999,21.08,21.275,1095400,20.327915
"56",21.26,21.434999,21.23,21.245001,729600,20.299248
"57",21.299999,21.375,21.18,21.305,705200,20.356581
"58",21.045,21.285,20.98,21.25,842800,20.304029
"59",21.190001,21.325001,21.129999,21.285,1157800,20.337471
