"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"1",94,95.190002,93.25,93.989998,5054900,82.524048
"2",94.459999,94.5,93.43,93.57,3772100,82.155289
"3",93.18,94.459999,92.419998,93,4698800,81.654823
"4",93.449997,93.599998,92.410004,93.040001,4023100,81.689957
"5",92.93,93.489998,92.199997,92.370003,3095000,81.101685
"6",92.980003,94.440002,92.769997,93.830002,3980200,82.383583
"7",94.470001,94.75,93.389999,94.650002,3720500,83.103554
"8",94.370003,94.370003,92.779999,93.989998,3102700,82.524048
"9",94.07,94.629997,93.68,94.480003,2609500,82.954308
"10",94.239998,94.290001,93.220001,93.57,5040300,82.155289
"11",92.790001,93.419998,92.529999,93.330002,3425700,82.624489
"12",93.580002,93.980003,92.959999,93.379997,3540100,82.668755
"13",94.010002,95,93.620003,94.580002,5045200,83.731117
"14",94.599998,94.739998,93.559998,94.459999,3254900,83.624893
"15",95.019997,96.730003,94.800003,96.239998,5768200,85.200714
"16",97.82,98.589996,97.32,98.150002,7557900,86.891609
"17",98.449997,98.980003,96.019997,97.220001,9097300,86.068306
"18",97.690002,99.459999,97.5,98.989998,6371400,87.635269
"19",98.400002,98.589996,96.57,96.790001,5221800,85.687622
"20",96.589996,96.629997,94.589996,95.660004,5724700,84.687241
"21",95.809998,96.519997,94.400002,95.110001,3582500,84.200317
"22",94.769997,95.129997,93.5,93.769997,3807500,83.014038
"23",94.32,94.449997,92.809998,93.279999,4677900,82.580246
"24",92.809998,93.120003,92.43,92.870003,4621300,82.217262
"25",94.32,94.919998,93.019997,93.309998,4995600,82.606804
"26",93,93,92.110001,92.910004,4083500,82.252693
"27",93.059998,94.18,92.690002,93.959999,3994300,83.182228
"28",94.870003,96.620003,94.5,96.309998,5600200,85.262695
"29",97.690002,99.050003,97.160004,98.5,6995100,87.201492
"30",98.290001,98.739998,97.260002,98.089996,4342600,86.838509
"31",98.110001,99.019997,98,99.019997,4326000,87.661812
"32",99.050003,99.07,97.800003,98.260002,3062400,86.988998
"33",98.07,98.949997,97.540001,98.849998,3631500,87.511322
"34",98.870003,99.199997,97.919998,98.099998,3916600,86.847359
"35",98.040001,98.730003,97.620003,98.199997,3031100,86.935883
"36",98.440002,98.5,95.120003,95.550003,6024800,84.589859
"37",94.860001,95.5,93.5,95.480003,5018200,84.527885
"38",95.480003,97.519997,95.120003,97.440002,5445000,86.263054
"39",97.239998,97.599998,96.440002,96.660004,3951700,85.572556
"40",98.199997,98.970001,97.43,98.580002,5564900,87.272293
"41",98.489998,98.730003,92.839996,94.360001,23059200,83.536362
"42",94.360001,95.900002,94.209999,95.120003,8163300,84.209175
"43",94.32,95.940002,94.099998,95.660004,4706100,84.687241
"44",95.650002,96.230003,94.760002,95.93,4683100,84.92627
"45",94.099998,95.480003,92.860001,93.230003,9370400,82.535988
"46",92.449997,93.220001,90.410004,91.389999,9260900,80.907036
"47",91.889999,93.099998,90.809998,92.309998,7169000,81.721497
"48",93.330002,93.529999,92.260002,92.639999,4376100,82.013672
"49",91.220001,92,90.620003,91.860001,5781100,81.32312
"50",92.370003,93.790001,92.059998,93.360001,6434600,82.65107
"51",93.970001,94.089996,92.639999,92.849998,3717900,82.199562
"52",92.989998,93.32,92.650002,92.910004,7141400,82.252693
"53",93.129997,95.480003,92.889999,95.400002,6516200,84.457062
"54",95.379997,95.389999,92.089996,92.43,7720200,81.827744
"55",92,93.129997,91.720001,92.43,5035600,81.827744
"56",92.449997,93,91.959999,92.230003,2585700,81.650688
"57",92.239998,93.239998,91.559998,92.150002,3634600,81.579849
"58",90.900002,91.970001,90.339996,91.510002,3425700,81.013283
"59",91.559998,93.160004,91.510002,92.949997,3866100,82.288086
"60",92.760002,93.25,92.400002,92.860001,2513700,82.208427
"61",92.980003,93.370003,92.400002,93.220001,3672600,82.527115
"62",92.629997,93.239998,92.019997,92.760002,4020600,82.119911
"63",92.43,92.839996,91,92.269997,3685800,81.686104
"64",93.889999,94.779999,93.059998,94.129997,5797500,83.332733
"65",94.919998,96.730003,93.959999,94.239998,6061300,83.430122
"66",94.419998,96.419998,94.260002,95.82,5421600,84.828888
"67",95.870003,96.620003,95.419998,95.519997,4463800,84.563293
"68",96.309998,97.889999,96.099998,97.139999,5168300,85.997482
"69",97.300003,97.309998,95.669998,97.099998,4250400,85.962059
"70",96.690002,96.769997,94.660004,94.860001,4773900,83.979004
"71",94.599998,94.860001,93.089996,93.099998,4706000,82.420883
"72",93.690002,94.349998,93.489998,94.139999,3719100,83.341591
"73",93.5,94.540001,93.120003,94.389999,3310400,83.56292
"74",94.860001,95.970001,93.290001,93.470001,5550400,82.748459
"75",93.279999,94.959999,92.980003,94.660004,4852500,84.498039
"76",95.190002,95.25,93.809998,94.32,4128700,84.194519
"77",95.839996,97.059998,95.800003,96.809998,6739400,86.417236
"78",102.879997,104.889999,102,104.419998,18383500,93.210289
"79",103.800003,105.980003,103.639999,104.660004,9856100,93.424515
"80",104.050003,104.239998,102.559998,102.68,6727400,91.657066
"81",102.830002,103.529999,102.230003,102.260002,4016000,91.28215
"82",102.650002,102.989998,101.410004,102,4512100,91.050072
"83",102.269997,102.709999,101.25,101.510002,4516400,90.612679
"84",101.040001,102.169998,100.779999,101.540001,4278400,90.63945
"85",101.440002,101.5,98.639999,99.389999,7271600,88.720261
"86",99.5,99.989998,99.019997,99.639999,4086800,88.943413
"87",99.480003,100.099998,98.940002,99.370003,5094600,88.702423
"88",99.720001,100.209999,99.25,99.290001,9742000,88.631004
"89",99.720001,100.709999,99.300003,100.360001,4696700,89.586128
"90",101.900002,101.919998,100.150002,100.989998,5220300,90.148491
"91",100.589996,100.949997,100.169998,100.709999,4112000,89.898567
"92",101.589996,102.559998,101.410004,102.419998,3756100,91.42498
"93",102.75,102.800003,101.269997,102.339996,3115900,91.353554
"94",102.339996,102.339996,99.889999,100.139999,4618500,89.389755
