"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"1",132.740005,132.740005,131.020004,131.710007,1401100,119.084259
"2",132.110001,132.330002,131.009995,131.520004,1324400,118.912498
"3",131.479996,131.889999,129.830002,130.630005,1731400,118.10778
"4",130.869995,131.979996,130.669998,131.330002,1595500,118.740685
"5",131.080002,131.539993,130.350006,130.509995,1536900,117.99929
"6",130.460007,131.270004,130.320007,130.460007,1134900,117.954094
"7",129.960007,130.440002,129.460007,130.360001,1545000,117.863663
"8",129.889999,130.210007,128.979996,129.789993,1225700,117.348297
"9",130.300003,130.75,129.970001,130.25,1059700,117.764229
"10",129.720001,131.449997,129.330002,130.990005,1999500,118.433281
"11",131.270004,132.059998,130.839996,131.970001,1868100,119.319328
"12",132.100006,132.399994,130.910004,131.270004,1626900,118.686455
"13",131.660004,132.479996,130.740005,131.410004,1801700,118.813019
"14",131.539993,131.639999,130.990005,131.429993,1010600,118.831085
"15",131.770004,132.820007,131.539993,131.970001,1359800,119.319328
"16",132.600006,133.339996,132.509995,133.070007,1294200,120.313881
"17",133,133.399994,132.369995,133.059998,1045800,120.304855
"18",133.190002,133.320007,132.339996,133.300003,1105600,120.521866
"19",133.259995,133.259995,131.199997,131.710007,1497300,119.084259
"20",131.149994,132,130.539993,131.490005,1521400,118.885345
"21",128.869995,129.690002,127.150002,128.479996,3620600,116.163879
"22",128.149994,130.970001,128,130.770004,2037900,118.234375
"23",132,132.259995,130.949997,131.279999,1486600,118.695473
"24",131.100006,132.25,130.919998,131.429993,1056400,118.831085
"25",131.990005,131.990005,130.360001,130.75,1526400,118.216293
"26",130.550003,131.190002,130.169998,130.830002,983400,118.28862
"27",130.830002,132.210007,130.679993,131.880005,919900,119.237953
"28",132.199997,133.210007,131.740005,132.759995,867400,120.0336
"29",132.949997,133.960007,132.25,133.809998,1007500,120.982956
"30",133.860001,134.160004,132.970001,133.990005,1006200,121.145699
"31",134.039993,134.550003,133.520004,134.460007,936800,121.570671
"32",134.300003,135.740005,134.100006,135.729996,1421100,122.718895
"33",135.350006,136.25,134.740005,136.190002,1431500,123.134804
"34",136.039993,136.869995,135.130005,136.729996,1318700,123.623009
"35",136,137.910004,135.490005,137.759995,1244000,124.554283
"36",138,139.300003,137.649994,139.009995,984900,125.684479
"37",138.479996,139.350006,137.740005,138.410004,978200,125.142006
"38",138.199997,138.649994,137.179993,137.610001,897800,124.418671
"39",136.869995,138.509995,136.690002,138.169998,1463200,124.925011
"40",139.110001,140.559998,138.050003,140.380005,1602500,126.923134
"41",139.669998,140.320007,138.389999,138.399994,1161800,125.13295
"42",138.350006,138.729996,137.639999,138.649994,1240900,125.358955
"43",137.919998,138.380005,137.559998,137.690002,1204600,124.49102
