"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume","CBOE.Adjusted"
"1",73.68,74.209999,72.540001,73.010002,652300,71.408867
"2",74.470001,75.910004,73.639999,75.879997,871300,74.215919
"3",75.650002,76.190002,74.849998,75.089996,591500,73.44326
"4",75.940002,76.089996,75.43,75.5,732400,73.844261
"5",75.25,75.360001,74.120003,74.529999,569600,72.895523
"6",74.610001,74.980003,73.660004,73.68,548300,72.064178
"7",73.690002,74.059998,73.120003,73.940002,578200,72.318474
"8",73.690002,73.839996,72.639999,73.830002,454000,72.210892
"9",74.519997,75.059998,73.559998,75.019997,513200,73.374779
"10",75.129997,75.580002,74.669998,74.760002,792700,73.120491
"11",75.07,75.32,74.389999,75.290001,507900,73.63887
"12",75.190002,75.790001,75.010002,75.75,624100,74.088768
"13",75.889999,76.650002,75.599998,76.639999,692900,74.959251
"14",76.639999,76.699997,75.610001,76.050003,646000,74.38221
"15",76.370003,77.269997,76.279999,76.790001,558500,75.105972
"16",77,78.110001,76.690002,77.949997,707400,76.24054
"17",77.989998,78.25,77.650002,77.970001,701900,76.260086
"18",78.07,78.379997,77.339996,77.830002,464600,76.123161
"19",77.459999,77.870003,76.800003,77.870003,615500,76.162292
"20",78.699997,79.760002,78.25,79.620003,1382800,77.873909
"21",79.760002,79.989998,78.389999,78.449997,622700,76.729568
"22",77.980003,78.900002,77.769997,77.940002,849700,76.230766
"23",78.559998,78.860001,77.730003,78.139999,1116300,76.426369
"24",78.050003,78.220001,77.449997,77.790001,962200,76.084038
"25",78.540001,80.099998,77.529999,79.190002,1572800,77.453346
"26",78.790001,79.220001,76.800003,76.970001,882100,75.282028
"27",77.059998,78.190002,76.75,78.129997,508000,76.416573
"28",78.370003,78.370003,77.529999,77.669998,434300,75.966675
"29",77.709999,79.239998,77.709999,79.099998,560800,77.365303
"30",79.139999,79.919998,78.889999,79.620003,692400,77.873909
"31",79.559998,80.220001,79.360001,80.160004,739500,78.402077
"32",80.099998,80.470001,79.620003,80.400002,679800,78.63681
"33",80.330002,81.32,79.949997,80.940002,1104400,79.164963
"34",81.18,81.360001,80.459999,80.540001,860100,78.773735
"35",79.940002,80.879997,79.860001,80.540001,712700,78.773735
"36",80.57,80.830002,80.010002,80.260002,669700,78.499886
"37",79.290001,80.290001,79.230003,79.699997,2142000,77.952164
"38",79.839996,80,78.400002,78.959999,1412200,77.228386
"39",78.620003,78.809998,77.330002,78.050003,20233300,76.338333
"40",78.669998,80.629997,78.400002,79.300003,2719400,77.810165
"41",79.099998,79.169998,77.769997,78.25,2155800,76.779884
"42",78.620003,78.889999,77.68,78.269997,1742800,76.799507
"43",78.059998,78.540001,77.709999,77.989998,1123000,76.524765
"44",78.160004,78.480003,77.800003,77.970001,1242500,76.50515
"45",78.169998,78.75,77.849998,78.389999,1285000,76.917252
"46",78.529999,78.589996,77.860001,78.580002,2220100,77.103691
"47",79.120003,79.669998,78.779999,79.629997,1231600,78.133957
"48",79.760002,80.470001,79.470001,80.25,1055800,78.742317
"49",79.889999,80.589996,79.849998,80.379997,846900,78.869865
"50",80.75,80.75,79.900002,80.260002,1483900,78.752129
"51",80.419998,80.760002,80.190002,80.449997,846300,78.938553
"52",80.290001,80.68,79.910004,80.57,1464500,79.056305
"53",80.379997,80.970001,80.080002,80.510002,1151400,78.997429
"54",80.940002,80.940002,79.410004,79.639999,1264600,78.143776
"55",79.550003,80.07,79.18,79.730003,1055600,78.232101
"56",79.900002,80.260002,79.349998,79.849998,896400,78.349831
"57",80.089996,80.349998,79.120003,79.440002,623400,77.947533
"58",78.830002,79.330002,78.32,79.18,657400,77.692413
"59",78.919998,79.629997,78.690002,79.139999,625700,77.65316
"60",79.120003,79.220001,78.309998,79.209999,990200,77.721855
"61",79.129997,80.099998,78.830002,80,776200,78.497017
"62",80.400002,81.32,79.400002,81.07,1009100,79.546906
"63",81.029999,81.440002,80.059998,80.669998,743700,79.154427
"64",80.629997,80.919998,80.220001,80.889999,1156200,79.370293
"65",81.059998,81.510002,80.239998,80.419998,1020500,78.909111
"66",80.43,80.830002,80.110001,80.32,1105800,78.810997
"67",80.349998,81.190002,80.010002,81.080002,1019200,79.556725
"68",81.290001,81.57,80.779999,81.110001,721400,79.586159
"69",80.620003,80.989998,80,80.589996,1002800,79.07592
"70",80.589996,81.629997,80.120003,81.529999,1050500,79.99826
"71",81.360001,82.160004,80.580002,81.290001,671900,79.762779
"72",81.260002,82.25,80.93,82.160004,607200,80.61644
"73",81.75,82.620003,81.75,81.93,654100,80.390755
"74",81.940002,82.5,81.940002,82.220001,636600,80.675308
"75",82.720001,83.309998,82.279999,83,945600,81.440659
"76",82.970001,83.529999,82.739998,82.989998,880300,81.43084
"77",83.82,84.150002,83.300003,83.839996,1435600,82.264862
"78",84.099998,84.629997,83.93,84.160004,968700,82.578857
"79",82.400002,84.080002,82.400002,83.629997,1185700,82.058807
"80",83.800003,83.800003,82.290001,82.400002,1115700,80.851921
"81",82.480003,82.720001,81.849998,82.410004,1823800,80.861732
"82",82.620003,83.099998,82.309998,82.660004,926700,81.107033
"83",82.769997,83.120003,82.099998,82.980003,948200,81.421028
"84",82.489998,83.150002,82.279999,83.029999,999000,81.470093
"85",83.160004,83.709999,82.449997,82.980003,818100,81.421028
"86",83.25,83.879997,82.989998,83.760002,886900,82.186371
"87",83.57,84.089996,82.139999,82.260002,989500,80.714546
"88",83,85.349998,83,84.989998,2528900,83.393265
"89",85.379997,86.279999,83.720001,84.839996,1336700,83.246071
"90",84.449997,84.839996,83.720001,84.360001,1230100,82.775093
"91",84.269997,84.720001,83.860001,84.07,1069300,82.490547
"92",84.410004,85.120003,84.160004,85,1414000,83.403076
"93",84.82,84.82,83.089996,83.93,2093400,82.353188
"94",83.169998,84.699997,82.540001,84.150002,1711900,82.569054
"95",84.099998,84.769997,83.739998,84.410004,902100,82.824165
"96",84.57,85.129997,83.900002,85.040001,2979100,83.442322
"97",85,85.360001,84.550003,85.050003,966600,83.452141
"98",85.120003,85.790001,84.889999,85.730003,1192200,84.119354
"99",85.839996,86.169998,85.370003,86.029999,662600,84.413712
"100",86.290001,86.629997,85.82,86.279999,931900,84.659019
"101",86.300003,86.75,85.970001,86.629997,968900,85.002457
"102",86.580002,86.879997,85.860001,86.650002,1070800,85.022072
"103",86.739998,86.889999,86.050003,86.370003,5628400,84.992561
"104",86.779999,86.989998,86.279999,86.82,1229800,85.435379
"105",86.889999,87,86.269997,86.75,878700,85.366501
"106",86.660004,87.25,86.379997,86.900002,1216100,85.514114
"107",86.290001,87.139999,86.099998,86.769997,1010700,85.386185
"108",87,89.160004,86.580002,88.879997,1619300,87.462517
"109",88.690002,89.830002,88.690002,88.980003,1251800,87.560936
"110",88.809998,89.769997,88.489998,89.75,1050100,88.318649
"111",89.209999,89.790001,89.050003,89.760002,942100,88.328491
"112",89.940002,90.089996,89.209999,89.93,1269100,88.495773
"113",89.330002,90.290001,89.330002,90,822900,88.564659
"114",89.480003,89.699997,88.989998,89.540001,746900,88.112
"115",88.839996,89.959999,88.18,88.57,3292200,87.157471
"116",88.959999,89.709999,88.959999,89.620003,858200,88.190727
"117",89.589996,89.809998,88.599998,88.959999,996700,87.541245
"118",89.07,89.150002,88.669998,88.82,609600,87.403481
"119",88.82,88.940002,88.440002,88.57,598500,87.157471
"120",88.709999,89.260002,88.589996,88.769997,850200,87.354263
"121",88.800003,89.650002,88.800003,89.620003,704500,88.190727
"122",89.620003,90.059998,89.389999,90.010002,847400,88.574501
"123",90.059998,90.760002,89.699997,90.550003,772400,89.105896
"124",91.239998,91.300003,90.050003,91,750800,89.548721
"125",91.110001,91.800003,91,91.400002,910000,89.942337
"126",91.830002,92.290001,91.540001,91.910004,538100,90.444199
"127",92.209999,93.550003,92.160004,93.029999,1392100,91.546341
"128",92.959999,93.410004,92.129997,92.18,918700,90.709885
"129",92.32,93.290001,91.400002,92.980003,1044800,91.497139
"130",93.010002,93.199997,92.620003,92.690002,751100,91.211754
"131",92.580002,93.040001,92.050003,92.790001,618600,91.310165
"132",92.519997,92.709999,91.639999,91.940002,801000,90.473724
"133",92.349998,92.68,91.120003,92.540001,710600,91.064156
"134",92.410004,92.480003,91.830002,91.980003,474000,90.513084
"135",91.989998,92.540001,91.959999,92.019997,669900,90.552437
"136",91.940002,93.18,91.82,93.120003,720900,91.634903
"137",93.139999,93.360001,92.349998,92.910004,529700,91.428253
"138",92.860001,93.25,92.540001,93.150002,503600,91.664429
"139",93.269997,94.370003,93.269997,93.940002,792700,92.441818
"140",93.809998,94.489998,93.760002,93.849998,711800,92.353264
"141",94.290001,94.32,93.309998,93.400002,748300,91.910446
"142",93.599998,94.589996,93.389999,94.040001,834700,92.54023
"143",94.040001,94.099998,92.620003,93.290001,641000,91.802193
"144",93.220001,94.150002,93.120003,93.489998,551000,91.999001
"145",93.779999,94.699997,93.510002,94.529999,808700,93.022415
"146",94.809998,95.25,94.129997,95.209999,839400,93.691574
"147",94.93,95.209999,94.050003,94.790001,693300,93.278267
"148",94.790001,95.25,94.349998,94.989998,756200,93.475075
"149",95.769997,95.949997,92.199997,93.5,1228900,92.008842
"150",93.599998,95.349998,92.360001,94.639999,1151700,93.130661
"151",94.269997,95.559998,94.019997,95.459999,871100,93.937584
"152",95.510002,96.949997,94.910004,96.800003,759100,95.25621
"153",96.650002,97.239998,96.349998,96.669998,806000,95.128281
"154",96.980003,97.269997,95.809998,96.230003,540000,94.695305
"155",96.459999,98.019997,96.239998,97.07,909600,95.521912
"156",97.279999,98.059998,96.860001,97.540001,1029500,95.984421
"157",97.790001,98.550003,97.5,97.830002,667400,96.269791
"158",97.870003,98.040001,97.129997,97.190002,797300,95.639999
"159",96.93,97.32,96.239998,96.300003,1240800,94.764191
"160",96.209999,97.389999,95.709999,97.089996,924800,95.541588
"161",97.199997,99.239998,97.029999,99.110001,1048400,97.529366
"162",98.809998,99.400002,98.370003,98.400002,865000,96.830696
"163",99,99.040001,98.190002,98.459999,738500,96.88974
"164",98.900002,99.989998,98.550003,99.769997,787500,98.178848
"165",100,100.440002,99.169998,100.150002,720700,98.552788
"166",100,100.379997,99.660004,100.339996,633300,98.739754
"167",100.410004,100.57,99.639999,100.269997,728400,98.937096
"168",100.639999,101.349998,100.330002,100.889999,986700,99.548851
"169",100.610001,101.160004,100.519997,100.940002,649300,99.598198
"170",100.529999,102.32,100.529999,102.199997,1603200,100.841431
"171",102.57,104.099998,102.459999,103.730003,1355500,102.351105
"172",104.010002,104.32,103.190002,103.68,967000,102.301773
"173",103.760002,105.910004,103.699997,104.739998,1126100,103.347679
"174",105.360001,105.900002,103.860001,104.379997,1296700,102.992455
"175",104.730003,105.489998,104.279999,104.730003,1132200,103.337814
"176",104.730003,105.599998,104.019997,105.370003,1698100,103.969299
"177",105,106.529999,105,105.849998,1966200,104.442917
"178",105.849998,106.410004,104.639999,104.669998,6221300,103.278603
"179",104.650002,105.809998,104.650002,105.489998,1577300,104.087708
"180",105.540001,106.260002,105.260002,105.43,1514200,104.028511
"181",105.660004,107.059998,105.43,106.400002,919600,104.985603
"182",106.599998,106.980003,105.559998,106.260002,973600,104.847481
"183",106.199997,106.720001,105.809998,106.599998,733800,105.182953
"184",106.720001,106.989998,105.580002,106.309998,784900,104.896812
"185",106.309998,106.699997,104.669998,104.709999,846400,103.318077
"186",105.349998,107.07,105,106.699997,864100,105.281624
"187",106.540001,107.720001,106.510002,107.32,601600,105.893372
"188",107.370003,108.260002,107.010002,107.629997,785000,106.199265
"189",107.919998,108.410004,107.480003,108.18,674100,106.741943
"190",108.709999,109.610001,108.050003,109.07,1019000,107.620125
"191",109.199997,109.650002,108.32,109.339996,739900,107.886536
"192",110.209999,110.209999,108.389999,108.43,932200,106.988632
"193",108.800003,109.099998,107.629997,108.169998,1626500,106.732079
"194",107.849998,109.339996,107.849998,109.220001,710300,107.768127
"195",109.230003,109.290001,108.330002,108.43,599100,106.988632
"196",108.639999,109.099998,107.93,109.099998,803500,107.649719
"197",108.82,110.370003,108.769997,110.019997,681200,108.557495
"198",110.199997,110.669998,109.919998,110.5,645900,109.031105
"199",110.150002,110.650002,109.459999,109.699997,927100,108.241737
"200",110.110001,110.489998,109.389999,109.529999,765500,108.074005
"201",109.580002,109.790001,108.860001,109.589996,760100,108.133209
"202",109.559998,109.559998,108.120003,108.93,813400,107.481979
"203",109.290001,110.089996,109.209999,109.989998,742800,108.527885
"204",109.93,111.040001,109.440002,110.690002,726300,109.21859
"205",111,111.25,110.010002,110.25,525300,108.784424
