"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"1",52.310001,52.310001,51.34,51.540001,807200,48.847202
"2",51.790001,52.599998,51.790001,52.380001,1036200,49.643318
"3",52.099998,52.66,51.84,51.869999,571200,49.159954
"4",51.889999,51.950001,51.459999,51.689999,539400,48.989361
"5",51.84,52,51.040001,51.169998,483300,48.496529
"6",51.400002,52.68,51.119999,52.240002,654000,49.510624
"7",52.57,53.290001,51.509998,52.959999,736800,50.192993
"8",53,53.16,52.049999,52.740002,403300,49.984505
"9",53.040001,53.25,52.82,53.220001,270700,50.439426
"10",53.34,53.509998,52.34,52.689999,492100,49.937119
"11",53.060001,53.490002,52.200001,52.419998,579300,49.681221
"12",52.5,52.709999,51.900002,52.009998,351500,49.292641
"13",52.189999,52.84,51.59,52.02,500200,49.302124
"14",52,52.130001,50.82,51.450001,349400,48.761902
"15",51.799999,52,51.360001,51.700001,705400,48.998844
"16",52.080002,52.189999,51.5,51.75,771100,49.04623
"17",51.889999,52.470001,51.669998,51.720001,735900,49.017799
"18",51.720001,51.740002,51.25,51.48,884700,48.790337
"19",51.07,51.5,50.490002,51.040001,741300,48.373329
"20",51.049999,51.580002,50.810001,51.509998,949500,48.818768
"21",52.740002,53.09,52.439999,52.880001,1348300,50.117191
"22",52.709999,53.119999,52.330002,52.810001,1056100,50.050846
"23",52.970001,53.48,52.860001,53.349998,1138900,50.562626
"24",53.470001,53.540001,53.110001,53.400002,1037000,50.610023
"25",54.43,57.220001,53.779999,56.93,2277700,53.955585
"26",57.25,58.119999,56.950001,57.16,2192700,54.173573
"27",57.169998,58.57,57.16,58.299999,1092000,55.254009
"28",58.459999,59.490002,58.369999,58.709999,1299200,55.642578
"29",59,59.540001,58.720001,59.259998,908100,56.163853
"30",59.02,59.619999,58.91,59.380001,867900,56.277592
"31",59.549999,59.59,59.110001,59.25,1191900,56.154373
"32",59.450001,59.549999,58.48,58.830002,1004300,55.756321
"33",58.740002,60,58.650002,59.990002,1059800,56.855717
"34",59.990002,60.5,59.490002,59.639999,1222200,56.523998
"35",59.509998,60.009998,59.419998,59.91,1121400,56.932632
"36",59.900002,60.18,59.110001,59.32,447500,56.371944
"37",59.209999,59.669998,58.880001,59.380001,622600,56.428974
"38",59.09,59.5,58.880001,59.41,747600,56.457478
"39",59.490002,59.759998,58.669998,58.900002,1045700,55.972824
"40",59.470001,60.119999,58.919998,59.779999,847900,56.809086
"41",59.529999,60.060001,59.279999,59.669998,771800,56.704556
"42",59.549999,59.869999,59.169998,59.34,833700,56.390957
"43",59.369999,59.82,58.93,59.48,966600,56.524002
"44",59.310001,60.099998,59.189999,59.48,930100,56.524002
"45",59.509998,59.849998,59.110001,59.16,861100,56.219894
"46",59.360001,59.84,58.990002,59.540001,1359300,56.58102
"47",59.82,60.220001,59.18,59.200001,898800,56.257915
"48",59.139999,59.400002,58.700001,59.27,907100,56.324432
"49",59.130001,59.5,58.669998,59.419998,717900,56.466972
"50",59.490002,60.150002,59.490002,60.049999,688100,57.065674
"51",59.919998,61,59.919998,60.599998,854200,57.588333
"52",60.599998,60.93,60.029999,60.360001,1806500,57.360268
"53",60.200001,60.299999,59.599998,59.73,989300,56.761566
"54",60.099998,60.279999,57.880001,57.950001,1064700,55.070034
"55",58,58.549999,57.669998,58.060001,880800,55.174572
"56",57.91,58.990002,57.82,58.09,885900,55.203075
"57",58.16,58.369999,57.389999,57.630001,536200,54.765942
"58",57.27,57.959999,56.099998,56.939999,1250500,54.110229
"59",56.990002,57.27,56.48,56.860001,1358600,54.03421
"60",57.07,57.32,56.330002,56.98,1019300,54.148243
"61",57.110001,57.48,57.080002,57.380001,528500,54.528358
"62",57.220001,58.07,57.130001,57.709999,877500,54.841972
"63",58,58.009998,57.380001,57.650002,594900,54.784943
"64",57.59,58.09,57.43,57.900002,926500,55.022522
"65",58.130001,58.220001,57.209999,57.279999,774500,54.433334
"66",57.48,58.040001,57.150002,57.970001,755000,55.089046
"67",57.889999,58.310001,57.709999,57.939999,1331800,55.060528
"68",58.09,58.52,57.580002,57.639999,700900,54.77544
"69",57.470001,57.639999,56.869999,57.52,727100,54.661396
"70",57.689999,57.77,56.580002,56.709999,743800,53.891647
"71",56.75,57.27,56.57,56.779999,500400,53.958183
"72",56.889999,57.169998,56.740002,57.139999,433500,54.300297
"73",57.169998,57.560001,56.970001,57.400002,547400,54.547375
"74",57.759998,57.970001,57.59,57.650002,617700,54.784943
"75",57.869999,58.23,57.509998,58.18,690800,55.288605
"76",58.18,58.310001,57.740002,57.759998,550900,54.889477
