"","CFG.Open","CFG.High","CFG.Low","CFG.Close","CFG.Volume","CFG.Adjusted"
"1",36.439999,37.080002,35.560001,35.860001,5045900,30.152571
"2",36.029999,36.25,35.830002,36.169998,4354900,30.413233
"3",36.02,36.255001,35.224998,35.720001,3725200,30.034851
"4",35.91,36.080002,35.709999,35.91,3623500,30.194605
"5",35.630001,35.830002,35.150002,35.68,3035600,30.001221
"6",35.880001,36.369999,35.799999,36.279999,3730400,30.505716
"7",36.169998,36.369999,35.84,36.27,4273300,30.497311
"8",36.099998,36.139999,35.165001,35.919998,3961600,30.203009
"9",36.200001,36.98,35.900002,36.290001,5200800,30.51413
"10",35.830002,35.91,33.970001,34.119999,8472300,28.689503
"11",34.360001,35.02,33.799999,34.990002,6386100,29.421036
"12",34.93,35.424999,34.41,34.73,5737300,29.20241
"13",35.560001,36.18,35.299999,35.82,8164500,30.118931
"14",35.599998,35.970001,35.380001,35.889999,4893700,30.177788
"15",35.959999,36.41,35.875,36.299999,6052500,30.522537
"16",36.759998,37.540001,36.673,37.52,5714200,31.548361
"17",37.509998,37.950001,37.209999,37.540001,4795700,31.565178
"18",37.43,37.48,36.869999,36.990002,4278600,31.102718
"19",36.540001,36.759998,35.900002,36.529999,4981900,30.715931
"20",36.330002,36.869999,35.869999,36.169998,4774900,30.53023
"21",36.540001,37.16,36.384998,36.490002,4795900,30.800339
"22",36.189999,36.220001,35.650002,36.040001,4355900,30.420502
"23",36.810001,36.904999,36.360001,36.790001,3873300,31.05356
"24",36.310001,36.919998,36.209999,36.470001,4633600,30.783463
"25",36.599998,36.810001,36.325001,36.59,3815800,30.884745
"26",36.25,36.279999,35.240002,35.349998,8451800,29.838085
"27",35.349998,36.275002,35.209999,36.240002,5731000,30.589317
"28",36.150002,36.529999,36.09,36.419998,3283800,30.741247
"29",36.810001,37.200001,36.709999,36.919998,3506200,31.16329
"30",36.919998,38.07,36.77,37.98,5148600,32.058022
"31",38.099998,38.43,37.759998,38.369999,3840400,32.387196
"32",38.110001,38.395,37.98,38.25,2756900,32.285912
"33",37.720001,37.84,37.450001,37.84,5495900,31.939838
"34",38.009998,38.23,37.615002,38.049999,4622400,32.117096
"35",37.810001,37.939999,37.509998,37.669998,5247700,31.796345
