"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume","CPB.Adjusted"
"1",60.599998,60.950001,60.279999,60.639999,1185400,51.874428
"2",60.73,61.450001,60.669998,61.060001,1257500,52.233719
"3",61.02,61.189999,60.57,60.93,1488500,52.122513
"4",60.810001,61.09,60.57,60.700001,888500,51.925755
"5",60.299999,60.34,59.540001,59.75,1253400,51.409504
"6",60.049999,60.169998,59.73,60.009998,1561400,51.633213
"7",59.869999,60.490002,59.43,60.150002,2322600,51.753674
"8",60.349998,62.16,60.259998,61.57,2478300,52.975456
"9",61.419998,61.810001,61.049999,61.720001,1197100,53.104519
"10",62.060001,62.419998,61.689999,62.09,1899300,53.422874
"11",62.049999,62.389999,61.900002,62.290001,1098900,53.594955
"12",62.110001,62.310001,61.889999,62.240002,964700,53.551937
"13",62.490002,63.259998,62.330002,62.84,1212500,54.068176
"14",62.810001,63.279999,62.619999,63.119999,1452200,54.309082
"15",63.07,63.459999,62.799999,63.299999,1331000,54.46397
"16",63.290001,63.5,62.720001,63.099998,1126200,54.291893
"17",63.029999,63.16,62.299999,62.619999,1283100,53.87888
"18",62.900002,62.98,62.34,62.580002,1082500,53.844475
"19",62.610001,63,62.209999,62.380001,1547300,53.672386
"20",62.439999,62.900002,61.91,62.23,2401100,53.543324
"21",62.110001,62.779999,62.110001,62.490002,1768400,53.767036
"22",62.790001,63.540001,62.709999,63.16,1028100,54.343506
"23",63.490002,64.040001,63.09,63.279999,1390000,54.446754
"24",63.290001,63.490002,62.330002,62.599998,1382900,53.861675
"25",62.889999,63.470001,62.720001,63.23,1150800,54.403732
"26",63.169998,63.759998,63.080002,63.400002,1209600,54.550007
"27",63.400002,64.230003,63.400002,63.84,1429900,54.928589
"28",63.700001,63.790001,63.119999,63.27,1282800,54.438148
"29",63.240002,63.529999,63.02,63.43,1337300,54.575817
"30",63.25,63.439999,62.919998,63.029999,1364400,54.231659
"31",63.040001,63.619999,62.610001,63.450001,1888600,54.593025
"32",63.220001,63.869999,61.860001,62.549999,3361300,53.818653
"33",59,60.490002,57.549999,58.48,6122700,50.316784
"34",58.48,59.049999,58.119999,58.950001,4824700,50.721188
"35",58.75,59.610001,58.639999,59.169998,2504700,50.910469
"36",59.349998,59.57,58.950001,59.060001,1660200,50.815823
"37",59.240002,59.689999,59,59.110001,1571800,50.858852
"38",59.099998,59.25,58.82,58.970001,1095400,50.738392
"39",58.98,59.48,58.880001,59.349998,2239300,51.065342
"40",59.529999,59.889999,59.16,59.490002,1484400,51.185802
"41",59.41,59.91,59.32,59.830002,1869600,51.478344
"42",59.939999,59.939999,59.41,59.540001,1472100,51.228821
