"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"1",56.650002,56.779999,56.009998,56.52,3149100,53.618271
"2",56.48,57.400002,56.200001,57.32,3572400,54.377197
"3",57.349998,57.459999,56.98,57.09,5166400,54.159012
"4",57.139999,58,56.380001,57.869999,6091200,54.89896
"5",57.599998,57.75,56.450001,56.580002,7006300,53.67519
"6",56.43,56.93,55.939999,56.66,4710700,53.751076
"7",56.459999,57.09,56.27,57.009998,6377100,54.083099
"8",57.169998,57.169998,56.16,56.990002,3599500,54.06414
"9",56.84,57.119999,56.27,56.52,6223300,53.618271
"10",56.5,56.880001,56.32,56.580002,3470200,53.67519
"11",56.630001,57.639999,56.599998,57.360001,3970200,54.415142
"12",57.25,57.43,56.490002,56.650002,3147500,53.741596
"13",56.869999,57.119999,56.459999,56.849998,4485300,53.931328
"14",56.880001,56.950001,55.669998,56.169998,4444000,53.286243
"15",56.25,56.73,55.75,56.610001,3613700,53.703651
"16",56.82,57.57,56.580002,57.549999,5238100,54.59539
"17",57.470001,57.68,56.259998,56.27,3406200,53.381096
"18",56.299999,56.630001,56.049999,56.130001,3010800,53.248302
"19",55.23,55.25,53.529999,53.66,9261800,50.905106
"20",52.029999,53.139999,51.52,52.59,10176800,49.890038
"21",52.68,52.91,51.950001,52.450001,7478400,49.757225
"22",52.700001,52.82,51.580002,51.68,7972300,49.026756
"23",52.07,52.540001,51.66,52.5,6176800,49.804661
"24",53.48,53.48,52.439999,52.759998,7776900,50.051308
"25",52.709999,54.169998,52.639999,53.790001,7606700,51.028435
"26",57,57.490002,54.759998,56.450001,20858300,53.551865
"27",57,58.41,56.290001,58,13235500,55.022289
"28",58,58.34,57.369999,57.400002,6935500,54.453094
"29",57.75,58,57.529999,57.639999,6744800,54.680775
"30",57.290001,57.689999,57.18,57.360001,10115300,54.415142
"31",57.07,58.400002,57.07,58.130001,5636200,55.145615
"32",58.25,58.48,57.75,58.099998,4158200,55.117149
"33",58.009998,58.439999,57.619999,57.959999,3777600,54.984341
"34",57.919998,58.689999,57.66,58.619999,4275100,55.610462
"35",58.23,58.799999,57.919998,58.75,3238600,55.733784
"36",58.799999,59.310001,58.619999,59.150002,3677000,56.113243
"37",58.959999,59.5,58.75,59.5,3169400,56.445282
"38",59.490002,59.669998,59.110001,59.580002,4908500,56.521175
"39",59.299999,59.580002,59.119999,59.27,5466300,56.227081
"40",59.709999,60.389999,59.490002,60.25,5163300,57.156773
"41",59.959999,60.330002,59.669998,60.169998,2850700,57.080887
"42",59.950001,60.259998,59.689999,59.880001,4789700,56.805771
"43",59.450001,59.549999,58.490002,58.830002,5801200,55.809677
"44",58.82,59.299999,57.77,57.84,5336500,54.870514
"45",57.77,57.990002,57.150002,57.490002,5617900,54.538471
"46",57.599998,57.75,57,57.669998,4193600,54.709225
"47",58.25,59.279999,58.110001,58.740002,5171900,55.724297
"48",58.59,59.34,58.490002,59.25,3775000,56.208115
"49",59.77,59.779999,58.919998,59.16,3696900,56.122726
"50",59.189999,59.450001,58.759998,59.259998,3216800,56.217587
"51",59.75,60,59.259998,59.41,3560000,56.359898
"52",59.84,59.889999,58.189999,58.560001,6738100,55.553532
"53",58.560001,59.41,58.439999,58.98,4487700,55.951969
"54",59.110001,59.400002,58.400002,58.529999,3243200,55.52507
"55",58.540001,59.509998,58.52,59.459999,4385300,56.40733
"56",59.25,59.34,58.369999,58.759998,4737700,55.743267
"57",59.009998,59.290001,58.540001,58.619999,2988200,55.610462
"58",58.130001,58.860001,58.060001,58.709999,3187800,55.695827
"59",58.490002,59.34,58.310001,59.040001,3814300,56.008892
"60",58.889999,59.200001,58.419998,59.080002,3267800,56.046848
"61",59.200001,59.32,58.91,59.240002,1770800,56.198624
"62",59.09,59.82,59.02,59.52,3463600,56.46426
"63",59.549999,59.950001,58.169998,58.25,5459700,55.259449
"64",57.990002,58.439999,57.610001,58.209999,3772900,55.2215
"65",58.220001,59.099998,57.93,58.060001,4115200,55.079205
"66",58.060001,58.419998,57.720001,58.139999,3085500,55.155094
"67",58.41,58.669998,58.029999,58.43,3234900,55.430214
"68",58.290001,59.099998,58.200001,58.970001,4501000,55.942493
"69",58.73,59.200001,58.41,58.880001,3612900,55.857109
"70",58.939999,59.009998,58.48,58.66,2590700,55.648403
"71",58.77,59.060001,58.290001,58.349998,3872300,55.354321
"72",58.630001,58.82,58.509998,58.700001,2931800,55.686356
"73",58.349998,58.41,57.650002,57.869999,5333500,54.89896
"74",57.970001,58.330002,57.860001,57.970001,4071300,54.993828
"75",58.009998,58.240002,57.5,57.779999,5152200,54.81358
"76",57.98,57.98,57.639999,57.849998,4882000,54.879982
"77",58.639999,59.189999,58.450001,58.889999,4201700,55.866589
"78",58.93,59.369999,58.759998,59.09,3112300,56.056332
"79",59.049999,59.650002,58.970001,59.419998,3920700,56.369385
