"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"1",71.866539,72.400063,71.245422,71.770981,1314069,69.129074
"2",71.834686,72.081543,71.6595,71.882462,1418928,69.236458
"3",71.71524,72.153206,71.388756,71.858574,841386,69.213432
"4",72.073578,72.81414,71.691353,72.471733,1261326,69.804024
"5",72.280617,72.686737,71.675423,72.296547,3042552,69.635277
"6",72.376175,72.861923,72.04969,72.185059,965836,69.527893
"7",72.081543,73.060997,72.081543,72.917664,1891612,70.233543
"8",72.694695,72.885811,71.548019,72.543396,1024230,69.873055
"9",72.646919,73.355629,72.599136,73.100815,2125944,70.40995
"10",73.084885,73.475075,72.081543,72.38414,1908816,69.719666
"11",72.567291,74.558052,72.304504,74.502312,2614576,71.759842
"12",74.382866,74.454529,73.491005,73.761749,1335543,71.046547
"13",74.096191,74.916389,73.81749,74.048416,1320223,71.32267
"14",74.024529,74.422676,72.782288,73.618408,1619480,70.908485
"15",73.905083,75.441948,73.706001,75.147316,1463509,72.381104
"16",75.648987,76.365662,74.892502,76.238251,3482961,73.431908
"17",72.208946,73.132668,70.54467,71.28524,5950985,68.661209
"18",71.428574,72.208946,71.388756,71.874504,3091654,69.22879
"19",71.595795,72.734512,71.054306,72.567291,3832827,69.896065
"20",72.503586,72.670807,71.500237,72.615067,2795034,69.94207
"21",74.269997,75,70.239998,71.239998,5760300,68.617638
"22",71,75.57,71,74.949997,4667400,72.191055
"23",75.650002,76.940002,75.220001,76.699997,3980300,73.876648
"24",76.389999,76.730003,75.540001,76.300003,3794900,73.491386
"25",76.57,78.489998,76.32,77.650002,3262500,74.791664
"26",77.239998,78.169998,76.879997,77.690002,2808100,74.830208
"27",77.910004,79.379997,77.639999,78.419998,3971800,75.53334
"28",78.470001,79.010002,77.830002,78.550003,2115400,75.658554
"29",78.550003,79.360001,78.550003,78.779999,4205100,75.880074
"30",78.599998,79.360001,78.050003,78.93,2234800,76.024559
"31",78.720001,80.540001,78.139999,80.160004,2649400,77.209282
"32",80.43,80.739998,79.459999,79.940002,2195300,76.997375
