"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"1",49.369999,50.139999,49.169998,49.48,5423200,45.714939
"2",50.09,50.93,49.990002,50.700001,7898600,46.842113
"3",50.41,50.689999,49.5,49.73,5806200,45.945919
"4",49.790001,50.299999,49.220001,49.68,6922700,45.899723
"5",49.459999,50.169998,49.419998,49.689999,5332900,45.908955
"6",49.93,51.349998,49.860001,50.93,8440500,47.054611
"7",51.459999,51.740002,50.650002,51.439999,10001600,47.525806
"8",51.299999,52,49.669998,50.889999,14284800,47.017651
"9",50.790001,51.639999,50.779999,51.23,7380600,47.331783
"10",50.990002,51.220001,50.189999,50.330002,7477500,46.500267
"11",50.139999,50.799999,49.790001,50.299999,7076500,46.472546
"12",50.279999,50.5,49.619999,49.700001,7012700,45.918201
"13",49.77,50.540001,49.709999,50.5,7722400,46.657326
"14",50.279999,50.43,48.77,48.77,8753100,45.058979
"15",48.91,49.759998,48.82,49.439999,6398100,45.677986
"16",49.990002,50.43,49.810001,50.189999,8096300,46.370918
"17",50.689999,51.540001,50.560001,50.900002,8905600,47.026894
"18",51,51.119999,49.57,49.700001,6852000,45.918201
"19",48.950001,48.950001,47.540001,47.669998,12745600,44.042679
"20",47.790001,47.830002,46.57,47.240002,12533800,43.645397
"21",47.48,47.77,47.040001,47.259998,8377500,43.663868
"22",46.59,47.66,46.48,47.380001,8795700,43.774738
"23",47.52,48,47.41,47.810001,5632300,44.17202
"24",48.189999,48.68,47.93,48.259998,7169200,44.587776
"25",48.439999,48.939999,48.080002,48.150002,7262900,44.486149
"26",48.259998,48.299999,47.73,48.099998,5342600,44.439949
"27",48.099998,49.549999,48.099998,49.330002,7274700,45.576363
"28",49.549999,49.57,49.02,49.259998,5322600,45.511684
"29",49.369999,50.419998,49.279999,50.060001,6565900,46.250816
"30",49.82,49.990002,49.099998,49.860001,7024600,46.066032
"31",50.950001,51.959999,50.529999,51.169998,12705000,47.276352
"32",51.16,51.169998,50.59,50.830002,6626700,46.962223
"33",50.59,51.23,50.189999,51.23,5428000,47.331783
"34",51.299999,51.529999,50.970001,51.209999,6406500,47.313301
"35",51,51.139999,50.48,50.93,4345100,47.241879
