"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"1",72.900002,73.349998,71.910004,72.730003,2292400,65.455551
"2",73.089996,74.330002,72.889999,73.940002,2360500,66.54454
"3",73.790001,73.790001,72.260002,72.900002,2328200,65.608551
"4",72.760002,73.019997,71.830002,72.059998,3137800,64.852562
"5",71.629997,72.050003,70.709999,71.620003,3587700,64.456566
"6",71.800003,72.910004,71.190002,72.110001,3277600,64.897568
"7",72.18,72.459999,71.330002,71.650002,3264500,64.483566
"8",71.050003,71.5,70.220001,71.309998,3042300,64.177589
"9",71.400002,72.839996,71.389999,71.660004,1648500,64.492577
"10",71.290001,71.489998,69.510002,69.900002,2715100,62.908607
"11",70.110001,70.5,69.279999,70.360001,2473200,63.32259
"12",70.519997,70.529999,69.730003,70,1609100,62.9986
"13",70.300003,70.809998,69.75,70.199997,3200300,63.178593
"14",69.980003,70.449997,69.029999,69.279999,2578000,62.350609
"15",69.68,70.209999,68.830002,69.879997,3511100,62.890587
"16",70.830002,71.169998,68.5,69.209999,5475600,62.287624
"17",69.099998,69.419998,68.589996,69.349998,3250300,62.413609
"18",69.5,69.559998,68.959999,69.059998,1769800,62.15263
"19",68.860001,69.660004,68.269997,69.629997,2166600,62.665611
"20",69.050003,69.779999,68.730003,69.279999,2689300,62.350609
"21",69.699997,70.199997,68.68,68.769997,2763300,61.891621
"22",68.339996,68.940002,67.82,68.059998,2952100,61.252636
"23",68.93,69.68,68.519997,69.360001,2016400,62.42263
"24",69.050003,69.410004,68.809998,69.290001,2048900,62.359619
"25",69.239998,69.580002,68.339996,68.510002,2300400,61.925762
"26",68.199997,68.419998,67.730003,68.160004,2200100,61.60939
"27",68.400002,69.150002,68.150002,68.949997,1441200,62.32346
"28",69.209999,69.25,68.730003,68.82,1347800,62.205963
"29",69.169998,69.910004,69.050003,69.580002,1396200,62.892921
"30",69.25,70.940002,69.169998,70.849998,2338100,64.040863
"31",71.139999,71.400002,70.650002,70.919998,1868900,64.104134
"32",70.75,70.989998,70.199997,70.839996,1642000,64.031815
"33",70.449997,71.330002,69.93,71.300003,2082000,64.447601
"34",71.400002,72.309998,70.980003,71.290001,2201200,64.43856
"35",71.019997,71.370003,70.599998,71.169998,1721400,64.330109
"36",71.300003,71.540001,70.849998,71.459999,1726900,64.592224
"37",70.839996,71.410004,70.559998,71.220001,2134000,64.375313
"38",71.300003,71.699997,71.07,71.629997,2064700,64.745895
"39",71.269997,71.650002,70.730003,71.139999,3419300,64.302986
"40",72.230003,72.910004,72.230003,72.400002,2819200,65.441895
"41",72.459999,72.459999,71,71.059998,1850200,64.230659
"42",71.050003,71.459999,70.639999,71.400002,2456300,64.537987
"43",71.029999,71.029999,70.339996,70.82,1547500,64.013733
"44",70.809998,71.489998,70.529999,70.980003,1865800,64.158363
"45",71.589996,71.800003,71.290001,71.360001,1611000,64.501854
"46",71.620003,71.839996,71.050003,71.290001,1459700,64.43856
"47",71.660004,71.860001,71.010002,71.519997,1631700,64.646469
"48",71.459999,71.699997,71.059998,71.32,1363300,64.465691
"49",71,71.879997,70.830002,71.800003,1559500,64.899567
"50",71.860001,71.889999,70.230003,70.629997,2903900,63.842003
"51",70.900002,71.349998,70.760002,71,1936900,64.176445
"52",71.129997,71.379997,69.879997,70.309998,3422000,63.552746
"53",70.279999,70.690002,69.849998,69.879997,1922800,63.164066
"54",70.139999,70.309998,67.480003,67.599998,2857100,61.103214
"55",67.300003,68.129997,66.650002,67.660004,1827000,61.157436
"56",67.610001,68.25,67.160004,67.419998,1918100,60.940506
"57",67.809998,67.809998,66.800003,67.209999,1611100,60.750683
"58",66.050003,66.989998,65.540001,66.790001,1934700,60.371056
"59",66.419998,68.370003,66.419998,67.889999,1782400,61.36533
"60",67.809998,67.949997,67.389999,67.660004,1195900,61.157436
"61",67.660004,68.910004,67.470001,68.660004,1583700,62.06134
"62",68.540001,68.82,68.150002,68.389999,1971100,61.81728
"63",68.470001,68.540001,67.029999,67.949997,1716900,61.419563
"64",67.669998,67.830002,66.779999,67.050003,2322600,60.606064
"65",67.779999,67.989998,66.019997,66.120003,2797500,59.76545
"66",66.080002,66.889999,65.260002,66.529999,3195600,60.136044
"67",65.989998,66.550003,65.68,65.980003,2975400,59.638901
"68",65.889999,66.220001,65.349998,65.43,2392100,59.141762
"69",65.160004,66.029999,64.809998,66.029999,2473300,59.68409
"70",65.639999,66.150002,65.349998,65.470001,2197400,59.177921
"71",65.139999,65.739998,64.75,64.769997,1857100,58.545181
"72",64.879997,65.760002,64.599998,65.68,2027600,59.367741
"73",65.32,65.620003,64.620003,65.040001,2541400,58.789238
"74",65.379997,65.57,64.860001,64.970001,1975800,58.725967
"75",65.449997,66.949997,65.449997,66.690002,3874800,60.280659
"76",66.970001,67.150002,66.099998,66.230003,2851900,59.864872
"77",67.75,67.800003,66.849998,66.910004,3247200,60.47953
"78",67.68,67.730003,66.949997,67.279999,3228500,60.813953
"79",66.25,66.449997,63.439999,65.230003,5679900,58.960972
"80",65.360001,65.389999,64.18,64.32,3434000,58.138428
"81",63.57,63.939999,62.27,62.59,5569700,56.574696
"82",62.349998,62.630001,61.799999,61.970001,4014400,56.01429
"83",62.060001,62.169998,61.119999,61.93,4291200,55.97813
"84",61.799999,62.060001,60.950001,61.139999,5158100,55.264057
"85",61.599998,61.68,60.529999,60.549999,4625400,54.730755
