"","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume","DG.Adjusted"
"1",74.339996,74.419998,73.209999,74.190002,2003600,70.7593
"2",74.639999,76.290001,74.559998,76.040001,3021700,72.523727
"3",74.910004,75.18,73.769997,74.519997,2829600,71.07402
"4",74.419998,74.419998,73.290001,73.349998,2523100,69.958122
"5",73.169998,73.989998,72.82,73.730003,2469700,70.320564
"6",73.739998,74.839996,73.459999,74.25,2022400,70.816505
"7",74.480003,74.669998,73.300003,73.419998,3764200,70.024887
"8",73.349998,74.07,73.269997,73.589996,2078100,70.187027
"9",72.959999,73.610001,72.330002,73.089996,2046200,69.710152
"10",73.349998,75.620003,73.07,74.330002,2652800,70.892792
"11",73.849998,74.139999,72.169998,72.440002,2457300,69.090218
"12",72.239998,72.43,70.940002,71.010002,2699800,67.726326
"13",71.07,71.459999,69.870003,71,3997200,67.716805
"14",70.870003,71,70.029999,70.459999,2127600,67.201767
"15",70.730003,71.849998,70.550003,71.75,3279600,68.432098
"16",71.959999,72.5,71.440002,71.959999,3043900,68.632401
"17",71.650002,72.089996,71.440002,71.690002,2236300,68.374901
"18",72.099998,72.199997,70.110001,70.309998,2228000,67.058701
"19",70.220001,72.190002,70.019997,72,2314500,68.670547
"20",71.279999,73.93,71.169998,73.82,4072300,70.406395
"21",73.639999,74.080002,73.029999,73.389999,2607800,69.996277
"22",73.589996,74.18,73.220001,73.5,1679400,70.101189
"23",73.489998,74.160004,72.849998,73.139999,2435400,69.757851
"24",72.559998,73.040001,72.199997,72.260002,2105100,68.918526
"25",72.669998,73.190002,72.169998,72.800003,2055300,69.433563
"26",73.089996,75.129997,72.699997,75.07,2760900,71.598602
"27",75.07,78.389999,75.07,77.709999,4862500,74.116501
"28",77.760002,78.019997,76.239998,76.790001,2599900,73.239044
"29",77.400002,77.410004,75.940002,76.019997,1825900,72.504654
"30",76.019997,77.580002,75.82,77.139999,4457700,73.572868
"31",77.010002,77.449997,76.620003,77.379997,1654300,73.801788
"32",77.620003,77.699997,75.459999,76.019997,1696600,72.504654
"33",76.040001,77.690002,75.910004,77.669998,2518800,74.078354
"34",78.330002,79.349998,77.279999,77.860001,2215500,74.259567
"35",78.099998,78.18,76.82,77.379997,1318600,73.801788
"36",77.730003,77.730003,75.730003,75.919998,1975800,72.409286
"37",76.32,78.470001,75.730003,77.349998,3866000,73.77317
"38",77.309998,77.330002,75.449997,76.790001,2579500,73.239044
"39",75.150002,75.419998,72.300003,73.019997,6952100,69.643379
"40",74.75,75.389999,72.550003,73.349998,5035900,69.958122
"41",73.370003,74.839996,73.32,74.07,2428500,70.644836
"42",73.480003,73.959999,72.739998,73.120003,3040000,69.73877
"43",72.839996,73.290001,72.32,72.419998,1889300,69.071129
"44",72.220001,72.889999,71.300003,71.360001,2480200,68.060143
"45",71.559998,72.610001,71.440002,72.529999,2305900,69.176048
"46",72.599998,73.790001,72.43,73.629997,3029600,70.225189
"47",73.389999,73.830002,72.800003,72.889999,2538000,69.519402
"48",72.449997,72.82,71.519997,72.589996,3598500,69.233269
"49",72.639999,73.099998,72,72.82,4304200,69.452637
"50",72.580002,73.089996,71.75,72.809998,4136400,69.443092
"51",71.900002,75.330002,71.599998,73.199997,9769900,69.815086
"52",73.309998,73.870003,71.879997,72.330002,4356500,68.985306
"53",72.599998,72.599998,71.389999,71.599998,2831900,68.289055
"54",71.870003,71.949997,69.690002,70.010002,4198900,66.772591
"55",70.209999,70.809998,69.730003,70.68,2132900,67.411591
"56",69.889999,70.089996,68.769997,68.900002,5173100,65.713913
"57",69,69.910004,68.730003,69.480003,3588500,66.267097
"58",69.139999,69.989998,68.779999,68.970001,2450700,65.780663
"59",68.769997,68.849998,68.230003,68.550003,2354500,65.380089
"60",68.620003,70.779999,68.620003,70.690002,3124800,67.421135
"61",70.489998,70.970001,70.459999,70.860001,1424300,67.583275
"62",70.690002,70.93,69.709999,69.730003,2122000,66.505524
"63",69.839996,70.07,68.5,68.82,2650300,65.637596
"64",68.730003,68.889999,67.940002,68.349998,3074700,65.189354
"65",68.5,69.660004,68.150002,68.5,3269600,65.332413
"66",68.900002,70.519997,68.580002,69.550003,2525500,66.333855
"67",69.349998,70.169998,69.129997,69.330002,3150700,66.372154
"68",69.32,70.07,69.080002,69.559998,2813500,66.592316
"69",69.519997,69.779999,68.650002,69.150002,2194800,66.199837
"70",68.639999,69.110001,68.610001,68.959999,2157400,66.017937
"71",69.080002,69.099998,68.699997,68.739998,1528600,65.80732
"72",68.910004,69.230003,68.190002,69.120003,2140200,66.171089
"73",69.029999,69.389999,68.879997,69.07,1637200,66.12323
"74",69.440002,70.019997,69.160004,69.309998,1727700,66.352982
"75",69.889999,71.279999,69.580002,70.669998,2781700,67.654976
"76",70.529999,70.93,70.370003,70.720001,2440100,67.702835
"77",71.5,71.650002,70.989998,71.419998,1926100,68.372963
"78",71.5,71.849998,71,71.550003,2492200,68.497429
"79",71.839996,72.769997,71.769997,72.599998,2476000,69.50264
"80",72.790001,73.440002,72.449997,73.220001,3153900,70.096169
"81",73.379997,73.379997,72.370003,72.709999,2331100,69.607948
"82",73,73.199997,72.050003,72.050003,2645600,68.976089
"83",72.059998,73.790001,71.989998,73.769997,2797700,70.622711
"84",73.800003,74.230003,73.370003,73.989998,2248400,70.833336
"85",74.139999,74.669998,73.120003,73.370003,1830100,70.239777
"86",73.629997,73.959999,73.230003,73.620003,2066400,70.479111
"87",73.669998,73.879997,73.260002,73.690002,1352100,70.546135
"88",73.279999,73.900002,73.150002,73.690002,2232200,70.546135
"89",73.580002,74.290001,73.300003,73.910004,2211500,70.756752
"90",73.25,73.900002,71.709999,72.059998,2804300,68.985672
"91",71.589996,72,70.82,71.580002,1904600,68.526169
"92",71.699997,72.550003,71.510002,71.720001,1902500,68.660164
"93",71.720001,71.720001,70.510002,70.940002,2268000,67.913467
"94",70.940002,71.5,70.629997,70.669998,2681200,67.654976
"95",70.790001,71.489998,70.480003,71.129997,2472000,68.095337
"96",71.379997,72.080002,70.32,71.949997,2971000,68.880371
"97",71.879997,72.690002,71.5,72.449997,1410600,69.359016
"98",72.480003,72.480003,70.510002,70.709999,4092400,67.693275
"99",70.660004,70.68,69.139999,70.209999,3831100,67.214622
"100",70.010002,73.480003,69.529999,72.470001,4529000,69.378197
"101",72.660004,72.860001,71.68,72.32,1617800,69.234589
"102",72.110001,73.260002,71.889999,73.019997,2347900,69.904732
"103",73.160004,73.480003,71.769997,73.389999,4117900,70.258942
"104",75.82,78.199997,75.510002,78.190002,7589600,74.854164
"105",78.610001,79.279999,77.839996,78.910004,3897800,75.543449
"106",78.599998,79,77.580002,78.309998,2652000,74.969009
"107",77.110001,77.230003,75.050003,75.339996,5015800,72.125748
"108",75.669998,75.760002,73.93,74.07,4425500,70.90992
"109",74.07,75.209999,73.599998,73.690002,2608200,70.546135
"110",73.949997,75.360001,73.169998,75.220001,3214500,72.010841
"111",75.169998,76.550003,74.599998,75.110001,2666700,71.905563
"112",75.199997,75.989998,74.629997,75.709999,1396100,72.479942
"113",75.769997,75.949997,74.730003,75.660004,1317800,72.432091
"114",74.830002,74.919998,71.550003,72.32,4307400,69.234589
"115",68.120003,71.370003,65.970001,70.120003,11914500,67.128448
"116",70.830002,72.239998,69.910004,71.699997,6080300,68.641029
"117",71.870003,72.730003,71.309998,71.400002,3962000,68.353813
"118",71.379997,72.379997,71.230003,71.730003,3030000,68.669762
"119",71.5,71.699997,70.690002,71.080002,2529900,68.047485
"120",70.93,71.120003,69.510002,69.75,7813400,66.774223
"121",70.059998,70.959999,69.510002,70.410004,3159500,67.406075
"122",70.25,71.919998,70.199997,70.790001,2724300,67.769852
"123",71.269997,72.059998,70.75,71.480003,2543600,68.43042
"124",71.480003,71.809998,70.629997,70.839996,2957100,67.817734
"125",71.300003,72.489998,71.050003,72.089996,2808800,69.014374
"126",72.529999,73,71.669998,71.93,1222300,68.861214
"127",72.010002,72.290001,70.830002,71.239998,2707900,68.200661
"128",71.080002,71.220001,69.860001,70.029999,1811000,67.042282
"129",70.139999,70.550003,69.75,70.230003,1563000,67.484299
"130",70.019997,70.150002,68.690002,69.489998,3478400,66.773239
"131",69.5,69.949997,68.889999,69.040001,7778300,66.34082
"132",69.410004,69.949997,69.110001,69.690002,3121600,66.965416
"133",70.550003,71.279999,70.410004,70.580002,3073500,67.820618
"134",70.599998,71.379997,70.57,71.139999,3156400,68.358734
"135",71.139999,72.470001,71.010002,71.870003,2210900,69.060181
"136",71.639999,71.690002,70.449997,70.800003,1921400,68.032013
"137",71.010002,71.550003,70.839996,71.389999,1588100,68.59893
"138",71.589996,71.68,71.029999,71.349998,2166800,68.560516
"139",71.25,72.389999,71.050003,72.199997,3191800,69.377274
"140",71.980003,72.300003,71.550003,71.980003,2108600,69.165878
"141",72.239998,73.980003,71.860001,73.57,1804600,70.693718
"142",73.449997,74.669998,72.919998,74.599998,2163400,71.683449
"143",74.599998,75.279999,74.089996,75.120003,2295800,72.183121
"144",74.779999,75.269997,74.07,74.75,2045500,71.827583
"145",75.129997,75.529999,74.339996,75.160004,1583000,72.22155
"146",75.580002,76.5,75.220001,75.519997,3175400,72.567467
"147",75.309998,75.989998,74.610001,74.709999,3023300,71.789139
"148",74.839996,75.370003,74.43,74.489998,1699800,71.577736
"149",74.75,74.940002,74.099998,74.860001,1378000,71.933289
"150",74.889999,76.540001,74.639999,76.410004,2055100,73.422691
"151",76.510002,77.309998,76.43,76.690002,2454100,73.69175
"152",76.209999,77.290001,75.550003,77.150002,2527400,74.133766
"153",76.32,76.910004,75.540001,75.580002,2308000,72.62513
"154",75.389999,76.139999,75,75.489998,1747900,72.538651
"155",76.230003,76.989998,75.860001,76.57,3117500,73.576431
"156",76.57,76.57,73.540001,73.639999,4004600,70.760986
"157",74.209999,74.830002,73.75,74.5,2799500,71.587364
"158",74.230003,74.720001,73.370003,74.269997,3931100,71.366356
"159",73.919998,74.440002,73.470001,73.82,2282800,70.933952
"160",74.150002,75.190002,73.830002,74.709999,1898300,71.789139
"161",75.150002,76.480003,75.129997,76.459999,2729800,73.470734
"162",76,76.410004,75.440002,76.330002,2031700,73.345825
"163",79.260002,79.699997,75.120003,75.690002,4917500,72.73082
"164",76.389999,77.839996,75.360001,77.669998,2479000,74.633423
"165",77.739998,78.620003,77.32,77.370003,2803700,74.345184
"166",76.68,77.25,76.279999,76.889999,2378500,73.883911
"167",76.709999,76.980003,75.910004,76.730003,4236900,73.730186
"168",72.5,73.690002,70.300003,72.559998,12436500,69.723183
"169",72.779999,73.449997,71.800003,72.540001,3696500,69.703979
"170",72.239998,74.650002,72.239998,74.360001,3461200,71.452843
"171",74.699997,75.589996,74.449997,75.290001,2536900,72.346466
"172",75.519997,76.410004,75.129997,76.389999,3447800,73.403458
"173",76.290001,76.849998,74.32,75.559998,5110300,72.605911
"174",75.790001,76.360001,75.5,75.970001,4155700,72.999893
"175",76.089996,77.860001,75.849998,76.959999,2840900,73.951172
"176",76.970001,78.660004,76.82,77.839996,3632300,74.796783
"177",77.440002,77.660004,76.82,77.230003,2359000,74.210625
"178",76.910004,77.800003,76.580002,77.599998,4146400,74.56617
"179",77.709999,78.830002,77.25,77.279999,3515600,74.258667
