"","DHI.Open","DHI.High","DHI.Low","DHI.Close","DHI.Volume","DHI.Adjusted"
"1",27.709999,27.799999,27.209999,27.559999,3225300,26.043528
"2",27.75,28.469999,27.629999,28.23,7423300,26.676661
"3",28.09,28.379999,28.08,28.35,3815300,26.790062
"4",28.209999,28.43,27.799999,27.85,5339500,26.317568
"5",27.799999,28.15,27.610001,27.959999,4461000,26.421518
"6",28.139999,28.379999,27.879999,28.15,3319900,26.601065
"7",28.1,28.719999,27.969999,28.610001,5440200,27.035757
"8",28.51,28.75,27.98,28.690001,4171300,27.111351
"9",28.610001,28.799999,28.42,28.5,2360900,26.931807
"10",28.4,28.76,28.25,28.57,3699900,26.997955
"11",28.559999,28.68,28.370001,28.5,2951700,26.931807
"12",28.530001,28.82,27.969999,28.01,4121800,26.468767
"13",28.08,28.379999,28.030001,28.309999,4869400,26.752262
"14",28.4,28.860001,28.33,28.74,6132700,27.1586
"15",29.860001,30.83,29.51,30.639999,11197400,28.954052
"16",30.91,31.66,30.700001,31.370001,7794500,29.643892
"17",31.469999,31.9,31.17,31.35,7853000,29.624983
"18",31.440001,31.48,30.83,30.940001,4262600,29.237543
"19",30.860001,30.860001,30.23,30.709999,4935900,29.020201
"20",30.610001,30.629999,29.780001,29.91,7352000,28.264219
"21",30,30.110001,29.5,29.68,6006600,28.140961
"22",29.82,30.139999,29.620001,29.879999,5309800,28.330585
"23",30.1,30.219999,29.780001,29.889999,3184400,28.340069
"24",29.860001,29.99,29.469999,29.49,4324300,27.960815
"25",29.629999,29.690001,29.290001,29.42,4037000,27.894444
"26",29.459999,29.93,29.370001,29.889999,3697600,28.340069
"27",29.889999,30.190001,29.540001,30.120001,3483000,28.558144
"28",30.200001,30.959999,30.15,30.82,4099600,29.221842
"29",31,31.049999,30.370001,30.42,3376300,28.84259
"30",30.200001,30.450001,29.950001,30.110001,4911400,28.548662
"31",30.110001,30.92,29.99,30.76,4986700,29.164957
"32",30.76,30.9,30.370001,30.43,2858600,28.852072
