"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"1",78.440002,78.949997,78.220001,78.779999,2841700,76.899651
"2",78.730003,79.779999,78.650002,79.279999,3195400,77.387711
"3",79.290001,80.050003,79.139999,80.010002,3389100,78.100288
"4",79.989998,80.720001,79.730003,80.43,2103600,78.510254
"5",80.400002,80.690002,80.25,80.589996,2317400,78.666428
"6",80.470001,81.32,80.360001,81.099998,3497800,79.164253
"7",81.010002,81.769997,80.639999,81.349998,2780000,79.408287
"8",81.050003,81.449997,80.709999,81.290001,3597000,79.349739
"9",81.279999,81.589996,81.080002,81.360001,2466000,79.418068
"10",81,81.080002,80.260002,80.910004,3215700,78.978806
"11",81.5,81.599998,81,81.190002,2118000,79.252121
"12",81.089996,81.300003,80.230003,80.599998,2930100,78.676186
"13",80.839996,80.910004,80.120003,80.529999,2211400,78.607864
"14",80.32,80.5,79.860001,80,2455300,78.090538
"15",80.010002,80.440002,78.970001,80.029999,3009200,78.119812
"16",80.25,81.059998,80.169998,81.029999,2236200,79.09594
"17",80.860001,81.019997,80.550003,80.790001,1910100,78.861679
"18",80.959999,81.019997,80.5,80.959999,2277500,79.027611
"19",81.309998,81.339996,79.730003,80.360001,2314100,78.441925
"20",82.389999,84.110001,81.860001,83.919998,6236900,81.916954
"21",84.550003,84.739998,82.849998,83.540001,4643200,81.546021
"22",83.120003,83.870003,82.610001,83.699997,2380700,81.702187
"23",83.839996,83.959999,83.330002,83.690002,1713800,81.692444
"24",83.25,83.370003,82.559998,82.989998,2064700,81.009132
"25",83,83.300003,82.760002,83.080002,1739600,81.096992
"26",82.68,83.110001,82.57,82.980003,1699500,80.99939
"27",83.010002,84,82.910004,83.760002,2097400,81.76078
"28",83.769997,84.07,83.550003,83.980003,1338000,81.975548
"29",84.019997,84.279999,83.809998,84.190002,1467900,82.180511
"30",83.669998,84.290001,83.550003,84.099998,1326800,82.092659
"31",83.75,84.690002,83.639999,84.610001,2081000,82.590485
"32",84.580002,84.639999,83.639999,84.25,2485600,82.239082
"33",84.07,84.260002,83.68,84.050003,2342400,82.043861
"34",84.529999,85.07,84.32,84.75,2307600,82.727142
"35",84.639999,84.919998,84.5,84.800003,2066500,82.775955
"36",85,85.190002,84.629997,85.129997,1787800,83.098061
"37",85.32,86.080002,85.010002,86.080002,1973400,84.025383
"38",85.919998,86.330002,85.769997,86.129997,1740800,84.074203
"39",85.870003,86.059998,85.43,85.550003,2278500,83.508057
"40",86.550003,87.589996,86.260002,87.260002,2560800,85.177231
"41",86.980003,87,86.449997,86.620003,1529100,84.552521
"42",86.669998,86.959999,86.209999,86.830002,2193400,84.757515
"43",86.190002,86.489998,85.639999,86.089996,2217900,84.035156
"44",85.980003,86.330002,85.75,86.07,1588600,84.01564
"45",86.029999,86.800003,85.889999,86.620003,1871900,84.552521
"46",86.519997,87.440002,86.519997,87.309998,2310200,85.226036
"47",87.540001,88.010002,87.339996,87.760002,2241000,85.665298
"48",87.589996,87.690002,86.949997,87.5,1632500,85.411507
"49",87.279999,87.279999,86.440002,86.860001,1669800,84.786774
"50",87.059998,87.800003,87,87.470001,1781900,85.382225
"51",87.300003,87.470001,85.989998,86.400002,2648100,84.337769
"52",86.519997,86.870003,86.389999,86.669998,3107200,84.601318
"53",86.790001,86.889999,86.339996,86.470001,1536700,84.40609
"54",86.800003,87.07,85.910004,86.279999,1825800,84.220627
"55",86.410004,86.559998,85.82,86.32,1754500,84.259651
"56",86.32,86.660004,85.989998,86.300003,2195000,84.24015
"57",86.339996,86.879997,85.610001,86.010002,3112500,83.957062
"58",85.580002,86.239998,85.400002,86.040001,2097300,83.986351
"59",85.809998,86.059998,85.300003,85.889999,3073000,83.839928
"60",85.540001,85.839996,85.25,85.620003,1641000,83.712837
"61",85.669998,86.019997,85.410004,85.720001,2252800,83.810593
"62",85.209999,85.82,85.209999,85.529999,2174400,83.624832
"63",85.660004,85.949997,85.080002,85.480003,2563400,83.575966
"64",85.629997,85.629997,84.889999,85.269997,2563100,83.370628
"65",85.580002,86.589996,85.389999,85.769997,2522100,83.859489
"66",85.599998,86.279999,84.980003,86.129997,1997800,84.211472
"67",86.029999,86.349998,85.800003,86.07,1341500,84.152809
"68",86.18,86.360001,85.889999,86.110001,1635600,84.191925
"69",85.879997,86.220001,85.669998,86.209999,1277700,84.289673
"70",86.410004,86.410004,85.580002,85.75,1609700,83.839928
"71",85.510002,86.269997,85.440002,85.779999,1975100,83.869255
"72",85.93,86.720001,85.809998,86.699997,1660700,84.768768
"73",86.389999,86.639999,86.190002,86.540001,1875700,84.612343
"74",86.879997,86.989998,86.139999,86.440002,2583400,84.51458
"75",85.5,85.769997,82.849998,82.889999,8817000,81.043633
"76",82.889999,83.150002,81.580002,81.699997,7637400,79.88015
"77",82.650002,83.199997,82.120003,82.459999,5328600,80.623199
"78",82.800003,83.540001,82.650002,83.300003,6760400,81.444511
"79",83.660004,84,82.82,82.980003,4874400,81.13163
"80",83.169998,83.300003,82.779999,82.910004,2769600,81.063194
"81",82.919998,83.5,82.870003,83.330002,4264400,81.473831
"82",83.57,83.900002,83.120003,83.129997,4232700,81.278282
"83",83.400002,83.68,82.940002,83,3741900,81.151184
"84",83.029999,83.25,82.440002,82.809998,2218000,80.965431
"85",82.779999,84.139999,82.779999,84.080002,2997400,82.20713
"86",84.379997,84.389999,83.709999,83.860001,1632300,81.99202
"87",83.889999,83.900002,83.389999,83.389999,3284700,81.532509
"88",83.290001,83.620003,83.019997,83.169998,2448700,81.317398
"89",83.099998,83.459999,82.779999,83.209999,1749000,81.356506
"90",83.010002,83.209999,82.470001,82.779999,1974700,80.936096
"91",82.620003,83.089996,82.559998,82.839996,2134400,80.994736
"92",83.029999,83.559998,82.93,83.279999,2755100,81.424942
"93",83.230003,83.5,82.489998,83.010002,2005500,81.16098
"94",83.010002,83.010002,81.849998,81.900002,2156200,80.075699
"95",81.75,82.239998,81.360001,81.779999,2689400,79.958351
"96",82.040001,82.580002,81.709999,82.139999,3108300,80.310349
"97",82.139999,83.099998,82.050003,82.910004,3444800,81.063194
"98",83.300003,84.699997,83.169998,83.949997,2838900,82.080017
"99",84.400002,84.400002,83.809998,83.959999,2209700,82.089798
"100",83.949997,84.620003,83.660004,84.510002,1955000,82.627556
"101",84.309998,84.519997,84.050003,84.400002,1084100,82.520004
"102",84.190002,84.949997,83.910004,84.809998,2426400,82.920868
"103",85,85.480003,84.910004,84.940002,3838900,83.047989
"104",85.269997,86.480003,85.019997,86.099998,3334100,84.182137
"105",86.120003,87,86.080002,86.839996,2480200,84.905663
"106",86.800003,86.879997,86.510002,86.529999,1671000,84.602562
"107",86.269997,86.389999,85.699997,85.730003,2571500,83.820389
"108",85.309998,85.860001,85.309998,85.43,2687700,83.527069
"109",85.43,85.5,84.199997,84.559998,2574300,82.676445
