"","DISCK.Open","DISCK.High","DISCK.Low","DISCK.Close","DISCK.Volume","DISCK.Adjusted"
"1",27.040001,27.610001,27.040001,27.370001,1592900,27.370001
"2",27.360001,27.83,27.33,27.629999,1483900,27.629999
"3",27.43,27.49,26.52,26.6,1863400,26.6
"4",26.68,27.17,26.52,26.860001,1228200,26.860001
"5",26.82,26.879999,26.24,26.25,1506600,26.25
"6",26.18,26.190001,25.610001,25.76,1738900,25.76
"7",25.700001,26.02,25.559999,25.99,2257100,25.99
"8",25.780001,26.73,25.780001,26.65,1448200,26.65
"9",26.75,26.92,26.540001,26.82,1568700,26.82
"10",26.690001,27.190001,26.639999,27.139999,1075400,27.139999
"11",27.209999,27.540001,27.1,27.4,984300,27.4
"12",27.360001,27.57,27.110001,27.35,709800,27.35
"13",27.469999,27.58,27.209999,27.309999,890100,27.309999
"14",27.25,27.67,27.25,27.58,1246300,27.58
"15",27.58,27.889999,27.42,27.799999,817200,27.799999
"16",27.85,28.24,26.950001,27.049999,2502100,27.049999
"17",27.110001,27.549999,26.969999,27.280001,1189500,27.280001
"18",27.4,27.65,27.1,27.41,945400,27.41
"19",27.41,27.52,27.1,27.4,884900,27.4
"20",27.299999,28.030001,26.950001,27.709999,1595000,27.709999
"21",27.709999,27.92,27.110001,27.4,1112000,27.4
"22",27.32,27.4,27.01,27.16,1156600,27.16
"23",27.24,27.52,27.219999,27.440001,590800,27.440001
"24",27.42,27.58,27.219999,27.24,838700,27.24
"25",27.23,27.370001,26.889999,27.25,914100,27.25
"26",27.139999,27.25,26.620001,26.780001,1326000,26.780001
"27",26.870001,27.459999,26.870001,27.219999,1024000,27.219999
"28",27.209999,27.719999,27.139999,27.65,860100,27.65
"29",27.700001,28.25,27.67,28.1,1756400,28.1
"30",27.99,28.15,26.73,27.889999,2090400,27.889999
"31",27.85,28.25,27.68,27.889999,1345800,27.889999
"32",27.9,28.190001,27.42,27.99,1120100,27.99
"33",27.92,28.280001,27.9,28.09,712000,28.09
