"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"1",71.760002,71.959999,71.07,71.75,1971400,59.632378
"2",71.940002,72.599998,71.779999,72.360001,1790700,60.139362
"3",72.480003,72.730003,71.730003,72.099998,2270100,59.923271
"4",71.82,72.059998,71.559998,71.690002,2066200,59.582523
"5",71.910004,72.080002,70.93,71.019997,1251800,59.025661
"6",71.080002,71.330002,70.57,71.110001,1258200,59.100475
"7",71.07,72.309998,71.07,72.129997,1505500,59.948193
"8",72.059998,72.489998,71.830002,72.379997,1176400,60.155972
"9",72.239998,72.489998,71.610001,72.099998,979300,59.923271
"10",72.389999,72.889999,72.290001,72.510002,1673400,60.264027
"11",72.610001,72.949997,72.18,72.300003,1173500,60.0895
"12",72.099998,72.550003,71.540001,71.720001,1219100,59.607452
"13",71.870003,72.309998,71.57,71.970001,921200,59.815216
"14",72.080002,72.160004,71.629997,71.82,1037200,59.690559
"15",71.720001,72.110001,71.480003,72,1522500,59.840164
"16",71.75,71.989998,71.550003,71.730003,862000,59.615761
"17",71.800003,72.269997,71.589996,71.959999,1061600,59.806923
"18",72.330002,72.330002,71.790001,72,1047500,59.840164
"19",72.290001,72.290001,71.349998,71.93,993200,59.781975
"20",72.059998,72.900002,71.730003,72.879997,2880900,60.571529
"21",72.349998,72.580002,71.5,71.599998,1413200,59.507717
"22",71.769997,72.650002,71.480003,72.610001,1931400,60.347141
"23",72,72.739998,71.800003,72.540001,2098300,60.288975
"24",72.830002,73.160004,72.389999,72.75,1531800,60.463501
"25",72.730003,73.120003,72.510002,73.050003,1801000,60.712826
"26",73.699997,75.089996,73.589996,74.830002,3261400,62.1922
"27",74.830002,74.989998,74.32,74.760002,1849100,62.134033
"28",74.239998,75.230003,74.110001,75.209999,1598300,62.50803
"29",75.199997,75.639999,74.980003,75.559998,1242100,62.798923
"30",75.57,75.610001,74.839996,75.389999,1483300,62.657642
"31",74.830002,75.099998,74.260002,74.980003,1890700,62.316872
"32",75.129997,75.82,75.099998,75.790001,1254300,62.990082
"33",75.82,76.43,75.82,76.339996,1984400,63.447193
"34",76.040001,77.349998,75.910004,77.220001,1852900,64.178558
"35",77.5,77.639999,76.510002,77.190002,3380000,64.153633
"36",77.57,78.040001,77.389999,77.900002,1750900,64.743736
"37",78.129997,78.940002,78.050003,78.870003,1926200,65.549911
"38",78.93,79.209999,78.480003,79,1530400,65.657951
"39",79.029999,79.940002,78.940002,79.739998,2506800,66.272964
"40",78.919998,79.980003,78.449997,79.379997,2710000,65.973778
"41",78.940002,80.610001,78.889999,79.919998,2041800,66.422562
"42",79.860001,79.989998,78.870003,79.489998,1821300,66.065193
"43",79.400002,79.610001,79.099998,79.349998,1567400,65.948845
"44",79.300003,79.620003,79.129997,79.25,1820600,65.86573
"45",78.760002,78.760002,77.949997,78.120003,1868900,64.92659
"46",78.150002,78.540001,77.93,78,1631300,64.826828
"47",78.510002,78.980003,78.199997,78.809998,1586900,65.500038
"48",78.75,79.190002,78.599998,79.080002,1233400,65.724457
"49",78.720001,78.720001,77.889999,78.419998,3502900,65.175896
"50",78.779999,80.040001,78.519997,79.809998,2573800,66.331139
"51",79.5,79.610001,78.900002,79.18,1610000,65.807549
"52",79.260002,79.910004,79.139999,79.599998,3897600,66.156639
"53",79.699997,79.860001,78.540001,78.800003,1691300,65.49173
"54",78.650002,79.809998,78.529999,79.559998,1786100,66.123383
"55",79.900002,80.529999,79.599998,79.860001,1867900,66.372704
"56",79.739998,80.540001,79.540001,80.190002,1971500,66.646996
"57",79.989998,80.989998,79.949997,80.709999,1266500,67.079163
"58",80.980003,81.330002,80.160004,80.5,1334400,66.904625
"59",80.309998,80.980003,80.010002,80.900002,1421300,67.237076
"60",80.150002,80.199997,79.550003,79.82,1669300,66.787735
"61",79.620003,79.760002,79.150002,79.489998,991600,66.51162
"62",79.43,80.07,79.43,79.610001,1217400,66.612015
"63",79.620003,79.949997,78.849998,79.949997,2214700,66.896515
"64",79.860001,80.330002,79.620003,79.970001,1550500,66.913254
"65",79.949997,80.68,79.620003,80.589996,1613600,67.432014
"66",80.309998,80.800003,80.029999,80.459999,2141200,67.323242
"67",80.620003,80.860001,80.230003,80.25,2044400,67.147537
"68",80.230003,80.25,79.699997,80.080002,1288200,67.005295
"69",80.010002,80.190002,79.610001,79.989998,1318100,66.929985
"70",79.669998,80.849998,79.519997,80.800003,1105100,67.607742
"71",80.550003,80.790001,80.059998,80.309998,1257500,67.197746
"72",80.57,80.849998,80.370003,80.669998,1414300,67.498955
"73",80.709999,81.190002,80.599998,80.870003,1459000,67.666306
"74",80.93,81,80.410004,80.620003,1284700,67.45713
"75",80.620003,80.620003,79.800003,80.309998,1036900,67.197746
"76",80.25,80.82,80.169998,80.599998,1617600,67.440392
"77",80.519997,81.059998,80,80.940002,1539200,67.724869
"78",80.620003,81.059998,80.410004,80.82,1387400,67.624458
"79",80.830002,80.940002,80.07,80.190002,1876400,67.097343
"80",80.290001,80.959999,80.169998,80.349998,1708100,67.231216
"81",80.360001,80.699997,79.839996,79.970001,1604100,66.913254
"82",80.139999,80.139999,79.150002,79.239998,1541300,66.302429
"83",80.43,80.550003,78.779999,79.110001,1497700,66.19368
"84",79.029999,79.269997,78.730003,78.82,1144700,65.951004
"85",78.669998,79.849998,78.57,79.779999,1712300,66.754272
"86",80,80.099998,79.389999,79.699997,1364200,66.687332
"87",79.93,79.93,79.150002,79.599998,968000,66.603668
"88",79.459999,79.970001,79.220001,79.529999,1312000,66.545097
"89",79.589996,79.93,78.410004,79.040001,2263000,66.135086
"90",78.839996,78.849998,77.690002,78.57,2609700,65.741829
"91",78.620003,78.970001,78.480003,78.779999,1530700,65.917526
"92",78.68,79.150002,78.5,78.720001,1760500,65.867332
"93",78.760002,78.989998,77.870003,77.870003,1655900,65.15612
"94",77.870003,78.150002,77.209999,77.589996,2195100,64.921829
"95",77.82,78.470001,77.43,77.959999,1571600,65.23143
"96",77.959999,78.239998,77.389999,78.199997,2151000,65.432243
"97",77.919998,79.080002,77.919998,78.910004,1702300,66.026299
"98",78.849998,79.559998,78.709999,78.82,1358100,65.951004
"99",79.019997,79.339996,78.889999,79.220001,1106300,66.28569
"100",79.169998,80.099998,78.980003,79.949997,789500,66.896515
"101",79.860001,80.239998,79.75,79.959999,775800,66.904877
"102",79.889999,80.809998,79.839996,80.669998,1357800,67.498955
"103",80.620003,81.720001,80.620003,81.57,2596100,68.251999
"104",81.309998,82.150002,81.040001,82.150002,1934300,68.73732
"105",82.690002,82.82,81.57,82.010002,1809700,68.620171
"106",81.82,82.190002,81.68,81.839996,1509000,68.477921
"107",81.980003,82.269997,81.43,81.510002,1394500,68.201828
"108",81.529999,82.019997,81.459999,81.830002,1376800,68.469566
"109",81.830002,81.830002,80.589996,81.419998,1413000,68.126511
"110",81.199997,81.440002,80.480003,81.290001,1829000,68.017738
"111",81.260002,81.32,79.720001,80.43,2125100,67.298149
"112",80.209999,80.349998,79.760002,80.300003,1381500,67.189384
"113",80.959999,81.480003,80.400002,80.879997,1703700,67.674667
"114",80.830002,82.050003,80.709999,81.980003,1939900,68.595078
"115",82.260002,82.589996,81.900002,82.18,2479100,68.762421
"116",82.330002,82.339996,81.610001,81.900002,1203800,68.528145
"117",81.93,82.279999,81.760002,81.779999,1048800,68.427734
"118",81.889999,82.059998,81.199997,81.449997,1260700,68.151604
"119",81.279999,81.75,80.839996,80.889999,1013000,67.683022
"120",80.860001,81.080002,79.82,80.029999,2122700,66.96344
"121",80.050003,80.970001,79.93,80.470001,1576000,67.331604
"122",80.120003,80.379997,79.050003,79.059998,2260500,66.151833
"123",78.849998,79.010002,78.029999,78.089996,1829400,65.792061
"124",77.809998,78.480003,77.260002,78.160004,2909200,65.851067
"125",78.32,78.980003,78.190002,78.190002,2024700,65.87632
"126",78.400002,78.459999,77.18,77.18,963300,65.025375
"127",77.230003,77.580002,76.639999,76.889999,1577300,64.781044
"128",76.669998,76.839996,76.440002,76.669998,1053800,64.595703
"129",76.669998,77.220001,76.57,76.830002,953600,64.730492
"130",76.970001,77.110001,76.410004,76.440002,1201500,64.401909
"131",76.690002,77,76.379997,76.550003,1610100,64.494606
"132",77.239998,77.400002,76.529999,76.589996,1709300,64.528305
"133",77.029999,78.470001,76.879997,77.529999,2912800,65.320244
"134",78.029999,78.32,77.379997,77.449997,1903000,65.252861
"135",77.389999,77.93,77.32,77.839996,1733800,65.581429
"136",77.919998,78.139999,77.629997,77.860001,1576400,65.598289
"137",78.040001,78.089996,77.650002,78.07,966300,65.77523
"138",78.230003,78.489998,78.059998,78.449997,1134400,66.095383
"139",78.360001,79.010002,78.230003,78.980003,1467800,66.541916
"140",78.93,78.959999,78.419998,78.480003,1729600,66.120651
"141",78.32,78.610001,78.080002,78.389999,1723000,66.04483
"142",78.459999,78.980003,78.139999,78.910004,1276200,66.482941
"143",78.760002,79.25,78.410004,79.220001,1312500,66.74411
"144",78.879997,79.349998,78.129997,78.25,2742300,65.926872
"145",77.75,78.940002,77.75,78.68,1398500,66.289154
"146",78.879997,79.330002,78.620003,78.879997,1890800,66.457649
"147",78.519997,78.919998,78.139999,78.739998,1293200,66.339691
"148",78.580002,79.440002,78.379997,79.440002,1426500,66.929466
"149",79.18,79.360001,78.669998,79.290001,717100,66.803078
"150",79.239998,79.459999,78.940002,79.440002,733900,66.929466
"151",79.18,79.800003,79.18,79.790001,587200,67.22435
"152",79.989998,79.989998,79.339996,79.449997,1154400,66.937874
"153",79.43,79.830002,79.150002,79.669998,1118300,67.123245
"154",80.07,80.260002,79.25,79.529999,1239600,67.005287
"155",79.419998,80.610001,79.260002,80.519997,2111800,67.839386
"156",80.260002,81.330002,79.339996,79.919998,3617000,67.333885
"157",79.849998,80.120003,79.599998,79.769997,2082400,67.207489
"158",79.809998,80.07,78.699997,79.010002,2564500,66.567184
"159",79.089996,79.330002,78.830002,78.940002,3203800,66.508217
"160",78.970001,79.949997,78.910004,79.779999,1996800,67.215935
