"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"1",75.839996,76.629997,74.900002,75.919998,1270600,65.956009
"2",76.269997,77.349998,76.18,77.18,980600,67.050644
"3",77.269997,78.019997,76.830002,77.480003,2053800,67.311279
"4",77.620003,77.900002,76.970001,77.5,1112200,67.328651
"5",77.32,78.330002,76.529999,76.610001,1233300,66.555458
"6",76.82,77.629997,76.550003,77.330002,1021700,67.180969
"7",77.589996,79.150002,77.440002,79.07,1656700,68.692596
"8",78.709999,79.230003,76.989998,78.32,1367400,68.041023
"9",78.32,78.660004,77.599998,77.889999,857900,67.667458
"10",77.800003,77.900002,76.860001,76.940002,1475900,66.84214
"11",77.209999,77.540001,76.82,77.190002,1265800,67.059334
"12",77.330002,77.5,75.830002,76.019997,1933400,66.042877
"13",76.5,77.610001,76.019997,76.739998,2367000,66.668381
"14",76.900002,77.389999,76.239998,76.769997,1018600,66.694458
"15",77.269997,78.550003,77.010002,78.220001,1293900,67.954155
"16",78.57,79.459999,78.080002,79.389999,1630400,68.970589
"17",79.389999,80.480003,78.870003,80.290001,2245600,69.75248
"18",76.589996,78.459999,74.779999,77.699997,3752300,67.502388
"19",76.989998,77.75,76.620003,77.620003,1359100,67.432907
"20",77.599998,78.580002,76.809998,77.5,1626800,67.328651
"21",77.800003,78.580002,77.559998,78.300003,1377700,68.023674
"22",77.879997,78.360001,77.160004,77.620003,1151000,67.432907
"23",77.75,78.690002,77.580002,77.900002,1012800,67.676163
"24",77.830002,78.629997,77.57,78.449997,962300,68.153969
"25",77.970001,78.720001,77.43,77.690002,1104100,67.493729
"26",77.629997,77.870003,77.139999,77.849998,711300,67.632698
"27",77.849998,78.769997,77.849998,78.480003,665100,68.180031
"28",78.919998,79.5,78.879997,79.360001,789500,68.944542
"29",79.639999,80.410004,79.519997,80.059998,916700,69.552658
"30",79.599998,80.639999,79.57,80.580002,812300,70.004417
"31",80.370003,80.919998,80.07,80.879997,1358700,70.265053
"32",80.860001,81.080002,80.389999,80.599998,917600,70.02179
"33",80.629997,80.629997,79.68,80.25,878800,69.717735
"34",80.230003,81.050003,80.160004,80.93,1046700,70.308479
"35",80.470001,81.449997,80.349998,80.459999,996000,69.900169
"36",80.93,81.209999,79.910004,80.139999,728800,69.622162
"37",79.440002,80.239998,79.349998,80.160004,643700,69.639549
"38",80.25,80.709999,79.779999,79.970001,803400,69.474472
"39",79.57,80.419998,79.400002,80.25,983600,69.717735
"40",81.199997,82.099998,81.169998,81.470001,1434400,70.777596
"41",81.360001,81.720001,79.68,79.709999,1410100,69.248596
"42",79.800003,80.449997,79.709999,80.349998,1133700,69.804604
"43",79.589996,80.059998,79.220001,79.529999,836800,69.092224
"44",79.480003,79.629997,78.910004,78.919998,980500,68.562279
"45",78.93,79.279999,78.300003,78.32,914700,68.041023
"46",78,78.330002,77.260002,77.540001,1175600,67.363396
"47",77.900002,78.309998,77.449997,77.629997,1386100,67.441582
"48",77.5,78.019997,76.690002,77.629997,2277600,67.887573
"49",77.309998,77.519997,76.660004,77.300003,851300,67.598999
"50",78.269997,78.919998,77.540001,78.639999,997400,68.770828
"51",78.919998,79.339996,78.139999,78.889999,970800,68.989456
"52",79.300003,79.779999,78.940002,79.169998,1355700,69.234306
"53",79.169998,79.43,78.57,78.830002,994500,68.936981
"54",78.910004,79.18,77.199997,77.5,1176400,67.773895
"55",77.410004,78.019997,76.839996,77.82,1261500,68.053734
"56",77.809998,78.480003,77.25,78.029999,854000,68.237389
"57",78.040001,78.489998,76.800003,77.18,816800,67.494049
"58",76.540001,78.160004,76.019997,77.93,954500,68.14994
"59",77.93,80.220001,77.93,79.830002,2743300,69.811485
"60",79.900002,80.870003,79.730003,80.459999,1436900,70.362419
"61",80.459999,81.809998,80.279999,81.080002,1927700,70.904625
"62",80.830002,81.300003,80.440002,80.800003,1583300,70.659744
"63",80.839996,81.190002,79.410004,79.959999,969300,69.925163
"64",79.949997,80.720001,79.650002,80.25,835700,70.17878
"65",80.860001,81.089996,79.519997,79.720001,1076600,69.715286
"66",79.82,80.489998,79.669998,80.209999,827600,70.143799
"67",79.860001,80.5,79.580002,80.339996,673000,70.257462
"68",80.470001,80.730003,80.120003,80.330002,493100,70.248749
"69",80.290001,80.669998,79.459999,80.169998,681700,70.108803
"70",80.160004,80.190002,78.230003,78.690002,1127800,68.814545
"71",78.5,79.019997,77.779999,77.93,585100,68.14994
"72",78.099998,78.550003,77.889999,78.290001,607700,68.464767
"73",77.93,78.870003,77.610001,78.739998,985700,68.858276
"74",79.099998,79.5,78.449997,78.580002,1024800,68.718361
"75",79.160004,79.970001,78.839996,79.639999,828600,69.645332
"76",79.839996,79.910004,79.080002,79.309998,643300,69.356743
"77",80.269997,81.739998,80.260002,81.230003,1388700,71.035789
"78",81.879997,82.389999,81.510002,81.629997,1080300,71.385582
"79",81.470001,81.739998,81.050003,81.440002,929900,71.219421
"80",81.169998,81.910004,80.75,81.660004,1450400,71.411835
"81",82.080002,82.199997,79.639999,79.75,1826600,69.741531
"82",80.129997,80.699997,79.800003,80.370003,1138200,70.283722
"83",80.029999,80.860001,79.470001,79.93,1179600,69.898918
"84",79.809998,80.07,77.989998,78.580002,1111200,68.718361
"85",78.589996,78.669998,77.730003,78.110001,965700,68.30735
"86",78.370003,79.639999,78.230003,79.610001,914500,69.619095
"87",79.720001,79.889999,79.150002,79.279999,1919300,69.330521
"88",79.279999,79.709999,78.239998,78.389999,1138500,68.552185
"89",78.480003,79.190002,78.449997,78.760002,1108300,68.875778
"90",78.669998,78.839996,77.360001,77.849998,1286800,68.079956
"91",77.769997,78.269997,77.440002,77.510002,899600,67.782654
"92",78.019997,79.099998,77.949997,78.620003,866100,68.753349
"93",78.720001,79.860001,78.720001,79.559998,1286000,69.575371
"94",79.559998,79.559998,77.120003,77.260002,1289500,67.564011
"95",76.889999,77.800003,76.110001,77.25,862300,67.555283
"96",77.699997,78.949997,77.480003,78.57,1025300,68.70961
"97",79.32,79.739998,78.389999,79,1521300,69.085663
"98",79.269997,80,78.989998,79.589996,1093500,69.601593
"99",79.57,80.300003,79.129997,79.510002,861600,69.531631
"100",79.650002,80.150002,79.18,79.669998,1108300,69.67157
"101",79.839996,80.410004,79.410004,79.910004,832300,69.881462
"102",79.739998,80.110001,79.230003,79.959999,1536200,69.925163
"103",79.879997,80.18,78.589996,80.110001,1594600,70.056351
"104",80.559998,82.150002,80.360001,81.150002,1724200,70.965836
"105",80.699997,81.349998,80.489998,81.110001,1379400,70.930847
"106",80.830002,81.269997,80.099998,80.540001,1392400,70.432388
"107",80.230003,80.760002,79.93,80.279999,967700,70.205009
"108",80.489998,81.120003,80.040001,80.760002,1095700,70.624779
"109",80.760002,81.760002,80.360001,81.349998,956600,71.140732
"110",81.769997,82.940002,81.330002,82.559998,1075400,72.198883
"111",82.629997,83.919998,82.480003,83.080002,1792400,72.653633
"112",82.760002,84.07,82.620003,83.839996,1653600,73.771088
"113",83.699997,83.82,82.199997,82.879997,1384300,72.926384
"114",81.82,82.690002,81.389999,82.309998,1212200,72.424843
"115",82.550003,83.059998,81.959999,83.050003,1709700,73.075966
"116",84.790001,86.279999,84.75,86,2223600,75.671692
"117",85.199997,85.940002,84.769997,85.129997,1741300,74.906158
"118",85.360001,85.360001,83.110001,83.230003,1144000,73.234375
"119",83.239998,83.550003,82.720001,82.849998,966500,72.899994
"120",83.080002,83.440002,82.330002,82.970001,1772700,73.005577
"121",83.440002,83.830002,82.540001,83.730003,920500,73.674324
"122",83.790001,84.160004,83.5,83.519997,597800,73.489525
"123",84.209999,84.910004,84.139999,84.260002,725900,74.140656
"124",84.830002,84.989998,83.089996,83.400002,783500,73.383934
"125",83.889999,84.449997,83.480003,83.989998,708700,73.903091
"126",84.610001,85.110001,84.379997,84.5,376500,74.35183
"127",84.540001,84.779999,82.57,83.559998,1290000,73.524719
"128",83.360001,84.440002,83.040001,83.599998,1239200,73.559921
"129",83.989998,84.099998,83.379997,83.900002,897300,73.823891
"130",83.629997,84.879997,83.290001,84.639999,634500,74.475021
"131",84.660004,85.290001,84.349998,85,790700,74.791779
"132",85.480003,86.059998,84.980003,85.800003,1278900,75.495705
"133",85.849998,86.07,85.080002,85.150002,739900,74.923782
"134",85.529999,85.709999,85.07,85.400002,653300,75.143745
"135",85.309998,85.599998,85.050003,85.239998,505900,75.00296
"136",85.040001,85.220001,84.480003,85.080002,593000,74.862175
"137",85.239998,86.309998,85.110001,86.150002,828100,75.803665
"138",86.089996,86.089996,85,85.68,536800,75.390114
"139",85.190002,85.769997,85.120003,85.650002,610100,75.363724
"140",85.639999,85.989998,85.220001,85.800003,526900,75.495705
"141",86.5,86.599998,85.529999,86.120003,765100,75.777275
"142",86.160004,86.220001,84.940002,85.050003,915400,74.83577
"143",85.110001,85.279999,84.220001,85.019997,1347300,74.809387
"144",84,84.419998,81.910004,83.029999,1683700,73.05838
"145",83.599998,84.160004,83.129997,83.160004,1074000,73.172768
"146",83.330002,83.860001,82.900002,83.660004,952600,73.612709
"147",83.459999,84.300003,83.110001,83.879997,961900,73.806282
"148",84.010002,84.419998,83.75,83.919998,947000,73.841484
"149",84.470001,84.959999,83.870003,84.07,1366200,73.973465
"150",84.150002,85.120003,84.110001,84.449997,867100,74.307816
"151",84.150002,84.889999,83.75,84.120003,657700,74.017471
"152",84.07,84.639999,83.790001,84.260002,803700,74.140656
"153",83.769997,84.099998,83.099998,83.25,1003900,73.251968
"154",83.059998,83.650002,82.330002,83.209999,1083800,73.216751
"155",83.720001,84.639999,83.690002,84.260002,546200,74.140656
"156",84.290001,84.959999,83.050003,84.839996,766900,74.650986
"157",85,85.610001,85,85.269997,974200,75.029358
"158",84.75,84.870003,82.68,82.769997,1426700,72.829582
"159",82.730003,83.25,82.400002,82.900002,1015400,72.943985
"160",82.93,83.440002,82.580002,83.129997,1616700,73.146347
"161",83.5,84.589996,83.5,84.139999,798500,74.035049
"162",83.779999,84.919998,83.779999,84.379997,684100,74.246231
