"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"1",64.870003,64.870003,63.220001,63.630001,3005100,54.280388
"2",63.84,64.419998,63.32,64.279999,1934000,54.834873
"3",63.970001,65.199997,63.34,65.150002,1693800,55.577042
"4",64.970001,65.709999,64.720001,65.379997,1638000,55.773243
"5",65.260002,65.290001,64.459999,64.470001,1777900,54.996964
"6",63.98,64.419998,63.5,63.880001,1958800,54.493649
"7",63.84,64.099998,63.290001,63.310001,2235600,54.007404
"8",63.189999,64.400002,62.759998,64.110001,2286700,54.689857
"9",63.939999,63.98,63.040001,63.389999,1534900,54.075649
"10",63.540001,63.950001,63.080002,63.48,2156600,54.152428
"11",63.509998,64.129997,63.139999,63.599998,2113700,54.254803
"12",63.369999,63.52,62.950001,63,1940900,53.742954
"13",63.200001,63.77,62.84,63.360001,2100700,54.05006
"14",63.169998,63.369999,62.650002,63.02,2037100,53.760025
"15",63.080002,63.150002,62.040001,62.290001,2848900,53.13728
"16",62.279999,62.529999,61.540001,61.700001,2656300,52.633976
"17",61.98,62.099998,61.400002,61.52,2200700,52.480438
"18",61.66,61.889999,60.66,61.02,2565100,52.053902
"19",60.82,61.02,60.380001,60.700001,3167700,51.780918
"20",60.77,61.610001,60.48,60.77,2923000,51.840626
"21",60.740002,61.029999,59.490002,59.900002,4693200,51.098473
"22",59.779999,61,59.759998,60.759998,3153600,51.832092
"23",61.16,61.5,59.830002,60.380001,3078200,51.507931
"24",60.360001,60.810001,60.060001,60.560001,1676800,51.661484
"25",60.48,60.84,60.18,60.66,2088500,51.746796
"26",60.860001,61.799999,60.650002,61.419998,2895000,52.395115
"27",61.419998,61.610001,61.130001,61.41,1490300,52.386585
"28",61.299999,61.939999,61.080002,61.93,1585000,52.830177
"29",61.900002,62.310001,60.939999,62.139999,2307000,53.009323
"30",61.700001,62.119999,61.110001,62,1434200,52.889889
"31",61.610001,61.810001,60.880001,61.66,1356700,52.599861
"32",61.599998,62.25,61.599998,61.880001,1041400,52.787529
"33",62.009998,62.150002,61.130001,61.580002,1365600,52.531612
"34",61.439999,62.549999,61.290001,62.419998,1524800,53.248184
"35",62.509998,62.860001,61.290001,61.93,1459100,52.830177
"36",62.209999,62.759998,62.09,62.759998,1310500,53.538223
"37",62.599998,62.790001,62.279999,62.779999,1171500,53.555283
"38",62.919998,63.599998,62.66,63.259998,1456200,53.964745
"39",63.220001,63.5,62.869999,63.07,1805800,53.802681
"40",62.93,63.779999,62.419998,63.02,2442000,53.760025
"41",62.889999,63.540001,62.610001,63.259998,1851000,53.964745
"42",62.990002,62.990002,61.560001,62.32,2087100,53.162872
"43",62.150002,62.779999,61.889999,62.419998,1452200,53.248184
"44",62.290001,62.57,61.959999,62.549999,1374300,53.359074
"45",62.240002,62.82,62.02,62.669998,2444600,53.461449
"46",62.740002,62.939999,62.07,62.130001,2774400,53.000797
"47",62.130001,63.189999,61.360001,61.959999,2780200,52.855766
"48",62.09,62.919998,62,62.57,3129200,53.376144
"49",62.509998,62.900002,62.220001,62.330002,2214600,53.171402
"50",62.259998,63.669998,62.259998,63.419998,1659000,54.10125
"51",63.34,63.959999,63.16,63.389999,1518300,54.075649
"52",63.59,63.98,63.259998,63.43,2604200,54.109776
"53",63.540001,63.740002,63.07,63.189999,1118900,53.905033
"54",63.299999,63.549999,62.970001,62.990002,2103400,53.734432
"55",63.279999,63.459999,62.849998,63.369999,1568600,54.058598
"56",62.889999,63.48,62.689999,63.150002,1645000,54.302799
"57",63.349998,63.560001,62.84,62.939999,1738700,54.122227
"58",62.84,63.060001,61.91,62.200001,1361400,53.485901
"59",62.200001,62.509998,61.419998,62.41,1735700,53.666477
"60",62.360001,62.549999,61.68,62.290001,1610200,53.563286
"61",62.27,62.389999,61.509998,62.189999,1133100,53.477291
"62",62.110001,62.529999,61.900002,62.220001,1768100,53.503101
"63",62.240002,62.400002,61.59,62.139999,1313500,53.434303
"64",62.189999,63.200001,62,62.330002,1889100,53.597691
"65",62.400002,63.209999,62.099998,63.009998,1867500,54.182404
"66",62.959999,63.209999,62.48,62.900002,1201600,54.087833
"67",62.990002,63.360001,62.810001,63.040001,1475000,54.208214
"68",62.919998,63.59,62.82,63.490002,1016600,54.595181
"69",63.439999,63.919998,63.400002,63.919998,1550500,54.964931
"70",63.950001,64.199997,63.380001,63.439999,1536100,54.552177
"71",63.419998,63.59,63.16,63.240002,1301600,54.380196
"72",63.330002,64.110001,63.240002,64.110001,1247000,55.128319
"73",63.919998,64.610001,63.830002,64.389999,1615200,55.369076
"74",64.300003,64.68,63.919998,64.339996,1832100,55.32608
"75",64.470001,64.470001,63.959999,64.400002,1663600,55.377682
"76",64.199997,64.580002,64.099998,64.279999,1797700,55.27449
"77",64.800003,64.900002,63.23,64.199997,2358700,55.205692
"78",64.309998,64.980003,63.849998,64.93,2800700,55.833427
"79",64.760002,65.900002,64.389999,65.279999,3491100,56.134396
"80",65.279999,65.349998,64.449997,64.529999,1845700,55.489471
"81",64.360001,64.720001,64.099998,64.580002,1920300,55.532467
"82",64.769997,65.260002,64.459999,64.830002,1898800,55.747433
"83",64.900002,65.139999,64.540001,64.730003,1645700,55.661453
"84",64.870003,65.019997,63.830002,63.919998,1846500,54.964931
"85",63.75,64.5,63.490002,64.410004,2423400,55.38628
"86",64.639999,65.540001,64.580002,65.489998,1749900,56.314976
"87",65.629997,65.75,64.68,65.019997,1500100,55.910809
"88",64.93,65.099998,64.470001,64.839996,1379300,55.756039
"89",64.730003,65.459999,64.589996,65.150002,1065400,56.022598
"90",64.790001,64.949997,64.160004,64.809998,1075000,55.730236
"91",65.089996,65.290001,64.830002,64.900002,1249600,55.807629
"92",64.82,65.449997,64.68,64.839996,1263000,55.756039
"93",64.650002,64.980003,64.440002,64.519997,1283500,55.480865
"94",64.550003,64.919998,64.239998,64.339996,2535200,55.32608
"95",64.459999,65.599998,64.339996,65.410004,2086600,56.246181
"96",65.410004,65.599998,64.760002,65.550003,1908800,56.366558
"97",65.5,65.980003,65.32,65.360001,1435800,56.20319
"98",65.269997,65.519997,64.769997,64.93,1728300,55.833427
"99",65.139999,65.25,64.739998,65.199997,1325100,56.065598
"100",65.470001,65.529999,64.699997,65.07,1242700,55.953815
"101",65.199997,65.269997,64.849998,65.169998,799900,56.039803
"102",65.160004,65.470001,64.959999,65.309998,1004600,56.160183
"103",65.330002,65.68,65.050003,65.089996,2252800,55.971004
"104",65.059998,65.080002,64.400002,64.93,1762300,55.833427
"105",65.290001,66.730003,65.269997,66.720001,2351300,57.372646
"106",66.410004,67.5,66.129997,67.419998,1597400,57.974571
"107",67.389999,67.389999,66.730003,66.900002,1546500,57.527431
"108",66.900002,67.239998,66.760002,67.089996,1867500,57.690811
"109",67.089996,67.5,66.379997,67.440002,1427900,57.991783
"110",67.309998,67.68,66.93,67.629997,1703500,58.155163
"111",67.419998,67.589996,66.709999,66.949997,1761700,57.570431
"112",67.059998,67.550003,66.720001,67.110001,935700,57.708
"113",67.559998,67.68,66.910004,67.190002,999000,57.77681
"114",67.040001,68.110001,67,67.769997,1127000,58.275551
