"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"1",233.800003,233.800003,227.369995,229.25,455800,198.497147
"2",230.089996,233.050003,227.809998,231.029999,405600,200.038376
"3",229.679993,232.899994,226.380005,232.759995,431200,201.536316
"4",232.589996,234.770004,231.470001,233.740005,287600,202.384888
"5",233.960007,234.380005,230.559998,230.729996,252400,199.77861
"6",230,231.289993,228.5,230.100006,442200,199.233154
"7",230.199997,231.080002,226.779999,226.869995,390500,196.436447
"8",226.669998,228.710007,224.380005,228.429993,385800,197.78714
"9",227.5,229.470001,227.330002,228,253300,197.414825
"10",227.960007,231.229996,227.960007,229.580002,391100,198.782898
"11",229.940002,230.300003,227.720001,227.899994,377600,197.328247
"12",227.220001,228.179993,225.839996,226.669998,455800,196.263245
"13",226.979996,229.710007,226,228.539993,391400,197.882385
"14",229.679993,231.800003,228.669998,231.110001,535300,200.107681
"15",229.789993,231.869995,225.789993,226.710007,469200,196.297897
"16",226.559998,227.100006,224.490005,225.850006,317300,195.553268
"17",226.289993,227.699997,224.860001,225.380005,315600,195.146317
"18",226.210007,227.089996,224.229996,225.410004,273800,195.172287
"19",225.229996,226.740005,223.080002,223.240005,382300,193.293381
"20",223.630005,226.119995,222.899994,224.300003,500400,194.211182
"21",224.119995,227.059998,221.539993,221.720001,314100,191.977264
"22",222.130005,228.070007,222.130005,226.339996,385500,195.97757
"23",222.839996,225.570007,218.410004,223.080002,778800,193.154861
"24",222.880005,224.910004,221.449997,223.169998,354400,193.232788
"25",223.039993,224.759995,222.460007,223.960007,375600,193.916763
"26",224.070007,228.600006,224.050003,228.070007,355900,197.475479
"27",228.440002,228.619995,226.009995,226.550003,298100,196.159363
"28",225.639999,229.600006,225.639999,228.380005,394000,197.743881
"29",228.389999,228.679993,224.699997,226.710007,330900,196.297897
"30",224.820007,226.25,222.350006,226.020004,311100,195.7005
"31",224.5,226.649994,221.490005,225.429993,356000,195.189621
"32",225.149994,228.419998,225.080002,227.880005,302300,197.310944
"33",228.059998,229.679993,226.080002,228.100006,375500,197.50145
"34",227.860001,232.240005,227.320007,230.970001,373400,199.986465
"35",231.710007,232.279999,228.949997,229.5,266200,198.713638
