"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"1",35.669998,35.689999,34.91,35.189999,7296300,29.65296
"2",35.34,35.779999,35.259998,35.490002,6651800,29.905756
"3",35.5,35.650002,35.259998,35.5,5148900,29.914175
"4",35.389999,36.209999,35.32,36.080002,6322900,30.40292
"5",36.09,36.169998,35.25,35.27,4680800,29.720373
"6",35.419998,35.490002,35.009998,35.060001,5340500,29.543413
"7",35.200001,35.459999,35.119999,35.389999,7248200,29.821487
"8",35.419998,35.490002,35.220001,35.439999,3591700,29.863621
"9",35.389999,35.639999,35.240002,35.439999,5052900,29.863621
"10",35.549999,36.049999,35.52,35.880001,3931700,30.234385
"11",35.799999,35.990002,35.599998,35.709999,3016300,30.091133
"12",35.610001,36.049999,35.419998,35.740002,5024600,30.116421
"13",35.779999,35.889999,35.549999,35.799999,5318100,30.166969
"14",35.849998,35.880001,35.240002,35.299999,3636900,29.745646
"15",35.27,35.41,35.099998,35.130001,5209100,29.602398
"16",35.34,35.450001,35.18,35.349998,3905900,29.787781
"17",35.400002,35.669998,35.150002,35.290001,4521800,29.737225
"18",35.439999,35.529999,35.02,35.080002,3247200,29.560266
"19",35.139999,35.150002,34.799999,35.040001,6187300,29.526556
"20",35.040001,35.880001,34.990002,35.880001,8093700,30.234385
"21",35.66,35.810001,35.040001,35.450001,6460700,29.872044
"22",35.439999,35.900002,35.360001,35.82,3924700,30.18383
"23",35.779999,35.91,35.66,35.779999,4284500,30.150124
"24",35.889999,36,35.66,35.810001,4029900,30.1754
"25",35.84,36.07,35.759998,36.009998,3843900,30.343933
"26",35.25,36.299999,34.970001,35.23,9603300,29.686655
"27",35.23,35.23,34.470001,34.849998,7608800,29.366451
"28",34.75,35.07,34.700001,35.02,7374100,29.509708
"29",34.77,35.220001,34.77,35.099998,4848100,29.856752
"30",35.439999,35.509998,34.91,35.360001,5540600,30.077921
"31",35.049999,35.240002,34.849998,35.220001,4043700,29.958838
"32",35.220001,35.439999,35.130001,35.419998,3519100,30.128956
"33",35.459999,35.619999,35.09,35.580002,4963000,30.265062
"34",35.389999,36.02,35.25,35.919998,4476700,30.554264
"35",35.849998,35.919998,35.389999,35.689999,4302300,30.358625
"36",35.830002,36.18,35.73,35.98,5224900,30.605303
"37",36.150002,37.189999,35.950001,37.18,8184800,31.626049
"38",37.09,37.099998,36.400002,36.57,4554700,31.107172
"39",36.470001,36.869999,36.450001,36.709999,6048300,31.226259
"40",36.32,36.470001,36.009998,36.07,4748800,30.681862
"41",35.990002,36.630001,35.860001,36.419998,4467900,30.979572
"42",36.41,36.41,35.91,36.32,3186500,30.894522
"43",36.200001,36.299999,35.98,36.07,3668200,30.681862
"44",36.189999,36.360001,36.02,36.130001,4397800,30.732899
"45",35.810001,35.91,35.509998,35.720001,3954900,30.384148
"46",35.700001,35.98,35.650002,35.779999,3319200,30.435183
"47",35.950001,36.150002,35.720001,35.970001,3525900,30.596802
"48",35.970001,36.07,35.799999,35.939999,2899300,30.57128
"49",35.869999,35.869999,35.560001,35.639999,2926000,30.316097
"50",35.790001,36.529999,35.700001,36.279999,5205200,30.860489
"51",36.060001,36.23,35.889999,35.98,3584500,30.605303
"52",36.07,36.220001,35.93,36.009998,8375900,30.630825
"53",36.110001,36.110001,35.439999,35.57,3690300,30.256546
"54",35.490002,36.139999,35.380001,35.959999,5446100,30.588295
"55",36.099998,36.419998,36.099998,36.299999,5441700,30.877495
"56",36.200001,36.439999,35.919998,35.959999,6282700,30.588295
"57",35.880001,36.400002,35.869999,36.119999,3605600,30.724396
"58",36.259998,36.32,35.66,35.84,2349300,30.486214
"59",35.52,35.689999,35.369999,35.669998,5913200,30.341616
"60",35.700001,36.119999,35.299999,35.93,4624200,30.562775
"61",35.790001,35.91,35.490002,35.700001,4002100,30.367134
"62",35.75,36.43,35.650002,35.98,7149300,30.605303
"63",35.950001,35.98,35.529999,35.82,4660400,30.469208
"64",35.799999,36.380001,35.720001,36.139999,5037800,30.741405
"65",35.880001,36.16,35.759998,36.060001,4620900,30.673359
"66",36,36.34,35.740002,36.27,5709700,30.851986
"67",36.310001,36.470001,35.93,35.970001,6055200,30.596802
"68",36,36,35.689999,35.810001,5195900,30.460697
"69",35.75,36.310001,35.57,36.139999,5238500,30.741405
"70",35.970001,36.259998,35.759998,36.189999,4755700,30.783934
"71",36.139999,36.189999,35.82,35.970001,3607300,30.596802
"72",35.98,36.119999,35.84,35.900002,3149800,30.537258
"73",35.91,36.060001,35.720001,35.779999,4456700,30.435183
"74",35.790001,35.869999,35.360001,35.459999,4743700,30.162977
"75",35.459999,35.459999,34.830002,35.049999,4362000,29.814226
"76",35.049999,35.34,35.009998,35.029999,4469700,29.797211
"77",35.200001,35.619999,34.970001,35.5,4433500,30.197002
"78",35.34,35.52,34.84,35.080002,5341000,29.839748
"79",35.040001,35.43,34.900002,34.900002,4041000,29.686636
"80",34.919998,35.169998,34.799999,34.84,3901600,29.635597
"81",34.84,34.880001,34.529999,34.630001,4112300,29.456968
"82",34.650002,34.700001,34.209999,34.330002,4269100,29.201782
"83",34.389999,34.529999,34.119999,34.459999,5067800,29.312365
"84",34.59,34.59,33.68,33.98,6639900,28.904068
"85",33.950001,34.299999,33.880001,34.049999,7059300,28.963608
"86",34.18,34.540001,34.16,34.34,4030100,29.210291
"87",34.380001,34.48,34.169998,34.259998,4791600,29.142233
"88",34.189999,34.200001,33.57,33.59,5082700,28.572325
"89",33.669998,33.790001,33.450001,33.759998,6002500,28.71693
"90",33.459999,33.630001,33.299999,33.5,7576200,28.775339
"91",33.650002,34.25,33.5,34.130001,6341500,29.316484
"92",34.360001,34.830002,34.34,34.700001,7363400,29.806095
"93",34.610001,34.709999,34.279999,34.509998,6011500,29.642889
"94",34.509998,34.959999,34.43,34.849998,7043100,29.934937
"95",34.959999,35.330002,34.52,35.080002,7903100,30.132505
"96",35.16,35.16,34.779999,35.060001,6212900,30.115322
