"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"1",23.700001,23.879999,23.219999,23.475,5669400,20.466505
"2",23.57,23.725,23.455,23.584999,5210000,20.562407
"3",23.969999,23.995001,23.16,23.309999,5105400,20.322649
"4",23.32,23.455,23.110001,23.254999,4402200,20.274702
"5",23.23,23.33,23.08,23.084999,4623800,20.126484
"6",23.115,23.309999,23.049999,23.254999,3796200,20.274702
"7",23.424999,23.9,23.375,23.715,5475400,20.675745
"8",23.885,24.08,23.58,24,6417600,20.924221
"9",24.07,24.094999,23.91,24.025,4630600,20.946018
"10",23.969999,24.24,23.764999,24.129999,6611600,21.03756
"11",24.004999,25.780001,23.5,25.530001,16821000,22.258142
"12",25.43,25.65,25.24,25.275,7668200,22.035824
"13",25.415001,25.709999,25.375,25.620001,5579400,22.336605
"14",25.605,25.719999,25.360001,25.49,4882400,22.223265
"15",25.65,25.684999,25.129999,25.405001,8585400,22.149164
"16",25.504999,25.754999,25.285,25.395,8213800,22.140446
"17",25.41,25.51,25.110001,25.184999,4920200,21.957355
"18",25.205,25.205,24.965,25.084999,5100200,21.870167
"19",24.9,25.120001,24.620001,25.1,6923200,22.023724
"20",25.055,25.105,24.655001,24.84,4025200,21.795591
"21",24.924999,25.025,24.639999,24.809999,4118600,21.769262
"22",24.639999,24.754999,24.344999,24.5,4070600,21.497263
"23",24.629999,24.9,24.440001,24.52,5066400,21.514811
"24",24.725,25.59,24.725,25.195,7970600,22.107079
"25",25.049999,25.225,24.870001,24.905001,5565000,21.852623
"26",24.870001,24.99,24.709999,24.91,2711200,21.85701
"27",24.940001,25.17,24.77,25.125,2390000,22.045658
"28",25.219999,25.344999,25.02,25.17,2296800,22.085146
"29",25.34,25.415001,25.055,25.065001,2193400,21.993013
"30",24.985001,25.254999,24.93,25.195,2421600,22.107079
"31",25.07,25.315001,24.945,25.23,2941800,22.137789
"32",25.225,25.305,24.965,25.305,2283000,22.203596
"33",25.219999,25.355,25.040001,25.355,3366200,22.247467
"34",25.309999,25.450001,25.200001,25.434999,3027600,22.317661
"35",25.41,25.495001,25.315001,25.434999,2340200,22.317661
"36",25.535,25.620001,24.83,24.895,3639000,21.843845
"37",24.82,25.049999,24.700001,25.049999,2621000,21.979851
"38",25.08,25.205,25.01,25.174999,2526400,22.089527
"39",25.195,25.219999,24.940001,25.014999,3332600,21.949139
"40",25.280001,25.584999,25.254999,25.49,4326000,22.365921
"41",25.41,25.700001,25.275,25.315001,4419200,22.21237
"42",25.325001,25.93,25.285,25.9,5176600,22.72567
"43",25.915001,26.32,25.76,26.110001,7704400,22.909939
"44",26.059999,26.235001,25.625,25.684999,4215600,22.537022
"45",25.719999,25.809999,25.575001,25.719999,3061200,22.567732
"46",25.709999,25.92,24.969999,25.09,4933800,22.014948
"47",25.26,25.504999,25.26,25.4,3471800,22.286957
"48",25.334999,25.715,25.145,25.700001,3697200,22.55019
"49",25.615,25.615,25.334999,25.344999,2872200,22.238691
"50",25.485001,25.9,25.385,25.805,2730400,22.642317
"51",25.795,25.875,25.565001,25.625,2931400,22.484373
"52",25.77,25.995001,25.535,25.934999,5789600,22.756384
"53",25.889999,26,25.735001,25.9,3141200,22.72567
"54",25.93,26.035,25.459999,25.58,4397600,22.444891
"55",25.665001,25.950001,25.495001,25.860001,3335200,22.690578
"56",25.809999,25.915001,25.49,25.504999,3362400,22.379084
"57",25.575001,25.719999,25.245001,25.379999,2899200,22.269403
"58",25.055,25.125,24.754999,25.02,4681600,21.953527
"59",24.99,25.504999,24.85,25.440001,3294000,22.322054
"60",25.375,25.690001,25.25,25.610001,4199800,22.471218
"61",25.58,25.68,25.4,25.66,2158200,22.515091
"62",25.620001,25.895,25.455,25.75,3819600,22.594055
"63",25.59,25.99,25.375,25.665001,4864400,22.519478
"64",25.58,25.975,25.514999,25.879999,4103800,22.708122
"65",26.040001,26.370001,25.799999,25.855,5151400,22.68619
"66",25.860001,25.875,25.42,25.475,5718600,22.35276
"67",25.5,25.565001,25.025,25.115,6131800,22.036882
"68",25.195,25.32,24.934999,25.215,5643600,22.124632
"69",25.195,25.25,24.74,25.17,7776400,22.085146
"70",24,24.084999,23.115,23.145,24444800,20.308331
"71",23.25,23.525,22.764999,22.77,9653200,19.979292
"72",22.799999,22.93,22.6,22.9,6238400,20.093355
"73",22.514999,22.795,22.115,22.129999,13589400,19.417728
"74",22.514999,22.75,22.309999,22.725,12862600,19.939804
"75",22.780001,22.965,22.665001,22.735001,7263600,19.94858
"76",22.799999,22.940001,22.594999,22.870001,5531200,20.067032
"77",23.110001,23.165001,22.610001,22.705,6613400,20.062614
"78",22.764999,22.969999,22.65,22.860001,6045600,20.199575
"79",22.889999,23,22.799999,22.905001,4264200,20.239336
"80",22.940001,22.985001,22.555,22.690001,5183600,20.049364
