"","FE.Open","FE.High","FE.Low","FE.Close","FE.Volume","FE.Adjusted"
"1",30.969999,31.139999,30.43,30.950001,3757200,25.061829
"2",30.99,31.290001,30.940001,30.969999,3242000,25.078024
"3",30.940001,31.049999,30.57,30.85,3947600,24.980856
"4",30.709999,31.24,30.709999,31.129999,3485000,25.207582
"5",31.209999,31.23,30.93,31.01,4802300,25.110415
"6",30.84,30.85,30.120001,30.370001,7195300,24.592175
"7",30.33,30.940001,30.33,30.73,5283000,24.883682
"8",30.73,30.91,30.559999,30.68,4247200,24.843199
"9",30.639999,30.719999,30.41,30.610001,3889300,24.786516
"10",30.860001,31.360001,30.700001,31.15,4092600,25.22378
"11",31.08,31.23,30.66,30.76,3481500,24.907978
"12",30.639999,30.73,30.24,30.309999,4519400,24.543594
"13",30.35,30.52,29.91,30.040001,4713900,24.324953
"14",30.15,30.26,29.57,29.610001,3936000,23.976763
"15",29.67,29.85,29.51,29.58,3838100,23.952471
"16",29.540001,30.01,29.52,29.799999,5785900,24.130611
"17",29.780001,29.93,29.67,29.82,5205200,24.146809
"18",29.889999,30.02,29.719999,29.99,3356000,24.28447
"19",30.139999,30.139999,29.610001,29.82,4584500,24.146809
"20",29.83,30.370001,29.75,30.32,4811400,24.551687
"21",30.09,30.32,29.709999,29.84,4357000,24.163006
"22",29.9,30,29.620001,29.950001,5426500,24.252073
"23",29.67,30.030001,29.58,29.889999,3374100,24.497959
"24",29.98,30.15,29.809999,29.879999,4332700,24.489763
"25",29.92,30.040001,29.77,29.99,2773900,24.579922
"26",30.030001,30.07,29.83,30.040001,4244000,24.620899
"27",30.040001,30.09,29.65,29.879999,4046000,24.489763
"28",29.860001,30.52,29.809999,30.450001,3805500,24.95694
"29",30.52,30.719999,30.389999,30.530001,5644900,25.022507
"30",30.540001,30.639999,30.16,30.360001,2566500,24.883177
"31",30.129999,30.459999,30.110001,30.4,2828700,24.915956
"32",30.379999,30.639999,30.27,30.620001,3805300,25.096273
"33",30.66,31.040001,30.549999,31.01,4410400,25.415916
"34",30.92,31.35,30.84,31.33,5193500,25.678185
"35",30.809999,31.02,30.35,30.790001,6792900,25.235601
"36",30.969999,31.620001,30.959999,31.389999,5776100,25.727365
"37",31.559999,32.349998,31.49,32.32,6126800,26.489597
"38",32.349998,32.349998,31.76,31.809999,4398200,26.0716
"39",31.809999,32.540001,31.77,32.43,5503100,26.57975
"40",32.09,32.09,31.389999,31.559999,7326100,25.866697
"41",31.450001,32,31.4,31.639999,3980100,25.932266
"42",31.68,31.75,31.33,31.74,3620200,26.014223
"43",31.92,31.92,31.16,31.32,4357900,25.669992
"44",31.219999,31.42,31.030001,31.18,4515700,25.55525
"45",30.92,31.16,30.469999,31.110001,4198600,25.497877
"46",31.049999,32.529999,31.040001,31.1,4161100,25.489681
"47",31.209999,31.559999,30.9,31.26,3846900,25.620815
"48",31.23,31.450001,30.93,31.1,2735100,25.489681
"49",31.040001,31.08,30.780001,31,3435100,25.407719
"50",31.09,31.709999,31.02,31.59,3906400,25.891287
"51",31.469999,31.58,31,31.129999,3865500,25.514271
"52",31.219999,31.48,31.190001,31.360001,8680700,25.702774
"53",31.200001,31.42,30.870001,30.959999,3960500,25.374935
"54",30.93,31.5,30.809999,31.360001,4362900,25.702774
"55",31.5,31.809999,31.360001,31.41,4159400,25.743761
"56",31.389999,31.5,31.110001,31.200001,3360400,25.571638
"57",31.4,31.530001,31.24,31.34,3171000,25.686384
"58",31.5,31.59,31.07,31.389999,2457600,25.727365
"59",31.299999,31.639999,31.25,31.610001,2877600,25.907675
"60",31.540001,31.85,31.4,31.57,3458700,25.874897
"61",31.49,31.5,31.23,31.370001,3646400,25.710972
"62",31.42,31.93,31.379999,31.82,5805900,26.079792
"63",31.719999,31.74,31.23,31.459999,3753600,25.784737
"64",31.49,31.82,31.190001,31.73,3992500,26.006031
"65",31.629999,31.860001,31.549999,31.780001,2590500,26.04701
"66",31.66,31.82,31.6,31.76,3060700,26.030619
"67",31.889999,31.940001,31.299999,31.32,5747600,25.669992
"68",31.32,31.620001,31.200001,31.6,3235300,25.899479
"69",31.52,31.65,31.33,31.440001,2588300,25.768345
"70",31.4,31.639999,31.26,31.610001,2718700,25.907675
"71",31.610001,31.719999,31.26,31.27,3432200,25.629009
"72",31.299999,31.469999,31.059999,31.43,3007100,25.760153
"73",31.450001,31.57,31.219999,31.469999,2988700,25.792938
"74",31.450001,31.48,30.780001,30.85,4920400,25.284782
"75",30.85,30.860001,30.57,30.66,4598900,25.129059
"76",30.639999,30.83,30.559999,30.610001,4208200,25.088074
"77",30.6,30.75,30.16,30.709999,5218400,25.170034
"78",30.59,30.83,30.459999,30.610001,4051000,25.088074
"79",30.6,31.15,30.48,30.52,5786100,25.014309
"80",30.52,30.74,30.440001,30.52,4538600,25.014309
"81",30.68,30.9,29.33,29.940001,9610000,24.538939
"82",29.98,30.02,29.41,29.459999,6328500,24.145529
"83",29.530001,29.719999,28.969999,29.030001,7207000,23.793102
"84",28.68,29.08,28.209999,28.950001,8991800,24.025471
"85",28.889999,29.07,28.780001,28.870001,4818600,23.959078
"86",28.91,29.1,28.790001,28.83,4303700,23.92588
"87",28.879999,29.120001,28.700001,29.059999,4652000,24.116758
"88",28.940001,29.200001,28.75,28.76,6631600,23.867794
"89",28.83,29,28.65,28.85,3227700,23.942482
"90",28.85,28.870001,28.610001,28.809999,4804400,23.909286
"91",28.860001,28.91,28.57,28.719999,2578900,23.834597
"92",28.690001,29.059999,28.690001,28.93,4446500,24.008869
"93",28.870001,28.959999,28.59,28.690001,3272800,23.809704
"94",28.690001,28.889999,28.469999,28.59,2710200,23.726707
"95",28.43,28.83,28.139999,28.16,5121900,23.369852
"96",28.15,28.25,27.93,28.24,4897000,23.436243
"97",28.18,28.540001,28.18,28.440001,3050700,23.602226
"98",28.440001,28.65,28.379999,28.5,3222600,23.652018
"99",28.549999,28.690001,28.41,28.67,2678700,23.793098
"100",28.620001,28.969999,28.58,28.860001,3512300,23.950781
"101",28.889999,28.969999,28.65,28.92,2475900,24.000574
"102",28.870001,29.42,28.790001,29.190001,3148500,24.224646
"103",29.129999,29.379999,29.049999,29.24,3308900,24.266138
"104",29.23,29.4,29.059999,29.389999,2940100,24.390623
"105",29.59,29.629999,29.33,29.450001,2794700,24.44042
"106",29.34,29.450001,29.049999,29.110001,2830200,24.158257
"107",29.17,29.24,28.950001,29.059999,4209200,24.116758
"108",29.08,29.280001,29.08,29.139999,2805000,24.183151
"109",29.139999,29.139999,28.66,28.870001,3636000,23.959078
"110",28.85,29.110001,28.690001,29.110001,2933800,24.158257
"111",29.139999,29.629999,29.110001,29.51,4892900,24.490213
"112",29.4,29.440001,29.030001,29.370001,3483600,24.374027
"113",29.6,29.809999,29.43,29.59,3415200,24.556604
"114",29.51,29.809999,29.440001,29.790001,3829300,24.722584
"115",29.85,30.299999,29.82,29.93,12165600,24.838772
"116",30,30.139999,29.65,29.870001,3720400,24.788979
"117",29.85,30,29.83,29.870001,2884800,24.788979
"118",29.82,29.83,29.120001,29.43,5344300,24.423822
"119",29.379999,29.68,29.15,29.18,2940800,24.216347
"120",29.15,29.32,28.790001,28.91,4799500,23.992273
"121",29.01,30.209999,28.98,30.09,7131300,24.971552
"122",30.02,30.129999,29.59,29.719999,5086100,24.66449
"123",29.82,30.09,29.07,29.1,4798600,24.149954
"124",28.9,29.059999,28.719999,28.82,4171900,23.917583
"125",28.870001,29.43,28.83,29.16,5200000,24.199749
"126",29.24,29.440001,29.040001,29.059999,1929100,24.116758
"127",29.1,29.360001,28.93,29.209999,4757600,24.241245
"128",29.18,29.43,29.139999,29.309999,4930600,24.32423
"129",29.309999,29.43,29.110001,29.25,3148500,24.274443
"130",29.24,29.629999,29.219999,29.309999,3805000,24.32423
"131",29.35,29.379999,29.120001,29.280001,4665400,24.299337
"132",29.530001,29.860001,29.5,29.73,3707300,24.672789
"133",29.73,29.83,29.379999,29.66,5687400,24.614697
"134",29.91,30.67,29.860001,30.200001,7637400,25.062841
"135",30.209999,30.469999,30.030001,30.24,5336000,25.096033
"136",30.32,30.469999,30.18,30.450001,3770200,25.270315
"137",30.540001,30.959999,30.379999,30.83,7007000,25.585672
"138",30.9,31.379999,30.700001,31.23,7000500,25.917633
"139",31.16,31.84,31.08,31.74,7311200,26.340876
"140",31.74,31.75,31.24,31.25,5705900,25.934227
"141",31.25,31.360001,30.85,30.870001,4536100,25.618872
"142",30.860001,31.1,30.66,31.1,5624300,25.809748
"143",31.049999,31.41,30.799999,31.25,5909200,25.934227
"144",31.129999,32.349998,31.059999,32.150002,10070800,26.681137
"145",32.099998,32.139999,31.690001,31.91,5072100,26.48196
"146",32.009998,32.09,31.809999,31.93,4034900,26.498556
"147",31.799999,32.299999,31.620001,32.209999,4887500,26.73093
"148",31.93,32.07,31.68,32.060001,5394900,26.907181
"149",31.83,32.18,31.780001,32.07,3875900,26.915569
"150",32,32.07,31.76,31.790001,3599400,26.680574
"151",31.719999,32.060001,31.690001,31.950001,3422200,26.814857
"152",32.02,32.02,31.57,31.610001,3041600,26.529503
"153",31.639999,32.18,31.59,32.040001,4237900,26.89039
"154",31.91,32.25,31.790001,32.169998,3904700,26.999493
"155",32.509998,32.580002,32.220001,32.48,3564500,27.259672
"156",32.290001,32.75,32.259998,32.700001,2957400,27.444311
"157",32.700001,32.880001,32.540001,32.689999,3787100,27.435919
"158",32.68,33,32.639999,32.650002,4429600,27.402351
"159",32.630001,33.080002,32.490002,32.830002,3306000,27.553421
"160",32.869999,33.029999,32.75,32.919998,2855500,27.628954
"161",32.900002,33.02,32.73,32.900002,2610700,27.612169
"162",32.900002,33.02,32.709999,32.93,2469300,27.63735
"163",32.889999,32.98,32.639999,32.669998,2770800,27.419134
"164",32.75,32.919998,32.560001,32.689999,3779600,27.435919
"165",32.77,32.889999,32.619999,32.799999,2285900,27.528242
"166",32.91,32.98,32.610001,32.66,2394000,27.410744
"167",32.68,32.82,32.540001,32.599998,3458100,27.360386
"168",32.630001,32.73,32.509998,32.580002,3853300,27.343601
"169",32.650002,32.740002,32.400002,32.419998,2581900,27.209314
"170",32.66,32.66,32.23,32.52,3226800,27.293243
"171",32.599998,32.66,32.25,32.299999,2388200,27.108604
"172",32.360001,32.57,32.060001,32.119999,4814000,26.957535
"173",32.139999,32.220001,31.75,32.209999,4649800,27.033068
"174",32.169998,32.580002,32.150002,32.509998,3403500,27.284849
"175",32.509998,32.529999,31.559999,31.76,3336000,26.655396
"176",31.66,31.719999,31.219999,31.48,5821100,26.420395
"177",31.41,31.639999,31.139999,31.639999,3859100,26.554684
"178",31.299999,31.65,31.27,31.620001,5434200,26.537897
"179",31.620001,31.700001,30.85,31.25,4440100,26.227362
"180",31.290001,31.41,31.16,31.370001,3938900,26.328079
"181",31.42,31.469999,30.93,31.190001,3658300,26.17701
"182",31.24,31.43,31.1,31.15,2445800,26.143436
"183",31.24,31.290001,30.879999,30.889999,2699300,25.925226
"184",30.9,31.129999,30.780001,31.110001,3211500,26.109867
