"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"1",243.615387,244.92308,241.538467,243.769226,4179435,226.732407
"2",244.230774,244.846161,243.230774,243.846161,2787577,226.803986
"3",242.846161,244.230774,240.846161,242.461533,3361384,225.516129
"4",242.92308,244.384613,241.230774,243.153839,2875704,226.160049
"5",243.384613,243.538467,241.769226,242,2764125,225.086823
"6",242,243.230774,241.307693,241.307693,3536325,224.442947
"7",240.307693,242.461533,240.307693,242.07692,3690063,225.158417
"8",241.92308,242.07692,239.461533,241.461533,3889093,224.585999
"9",241.230774,241.92308,240.384613,241.230774,3162094,224.371414
"10",239.769226,241.92308,239.692307,240.538467,3747549,223.727478
"11",240.07692,241.07692,239.461533,240.230774,3211182,223.441284
"12",240.384613,241.07692,238.846161,240.07692,4900727,223.298172
"13",236.615387,237.692307,233.07692,234.846161,10861851,218.432968
"14",234.615387,234.692307,227.538467,228.846161,7682142,212.85231
"15",229.692307,231.230774,229.384613,230.769226,4379245,214.640976
"16",234,234.384613,232.461533,233.615387,4957121,217.288254
"17",234.153839,234.538467,231.769226,233.230774,3479723,216.930527
"18",233.846161,234.153839,230.307693,230.846161,3900728,214.712555
"19",230.461533,231.538467,229,230.461533,3407534,214.354797
"20",229.615387,230,226.92308,228.461533,5031442,212.494598
"21",228.692307,229.307693,227.384613,228.384613,3338699,212.423019
"22",227.538467,228.538467,226.92308,228.307693,2822235,212.351501
"23",229.153839,229.230774,227.230774,228.461533,4043559,212.494598
"24",228.307693,228.846161,227.461533,228.153839,3084263,212.208374
"25",228.846161,229.307693,227.153839,227.384613,3091179,211.49295
"26",227,227.230774,225.07692,226.384613,4183582,210.562836
"27",227.07692,228.461533,226.615387,227.615387,2816580,211.70755
"28",228.769226,228.846161,227.307693,228.615387,2962323,212.637695
"29",229.846161,231.230774,228.692307,231.07692,4812600,214.927185
"30",231.769226,232.92308,230.153839,232.92308,4553679,216.644318
"31",233,233.461533,232.153839,233.461533,3311399,217.145126
"32",233.461533,234.384613,233.07692,234.230774,3371225,217.860596
"33",233.92308,234.153839,232.307693,233.615387,2840422,217.288254
"34",233.92308,235.307693,233.384613,234.769226,3931330,218.36145
"35",234.769226,235,232.769226,233.307693,3916185,217.00206
"36",231.07692,231.384613,229.615387,230.92308,3763227,216.497223
"37",229.538467,232.230774,229.07692,232.230774,3552081,217.723236
"38",231.153839,231.92308,230,230.307693,3064334,215.920258
"39",230.692307,231.384613,228.230774,229.307693,5084547,214.982758
"40",230.615387,233.461533,229.384613,232.230774,4794790,217.723236
"41",232.538467,232.538467,230.769226,232.230774,3593252,217.723236
"42",232.230774,232.461533,231.153839,231.692307,2594410,217.218338
"43",230.769226,231.384613,230.153839,230.769226,3044678,216.352966
"44",230.230774,230.692307,229.153839,229.692307,3897777,215.343323
"45",229.92308,230.307693,228.692307,229.230774,4200092,214.910645
"46",228.846161,229.461533,227.384613,228.153839,3372226,213.900986
"47",229.538467,234.07692,227.92308,232.92308,7697547,218.372284
"48",232.538467,232.769226,229.153839,229.692307,3924414,215.343323
"49",228.92308,229.153839,226.692307,227.230774,2964208,213.035568
"50",227.307693,229.461533,226.692307,228.92308,3268564,214.622131
"51",229.230774,229.384613,227.846161,228.846161,2756910,214.550049
"52",229.615387,231.07692,229,229.846161,5673070,215.487595
"53",230,230.153839,228.384613,228.769226,2454062,214.477966
