"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"1",778.809998,789.630005,775.799988,786.140015,1657300,786.140015
"2",788.359985,791.340027,783.159973,786.900024,1073000,786.900024
"3",786.080017,794.47998,785.02002,794.02002,1335200,794.02002
"4",795.26001,807.900024,792.203979,806.150024,1640200,806.150024
"5",806.400024,809.966003,802.830017,806.650024,1274600,806.650024
"6",807.859985,809.130005,803.51001,804.789978,1176800,804.789978
"7",805,808.150024,801.369995,807.909973,1065900,807.909973
"8",807.140015,807.390015,799.169983,806.359985,1353100,806.359985
"9",807.47998,811.223999,806.690002,807.880005,1099200,807.880005
"10",807.080017,807.140015,800.369995,804.609985,1362100,804.609985
"11",805.809998,806.205017,800.98999,806.070007,1294400,806.070007
"12",805.119995,809.47998,801.799988,802.174988,919300,802.174988
"13",806.909973,806.909973,801.690002,805.02002,1670000,805.02002
"14",807.25,820.869995,803.73999,819.309998,1963600,819.309998
"15",822.299988,825.900024,817.820984,823.869995,1474000,823.869995
"16",829.619995,835.77002,825.059998,835.669983,1494500,835.669983
"17",837.809998,838,827.01001,832.150024,2973900,832.150024
"18",834.710022,841.950012,820.440002,823.309998,2965800,823.309998
"19",814.659973,815.840027,799.799988,802.320007,3246600,802.320007
"20",796.859985,801.25,790.52002,796.789978,2160600,796.789978
"21",799.679993,801.190002,791.190002,795.695007,2029700,795.695007
"22",793.799988,802.700012,792,798.530029,1532100,798.530029
"23",802.98999,806,800.369995,801.48999,1463400,801.48999
"24",799.700012,801.669983,795.25,801.340027,1184500,801.340027
"25",803.98999,810.5,801.780029,806.969971,1241200,806.969971
"26",807,811.840027,803.190002,808.380005,1155300,808.380005
"27",809.51001,810.659973,804.539978,809.559998,989700,809.559998
"28",811.700012,815.25,809.780029,813.669983,1135000,813.669983
"29",816,820.958984,815.48999,819.23999,1213300,819.23999
"30",819,823,816,820.450012,1054700,820.450012
"31",819.359985,823,818.469971,818.97998,1313600,818.97998
