"","GPS.Open","GPS.High","GPS.Low","GPS.Close","GPS.Volume","GPS.Adjusted"
"1",22.719999,23.58,22.690001,23.48,9145600,20.498444
"2",24.41,24.93,24.16,24.200001,9885100,21.127018
"3",22.969999,23.799999,22.75,23.25,13312700,20.297653
"4",24.33,24.459999,23.16,23.34,16363100,20.376225
"5",23.43,24.030001,23.200001,23.84,7211200,20.812731
"6",23.77,24.139999,23.700001,23.91,5844200,20.873844
"7",24.200001,24.33,23.26,23.700001,4012400,20.690512
"8",23.700001,24.17,23.540001,24,6552800,20.952419
"9",24.049999,24.209999,23.58,23.66,4734000,20.655588
"10",23.870001,24.790001,23.780001,24.15,7255900,21.083366
"11",24.09,24.15,23.459999,23.969999,4772300,20.926226
"12",24.049999,24.25,23.780001,23.870001,4116500,20.838923
"13",24.1,24.299999,23.99,24.200001,3890600,21.127018
"14",23.950001,24.15,23.51,23.76,3452400,20.742889
"15",23.92,24.23,23.809999,24.18,5180200,21.109556
"16",24.25,24.43,24.07,24.34,4936300,21.249245
"17",24.309999,24.540001,23.860001,23.870001,5470400,20.838923
"18",23.889999,23.969999,22.540001,22.58,6097400,19.712734
"19",22.719999,23,22.41,22.879999,6271200,19.974634
"20",22.530001,23.08,22.030001,23.030001,8935900,20.105587
"21",23.120001,23.17,22.139999,22.530001,8156500,19.669085
"22",22.620001,23.07,22.41,22.790001,4624800,19.896065
"23",22.91,23.48,22.719999,22.969999,5383500,20.053207
"24",22.93,23.139999,22.83,22.98,6217600,20.061935
"25",22.879999,23.1,22.66,22.74,5876300,19.852409
"26",22.780001,23.389999,22.51,23.309999,3901900,20.350033
"27",23.309999,24.1,23.059999,23.969999,6108500,20.926226
"28",24.1,24.65,24.059999,24.360001,6018800,21.266701
"29",24.360001,24.379999,23.440001,23.629999,5820500,20.6294
"30",23.639999,24.200001,23.549999,24.200001,4362800,21.127018
"31",24.209999,24.4,23.860001,24.389999,5208600,21.292889
"32",24.4,24.530001,23.91,24.059999,4063100,21.004797
"33",23.9,24.540001,23.73,24.469999,4207700,21.362732
"34",24.780001,25.200001,24.6,25.030001,5801700,21.851622
"35",25.139999,25.26,24.540001,24.870001,4690000,21.711941
"36",24.6,24.639999,23.879999,23.969999,8066700,20.926226
"37",24.299999,25.110001,23.200001,24.700001,11850700,21.563532
"38",24.690001,25.34,24.559999,25.200001,5770600,22.000038
"39",25.049999,25.139999,24.43,24.82,6799400,21.668289
"40",24.940001,25.059999,23.969999,24.33,7022400,21.240511
"41",24.48,25.440001,24.299999,25.129999,7633500,21.938925
"42",25.15,25.309999,24.49,24.690001,5539700,21.554798
"43",24.66,24.76,24.059999,24.389999,3903500,21.292889
"44",24.309999,24.59,24.15,24.18,5170000,21.109556
"45",24.200001,24.389999,24.040001,24.23,6185400,21.153212
"46",24.120001,24.32,23.959999,24.129999,4028900,21.065907
"47",24.280001,24.459999,24.059999,24.27,3164700,21.188133
"48",24.27,24.389999,23.459999,23.540001,4982200,20.550825
"49",23.540001,23.73,23.219999,23.700001,3672000,20.690512
"50",23.83,23.950001,23.469999,23.870001,4262300,20.838923
"51",23.84,24.049999,23.67,23.93,2831600,20.891306
"52",24.040001,24.16,23.809999,24.1,5292700,21.039719
"53",24.110001,24.17,23.360001,23.459999,4613900,20.480986
"54",23.48,23.5,22.25,22.82,8748500,19.922251
"55",22.799999,23.09,22.440001,23.07,3797500,20.140511
"56",23.6,23.879999,23.25,23.299999,5329000,20.341299
"57",23.25,23.34,23.030001,23.27,3499200,20.315113
"58",23.02,23.610001,23.02,23.280001,3832100,20.323841
"59",23.290001,23.809999,23.110001,23.780001,3147300,20.760351
"60",23.92,24.860001,23.809999,24.719999,8733700,21.580988
"61",24.620001,24.91,24.24,24.450001,8093700,21.345274
"62",24.33,24.709999,24.27,24.290001,5914400,21.205585
"63",24.040001,24.09,23.559999,23.709999,5706200,20.897112
"64",23.629999,23.66,22.889999,23.190001,5835300,20.438803
"65",23.32,23.51,22.879999,22.9,4433000,20.183214
"66",23.17,24.280001,23.17,24.049999,8255600,21.196774
"67",23.99,24.42,23.940001,24.030001,5510300,21.179153
"68",24.17,24.709999,24.15,24.299999,3706100,21.417122
"69",24.33,24.5,23.950001,24.5,4455300,21.593386
"70",24.52,24.59,24.26,24.299999,2775100,21.417122
"71",24.27,24.389999,23.68,23.690001,5198200,20.879484
"72",24,24.08,23.639999,23.889999,5247700,21.055758
"73",23.84,24.049999,23.700001,23.92,3303200,21.082199
"74",24,24.58,23.9,24.219999,4467400,21.346607
"75",24.799999,25.440001,24.68,25.42,10134400,22.404242
"76",25.5,25.65,25.09,25.610001,5135700,22.571705
"77",25.9,26.16,25.6,25.870001,6928200,22.800856
"78",26.15,26.15,25.66,25.92,3661600,22.844927
"79",26.129999,26.43,26.049999,26.25,4197000,23.135775
"80",26.719999,26.719999,26.110001,26.35,3225300,23.223907
"81",26.299999,26.33,25.93,26.200001,4237800,23.091705
"82",26.26,26.32,25.700001,25.9,4362600,22.827293
"83",25.9,26.25,25.76,26.25,4346800,23.135775
"84",26.110001,26.32,25.85,26.110001,3636600,23.012383
"85",26.07,26.290001,25.690001,25.700001,3739800,22.651026
"86",25.889999,26.4,25.870001,26.33,3856000,23.206284
"87",26.48,26.48,26.08,26.32,4681300,23.19747
"88",26.530001,26.700001,26.33,26.41,2902500,23.276794
"89",26.370001,26.879999,26.23,26.73,4678500,23.558828
"90",26.82,26.82,25.52,25.76,6717100,22.703905
"91",25.68,25.719999,24.870001,25.07,5196000,22.095766
"92",25.26,25.469999,24.950001,25.110001,6537800,22.131023
"93",25.02,25.02,24.25,24.59,7146100,21.67271
"94",24.59,24.59,23.540001,23.549999,9365400,20.756096
"95",24.02,24.190001,23.08,23.190001,12964800,20.438803
"96",24,24.07,22.030001,22.280001,19770100,19.636766
"97",22.32,22.559999,22.01,22.24,8368500,19.601511
"98",22.24,22.530001,22.030001,22.32,8262600,19.672016
"99",22.299999,22.379999,21.98,22.190001,6702500,19.557444
"100",22.49,22.57,21.99,22.02,6870800,19.40761
"101",21.93,22.549999,21.860001,22.42,6113700,19.760153
"102",22.49,22.809999,22.43,22.540001,5528600,19.865921
"103",22.610001,22.65,22.17,22.5,7198100,19.830662
"104",22.540001,22.969999,22.34,22.790001,5937900,20.08626
"105",22.93,22.959999,22.41,22.559999,6066500,19.883545
"106",22.83,22.92,22.299999,22.440001,7537100,19.777779
"107",22.24,22.280001,21.9,22.09,8889400,19.469303
"108",22.18,22.379999,22.030001,22.129999,4952200,19.50456
"109",22.129999,22.530001,22.07,22.290001,5663300,19.645576
"110",22.34,22.93,22.190001,22.83,6316600,20.121515
"111",22.76,23.290001,22.74,23.129999,8918000,20.385918
"112",23.09,23.5,22.9,23.42,6050200,20.641518
"113",23.41,23.41,22.889999,23.25,4838200,20.491686
"114",23.07,23.35,22.799999,23.09,5714600,20.350666
"115",22.860001,22.950001,22.540001,22.889999,6454800,20.174393
"116",23.02,23.15,22.6,23.030001,4279100,20.297785
"117",23,23.07,22.07,22.129999,4678200,19.50456
"118",22.1,22.200001,21.780001,21.9,5796200,19.301847
"119",21.91,22.27,21.809999,22.02,4466800,19.40761
"120",22.07,22.16,21.790001,21.969999,6478900,19.363544
"121",22.040001,22.379999,22.040001,22.17,5715700,19.539812
"122",22.17,22.690001,22.17,22.52,7897900,19.848289
"123",22.6,22.780001,22.379999,22.48,5240700,19.813038
"124",22.52,22.700001,22.02,22.23,5456800,19.592697
"125",22.01,22.17,21.77,21.99,6960800,19.58379
"126",22.16,23.01,22.15,22.91,5535200,20.40312
"127",22.870001,23.24,22.74,23.08,6418800,20.554518
"128",22.540001,22.860001,22.450001,22.709999,9808300,20.225
"129",22.77,22.959999,22.620001,22.639999,6608800,20.162664
"130",22.450001,22.469999,21.02,21.209999,12700300,18.889137
"131",21.200001,21.34,21.040001,21.200001,6332800,18.880238
"132",21.280001,21.610001,21.23,21.57,6030500,19.209747
"133",21.690001,23.08,21.58,22.780001,14497900,20.287344
"134",23.370001,23.6,23.08,23.280001,10244800,20.732634
"135",23.17,23.66,23.1,23.360001,4599200,20.803879
"136",23.299999,23.360001,22.85,23.07,3201700,20.545614
"137",23.16,23.360001,23.02,23.290001,2588300,20.741543
"138",23.360001,23.66,23.07,23.51,3557100,20.937468
"139",23.469999,23.85,23.290001,23.780001,5112100,21.177923
"140",23.51,23.620001,23.08,23.17,3805900,20.634674
"141",23.379999,24.219999,23.33,23.969999,4858000,21.347134
"142",23.950001,23.99,23.610001,23.959999,2847700,21.338224
"143",23.969999,24.32,23.82,24.26,4434700,21.605396
"144",24.219999,24.25,23.59,23.790001,5983500,21.186829
"145",23.889999,23.92,23.629999,23.83,11477100,21.222452
"146",23.84,23.950001,23.469999,23.879999,6411100,21.266979
"147",23.76,23.879999,23.26,23.42,4470900,20.857315
"148",23.32,23.91,23.32,23.469999,3645800,20.901844
"149",23.629999,23.93,23.57,23.870001,2833200,21.258074
"150",23.93,24.190001,23.870001,24.040001,3314100,21.409475
"151",24.27,24.870001,24.209999,24.58,5450900,21.890387
"152",24.290001,24.309999,23.41,23.77,5712600,21.169018
"153",23.540001,23.540001,22.969999,23.049999,5200500,20.527802
"154",23,23.51,22.959999,23.15,3689400,20.616854
"155",23.389999,23.48,23,23.1,4711100,20.572329
"156",23,23,22.059999,22.07,6939700,19.655035
"157",22.58,22.9,22.49,22.57,4972800,20.100325
"158",22.34,22.93,22.209999,22.68,10101900,20.19829
"159",23,23.9,22.040001,22.65,18942300,20.17157
"160",22.68,22.68,21.84,22.57,7888800,20.100325
"161",22.73,23.049999,22.51,22.959999,4443700,20.447647
"162",22.940001,23.27,22.93,23.190001,5527100,20.652481
"163",23.57,24.01,23.219999,23.309999,6441900,20.75935
"164",23.389999,23.91,23.389999,23.77,4467100,21.169018
"165",23.809999,23.870001,23.299999,23.389999,3807900,20.830597
"166",23.18,23.639999,22.98,23.59,2951000,21.008715
"167",23.51,23.620001,23.389999,23.48,2400800,20.910748
"168",23.5,23.76,23.459999,23.620001,3502200,21.035431
"169",23.91,24.34,23.85,24.25,3852900,21.596497
"170",24.309999,24.5,23.93,24.030001,5996000,21.40057
"171",24.32,25.91,24.299999,25.82,13906400,22.994699
"172",25.889999,26,25.34,25.91,6229000,23.07485
"173",25.860001,25.93,25.280001,25.700001,5564600,22.887831
"174",25.77,26.120001,25.58,25.940001,5908700,23.10157
"175",26.530001,28.08,26.200001,27.610001,14705000,24.588833
"176",27.17,28.48,27.01,28.219999,11043600,25.132086
"177",28.18,28.33,27.59,27.799999,6284400,24.758041
"178",27.709999,28.17,27.620001,27.99,5071100,24.927252
"179",28,28.209999,27.68,27.9,4919300,24.847097
"180",28.4,28.5,27.709999,27.940001,5590800,24.882721
"181",27.950001,28.16,27.559999,28,4673000,24.936159
"182",28.049999,28.139999,27.73,27.860001,2745200,24.81148
"183",27.84,28.49,27.780001,28.360001,5120500,25.256769
"184",28.41,29.25,28.4,29.120001,6136900,25.933603
"185",29.16,29.559999,29.07,29.309999,3673300,26.102816
"186",29.370001,29.77,29.110001,29.700001,4625200,26.450138
"187",29.57,29.719999,29.24,29.52,3359600,26.289835
"188",29.610001,29.68,29.290001,29.530001,3433300,26.298744
"189",29.32,29.57,28.65,29.5,5749300,26.272024
"190",29.360001,29.459999,28.709999,28.959999,3446200,25.993774
"191",29.040001,29.700001,28.860001,28.99,5215500,26.020699
"192",28.9,29.690001,28.799999,29.58,4591900,26.55027
"193",29.26,29.639999,29.17,29.389999,4273600,26.379732
"194",29.41,29.469999,28.68,28.73,5062400,25.787334
"195",28.75,29.26,28.440001,28.700001,5066600,25.760408
"196",28.76,28.82,28.23,28.42,4419400,25.509081
"197",28.110001,28.379999,27.17,27.209999,8966300,24.423016
"198",27.450001,27.93,27.17,27.25,7549500,24.458918
"199",26.77,27.360001,26.530001,27.200001,7391300,24.414043
"200",27.200001,27.200001,26.25,26.549999,7262500,23.830618
"201",26.549999,26.889999,26.17,26.66,4986300,23.929354
"202",26.450001,26.77,26.26,26.610001,6612300,23.884474
"203",26.879999,27.059999,26.620001,26.959999,5891700,24.198627
"204",27.040001,27.74,26.809999,27.200001,7572500,24.414043
"205",27.24,27.4,26.93,27.18,3567400,24.39609
"206",27.030001,27.27,26.360001,27.110001,5565200,24.333263
"207",27.26,27.639999,26.870001,27.280001,3681100,24.485849
"208",26.75,26.83,26.25,26.68,5716500,23.947304
"209",26.639999,26.639999,25.75,26.08,5750700,23.408754
"210",26.049999,26.32,25.98,25.99,3936900,23.327978
"211",26.110001,26.32,25.719999,25.98,3563100,23.318998
"212",26.190001,26.610001,26.110001,26.450001,5087700,23.740862
"213",26.280001,26.639999,26.08,26.379999,3322200,23.67803
"214",26.48,26.690001,26.01,26.059999,3217200,23.390808
"215",26.09,26.110001,25.360001,25.709999,3925000,23.076654
"216",25.469999,25.9,25.41,25.67,4115100,23.040751
"217",25.49,26.639999,25.43,26.35,4383600,23.651102
"218",26.35,27.440001,26.35,27.23,6373100,24.440968
"219",27.08,27.200001,26.24,26.719999,6432300,23.983208
"220",26.48,26.82,26.24,26.73,4108300,23.992184
"221",26.6,27.459999,26.24,26.9,7249800,24.144768
"222",26.889999,27.940001,26.34,27.48,11286500,24.665359
"223",29.34,30.139999,28.85,29.4,18235600,26.388706
"224",29.59,29.99,29.309999,29.93,6312300,26.864422
"225",30,30.059999,29.35,29.709999,5363500,26.666956
"226",29.68,29.9,29.139999,29.17,4715600,26.182266
"227",29.4,29.950001,29.280001,29.639999,2326400,26.604122
"228",30.049999,30.940001,29.9,30,6738900,26.927252
"229",30.1,31.07,29.91,30.98,4892300,27.806873
"230",31.049999,32.639999,31.01,32.5,8080300,29.17119
"231",31.709999,32.830002,31.6,32.310001,10498200,29.000652
"232",32.080002,32.310001,31.15,31.98,6227200,28.704449
"233",32.360001,34.299999,32.310001,34.09,9488200,30.598333
"234",33.869999,33.939999,32.810001,33.32,6667400,29.9072
"235",33.299999,33.75,33.09,33.400002,3980600,29.97901
"236",33.52,33.919998,33.279999,33.68,4529700,30.230331
"237",33.75,33.98,33.43,33.490002,4826500,30.059793
"238",33.549999,33.880001,33.23,33.599998,4587300,30.158522
"239",33.630001,34.209999,33.59,33.959999,4495400,30.481647
"240",33.830002,34.41,33.830002,34.259998,4762700,30.750921
"241",33.950001,34.41,32.880001,33.18,7397600,29.781536
"242",33.419998,34.060001,33.400002,33.560001,7148100,30.122627
"243",33.919998,34.700001,33.810001,34.43,4340800,30.903505
"244",34.630001,34.66,34.02,34.310001,3736300,30.795797
"245",34.5,34.610001,34.209999,34.32,2605600,30.804783
"246",34.400002,34.630001,34.16,34.450001,3580000,30.921465
"247",34.549999,34.549999,34.16,34.439999,3186700,30.912479
"248",34.459999,35.240002,34.459999,34.939999,2978100,31.361279
"249",34.98,34.98,34.32,34.490002,2142600,30.957365
"250",34.490002,34.57,34.130001,34.439999,1633300,30.912479
"251",34.540001,34.779999,34.040001,34.060001,2189400,30.571407
"252",34.150002,34.369999,33.560001,33.869999,5282200,30.607555
"253",34.080002,34.169998,32.860001,33.169998,3845000,29.974976
"254",32.709999,33.110001,31.870001,32.740002,5630000,29.586403
"255",32.75,32.860001,32.349998,32.549999,3949400,29.414698
"256",32.830002,33.080002,31.76,32.299999,4920000,29.188774
"257",32.16,32.18,31.57,31.99,5362600,28.90864
"258",31.690001,32.220001,31.530001,32.029999,3044000,28.944788
"259",32.16,33.27,31.940001,33.189999,5280200,29.993052
"260",33.16,34.23,33.029999,33.869999,4803300,30.607555
"261",33.919998,34,32.669998,32.709999,5396400,29.559288
"262",32.82,33.459999,32.82,33.259998,2741400,30.056313
"263",33.310001,33.880001,33.25,33.759998,2527300,30.508152
"264",33.93,34.869999,33.759998,34.810001,3711500,31.45702
"265",34.799999,35.5,34.740002,35.48,4819100,32.062473
"266",35.439999,35.68,35.060001,35.459999,3369200,32.044395
"267",35.459999,35.580002,34.48,34.880001,2482700,31.520273
"268",35.099998,35.189999,34.369999,34.580002,2166500,31.249166
"269",34.580002,34.869999,34.169998,34.849998,2641300,31.493151
"270",34.470001,35.330002,34.470001,35.080002,2543300,31.701006
"271",34.900002,35.029999,34.25,34.389999,4644400,31.077467
"272",34.419998,34.68,33.02,33.240002,5508700,30.038239
"273",32.82,33.5,32.57,32.880001,5666000,29.712915
"274",32.68,32.810001,31.91,32.09,4474800,28.999008
"275",31.799999,32.220001,30.52,30.559999,7562100,27.616381
"276",29.889999,32.48,29.280001,32.16,8789500,29.062265
"277",32.200001,33.049999,31.84,32.619999,3988800,29.477957
"278",32.82,32.849998,31.16,31.17,4082700,28.167627
"279",31.73,32.599998,30.540001,32.290001,8643000,29.179743
"280",32.540001,32.619999,31.32,31.42,7131600,28.393543
"281",31.379999,32.509998,31.290001,32.43,4181000,29.306259
"282",32.099998,33.400002,31.99,33.110001,4070000,29.920753
"283",33.41,33.59,32.66,33.330002,2760500,30.119572
"284",33.259998,33.950001,33.23,33.27,4362400,30.06535
"285",31.09,32.41,30.75,31.610001,9581600,28.565243
"286",31.790001,32.919998,31.75,32.220001,4562300,29.116488
"287",32.330002,32.700001,32.240002,32.369999,2601200,29.252037
"288",32.490002,32.720001,32.02,32.689999,3628200,29.54121
"289",33.040001,33.130001,31.9,32.130001,5962000,29.035158
"290",32.619999,33.169998,31.209999,31.219999,5222200,28.212807
"291",31.5,32.18,31.440001,31.58,4588000,28.538134
"292",31.389999,31.950001,30.73,31.700001,9283700,28.646576
"293",33.900002,34.369999,32.700001,34.18,16535800,30.88769
"294",34.18,34.290001,33.439999,34.09,10937500,30.806364
"295",34.09,34.709999,34.02,34.59,6900500,31.258205
"296",34.459999,34.52,32.970001,33.279999,7064900,30.074381
"297",33.34,33.580002,32.580002,32.599998,5563200,29.459883
"298",32.889999,33.18,32.169998,33.07,4575400,29.884609
"299",33.07,33.119999,32.049999,32.240002,5507800,29.134562
"300",32.470001,33,32.34,32.669998,3951600,29.523138
"301",32.810001,32.98,32.299999,32.419998,3056000,29.297222
