"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"1",242.699997,244.970001,237.970001,241.570007,4384200,222.43071
"2",241.440002,243.320007,240.029999,243.130005,2728700,223.867111
"3",242.720001,243.229996,236.779999,241.320007,3562600,222.200531
"4",242.289993,246.199997,241.369995,244.899994,3591100,225.496902
"5",243.25,244.690002,241.470001,242.889999,3022800,223.646118
"6",240.869995,243.440002,239.050003,242.570007,3432900,223.351456
"7",242.770004,245.839996,242,245.759995,3532600,226.288742
"8",245.059998,245.470001,241.570007,243.839996,4022300,224.520844
"9",245.429993,247.770004,242.910004,244.300003,4186100,224.944397
"10",242.940002,243.059998,235.610001,235.740005,6277200,217.062607
"11",236,237.690002,231.520004,234.289993,7590500,215.727478
"12",234.070007,234.75,230.619995,231.410004,4561800,213.075684
"13",231.619995,233.229996,230.539993,232.199997,5211800,213.80307
"14",231.860001,233.75,230.75,232.669998,3136200,214.235855
"15",231.860001,236.059998,230.839996,233.679993,4448200,215.165802
"16",235.529999,237.330002,234.490005,237.25,3716800,218.452957
"17",237.470001,240.789993,237.470001,239.580002,4195600,220.598373
"18",236.899994,237.970001,236.009995,236.949997,3253100,218.176743
"19",235.580002,236.289993,231.520004,233.899994,3803300,215.368378
"20",232.850006,234.350006,228.160004,229.320007,5156400,211.151276
"21",230.509995,232.860001,229.520004,230.669998,4024500,212.394333
"22",228.509995,232.330002,227.050003,230.410004,2775700,212.154892
"23",234.520004,241.110001,234.199997,240.949997,7381000,221.859833
"24",239.600006,243.649994,239.169998,239.979996,4639200,220.96669
"25",241.149994,241.440002,239.389999,239.619995,2660200,220.635193
"26",238.300003,238.940002,236.309998,237.729996,2744700,218.894928
"27",237.729996,243.289993,237.419998,241.550003,3550800,222.412292
"28",243.369995,244.160004,241.229996,242.720001,3072800,223.489609
"29",244.490005,247.479996,244.490005,246.270004,2998200,226.758347
"30",246.009995,250,245.690002,249.460007,4141500,229.695587
"31",250.580002,251.949997,248.509995,250.539993,4296600,230.690018
"32",250.300003,250.779999,248.440002,249.440002,2286300,229.677185
"33",247.509995,250.559998,247.110001,250.380005,3262300,230.542725
"34",251,252.649994,250.710007,251.759995,2794900,231.81337
"35",250.059998,252.350006,250,251.729996,2378800,231.785706
"36",251.309998,251.899994,249.320007,251.190002,2594700,231.288528
"37",247.699997,248.880005,246.100006,247.350006,3565400,227.752792
"38",247.210007,249.759995,246.610001,249.330002,2372600,229.575912
"39",248,249,245.610001,248.059998,3627100,229.003571
"40",253.710007,255.149994,251.259995,252.710007,5218300,233.296295
"41",253.520004,254.240005,250.970001,251.059998,3020000,231.773056
"42",251.059998,254.75,251.059998,252.889999,3163700,233.462463
"43",252.169998,252.729996,250.5,252.009995,2467000,232.65007
"44",252.490005,253,250.309998,250.899994,2497300,231.625351
"45",253.619995,254.770004,249.610001,250.240005,3574400,231.016052
"46",251.220001,252.740005,249.520004,250.179993,3061500,230.960678
"47",251.839996,251.899994,246.869995,248.380005,3365900,229.298965
"48",249.320007,249.320007,247.210007,248.160004,1801100,229.09584
"49",246.809998,247.830002,245.410004,247.720001,2144200,228.689651
"50",248.350006,250.279999,245.559998,246.779999,3427000,227.821884
"51",247.850006,250.199997,247.309998,248.220001,2940600,229.15123
"52",249.679993,249.679993,243.860001,243.940002,5438100,225.200043
"53",243.320007,244.929993,241.520004,242.139999,2759100,223.538284
"54",243.309998,243.309998,232.789993,233,5660900,215.100464
"55",231.220001,232.919998,229.160004,231.070007,6291300,213.318741
"56",230.75,234.630005,229.949997,231.899994,4770700,214.084946
"57",233,233.699997,226.970001,228.410004,6387300,210.863098
"58",223.300003,227.070007,220.850006,225.479996,9194800,208.158173
"59",225.580002,229.75,225.100006,229.330002,4471200,211.712418
"60",229.389999,229.970001,227.520004,228.449997,2636000,210.900009
"61",229.479996,232,229.380005,231.220001,3156800,213.45726
"62",230.529999,230.800003,228.729996,229.720001,2858400,212.072449
"63",230,230.100006,225.570007,228.960007,3735600,211.370834
"64",227.720001,230.690002,227.279999,229.259995,3042700,211.647766
"65",232.149994,232.889999,227.309998,227.660004,5286900,210.170715
"66",227.089996,230.119995,225.710007,228.639999,2927200,211.075409
"67",226.600006,228.830002,226.229996,227.880005,2853300,210.37381
"68",228,229.789993,226.949997,228.889999,2653900,211.306213
"69",227.779999,229.399994,225.389999,227.740005,3374700,210.244568
