"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"1",135.100006,135.509995,133.589996,134.309998,5299700,120.095284
"2",134.339996,135.940002,134.210007,135.5,4055300,121.159348
"3",134.979996,135.460007,133.779999,133.899994,3821100,119.728683
"4",133.970001,134.330002,133.050003,133.529999,3827500,119.397842
"5",133.220001,134.759995,133.139999,134.309998,4310200,120.095284
"6",134,136.380005,133.770004,136.100006,5928300,121.695854
"7",136.100006,136.389999,134.740005,135.699997,4643700,121.338203
"8",135.509995,135.529999,133.940002,135.070007,3600000,120.774857
"9",134.919998,135.75,134.759995,135.039993,3117600,120.748009
"10",135.089996,136.479996,134.759995,135.929993,3976900,121.543823
"11",135.899994,136.289993,134.919998,136.160004,3869700,121.749519
"12",136,136.779999,134.929993,135.389999,5078700,121.061005
"13",135.259995,136,134.600006,135.600006,4853900,121.248787
"14",135.309998,138.270004,135,138.070007,7056200,123.457352
"15",137.880005,138.380005,137.300003,138.059998,4055100,123.448425
"16",138.449997,139.369995,137.429993,137.479996,3631700,122.929779
"17",138.009995,139.179993,137.710007,138.460007,2931200,123.806084
"18",138.800003,138.830002,137.699997,138.330002,3149500,123.689857
"19",137.990005,138.490005,136.860001,138.470001,2705000,123.815025
"20",137.630005,138.619995,136.850006,137.580002,3227000,123.019203
"21",137.660004,137.960007,136.529999,137.440002,2968800,122.894043
"22",137.470001,137.550003,136.559998,136.949997,2197600,122.455894
"23",137.259995,138.470001,136.970001,137.979996,2654700,123.376862
"24",137.429993,137.899994,136.449997,136.490005,3864100,122.044571
"25",137.160004,137.699997,136.330002,136.649994,3242000,122.187622
"26",136.889999,137.910004,136.820007,137.880005,2882700,123.287445
"27",137.880005,139.149994,137.410004,138.710007,2931900,124.029594
"28",138.600006,140.570007,138.25,139.850006,3297000,125.048943
"29",140.479996,140.649994,139.050003,139.869995,2753000,125.066833
"30",139.949997,141.369995,139.339996,141.360001,4775800,126.399147
"31",141.270004,142.660004,140.949997,142.190002,4343500,127.141289
"32",142.389999,142.990005,140.899994,141.539993,4295800,126.560089
"33",141.360001,143.119995,141,143,5108400,127.865585
"34",145.600006,145.649994,143.25,145.020004,9275900,129.671783
"35",145.050003,145.470001,143.970001,145.25,5037800,129.877472
"36",146.110001,146.330002,144.509995,144.710007,4184000,129.394623
"37",144.649994,146.080002,144.649994,145.949997,3516900,130.503387
"38",145.869995,146.009995,144.800003,145.300003,4388400,129.92215
"39",144.979996,145.630005,144.470001,144.910004,4211900,129.573441
"40",146.720001,147.699997,145.889999,146.679993,6213500,131.156082
"41",147.080002,148.229996,146.389999,147.949997,4053400,132.291702
"42",147.949997,148.259995,146.820007,147.809998,3412300,132.16655
"43",147.130005,147.509995,146.580002,147.130005,3998000,131.558517
"44",146.330002,146.949997,145.830002,146.020004,3996300,131.36058
"45",146.220001,147.119995,145.919998,146.919998,3614500,132.170212
"46",147.080002,147.160004,146.529999,146.619995,3594000,131.900345
"47",147.240005,147.460007,146.449997,146.850006,3123200,132.107269
"48",147.330002,147.669998,146.5,147.429993,2933300,132.628998
"49",147.270004,147.589996,146.460007,147.160004,3272500,132.386154
"50",147.350006,148.380005,146.759995,147.949997,3670500,133.096817
"51",148.399994,149.190002,148.009995,148.729996,3544500,133.798523
"52",149.399994,149.990005,148.130005,149.600006,9002000,134.581177
"53",149.380005,149.589996,147.699997,147.800003,5906100,132.961884
"54",148.330002,148.699997,146.259995,146.610001,4530000,131.891357
"55",146.729996,147.929993,146.059998,147.360001,3169000,132.566055
"56",147.279999,148.410004,147.029999,147.990005,3219400,133.132797
"57",147.850006,150.149994,147.009995,147.710007,4735400,132.880905
"58",147.070007,147.679993,146.259995,146.869995,2943000,132.125275
"59",147.289993,147.350006,145.940002,147.199997,4635600,132.422119
"60",146.369995,147.419998,145.960007,147.039993,3730000,132.278152
"61",146.720001,147.380005,146.429993,146.949997,2450800,132.19725
"62",146.869995,147.179993,146.649994,146.830002,3248700,132.089294
"63",146.940002,147.199997,146.089996,146.619995,3775300,131.900345
"64",146.5,146.899994,146.050003,146.339996,3124200,131.648468
"65",146.630005,148.440002,146.580002,146.639999,3390400,131.91835
"66",147.039993,147.960007,147,147.240005,2699100,132.458099
"67",147.100006,147.800003,146.899994,147.130005,2869100,132.359161
"68",146.960007,149,146.75,148.210007,5044500,133.330719
"69",147.910004,148.649994,147.100006,148.199997,2844800,133.321747
"70",147.419998,147.570007,146.369995,146.539993,4445600,131.828384
"71",146.419998,147.009995,145.869995,145.910004,2346900,131.261612
"72",145.899994,147.309998,145.759995,147.309998,3467700,132.521103
"73",147.059998,148.179993,146.770004,147.759995,2969400,132.925873
"74",147.929993,148.399994,147.020004,147.220001,3461000,132.440094
"75",147.660004,149.050003,147.440002,148.720001,3700500,133.789505
"76",148.490005,150.149994,148.399994,150,5019900,134.941025
"77",151.080002,152.059998,150.850006,151.889999,5077200,136.641266
"78",152.789993,154.649994,152.789993,153.029999,5496500,137.666794
"79",153.110001,154.809998,152.399994,154.220001,5120200,138.73735
"80",154.690002,156.270004,153.889999,156.119995,5881400,140.446625
"81",156.009995,156.25,154.100006,156.100006,4983000,140.428619
"82",156.220001,156.270004,154.210007,154.210007,3152900,138.728363
"83",154.490005,155.160004,153.759995,154.949997,3295100,139.394043
"84",155.160004,155.389999,154.589996,155,2445500,139.439056
"85",155.460007,155.639999,154.259995,154.860001,3793100,139.31311
"86",155.339996,155.75,154.089996,155.729996,2500600,140.095764
"87",155.850006,157.160004,155.490005,156.889999,3184600,141.139282
"88",157.039993,157.740005,156.289993,157.679993,3004400,141.849976
"89",157.520004,158.149994,157.300003,158.130005,2617600,142.254807
"90",157.350006,157.699997,155.330002,156.199997,3929100,140.5186
"91",156.389999,157.199997,155.75,156.919998,2926400,141.166275
"92",157.279999,157.839996,156.660004,157.330002,6068900,141.53511
"93",160.110001,160.860001,158.050003,158.259995,10120900,142.371719
"94",158.259995,158.259995,155.889999,156.089996,5937000,140.419617
"95",155.479996,156.669998,155.240005,155.699997,4858600,140.068771
"96",156.039993,156.740005,155.320007,156.300003,4781800,140.608521
"97",156.490005,157,155.800003,155.960007,3802100,140.302689
"98",155.910004,156.429993,154.679993,154.830002,4640900,139.286118
"99",154.699997,155.429993,153.289993,155,4558700,139.439056
"100",156.199997,156.690002,155.350006,156.460007,3110800,140.752472
"101",156.100006,156.419998,154.639999,154.899994,4284700,139.34906
"102",154,154.559998,153.520004,153.880005,3504300,139.23143
"103",154.360001,154.380005,153.279999,153.509995,7158400,138.896683
"104",153.520004,155.160004,152.740005,155.149994,3385100,140.380569
"105",154.789993,155.860001,154.419998,155.350006,3485600,140.561539
"106",155.529999,155.619995,154.229996,154.789993,2651800,140.054825
"107",154.440002,154.660004,153.649994,154.199997,3260300,139.520981
