"","HPQ.Open","HPQ.High","HPQ.Low","HPQ.Close","HPQ.Volume","HPQ.Adjusted"
"1",14.95,15.14,14.62,14.85,12502200,12.877589
"2",14.92,15.21,14.85,15.08,9127800,13.077043
"3",15.1,15.16,14.9,15.07,13221100,13.068369
"4",15.15,15.16,14.97,15,7494200,13.007668
"5",14.98,15.09,14.67,14.68,12908400,12.73017
"6",14.65,14.97,14.4,14.69,15888200,12.738841
"7",14.71,14.97,14.62,14.94,15009300,12.955636
"8",14.89,14.96,14.56,14.79,11507700,12.825562
"9",14.79,14.94,14.69,14.77,9336200,12.808217
"10",14.68,14.89,14.56,14.58,11976800,12.643452
"11",14.61,14.7,14.5,14.58,13664400,12.643452
"12",14.81,15.02,14.75,14.86,15081800,12.886263
"13",14.96,14.99,14.6,14.73,14687000,12.773529
"14",14.71,14.73,14.41,14.67,15250500,12.721498
"15",14.7,15.25,14.67,15.17,12369700,13.15509
"16",15.26,15.35,15.12,15.19,16223300,13.17243
"17",15.22,15.31,14.77,14.79,14419200,12.825562
"18",14.83,15.11,14.78,14.8,14921400,12.83423
"19",14.83,14.85,14.62,14.84,11239700,12.868919
"20",14.77,15.11,14.57,15.05,14889600,13.051025
"21",15.12,15.16,14.84,14.99,12433800,12.998995
"22",14.89,15.22,14.87,15.21,15599600,13.189775
"23",15.22,15.32,15.12,15.27,11659500,13.241805
"24",15.17,15.3,15.09,15.26,7975400,13.233135
"25",15.26,15.44,15.16,15.43,12330300,13.380554
"26",15.41,15.64,15.39,15.51,13204300,13.449929
"27",15.51,15.77,15.45,15.64,7709400,13.562658
"28",15.65,15.74,15.55,15.72,10006400,13.632035
"29",15.75,16.110001,15.7,16.040001,16142000,13.909534
"30",15.96,16.41,15.95,16.059999,17086200,13.926877
"31",16.040001,16.139999,15.89,15.98,14448300,13.857502
"32",15.99,16.030001,15.89,15.92,12560000,13.805473
"33",15.88,15.95,15.72,15.95,17366700,13.831487
"34",15.93,16.219999,15.93,16.129999,17318100,13.987579
"35",16.09,16.24,16.09,16.200001,16654200,14.048282
"36",16.51,17.799999,16.48,17.6,37118800,15.262329
"37",17.34,17.68,17.309999,17.65,19816100,15.305687
"38",17.65,17.809999,17.48,17.65,12287500,15.305687
"39",17.639999,17.67,17.370001,17.370001,13940100,15.062877
"40",17.65,17.709999,17.450001,17.620001,9818700,15.279676
"41",17.66,17.690001,17.309999,17.32,12229200,15.019522
"42",17.299999,17.4,17.120001,17.35,14165500,15.045538
"43",17.440001,17.440001,17.129999,17.299999,11163100,15.118069
"44",17.27,17.42,17.049999,17.27,11528000,15.091852
"45",17.299999,17.4,17.219999,17.32,6745700,15.135546
"46",17.25,17.42,17.18,17.360001,8505400,15.170498
"47",17.25,17.6,17.25,17.389999,7840700,15.196716
"48",17.41,17.49,17.35,17.49,6966600,15.284106
"49",17.459999,17.58,17.41,17.469999,6334400,15.266626
"50",17.440001,17.65,17.280001,17.57,13418100,15.354013
"51",17.6,17.709999,17.48,17.65,9144000,15.423923
"52",17.65,17.700001,17.559999,17.559999,14282500,15.345274
"53",17.57,17.68,17.52,17.559999,8847800,15.345274
"54",17.620001,17.690001,17.15,17.15,11252300,14.986985
"55",17.219999,17.299999,17.1,17.23,10654600,15.056896
"56",17.23,17.379999,17.139999,17.209999,9156900,15.039417
"57",17.280001,17.4,17.129999,17.23,6633800,15.056896
