"","HWM.Open","HWM.High","HWM.Low","HWM.Close","HWM.Volume","HWM.Adjusted"
"1",18.74,19.200001,18.639999,19.190001,4285200,18.650909
"2",19.200001,19.73,19.01,19.700001,4434700,19.146587
"3",19.700001,20.200001,19.6,20.1,5409500,19.535347
"4",20.15,20.709999,20.01,20.629999,5535600,20.050463
"5",20.59,20.629999,20.290001,20.389999,4882200,19.817202
"6",20.18,20.93,20.18,20.709999,4311400,20.128212
"7",20.73,21.1,20.65,21.1,4199300,20.507254
"8",20.93,21.030001,20.5,21,5548700,20.410065
"9",20.940001,21.23,20.889999,21.129999,4616200,20.536415
"10",20.700001,20.9,20.58,20.74,3044400,20.157372
"11",20.73,20.959999,20.629999,20.879999,2577400,20.293432
"12",20.790001,21.35,20.790001,21.309999,3684900,20.711359
"13",21.299999,21.639999,21.139999,21.290001,5623400,20.691917
"14",21.26,21.370001,21.09,21.33,4182800,20.730795
"15",21.48,22.4,21.42,22.17,8308800,21.547199
"16",22.360001,22.719999,22.23,22.690001,3802900,22.052591
"17",22.549999,22.879999,22.309999,22.860001,3274100,22.217817
"18",22.85,22.879999,22.51,22.6,2702100,21.96512
"19",22.620001,22.66,22.16,22.5,3789000,21.867929
"20",22.299999,22.790001,22.129999,22.790001,5661300,22.14978
"21",23.27,25.5,23.09,25.280001,16385400,24.634691
"22",25.01,25.5,24.82,25.200001,8086700,24.556736
"23",25.17,25.92,25.17,25.9,5964100,25.238861
"24",25.219999,26.309999,25.219999,26.200001,10249100,25.531206
"25",26.200001,26.719999,26.07,26.620001,7512700,25.940485
"26",26.48,27.41,26.33,27.299999,7665900,26.603127
"27",27.299999,28.139999,27.15,27.959999,9069200,27.246277
"28",28.23,29.85,28.120001,29.620001,11540800,28.863909
"29",29.469999,29.870001,29.049999,29.65,10160800,28.893139
"30",29.450001,30.16,29.34,29.52,11884100,28.766459
"31",29.34,29.52,29.08,29.209999,5073900,28.464371
"32",29.139999,29.49,29.059999,29.49,5046900,28.737225
"33",29.360001,30.08,29.25,29.91,4651500,29.146502
"34",29.67,30.379999,29.65,30.290001,3882600,29.516796
"35",29.879999,30.559999,29.879999,30.549999,4517000,29.770159
"36",30.58,30.690001,29.52,29.57,6950800,28.815176
"37",28.99,29.530001,28.74,29.32,4510000,28.571566
