"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"1",56.900002,56.959999,55.799999,56.220001,2595000,52.99963
"2",56.459999,57.459999,56.32,57.209999,3074900,53.932915
"3",57.02,57.720001,56.700001,56.970001,1636800,53.706657
"4",57.040001,57.540001,56.900002,57.34,1490100,54.05547
"5",57.279999,57.689999,56.889999,57.02,1472100,53.753799
"6",57.110001,57.16,56.68,56.77,1646400,53.51812
"7",56.91,56.959999,56.040001,56.84,3852100,53.584103
"8",56.529999,56.98,55.799999,56.720001,4289600,53.470982
"9",57.060001,57.439999,56.669998,56.830002,1963300,53.57468
"10",56.73,56.779999,56.169998,56.459999,1998500,53.225868
"11",56.75,57.419998,56.209999,57.310001,2072900,54.027184
"12",57.360001,57.439999,56.950001,56.959999,1887400,53.697231
"13",57.119999,57.5,56.93,57.400002,2001800,54.112034
"14",57.189999,57.439999,56.689999,56.84,1545800,53.584103
"15",56.990002,57.68,56.919998,57.459999,1701600,54.168594
"16",57.84,58.189999,57.75,57.959999,2531900,54.639961
"17",58.150002,58.869999,56.990002,58.169998,1927500,54.837921
"18",58.16,58.189999,57.619999,57.880001,1309200,54.564537
"19",57.880001,57.970001,57.25,57.939999,1309500,54.62109
"20",57.990002,58.389999,57.82,58.360001,2458400,55.017044
"21",58.419998,58.959999,58.139999,58.349998,2952100,55.00761
"22",58.02,58.799999,57.830002,58.389999,3733200,55.045326
"23",58.880001,59,58.450001,58.540001,3092500,55.186733
"24",58.25,58.57,58.119999,58.509998,2879800,55.158443
"25",59.279999,60.540001,59.279999,59.93,7162800,56.497112
"26",59.5,59.5,56.990002,57.040001,5603300,53.772644
"27",57.040001,57.66,56.799999,57.580002,3657200,54.281727
"28",57.630001,57.869999,57.139999,57.650002,2975200,54.347713
"29",58.119999,59.110001,57.82,59.029999,2558600,55.648659
"30",59.029999,59.139999,58.450001,58.650002,2914900,55.290432
"31",58.73,59.119999,58.330002,59.009998,3396800,55.629803
"32",58.939999,58.939999,58.25,58.650002,1809400,55.290432
"33",58.529999,58.799999,58.299999,58.400002,2962900,55.054756
"34",58.419998,58.57,57.810001,57.959999,3150500,54.639961
"35",57.59,57.990002,57.459999,57.73,2784500,54.42313
"36",57.860001,58.310001,57.799999,58.110001,2973700,54.781357
"37",57.77,58.619999,57.669998,58.299999,2026300,54.960468
"38",58.25,58.400002,57.150002,57.700001,3092100,54.394844
"39",57.48,57.639999,56.970001,57.130001,3392400,53.857506
"40",57.830002,59.099998,57.610001,58.93,3869200,55.554394
"41",58.889999,58.98,58.369999,58.52,2981500,55.167881
"42",58.52,58.849998,58.07,58.740002,2992000,55.375278
"43",58.419998,59.220001,58.099998,59.02,3646300,55.639233
"44",58.950001,59.049999,58.549999,58.630001,2656100,55.27158
"45",58.860001,59.48,58.650002,59.389999,3465900,55.988029
"46",59.529999,60.450001,59.459999,60.060001,5102400,56.619663
"47",60.330002,60.860001,59.77,60.259998,3584400,56.808201
"48",60.490002,60.700001,60.200001,60.400002,4264000,56.940189
"49",60.200001,60.68,60.02,60.209999,3413800,56.949635
"50",60.48,60.540001,60.240002,60.400002,2791400,57.12936
"51",60.57,61.580002,60.5,61.549999,3933200,58.217083
"52",61.470001,61.98,61.290001,61.400002,4871200,58.075214
"53",61.259998,61.470001,60.970001,61,2321100,57.696873
"54",61.27,61.360001,59.939999,60.029999,3332400,56.779388
"55",60.029999,60.209999,59.529999,59.799999,2120700,56.561848
"56",59.860001,60.41,59.709999,59.869999,2433500,56.628059
"57",59.990002,60.27,59.700001,59.849998,2536100,56.609135
"58",59.200001,59.560001,58.849998,59.400002,1922600,56.18351
"59",59.200001,60.040001,59.18,59.830002,2076500,56.590233
"60",59.68,59.689999,59.029999,59.299999,1890700,56.088921
"61",59.349998,60.130001,59.220001,60.029999,2029900,56.779388
"62",59.740002,60.310001,59.599998,59.869999,2099500,56.628059
"63",60.049999,60.18,58.799999,59.32,2561200,56.107838
"64",59.400002,59.610001,59.110001,59.41,2445500,56.19297
"65",59.790001,60.650002,59.549999,59.970001,3067300,56.722649
"66",59.959999,60.450001,59.689999,60.240002,3361000,56.978024
"67",60,61.049999,59.860001,60.779999,3876500,57.488781
"68",60.880001,61.110001,60.369999,60.400002,2667200,57.12936
"69",60.209999,60.459999,59.900002,60.290001,3242000,57.025322
"70",60.009998,60.330002,59.779999,59.830002,2386500,56.590233
"71",59.700001,60.02,59.419998,59.419998,1644600,56.202427
"72",59.529999,60.16,59.07,60.099998,1217000,56.8456
"73",59.93,60.380001,59.799999,60.27,1673500,57.006401
"74",60.490002,60.630001,59.880001,59.950001,1993300,56.703724
"75",60.220001,60.700001,59.91,60.630001,3083900,57.346905
"76",60.57,60.869999,60.150002,60.41,1856900,57.138817
"77",61.380001,61.549999,60.509998,60.580002,2996100,57.29961
"78",61.110001,61.400002,60.959999,60.970001,1854500,57.668495
"79",61.07,61.470001,60.98,61.099998,1719200,57.791447
