"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"1",118.449997,119.669998,116.730003,117.169998,531300,105.291237
"2",117,118.18,115.510002,117.389999,705900,105.488945
"3",116.940002,117.440002,115.120003,116.099998,1010200,104.329704
"4",115.669998,116.529999,113.160004,116.019997,1013900,104.257851
"5",115.25,116.199997,113.5,115.559998,712000,103.84446
"6",116.029999,116.580002,115.389999,115.480003,491500,103.772575
"7",115.279999,116.529999,114.769997,116.300003,608100,104.509453
"8",116.080002,116.730003,114.949997,115.260002,548900,103.574898
"9",115.580002,117.18,115.580002,116.660004,427700,104.832954
"10",116.720001,117.779999,116.389999,116.809998,464500,104.967743
"11",117.209999,117.919998,116.720001,117.830002,501000,105.884331
"12",117.669998,118.029999,116.639999,117.510002,465800,105.596779
"13",117.699997,119.440002,117.589996,118.129997,456200,106.153923
"14",117.809998,117.910004,116.830002,117.370003,315600,105.470985
"15",117.620003,119.660004,116.790001,119.540001,373700,107.420967
"16",120.059998,120.290001,119.589996,119.82,416600,107.672615
"17",120.040001,120.360001,119.480003,119.699997,261500,107.564751
"18",119.419998,119.919998,118.519997,119.849998,284800,107.699532
"19",119.419998,119.690002,118.489998,119,415900,106.93573
"20",118.660004,118.879997,115.970001,117.209999,798400,105.327187
"21",117.400002,117.629997,115.779999,116.540001,929800,104.725121
"22",116.57,118.129997,114.809998,116.839996,1771100,104.994705
"23",117.169998,118.449997,116.110001,117.980003,699300,106.019135
"24",117.550003,118.040001,116.529999,117.470001,364800,105.560844
"25",117.760002,117.879997,116.32,116.75,670600,104.913834
"26",116.739998,118.540001,116.300003,117.919998,639500,105.965202
"27",117.919998,119.309998,117.510002,117.739998,1313500,105.803482
"28",118.260002,119.089996,117.57,117.910004,1347100,105.95623
"29",118.43,120.029999,117.559998,120.029999,732700,107.861298
"30",119.540001,119.959999,117.089996,117.900002,1004800,105.94725
"31",117.360001,119.269997,117.07,119.160004,669100,107.079506
"32",120.830002,126.339996,120,124.029999,1933900,111.455772
"33",123.68,123.860001,122.099998,122.370003,881600,109.964088
"34",122.139999,123.190002,121.089996,121.620003,668400,109.2901
"35",121.589996,122.830002,121.029999,122.629997,563300,110.197708
"36",125.040001,128.330002,123.940002,125.139999,1083600,112.453247
"37",125.059998,125.300003,124,125,516800,112.327454
"38",125.110001,125.150002,124.129997,124.809998,462900,112.156693
"39",124.82,126.199997,124.739998,125.699997,506200,112.956474
"40",126.120003,128.380005,126.019997,127.099998,624500,114.214554
"41",126.940002,127.470001,125.5,126.129997,556700,113.342873
"42",126.07,126.669998,124.540001,125.129997,345300,112.444275
"43",124.410004,125.129997,124.209999,124.389999,567500,111.779282
"44",124.18,125.099998,123.349998,123.889999,439000,111.329979
"45",123.790001,125.459999,123.790001,124.279999,607600,111.680443
"46",124.260002,124.260002,123.150002,123.660004,504000,111.123276
"47",124.550003,125.389999,124.330002,125.330002,474500,112.623978
"48",125.419998,126.760002,124.620003,126.599998,617800,113.765236
"49",126.110001,126.769997,125.529999,126.220001,491400,113.423744
"50",126.5,128.429993,126.019997,128.100006,571600,115.113167
"51",128.279999,129.089996,127.779999,128.940002,571200,115.868011
"52",129.610001,132.240005,129.320007,132.100006,1223000,118.707649
"53",132.050003,135.490005,131.690002,135.399994,1545500,121.673096
"54",135.449997,137.039993,134.479996,135.100006,961500,121.403481
"55",135.020004,136.979996,134.5,136.889999,770000,123.012016
"56",135.399994,136.830002,134.940002,135.070007,808300,121.946678
"57",135.160004,135.289993,132.789993,133.190002,667300,120.249321
"58",132.729996,133.460007,131.770004,132.559998,1124800,119.680542
"59",131.979996,132.350006,130.610001,131.550003,843400,118.768677
"60",131.419998,132.210007,130.979996,131.960007,972900,119.138855
"61",131.809998,133.419998,131.639999,132.369995,405100,119.508995
"62",132.449997,133.429993,132.020004,132.529999,498100,119.65345
"63",132.740005,132.779999,131.25,131.589996,389400,118.804764
"64",131.970001,132.449997,130.990005,131.449997,320900,118.678368
"65",131.380005,132.889999,131.380005,131.770004,608700,118.9673
"66",131.880005,133.360001,131.419998,133.039993,589300,120.113899
"67",132.309998,133.199997,132.080002,132.25,347300,119.400665
"68",132.080002,133.089996,131.770004,132.850006,374500,119.94239
