"","INTC.Open","INTC.High","INTC.Low","INTC.Close","INTC.Volume","INTC.Adjusted"
"1",36.610001,36.93,36.27,36.599998,20196500,32.216557
"2",36.709999,36.77,36.34,36.41,15915700,32.049313
"3",36.450001,36.720001,36.310001,36.349998,13986000,31.996506
"4",36.59,36.68,36.189999,36.48,15114000,32.110928
"5",36.48,36.889999,36.48,36.610001,19461400,32.225365
"6",36.549999,36.93,36.529999,36.540001,15918800,32.16375
"7",36.509998,37,36.509998,36.950001,22398400,32.524643
"8",36.830002,36.830002,36.32,36.709999,20391900,32.313393
"9",36.709999,36.860001,36.619999,36.790001,15072200,32.383804
"10",36.669998,36.830002,36.59,36.799999,20195200,32.392609
"11",36.889999,37.009998,36.610001,36.759998,15382500,32.357388
"12",36.509998,36.91,36.509998,36.57,13654500,32.190151
"13",36.759998,37.029999,36.580002,36.939999,23950900,32.515835
"14",37.07,37.209999,36.549999,36.77,27752600,32.366207
"15",36.84,37.740002,36.810001,37.619999,35140900,33.114395
"16",37.869999,38,37.52,37.799999,32276400,33.272839
"17",37.82,37.919998,37.419998,37.560001,34144800,33.061581
"18",38,38.450001,37.810001,37.98,44368600,33.431282
"19",37.740002,37.84,37.330002,37.419998,23954700,32.938347
"20",37.220001,37.369999,36.639999,36.82,27059100,32.41021
"21",36.82,36.950001,36.02,36.52,28380600,32.146137
"22",36.259998,36.700001,36.200001,36.68,31916900,32.28698
"23",36.689999,36.82,36.450001,36.52,21038100,32.375626
"24",36.509998,36.509998,36.150002,36.27,21427000,32.153996
"25",36.450001,36.52,36.240002,36.349998,18581900,32.224922
"26",36.34,36.650002,36.139999,36.380001,20807400,32.251514
"27",36.5,36.5,35.400002,35.459999,47802700,31.435921
"28",35.259998,35.43,34.84,35.34,44106500,31.329536
"29",35.57,35.849998,35.34,35.799999,28180600,31.737335
"30",35.84,35.959999,35.529999,35.93,25734800,31.852587
"31",35.98,36.060001,35.669998,36.049999,18452200,31.958965
"32",36.18,36.560001,36.099998,36.41,21317500,32.278111
"33",36.32,36.48,36.099998,36.48,18909900,32.34016
"34",36.529999,36.650002,36.330002,36.52,20556000,32.375626
"35",36.34,36.400002,35.790001,36.07,29904400,31.976696
"36",36.240002,36.299999,35.900002,36.18,22775000,32.074219
"37",36.139999,36.529999,35.950001,36.529999,18617600,32.384495
"38",36.419998,36.68,36.27,36.509998,14065200,32.366772
"39",36.419998,36.459999,36,36.200001,24977000,32.091938
"40",35.849998,36.099998,35.439999,35.93,34085900,31.852587
"41",35.93,36.02,35.650002,35.91,23602100,31.834845
"42",35.939999,36.09,35.669998,35.900002,17538100,31.825993
"43",35.790001,35.799999,35.419998,35.57,24416700,31.533438
"44",35.540001,35.799999,35.389999,35.799999,23434900,31.737335
