"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"1",70.660004,71.353333,70.555557,71.309998,2378700,71.309998
"2",70.888885,70.888885,69.41333,69.943336,4085100,69.943336
"3",70.021111,70.856667,69.716667,70.323334,3331800,70.323334
"4",70.444443,71.206665,70.444443,70.678886,2650500,70.678886
"5",70.576668,71.473335,70.576668,71.255554,3477600,71.255554
"6",71.39222,73.777779,71.304443,73.577782,3569400,73.577782
"7",75.099998,76.515556,74.454445,75.351112,5687100,75.351112
"8",75.285553,75.285553,73.449997,73.875557,3741300,73.875557
"9",74.222221,74.99778,73.621109,73.856667,2621700,73.856667
"10",73.834442,74.148888,72.777779,73.748886,2360700,73.748886
"11",73.75444,74.222221,73.349998,73.674446,1768500,73.674446
"12",73.602219,73.793335,72.67778,73.117775,2252700,73.117775
"13",73.468887,73.468887,72.693336,72.972221,2322900,72.972221
"14",73.059998,73.553329,72.396667,72.781113,2450700,72.781113
"15",73.073334,74.419998,72.631111,74.005554,4227300,74.005554
"16",75,77.824448,74.668892,77.777779,10207800,77.777779
"17",77.367775,77.666664,76.047775,76.395554,4985100,76.395554
"18",76.042221,77.251114,75.793335,76.809998,3792600,76.809998
"19",76.377777,76.716667,75.962219,76.681114,2817000,76.681114
"20",76.470001,77.50444,76.062225,76.965553,3465900,76.965553
"21",76.672218,77.555557,76.442223,77.446671,3225600,77.446671
"22",77.015556,77.887779,76.782219,77.795555,3142800,77.795555
"23",77.777779,78.105553,77.529999,78.014442,2917800,78.014442
"24",77.783333,78.449997,77.412224,78.328888,2916900,78.328888
"25",78.23111,78.480003,77.944443,78.248886,3415500,78.248886
"26",77.945557,78.293335,77.702225,78.074448,3100500,78.074448
"27",77.99556,78.837776,77.805557,78.375557,2427300,78.375557
"28",78.435555,78.741112,78.16111,78.391113,2419200,78.391113
"29",78.333336,79.032219,77.886665,78.966667,2326500,78.966667
"30",79.157776,79.777779,78.916664,79.435555,2774700,79.435555
"31",79.07,79.922218,78.945557,79.637779,2725200,79.637779
"32",79.381111,80.193336,79.17778,80.16333,2605500,80.16333
"33",79.825554,80.81778,79.737778,80.517776,3488400,80.517776
"34",80.555557,81.463333,80.396667,81.352219,4335300,81.352219
"35",81.08889,81.568886,80.954445,81.342224,2506500,81.342224
"36",81.255554,81.847778,81.174446,81.705559,2416500,81.705559
"37",81.488892,82.08889,81.258888,81.873337,2531700,81.873337
"38",81.93,82.111115,81.401108,81.558891,2671200,81.558891
"39",81.333336,82.114441,81.06778,81.888885,3556800,81.888885
"40",81.866669,82.732224,81.453331,82.34333,2839500,82.34333
"41",82.333336,82.866669,82.191109,82.507774,2412900,82.507774
"42",82.271111,82.919998,82.102219,82.75444,1927800,82.75444
"43",82.297775,82.551109,81.605553,81.744446,3599100,81.744446
"44",81.40889,81.815559,81.015556,81.127777,3464100,81.127777
"45",81.222221,81.612221,80.75444,80.901108,2888100,80.901108
"46",80.792221,81.885559,80.792221,81.779999,2847600,81.779999
"47",82.222221,82.222221,81.404442,81.573334,2204100,81.573334
"48",81.458885,81.812225,80.82,81.543335,2358900,81.543335
"49",80.98333,82.255554,80.937775,82.23111,4090500,82.23111
"50",81.873337,83.492226,81.776665,82.963333,5114700,82.963333
"51",83.227776,83.389999,82.166664,82.614441,2440800,82.614441
"52",83.127777,83.577782,82.853333,83.314445,6014700,83.314445
"53",83.063332,83.949997,83.00222,83.33667,3373200,83.33667
"54",83.722221,84.221107,82.82222,82.883331,3563100,82.883331
"55",83.07,83.352219,82.501114,83.145554,1641600,83.145554
"56",83.044441,83.496666,82.726669,82.90889,1701000,82.90889
"57",83.307777,84.612221,83.074448,84.222221,4008600,84.222221
"58",83.936668,85.457779,83.688889,85.257774,3529800,85.257774
"59",85.257774,85.58667,84.919998,84.941109,2529000,84.941109
"60",84.779999,85.281113,84.388885,85.075554,2216700,85.075554
"61",85.099998,85.443336,84.714447,85.139999,1599300,85.139999
"62",85.041115,85.553329,84.924446,85.16333,2761200,85.16333
"63",85.071114,85.730003,84.494446,84.967781,2886300,84.967781
"64",85.110001,85.251114,84.371109,84.704445,1796400,84.704445
"65",84.542221,86.212219,84.384445,84.755554,3294000,84.755554
"66",84.68222,85.105553,84.48111,84.75222,2342700,84.75222
"67",84.89222,85.371109,84.565559,85.235558,2251800,85.235558
"68",85.001114,85.489998,85,85.226669,2052000,85.226669
"69",85.122223,85.505554,84.514442,84.98111,2472300,84.98111
"70",84.652222,85,84.541115,84.917778,2223000,84.917778
"71",85.047775,85.405556,84.720001,84.976669,2269800,84.976669
"72",85.435555,85.917778,85.036667,85.364441,3475800,85.364441
"73",85.333336,85.333336,83.708885,84.371109,5297400,84.371109
"74",88.888885,90.800003,87.886665,89.744446,10188000,89.744446
"75",89.611115,90.601112,89.205559,90.494446,3549600,90.494446
"76",90.185555,90.505554,89.699997,90.381111,3697200,90.381111
"77",90.777779,91.558891,90.352219,91.353333,3411000,91.353333
"78",91.355553,92.561111,91.16111,91.915558,4374000,91.915558
"79",91.769997,92.885559,91.723335,92.668892,2798100,92.668892
"80",92.736664,93.416664,92.668892,92.951111,2646900,92.951111
"81",92.963333,93.828888,92.528893,92.874443,3512700,92.874443
"82",93.175552,93.554443,92.931114,93.285553,2206800,93.285553
"83",93.023331,93.938889,93.023331,93.863335,1855800,93.863335
"84",93.860001,94.194443,93.428886,93.925552,1629900,93.925552
"85",94.034447,94.279999,93.864441,94.135559,1626300,94.135559
"86",94.376663,94.555557,93.972221,94.50444,1471500,94.50444
"87",94.444443,94.626663,93.222221,93.421112,4041900,93.421112
"88",93.26889,93.926666,93.028893,93.685555,2784600,93.685555
"89",93.790001,93.888885,93.193336,93.673332,2827800,93.673332
"90",93.771111,94.09111,93.133331,93.881111,2090700,93.881111
"91",94.031113,94.255554,93.702225,93.746666,1899000,93.746666
"92",93.541115,94.58889,93.541115,94.51889,1827000,94.51889
"93",95.258888,96.084442,94.831108,95.496666,2718000,95.496666
"94",95.031113,95.541115,94.514442,94.553329,3508200,94.553329
"95",94.756668,95.709999,94.547775,95.553329,2388600,95.553329
"96",95.903336,97.171112,95.594444,96.703331,3735900,96.703331
"97",97.444443,99.707779,97.34333,99.115555,3994200,99.115555
"98",99.727776,100.23333,99.222221,99.671112,2767500,99.671112
"99",99.690002,100.222221,99.181114,99.985558,2413800,99.985558
"100",100.428886,101.267776,100.00222,100.84111,1798200,100.84111
"101",101.493332,101.639999,100.916664,101.151108,1879200,101.151108
"102",100.67778,101.720001,100.344444,101.603333,2787300,101.603333
"103",101.98333,102.425552,101.181114,101.631111,2813400,101.631111
"104",101.676666,102.14222,101.312225,102.120003,2275200,102.120003
"105",102.581108,103.055557,102.139999,102.743332,2193300,102.743332
"106",102.362221,102.884445,101.940002,102.445557,1967400,102.445557
"107",102.015556,103.302223,102.011108,102.706665,1728000,102.706665
"108",103.208885,103.637779,102.691109,103.555557,2145600,103.555557
"109",103.888885,104.127777,102.944443,103.316666,2418300,103.316666
"110",103.865555,103.922218,100.691109,101.815559,3168900,101.815559
"111",101.222221,101.599998,97.388885,100.365555,5867100,100.365555
"112",100.578888,101.698891,100.040001,100.914444,2722500,100.914444
"113",101.963333,102,100.324448,100.647781,2864700,100.647781
"114",100.082222,100.185555,99.116669,99.882225,2939400,99.882225
"115",100.106667,101.954445,100.063332,101.648888,5169600,101.648888
