"","KEYS.Open","KEYS.High","KEYS.Low","KEYS.Close","KEYS.Volume","KEYS.Adjusted"
"1",36.599998,37.16,36.029999,36.279999,630900,36.279999
"2",36.25,37.18,36.25,36.880001,693700,36.880001
"3",36.98,37.18,36.310001,36.450001,1206100,36.450001
"4",36.549999,36.599998,36.119999,36.200001,652900,36.200001
"5",36.130001,36.369999,35.900002,36.099998,916600,36.099998
"6",36.259998,36.355,36.02,36.310001,749100,36.310001
"7",36.259998,36.619999,36.130001,36.5,574100,36.5
"8",36.400002,36.400002,35.689999,36.349998,304500,36.349998
"9",36.52,36.990002,36.509998,36.93,349200,36.93
"10",36.610001,36.830002,35.810001,35.880001,520400,35.880001
"11",35.950001,36.389999,35.73,35.900002,470600,35.900002
"12",35.970001,36.389999,35.599998,35.73,390900,35.73
"13",35.880001,36.169998,35.759998,36.16,439000,36.16
"14",35.959999,36.380001,35.790001,36.299999,453800,36.299999
"15",36.349998,37,36.189999,36.950001,423500,36.950001
"16",36.990002,37.860001,36.75,37.709999,686400,37.709999
"17",37.66,37.681,37.150002,37.240002,544700,37.240002
"18",37.189999,37.425999,36.860001,37.009998,409400,37.009998
"19",37.560001,37.560001,36.5,36.990002,1141400,36.990002
"20",36.779999,37.169998,36.310001,37.07,778000,37.07
"21",37.139999,37.48,36.41,36.720001,1514400,36.720001
"22",36.849998,37,36.099998,36.130001,1459200,36.130001
"23",36.490002,37.52,36.330002,37.349998,1703600,37.349998
"24",37,37.077,36.549999,36.68,712100,36.68
"25",36.82,37.189999,36.43,36.57,865800,36.57
"26",36.540001,37.400002,36.299999,37.200001,735800,37.200001
"27",37.220001,37.48,36.970001,36.990002,627200,36.990002
"28",37.09,37.645,36.75,37.630001,1516100,37.630001
"29",37.720001,37.834999,37.419998,37.419998,404300,37.419998
"30",37.23,37.599998,37.049999,37.450001,512600,37.450001
"31",37.299999,38.34,37.27,38.099998,960900,38.099998
"32",38.150002,38.470001,37.84,38.220001,832000,38.220001
"33",38.41,38.48,36.689999,37.919998,1050400,37.919998
"34",37.830002,38.18,37.73,38.040001,582600,38.040001
"35",37.939999,38.150002,37.84,38.119999,480100,38.119999
"36",38.169998,38.200001,37.169998,37.759998,463600,37.759998
"37",37.349998,37.759998,37.299999,37.549999,626300,37.549999
"38",37.52,37.740002,37.369999,37.610001,462000,37.610001
"39",37.470001,37.700001,37.16,37.599998,905800,37.599998
"40",37.970001,38.09,37.540001,38.029999,1136600,38.029999
"41",37.950001,38.169998,37.720001,37.919998,647500,37.919998
"42",37.860001,38.369999,37.779999,38.279999,623500,38.279999
"43",37.91,38.16,37.845001,37.93,829600,37.93
"44",37.860001,38.27,37.720001,37.900002,519500,37.900002
"45",37.970001,38.139999,37.849998,37.900002,360400,37.900002
"46",37.82,38.07,37.780998,38.02,361200,38.02
"47",38.279999,38.939999,38.16,38.860001,781100,38.860001
"48",38.790001,38.91,38.349998,38.439999,504900,38.439999
"49",38.240002,38.389999,38.049999,38.299999,411300,38.299999
"50",38.459999,39.150002,38.299999,39.060001,642700,39.060001
"51",39.09,39.360001,38.98,39.119999,404200,39.119999
"52",39.189999,39.240002,38.799999,39.02,1244900,39.02
"53",39.110001,39.110001,38.700001,38.75,681700,38.75
"54",38.700001,38.880001,36.549999,36.610001,1103700,36.610001
"55",36.450001,36.560001,35.895,36.169998,964500,36.169998
"56",35.509998,37.509998,35.5,37.200001,9991600,37.200001
"57",37.200001,37.349998,36.665001,36.810001,1016100,36.810001
"58",36.189999,36.59,36.014999,36.52,989700,36.52
"59",36.439999,36.970001,36.310001,36.720001,647200,36.720001
"60",36.68,36.68,36.34,36.369999,777100,36.369999
"61",36.5,36.939999,36.494999,36.59,587500,36.59
"62",36.599998,36.619999,36.119999,36.139999,1044700,36.139999
"63",36.240002,36.490002,35.91,36.200001,835800,36.200001
"64",36.130001,36.68,36.049999,36.240002,1112700,36.240002
"65",36.959999,37.299999,36.110001,36.259998,1506800,36.259998
"66",36.52,36.75,36.150002,36.439999,617500,36.439999
"67",36.23,36.459999,35.759998,35.939999,736000,35.939999
"68",35.98,36.150002,35.66,35.689999,717600,35.689999
"69",35.599998,35.810001,35.25,35.790001,794100,35.790001
"70",35.98,35.98,35.34,35.380001,850100,35.380001
"71",35.369999,35.790001,35.050999,35.299999,778200,35.299999
"72",35.57,35.990002,35.330002,35.950001,638500,35.950001
"73",35.849998,35.990002,35.52,35.77,742200,35.77
"74",36.349998,36.630001,35.980999,36.619999,931800,36.619999
"75",36.810001,36.869999,36.240002,36.700001,832100,36.700001
"76",36.619999,36.66,35.869999,35.880001,627500,35.880001
"77",36.43,37.029999,36.209999,37.009998,1302700,37.009998
"78",37.299999,37.869999,37.139999,37.75,693700,37.75
"79",37.720001,38.139999,37.66,37.849998,624000,37.849998
"80",37.93,38.165001,37.75,37.98,609300,37.98
"81",38.040001,38.099998,37.360001,37.43,988300,37.43
"82",37.549999,37.849998,37.450001,37.77,415800,37.77
"83",37.84,38.09,37.610001,37.880001,642600,37.880001
"84",37.689999,38.290001,37.43,38.139999,985800,38.139999
"85",38.279999,38.580002,38.23,38.450001,634900,38.450001
"86",38.5,38.919998,38.34,38.919998,730700,38.919998
"87",38.950001,39.290001,38.645,39.040001,638400,39.040001
"88",39.02,39.299999,38.91,39.130001,523500,39.130001
"89",38.98,39.305,38.91,39.209999,500700,39.209999
"90",38.959999,39.080002,38.59,39.080002,399400,39.080002
"91",39,39.009998,38.720001,38.98,440200,38.98
"92",38.98,39.490002,38.955002,39.23,478600,39.23
"93",39.299999,39.299999,38.869999,39.080002,523200,39.080002
"94",39.080002,39.080002,37.759998,37.84,1068500,37.84
"95",37.650002,37.650002,37.099998,37.450001,830500,37.450001
"96",37.490002,37.93,37.459999,37.490002,764200,37.490002
"97",37.599998,37.744999,37.23,37.639999,813500,37.639999
"98",37.759998,37.84,37.41,37.560001,362000,37.560001
"99",37.610001,38.110001,37.549999,38.07,715800,38.07
"100",38.200001,38.400002,38.009998,38.240002,424200,38.240002
"101",38.169998,38.560001,37.990002,38.360001,491500,38.360001
"102",38.549999,39.290001,38.5,39.099998,789600,39.099998
"103",39.09,39.139999,38.290001,38.639999,781900,38.639999
"104",39,39.220001,38.77,39.080002,1284000,39.080002
"105",39.330002,39.950001,39.209999,39.759998,1473200,39.759998
"106",39.700001,40.119999,39.650002,39.919998,727400,39.919998
"107",39.93,40.75,39.66,40.25,1963500,40.25
"108",41.849998,41.990002,38.130001,38.619999,3192700,38.619999
"109",38.43,38.970001,37.82,38.299999,1446500,38.299999
"110",38.290001,38.549999,37.080002,37.639999,1508500,37.639999
"111",37.59,37.599998,36.41,37,1294400,37
"112",37.259998,37.259998,36.369999,36.599998,1096800,36.599998
"113",36.860001,36.945999,35.98,36.34,865500,36.34
"114",36.09,36.68,35.619999,36.529999,1401600,36.529999
"115",37.900002,38.459999,37.310001,37.98,3014600,37.98
"116",38.099998,38.400002,37.709999,37.990002,1133100,37.990002
"117",37.91,38.029999,37.619999,37.950001,1333800,37.950001
"118",37.959999,38.099998,37.73,37.849998,1182600,37.849998
"119",37.810001,38.209999,37.52,38.099998,1545600,38.099998
"120",38.099998,38.68,38.060001,38.279999,2239900,38.279999
"121",38.330002,38.59,38.02,38.169998,904700,38.169998
"122",38.150002,38.630001,37.959999,38.330002,1697300,38.330002
"123",38.599998,39.080002,38.509998,38.959999,2516800,38.959999
"124",39.049999,39.060001,37.895,38.599998,2745500,38.599998
"125",38.560001,39.099998,38.490002,38.93,1799300,38.93
"126",39.099998,39.299999,38.689999,38.709999,669900,38.709999
"127",38.689999,39.290001,38.599998,39.150002,1188500,39.150002
"128",39.02,39.18,38.509998,38.689999,1677600,38.689999
"129",38.880001,40.09,38.764999,40.07,1653000,40.07
"130",39.939999,40.619999,39.669998,40.490002,1543800,40.490002
"131",40.459999,40.48,39.939999,40.34,1477200,40.34
"132",40.639999,40.959999,40.639999,40.950001,921500,40.950001
"133",40.93,41.459999,40.740002,41.32,961700,41.32
"134",41.23,41.724998,41.150002,41.610001,779400,41.610001
"135",41.66,42.080002,41.400002,41.950001,1480800,41.950001
"136",41.720001,42.02,41.525002,41.700001,970700,41.700001
"137",41.75,42.189999,41.73,41.939999,1064200,41.939999
"138",41.900002,41.990002,41.66,41.799999,570000,41.799999
"139",41.59,42.150002,41.23,41.970001,549100,41.970001
"140",42.060001,42.57,41.830002,42.5,890000,42.5
"141",42.630001,42.93,42.470001,42.830002,1054200,42.830002
"142",42.810001,42.98,42.25,42.529999,347800,42.529999
"143",42.639999,42.889999,41.544998,42.220001,551200,42.220001
"144",42.049999,42.32,41.830002,41.919998,395600,41.919998
"145",41.98,42.02,41.580002,41.59,466100,41.59
"146",41.91,42.049999,41.740002,41.990002,595300,41.990002
"147",42.09,42.09,40.849998,41.689999,692600,41.689999
"148",41.77,41.950001,41.389999,41.650002,365500,41.650002
"149",41.759998,42,41.57,41.880001,481400,41.880001
"150",41.889999,42.950001,41.84,42.84,1095000,42.84
"151",42.689999,43.150002,42.459999,42.75,723600,42.75
"152",42.5,42.630001,42.150002,42.290001,343900,42.290001
"153",42.049999,42.084,41.119999,41.25,422300,41.25
"154",41.099998,41.869999,41,41.490002,375600,41.490002
"155",41.779999,42.07,41.639999,41.779999,390700,41.779999
"156",41.939999,42,41.529999,41.580002,433200,41.580002
"157",41.68,41.799999,41.459999,41.790001,640500,41.790001
"158",41.549999,41.68,40.799999,40.830002,397400,40.830002
"159",40.68,40.830002,40.380001,40.389999,713800,40.389999
"160",40.369999,40.470001,39.759998,39.919998,769400,39.919998
"161",39.98,40.400002,39.900002,40.290001,884600,40.290001
"162",40.029999,40.25,39.41,39.43,2017500,39.43
"163",39.75,40.02,39.57,39.759998,1071900,39.759998
"164",39.990002,40.130001,39.599998,39.82,917300,39.82
"165",39.939999,39.970001,39.580002,39.860001,1168200,39.860001
"166",39.540001,39.720001,39.209999,39.450001,733500,39.450001
"167",39.450001,40.27,39.310001,40.200001,885300,40.200001
"168",40.25,40.98,40.25,40.860001,1713500,40.860001
"169",40.810001,40.810001,40.130001,40.549999,1257800,40.549999
"170",40.470001,40.560001,39.810001,39.970001,690100,39.970001
"171",40.080002,40.189999,39.900002,40.110001,477400,40.110001
"172",40.080002,40.209999,39.959999,40.080002,675800,40.080002
"173",40.049999,40.115002,39.580002,39.619999,550900,39.619999
"174",40.060001,40.249001,39.84,39.990002,704000,39.990002
"175",40.150002,40.599998,39.98,40.599998,519900,40.599998
"176",40.529999,40.869999,40.279999,40.700001,698600,40.700001
"177",40.66,41.009998,40.525002,40.950001,677300,40.950001
"178",41.029999,41.43,40.965,41.369999,1329800,41.369999
"179",41.459999,41.639999,41.27,41.619999,420900,41.619999
"180",41.639999,41.639999,41.209999,41.330002,1216200,41.330002
"181",41.310001,41.325001,40.57,40.580002,521200,40.580002
"182",40.599998,40.740002,40.209999,40.59,576500,40.59
"183",40.5,40.740002,40.419998,40.5,312800,40.5
"184",40.32,40.419998,39.700001,39.950001,771300,39.950001
"185",40.119999,40.34,39.540001,39.759998,509600,39.759998
"186",40.080002,40.93,40.02,40.84,535500,40.84
"187",40.68,41.380001,40.68,41.369999,581800,41.369999
"188",41.380001,41.73,41.32,41.66,771400,41.66
"189",41.68,42.23,41.549999,42.209999,688600,42.209999
"190",42.18,42.439999,41.639999,42.25,732300,42.25
"191",42.169998,42.599998,42.060001,42.549999,1436000,42.549999
"192",42.650002,42.650002,41.950001,42.009998,477900,42.009998
"193",41.810001,42.099998,41.685001,41.799999,489900,41.799999
