"","KIM.Open","KIM.High","KIM.Low","KIM.Close","KIM.Volume","KIM.Adjusted"
"1",25.379999,25.389999,25.08,25.379999,3131300,19.597242
"2",25.469999,25.969999,25.389999,25.959999,4072100,20.045092
"3",25.709999,26.1,25.610001,26.07,2550000,20.130032
"4",26.059999,26.16,25.860001,25.879999,1777300,19.983316
"5",26.1,26.15,25.540001,25.57,2952100,19.74395
"6",25.530001,25.57,25.129999,25.139999,2394300,19.411924
"7",25.049999,25.219999,24.91,24.950001,2583100,19.265223
"8",24.950001,25.440001,24.719999,25.35,2930200,19.57408
"9",25.299999,25.469999,25.059999,25.33,2405300,19.558638
"10",25.32,25.57,25.290001,25.540001,2541700,19.720791
"11",25.51,25.700001,25.32,25.5,1966900,19.689899
"12",25.389999,25.48,24.91,24.98,2478800,19.288382
"13",25,25.190001,24.889999,25.15,2018900,19.419649
"14",25.17,25.42,25.07,25.35,2940100,19.57408
"15",25.370001,25.459999,25.16,25.4,2294300,19.612684
"16",25.41,25.48,25.059999,25.120001,2522600,19.396488
"17",25.190001,25.41,25,25.08,2358400,19.365599
"18",25.129999,25.139999,24.65,24.809999,2871900,19.157116
"19",24.77,24.91,24.559999,24.76,4109100,19.118509
"20",24.809999,25.18,24.74,24.889999,7566700,19.218885
"21",24.879999,25.08,24.51,24.57,3081100,18.971804
"22",24.52,24.91,24.43,24.870001,3688300,19.203449
"23",25.1,25.1,24.26,24.85,5493100,19.188002
"24",24.85,24.959999,24.67,24.76,2615500,19.118509
"25",24.709999,24.870001,24.280001,24.309999,3597000,18.77104
"26",24.309999,24.629999,24.27,24.610001,3462700,19.002687
"27",24.66,24.83,24.58,24.790001,2393500,19.141676
"28",24.76,25.08,24.709999,25.040001,2033700,19.334709
"29",24.969999,25.15,24.77,24.91,2136500,19.234329
"30",24.879999,24.879999,24.58,24.68,2783700,19.056736
"31",24.65,24.65,24.02,24.139999,3896300,18.639772
"32",24.209999,24.530001,24.1,24.23,3924000,18.709272
"33",24.24,24.360001,24.049999,24.33,3157900,18.786484
"34",24.32,24.709999,24.200001,24.65,2001300,19.033569
"35",24.65,24.75,24.26,24.35,2947200,18.801926
"36",24.43,24.51,24.200001,24.48,2635100,18.902304
"37",24.459999,24.469999,24.07,24.379999,3208500,18.825089
"38",24.440001,24.68,24.290001,24.450001,3673400,18.879143
"39",24.41,24.6,24.15,24.25,9280500,18.72471
"40",24.110001,24.110001,23.68,23.76,3998700,18.346352
"41",23.68,23.75,23.41,23.530001,4274200,18.168756
"42",23.620001,23.65,23,23.379999,5274800,18.052938
"43",23.309999,23.309999,23,23.16,4976000,17.88306
"44",23.120001,23.17,22.73,22.75,3139000,17.566479
"45",22.65,22.65,22.120001,22.24,4058000,17.172682
"46",22.219999,22.389999,21.559999,21.59,5680100,16.670786
"47",21.59,21.93,21.459999,21.639999,4907500,16.709391
"48",21.98,21.98,21.66,21.85,5561400,16.871544
"49",21.700001,22.299999,21.700001,22.190001,5988400,17.134073
"50",22.360001,23.02,22.23,22.799999,5324800,17.605091
"51",22.82,22.91,22.700001,22.790001,4255700,17.597366
"52",22.799999,22.84,22.459999,22.790001,7561700,17.597366
"53",22.790001,22.82,22.51,22.559999,3960400,17.419769
"54",22.549999,22.709999,22.48,22.58,3082300,17.435213
"55",22.57,22.57,21.860001,22.129999,3732200,17.087746
"56",22.120001,22.75,22.09,22.49,3007900,17.365721
"57",22.49,22.75,22.49,22.58,3146400,17.435213
"58",22.5,22.690001,21.93,22,3319800,16.987364
"59",21.93,22.120001,21.719999,22.09,3172800,17.05686
"60",22.059999,22.059999,21.76,21.93,3265500,16.933317
"61",21.91,21.99,21.709999,21.959999,2475300,16.95648
"62",22,22.120001,21.959999,22.09,5048500,17.05686
"63",21.82,22.209999,21.77,22.09,4519300,17.267921
"64",22.1,22.209999,21.84,21.9,3999900,17.119396
"65",21.959999,22.049999,21.83,21.860001,3500100,17.088127
"66",21.83,21.85,21.620001,21.68,4111000,16.947422
"67",21.719999,21.780001,21.459999,21.5,4360400,16.806711
"68",21.530001,21.99,21.43,21.93,4269900,17.142845
"69",22,22.34,21.950001,22.24,3654600,17.385176
"70",22.25,22.459999,22.110001,22.35,3181300,17.471165
"71",22.35,22.459999,22.26,22.34,2058000,17.463348
"72",22.41,22.620001,22.360001,22.559999,2647900,17.635321
"73",22.549999,22.74,22.469999,22.719999,3224700,17.760395
"74",22.709999,23.030001,22.639999,22.690001,3246500,17.73695
"75",22.709999,22.709999,22.43,22.6,2289700,17.666594
"76",22.58,22.65,22.16,22.23,2704700,17.377363
"77",22.32,22.34,21.52,21.58,4859000,16.869249
"78",21.629999,21.799999,21.530001,21.709999,5728600,16.970871
"79",21.65,21.700001,21.09,21.139999,8016400,16.525299
"80",21.139999,21.85,20.629999,20.67,5790300,16.157896
"81",20.639999,20.65,20.18,20.290001,4208000,15.860848
