"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"1",41.5,41.810001,41.279999,41.799999,14711000,35.789803
"2",41.880001,41.970001,41.59,41.650002,9959400,35.661366
"3",41.66,41.860001,41.529999,41.75,8968300,35.746983
"4",41.700001,41.810001,41.540001,41.740002,10246600,35.738426
"5",41.23,41.580002,41.209999,41.32,14822500,35.378822
"6",41.439999,41.439999,40.860001,41.040001,19706800,35.139072
"7",40.849998,41.119999,40.830002,41.049999,9266200,35.147636
"8",41.009998,41.040001,40.799999,40.950001,8541200,35.062023
"9",41,41.040001,40.689999,40.880001,8123500,35.002079
"10",40.84,41.299999,40.799999,41.220001,12469400,35.293194
"11",41.25,41.380001,41.139999,41.290001,10390500,35.353127
"12",41.139999,41.290001,41.029999,41.139999,10987100,35.224697
"13",41.27,41.439999,41.130001,41.32,14695400,35.378822
"14",41.310001,41.5,41.209999,41.43,11628900,35.473
"15",41.470001,41.970001,41.470001,41.900002,17040100,35.875423
"16",41.939999,42.25,41.900002,42.119999,12538200,36.063786
"17",42.029999,42.110001,41.790001,41.810001,8976800,35.798355
"18",41.91,41.950001,41.419998,41.450001,12967400,35.490124
"19",41.299999,41.48,41.209999,41.380001,11626200,35.430191
"20",41.389999,41.689999,41.360001,41.57,12678000,35.592876
"21",41.52,41.66,41.25,41.259998,11136100,35.327442
"22",41.41,41.490002,41.25,41.400002,9459700,35.447315
"23",41.580002,41.790001,41.459999,41.540001,11882400,35.567192
"24",41.529999,41.669998,41.400002,41.560001,15742800,35.584316
"25",41.700001,41.98,41.669998,41.900002,13315200,35.875423
"26",41.91,42.150002,41.84,42.02,14219700,35.978176
"27",42.02,42.02,40.720001,41.25,27240300,35.318886
"28",41.02,41.200001,40.549999,40.580002,28847300,34.745216
"29",40.77,40.830002,40.5,40.619999,23617100,34.779465
"30",40.380001,40.599998,40.220001,40.529999,32177800,34.702415
"31",40.419998,40.630001,40.400002,40.439999,26600800,34.625351
"32",40.549999,41.279999,40.5,41.200001,22214800,35.27607
"33",41.130001,41.360001,41.049999,41.23,15065100,35.301754
"34",41.200001,41.5,41.200001,41.459999,17072600,35.498688
"35",41.509998,41.68,41.400002,41.599998,11186800,35.618561
"36",41.669998,42,41.619999,41.66,12856800,35.66993
"37",41.700001,41.91,41.599998,41.779999,13215300,35.772678
"38",41.75,41.75,41.59,41.669998,12186400,35.67849
"39",41.68,42.07,41.639999,41.959999,15946800,35.926807
"40",42.009998,42.349998,41.880001,42.16,14662000,36.098042
"41",42.080002,42.560001,42.07,42.470001,15507600,36.363472
"42",42.470001,42.490002,42.25,42.48,11740000,36.372036
"43",42.34,42.43,42.119999,42.18,16307800,36.115162
"44",42,42.240002,41.950001,41.990002,11273700,35.952484
"45",42,42.029999,41.740002,41.990002,14636000,35.952484
"46",42.09,42.110001,41.919998,42.029999,14496400,35.98674
"47",42.23,42.400002,42.150002,42.290001,16369700,36.209347
"48",41.919998,42.119999,41.84,42.029999,12831500,36.304359
"49",41.98,42.099998,41.830002,41.970001,9844500,36.252533
"50",41.98,42.279999,41.970001,42.119999,22757800,36.382099
"51",42.029999,42.389999,41.900002,42.25,16004200,36.494389
"52",42.279999,42.349998,42.009998,42.029999,37526500,36.304359
"53",42.099998,42.34,42.07,42.18,11484200,36.433929
"54",42.310001,42.630001,42.209999,42.5,17187300,36.710339
"55",42.560001,42.700001,42.25,42.380001,11605500,36.606682
"56",42.209999,42.389999,42.060001,42.169998,11503300,36.425289
"57",42.23,42.25,41.91,42.119999,13804400,36.382099
"58",42.110001,42.34,42.049999,42.32,12387400,36.554855
"59",42.240002,42.560001,42.240002,42.43,14123800,36.649876
"60",42.509998,42.529999,42.290001,42.419998,9580100,36.641235
"61",42.349998,42.619999,42.259998,42.599998,11999900,36.796711
"62",42.549999,42.650002,42.43,42.439999,11551800,36.658516
"63",42.580002,42.630001,42.27,42.41,11240000,36.632591
"64",42.509998,42.689999,42.369999,42.68,10946200,36.86581
"65",42.650002,42.860001,42.529999,42.57,10142800,36.770809
"66",42.580002,42.759998,42.470001,42.669998,14597800,36.857174
"67",42.639999,42.740002,42.509998,42.610001,11028800,36.805347
"68",42.73,42.799999,42.560001,42.689999,9426900,36.874458
"69",42.68,42.75,42.52,42.66,8909400,36.848541
"70",42.540001,42.990002,42.509998,42.939999,13417200,37.090393
"71",42.869999,43.080002,42.779999,42.790001,9891900,36.960827
"72",42.790001,43.07,42.779999,43.07,11318100,37.20269
"73",43.110001,43.59,43.09,43.48,13181600,37.556835
"74",43.740002,43.790001,43.189999,43.23,13893100,37.340893
"75",43.200001,43.299999,43.049999,43.09,10838300,37.219967
"76",42.98,43.099998,42.889999,43.07,13833800,37.20269
"77",43.240002,43.43,43.150002,43.279999,16703800,37.384083
"78",42.849998,43.43,42.82,43.110001,18745100,37.23724
"79",43.060001,43.43,42.98,43.240002,13626600,37.349529
"80",43.169998,43.279999,42.919998,43.009998,10386200,37.150856
"81",42.959999,43.200001,42.849998,43.150002,10337800,37.271786
"82",43.150002,43.5,43.099998,43.220001,13208200,37.332249
"83",43.220001,43.439999,43.16,43.389999,11823900,37.479099
"84",43.330002,43.490002,43.150002,43.32,10389000,37.418629
"85",43.419998,43.810001,43.400002,43.66,10193100,37.712315
"86",43.790001,43.84,43.560001,43.689999,8133000,37.738224
"87",43.59,43.91,43.540001,43.889999,14284300,37.910976
"88",43.889999,43.889999,43.380001,43.509998,8694400,37.582745
"89",43.48,43.619999,43.360001,43.57,7597700,37.634567
"90",43.490002,43.68,43.43,43.669998,6860100,37.720947
"91",43.639999,43.68,43.459999,43.59,7275800,37.65184
"92",43.459999,43.759998,43.459999,43.73,8493000,37.77277
"93",43.869999,44.110001,43.77,43.849998,10454100,37.876431
"94",43.849998,44.169998,43.709999,43.93,14538800,37.945538
"95",43.869999,43.959999,43.639999,43.799999,13832200,37.833237
"96",43.849998,44,43.759998,43.900002,11796800,37.919621
"97",43.889999,44.220001,43.810001,44.18,12857900,38.161476
"98",44.25,44.599998,44.209999,44.389999,11996100,38.342865
"99",44.509998,45.09,44.509998,45.029999,12738300,38.895679
"100",45,45.48,44.970001,45.41,16704200,39.223911
"101",45.349998,45.560001,45.330002,45.389999,11341400,39.206635
"102",45.16,45.459999,45.110001,45.43,13093500,39.241192
"103",45.43,45.700001,45.369999,45.470001,14148000,39.275738
"104",45.450001,45.790001,45.23,45.790001,11049300,39.552147
"105",45.830002,45.889999,45.610001,45.889999,9923700,39.638527
"106",45.779999,45.990002,45.689999,45.990002,10015200,39.724899
"107",45.900002,46.060001,45.779999,45.98,9836700,39.716267
"108",45.5,45.700001,45.349998,45.509998,12776300,39.310287
"109",45.509998,45.509998,45.029999,45.130001,12879000,38.982063
"110",45.060001,45.349998,44.970001,45.32,9358800,39.146168
"111",45.32,45.48,45.200001,45.330002,11228500,39.154804
"112",45,45.110001,44.799999,45.029999,10023400,39.215775
"113",45.18,45.470001,45.16,45.299999,11497500,39.450909
"114",45.18,45.34,45.040001,45.25,9908700,39.407372
"115",45.310001,45.349998,45.009998,45.310001,27025300,39.459621
"116",45.349998,45.380001,45.099998,45.380001,7624700,39.520596
"117",45.349998,45.869999,45.32,45.610001,14920900,39.72089
"118",45.619999,45.68,45.169998,45.220001,9515800,39.381248
"119",45.169998,45.279999,45.029999,45.07,7446300,39.250614
"120",45.049999,45.380001,45.029999,45.25,9544800,39.407372
"121",45.32,45.509998,45.299999,45.43,7747100,39.564129
"122",45.34,45.400002,45,45.049999,11432200,39.233185
"123",45.25,45.5,45.23,45.32,9218800,39.468334
"124",45.130001,45.240002,44.650002,44.830002,9283500,39.041599
"125",44.889999,45.119999,44.849998,44.849998,9352800,39.059017
"126",45.110001,45.27,44.759998,44.759998,6434500,38.980637
"127",44.790001,44.990002,44.73,44.82,6853600,39.03289
"128",44.720001,44.849998,44.290001,44.400002,13113000,38.667114
"129",44.470001,44.52,44.240002,44.389999,9566000,38.658405
"130",44.450001,44.580002,44.23,44.380001,9672000,38.649696
"131",44.32,44.48,44.150002,44.330002,10300700,38.606155
"132",44.59,44.77,44.439999,44.509998,7737400,38.762913
"133",44.490002,44.529999,44.369999,44.43,6371900,38.693253
"134",44.52,44.720001,44.5,44.68,8558700,38.910969
"135",44.66,44.790001,44.610001,44.73,7189200,38.954514
"136",44.779999,44.849998,44.619999,44.669998,9037200,38.902256
"137",44.669998,44.84,44.549999,44.830002,6986900,39.041599
"138",44.900002,44.98,44.75,44.82,7430300,39.03289
"139",44.779999,45.07,44.669998,45.029999,8545600,39.215775
"140",45.040001,45.049999,44.830002,44.84,9103600,39.050308
"141",45.02,45.290001,44.939999,45.240002,14096300,39.398659
"142",44.549999,45.790001,44.310001,45.740002,13608900,39.834091
"143",45.799999,46.43,45.700001,46.119999,15195200,40.165039
"144",46,46.119999,45.73,46.009998,11945300,40.069233
"145",46,46.080002,45.790001,45.84,13622900,39.921185
"146",45.970001,46.060001,45.650002,45.700001,10306800,39.799255
"147",45.599998,46,45.380001,45.59,10187900,39.703468
"148",45.650002,45.950001,45.630001,45.669998,14261400,39.77314
"149",45.669998,45.759998,45.470001,45.5,9523600,39.625099
"150",45.52,45.759998,45.5,45.639999,6226300,39.747009
"151",45.639999,45.82,45.549999,45.599998,5747900,39.712173
"152",45.560001,45.66,45.330002,45.59,9635300,39.703468
"153",45.560001,45.84,45.459999,45.740002,8901600,39.834091
"154",45.860001,45.900002,45.57,45.59,8357600,39.703468
"155",45.669998,45.939999,45.619999,45.799999,8421200,39.886349
"156",45.799999,46.25,45.799999,46.189999,9638100,40.226002
"157",46.150002,46.34,46.119999,46.200001,8087300,40.234707
"158",46.119999,46.330002,45.849998,45.860001,8477000,39.938599
"159",45.799999,45.900002,45.630001,45.669998,10879800,39.77314
"160",45.669998,45.799999,45.560001,45.68,9429700,39.781849
"161",45.700001,45.75,45.540001,45.599998,10536700,39.712173
"162",45.630001,45.66,45.439999,45.540001,6528400,39.659927
"163",45.540001,45.610001,45.310001,45.41,7534400,39.546711
"164",45.599998,45.759998,45.560001,45.57,8807100,39.686054
"165",45.630001,45.689999,45.380001,45.419998,8024000,39.55542
"166",45.400002,45.57,45.25,45.450001,7762200,39.581543
"167",45.360001,45.540001,45.290001,45.389999,7134900,39.529289
"168",45.400002,45.650002,45.34,45.549999,14264600,39.668636
"169",45.639999,45.799999,45.540001,45.779999,7391200,39.868927
"170",45.75,45.93,45.650002,45.919998,9916700,39.990852
