"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"1",47.23,47.48,46.959999,47.200001,725000,46.022472
"2",47.330002,47.48,46.880001,46.900002,1075700,45.729942
"3",46.759998,46.959999,46.380001,46.540001,774100,45.378937
"4",46.619999,46.990002,46.5,46.75,725400,45.583694
"5",46.5,46.619999,46.279999,46.290001,543800,45.135166
"6",46.290001,46.57,46.09,46.470001,643600,45.310677
"7",46.419998,46.57,46.099998,46.43,854500,45.271679
"8",46.279999,46.299999,45.810001,46.150002,662900,44.998665
"9",46.18,46.619999,46.02,46.099998,628200,44.949905
"10",45.860001,46.060001,45.599998,45.68,813600,44.540394
"11",45.849998,46.310001,45.68,46.259998,819600,45.105911
"12",46.25,46.299999,45.540001,45.700001,759800,44.559895
"13",45.959999,46.200001,45.810001,46.029999,646900,44.881653
"14",45.98,46.049999,45.619999,45.93,522600,44.784157
"15",46.16,46.860001,46.110001,46.740002,915500,45.57394
"16",46.970001,47.119999,46.639999,47.09,854200,45.915215
"17",47.009998,47.189999,46.93,47.150002,781500,45.973717
"18",47.18,47.200001,46.610001,46.700001,643200,45.534943
"19",46.560001,46.630001,45.919998,46.419998,923100,45.261925
"20",46.43,46.630001,45.939999,46.580002,1550500,45.417934
"21",46.75,46.900002,46.080002,46.200001,989200,45.047409
"22",46.139999,46.27,45.889999,46.27,864100,45.115677
"23",46.68,47.029999,46.32,46.610001,921800,45.447186
"24",46.299999,47,45.98,46.5,846100,45.339928
"25",46.59,46.84,46.150002,46.419998,744800,45.261925
"26",46.209999,46.419998,45.98,46.25,624700,45.096165
"27",46.240002,46.450001,46.080002,46.240002,765900,45.086418
"28",46.5,46.560001,46.299999,46.48,820300,45.320427
"29",46.419998,46.869999,46.279999,46.810001,890700,45.642197
"30",46.830002,47.16,46.669998,46.959999,820100,45.788464
"31",46.82,47.25,46.709999,47.25,771900,46.07122
"32",47.360001,47.369999,46.970001,47.049999,1425000,45.876209
"33",46.91,47,46.57,46.98,996800,45.807961
"34",46.98,47.34,46.970001,47.119999,766900,45.944469
"35",46.93,47.220001,46.91,47.119999,784000,45.944469
"36",47.220001,47.43,47.009998,47.419998,712700,46.23698
"37",47.220001,47.34,47.009998,47.23,620300,46.051716
"38",47.23,47.290001,47.009998,47.080002,624400,45.966774
"39",46.98,47.189999,46.91,46.98,1068700,45.869144
"40",47.700001,47.869999,47.419998,47.82,1224800,46.689274
"41",47.880001,47.880001,47.209999,47.25,741600,46.132759
"42",47.310001,47.790001,47.169998,47.68,820200,46.552589
"43",47.509998,47.700001,47.299999,47.509998,593100,46.386604
"44",47.470001,47.57,47.27,47.450001,620300,46.328026
"45",47.639999,47.73,47.240002,47.259998,730300,46.142513
"46",47.32,47.52,47,47.139999,853700,46.025352
"47",47.43,47.43,47.009998,47.200001,608500,46.083939
"48",47.139999,47.279999,47.040001,47.150002,836200,46.035118
"49",46.970001,47.299999,46.75,47.200001,692400,46.083939
"50",47.240002,47.630001,47.07,47.540001,940600,46.415909
"51",47.580002,47.75,47.299999,47.369999,561900,46.24992
"52",47.419998,47.43,46.990002,47.209999,1008100,46.093704
"53",47.119999,47.209999,46.75,46.880001,504800,45.771492
"54",47.110001,47.119999,46.32,46.470001,999100,45.371201
"55",46.279999,46.41,46.009998,46.23,956000,45.136883
"56",46.200001,46.759998,46.09,46.34,483200,45.244263
"57",46.32,46.48,45.790001,46.040001,781400,44.951363
"58",45.450001,45.98,45.25,45.919998,515900,44.834202
"59",45.779999,46.560001,45.779999,46.490002,1170900,45.390732
"60",46.389999,46.560001,46.32,46.349998,719500,45.254036
"61",46.310001,46.900002,46.259998,46.860001,559800,45.75198
"62",46.77,47.07,46.709999,46.77,851000,45.664108
"63",46.779999,46.93,46.279999,46.740002,705500,45.634819
"64",46.689999,47.099998,46.639999,47.09,688000,45.976536
"65",46.93,47.459999,46.77,47,1295200,45.888664
"66",46.939999,47.360001,46.799999,47.299999,800600,46.181583
"67",47.209999,47.360001,47.02,47.240002,835700,46.12299
"68",47.240002,47.549999,47.169998,47.459999,647800,46.337791
"69",47.27,47.459999,46.939999,47.209999,471800,46.093704
"70",47.09,47.09,46.66,46.720001,989700,45.615292
"71",46.549999,46.639999,46.060001,46.130001,883600,45.039246
"72",46.310001,46.639999,46.169998,46.48,1723700,45.380962
"73",46.18,46.369999,45.900002,46.16,1013500,45.068523
"74",46.41,46.48,45.779999,45.880001,736700,44.795147
"75",46.029999,46.150002,45.709999,46.060001,941800,44.970894
"76",46.02,46.220001,45.889999,45.950001,712400,44.863499
"77",46.599998,47.080002,46.59,47.049999,1262600,45.937485
"78",47.369999,47.5,47.220001,47.34,850500,46.220631
"79",47.310001,47.93,47.119999,47.450001,820400,46.328026
"80",47.450001,47.52,47.139999,47.330002,619800,46.210869
"81",47.23,47.41,46.610001,46.619999,1253600,45.517651
"82",46.73,47.360001,46.549999,47.220001,846500,46.103466
"83",47.259998,47.41,47.009998,47.049999,997300,45.937485
"84",46.880001,47.09,46.740002,47.009998,812900,45.89843
"85",47.209999,47.450001,46.630001,46.75,1104800,45.644573
"86",46.849998,47.009998,46.650002,47.009998,705700,45.89843
"87",47.07,47.07,46.700001,46.759998,776000,45.654339
"88",46.709999,46.860001,46.240002,46.330002,866300,45.234505
"89",46.209999,46.490002,46.209999,46.450001,684500,45.351669
"90",46.290001,46.380001,45.880001,45.91,1262700,44.82444
"91",45.810001,45.98,45.619999,45.759998,617900,44.677979
"92",45.849998,46.200001,45.849998,46.07,554900,44.980656
"93",46.080002,46.400002,46.040001,46.380001,1140300,45.283329
"94",46.380001,46.380001,45.799999,45.830002,1066700,44.74633
"95",45.82,46.43,45.77,46.049999,898200,44.961132
"96",46.130001,46.150002,45.84,45.919998,1050900,44.834202
"97",46.169998,46.41,46.130001,46.369999,652900,45.27356
"98",46.360001,46.869999,46.279999,46.779999,702900,45.673866
"99",46.830002,46.93,46.48,46.490002,860600,45.390732
"100",46.630001,46.82,46.41,46.75,710900,45.644573
"101",46.650002,46.900002,46.599998,46.880001,614400,45.833267
"102",46.720001,46.939999,46.560001,46.880001,762500,45.833267
"103",46.889999,47.220001,46.720001,47.16,1416100,46.107021
"104",47.349998,47.810001,47.130001,47.669998,939100,46.605629
"105",47.549999,47.639999,47.23,47.299999,1053200,46.243896
"106",47.16,47.400002,47.110001,47.139999,655800,46.087456
"107",46.950001,46.950001,46.619999,46.759998,957700,45.71595
"108",46.860001,46.880001,46.59,46.66,686100,45.618183
"109",46.66,46.889999,46.619999,46.700001,1125600,45.657291
"110",46.830002,47.48,46.779999,47.470001,1015800,46.410095
"111",47.48,47.740002,47.470001,47.650002,909600,46.586082
"112",47.669998,47.900002,47.560001,47.77,619600,46.7034
"113",47.709999,47.799999,47.330002,47.66,884000,46.595863
"114",47.52,48.189999,47.470001,48.049999,1052900,46.977139
"115",48.389999,48.389999,47.889999,48.139999,1576700,47.065132
"116",48.189999,48.32,47.869999,47.990002,714600,46.918495
"117",47.860001,47.860001,47.34,47.509998,763600,46.449196
"118",47.630001,47.630001,46.700001,46.82,897300,45.774609
"119",46.689999,46.799999,46.380001,46.400002,731500,45.363991
"120",46.43,46.720001,46.169998,46.279999,1108200,45.246666
"121",46.419998,46.73,46.25,46.610001,779900,45.569298
"122",46.709999,46.869999,46.57,46.619999,848000,45.579071
"123",46.919998,47.23,46.919998,46.970001,924300,45.921257
"124",47.48,47.490002,46.73,46.830002,1029600,45.784386
"125",47.080002,47.119999,46.470001,46.810001,1033600,45.764828
"126",47.119999,48.009998,47.119999,47.400002,865500,46.341656
"127",47.419998,47.490002,46.91,47.009998,960000,45.960361
"128",47.009998,47.200001,46.720001,46.779999,886100,45.735504
"129",46.970001,47.310001,46.759998,47.209999,781900,46.155903
"130",47.02,47.369999,46.939999,47.150002,635900,46.09724
"131",47.240002,47.240002,46.68,46.900002,615200,45.852818
"132",46.830002,47,46.700001,46.790001,551400,45.745274
"133",46.689999,46.970001,46.669998,46.93,507100,45.882149
"134",46.799999,47.25,46.610001,46.950001,450700,45.901703
