"","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
"1",117.970001,118.220001,116.120003,116.900002,2364200,106.680389
"2",117.370003,117.410004,116.449997,116.849998,1564800,106.634766
"3",116.239998,116.389999,115,115.669998,1756500,105.557922
"4",115.720001,116.400002,115.139999,116.199997,1907500,106.041588
"5",116.470001,117.230003,115.970001,116.550003,1143700,106.361008
"6",116.790001,116.970001,115.690002,115.849998,928300,105.722191
"7",115.779999,117,115.099998,116.919998,995100,106.698647
"8",117,117.550003,116.529999,117.25,1102600,106.999794
"9",117.230003,117.639999,116.730003,117.080002,1088300,106.844643
"10",116.620003,117.220001,116.360001,116.919998,1424300,106.698647
"11",116.709999,117.120003,116.470001,116.599998,1386400,106.406616
"12",116.510002,116.900002,115.82,116.099998,1965400,105.950333
"13",116.18,117.389999,115.879997,117.389999,1295500,107.127563
"14",117.209999,117.589996,116.489998,116.68,1750400,106.479645
"15",117.199997,118.230003,117,117.690002,3539800,107.401337
"16",117.889999,120.190002,117.279999,119.57,3917600,109.116997
"17",116.540001,119.760002,115.709999,119.5,1980500,109.053108
"18",120.449997,121,119.5,120.199997,1739300,109.691895
"19",119.360001,119.529999,117.860001,119.300003,1649800,108.87059
"20",118.760002,118.879997,118.059998,118.440002,1356800,108.08577
"21",117.32,118.459999,117.139999,117.949997,1324400,107.638596
"22",116.879997,117.339996,116.540001,116.620003,1705100,106.424873
"23",116.910004,117.760002,116.809998,117.470001,1120900,107.200577
"24",117.059998,117.110001,116.07,116.440002,1448000,106.260612
"25",115.860001,116.739998,115.540001,116.300003,1582800,106.132858
"26",115.959999,116.629997,115.529999,116.300003,891600,106.132858
"27",116.300003,116.739998,115.599998,115.760002,1030400,105.640053
"28",116.199997,116.580002,115.760002,116.230003,1247500,106.068962
"29",116.970001,117.949997,116.599998,117.440002,1059300,107.17318
"30",116.790001,117.589996,115.879997,117.32,767600,107.063675
"31",116.919998,117.739998,116.709999,117.589996,884700,107.310074
"32",117.699997,118.230003,117.120003,117.5,1810700,107.227936
"33",117.660004,117.910004,117.269997,117.419998,906000,107.15493
"34",117.300003,118.949997,117.040001,118.309998,1600600,107.967117
"35",117.82,118.540001,117.550003,117.790001,861700,107.492584
"36",118.010002,118.470001,117.660004,118.059998,853800,107.738976
"37",117.110001,118.239998,116.830002,118.110001,833400,107.784615
"38",118,119.709999,117.800003,118.519997,1737000,108.158768
"39",118.07,119.120003,117.349998,118.709999,1616100,108.332153
"40",119.779999,120.620003,119.32,120.360001,1283100,109.837929
"41",120.330002,120.620003,118.68,118.779999,1064600,108.396034
"42",118.029999,118.059998,117.370003,117.599998,1076300,108.035912
"43",117.169998,118.32,117.139999,117.730003,1203300,108.155357
"44",117.629997,119.040001,117.279999,118.790001,1676500,109.129143
"45",118.199997,119.610001,118.160004,118.57,2717000,108.927025
"46",118.150002,118.699997,116.610001,116.989998,1728800,107.47554
"47",117.529999,117.68,116.879997,116.949997,1407300,107.438789
"48",117.339996,117.339996,115.989998,116.720001,1580600,107.227509
"49",116.419998,117.190002,116.220001,116.650002,1455800,107.16317
"50",117.300003,118.949997,116.699997,118.620003,1606300,108.972977
"51",118.690002,119.190002,117.040001,117.120003,1567400,107.594971
"52",117.720001,118.480003,117.559998,118.32,2297100,108.697357
"53",118.419998,118.709999,117.980003,118.239998,643400,108.623886
"54",118.279999,118.639999,116.599998,116.949997,1047100,107.438789
"55",116.75,117.480003,116.279999,117.07,1103500,107.549026
"56",116.949997,118.150002,116.470001,117.639999,781100,108.072662
"57",117.540001,118.120003,116.150002,116.410004,850600,106.942719
"58",115.800003,118.220001,115.669998,117.889999,1309200,108.302345
"59",118.559998,119.400002,117.739998,118.779999,2120500,109.119942
"60",118.690002,119.610001,118.290001,118.379997,1306000,108.752502
"61",118.120003,119.599998,118.040001,118.599998,1732200,108.954582
"62",118.230003,119.470001,118.089996,118.599998,1469700,108.954582
"63",118.75,119.25,117.110001,118,1825500,108.403397
"64",118.459999,119.580002,118.07,119.269997,1006400,109.570107
"65",120,120,117.900002,118.129997,1440000,108.52282
"66",118.379997,119.75,118.199997,119.370003,1238600,109.66198
"67",119.150002,119.5,118.459999,118.849998,1076500,109.184258
"68",118.669998,119.93,118,119.57,686500,109.845726
"69",119.230003,119.540001,118.639999,119.18,1019400,109.487411
"70",118.690002,119.279999,118.050003,118.230003,904000,108.614693
"71",118.010002,118.82,117.400002,117.470001,818600,107.916504
"72",117.760002,118.839996,117.43,118.050003,660900,108.449326
"73",118.050003,118.709999,117.610001,118.32,1498300,108.697357
"74",119.199997,119.400002,117.849998,118.160004,1120300,108.550377
"75",118.730003,120.050003,118.309998,119.730003,1034700,109.992683
"76",119.709999,120.07,119.07,119.580002,853900,109.854897
"77",121.440002,123.120003,121.099998,123.010002,1896700,113.005943
"78",123.540001,124.75,123.150002,124.699997,1672900,114.55851
"79",124.519997,125.910004,124.110001,125.110001,1536000,114.935158
"80",123.199997,125.970001,120.019997,125.480003,1653700,115.275078
"81",125.120003,125.669998,124.110001,124.980003,1521100,114.815735
"82",125.389999,125.5,124.510002,124.959999,939300,114.797363
"83",125.440002,125.620003,124.510002,125.57,1291900,115.35775
"84",125.379997,125.860001,125.040001,125.529999,1000200,115.321007
"85",125.790001,126.360001,125.43,126.32,1459700,116.046738
"86",126.620003,129.529999,126.330002,129.479996,2035500,118.949768
"87",128.389999,129.289993,128.320007,129.089996,1005500,118.591484
"88",129.110001,129.429993,128.520004,128.619995,861300,118.159691
"89",128.570007,129.210007,128.199997,129.169998,830400,118.664978
"90",128.990005,129.339996,128,129.089996,898500,118.591484
"91",128.690002,129.960007,128.630005,129.720001,1110800,119.170227
"92",129.960007,130.440002,129.440002,130.169998,2034700,119.583626
"93",130.320007,131.740005,130.320007,131.029999,1764800,120.373688
"94",131.029999,131.029999,128.809998,128.820007,1341600,118.34346
"95",124.459999,128.600006,122.900002,128.369995,2094600,117.930023
"96",128.770004,129.589996,128.399994,129.229996,1080900,118.720085
"97",129.949997,130.199997,129.210007,129.820007,689000,119.262131
"98",130.149994,130.479996,129.330002,129.970001,801100,119.39991
"99",130.020004,133.679993,129.410004,132.270004,2260700,121.512856
"100",133.130005,133.199997,131.630005,131.929993,1323900,121.200493
"101",131.839996,132.220001,131.389999,131.970001,957200,121.237251
"102",131.639999,131.649994,130.990005,131.589996,1721600,120.888145
"103",131.679993,132.380005,131.259995,132.289993,1020100,121.53125
"104",132.5,138.690002,132.089996,134.089996,2287500,123.18483
"105",134.570007,137.860001,134.160004,136.619995,2348600,125.509064
"106",136,136.410004,133.220001,133.419998,1766700,123.280373
"107",132.800003,134.149994,132.429993,133.289993,1082800,123.160255
"108",134.559998,135.210007,132.690002,133.080002,1729200,122.966232
"109",133.080002,133.320007,131.770004,132.979996,1549700,122.873802
"110",133.559998,136.229996,133.539993,136.190002,1837200,125.839882
"111",136.25,137,134.710007,134.970001,1388400,124.712578
"112",134.800003,136.410004,134.759995,136.279999,1013200,125.922989
"113",136.270004,136.460007,134.759995,135.190002,870500,124.915878
"114",134.110001,135.130005,133.779999,134.860001,1176800,124.610939
"115",135.339996,136.020004,134.630005,136,1816900,125.66433
"116",136.5,136.960007,136.020004,136.460007,1263200,126.089371
"117",135.889999,136.509995,134.570007,134.759995,1461200,124.518578
"118",135.100006,135.270004,132.779999,132.860001,1059200,122.762924
