"","LNT.Open","LNT.High","LNT.Low","LNT.Close","LNT.Volume","LNT.Adjusted"
"1",37.939999,38.080002,37.619999,37.93,866200,32.630238
"2",38.009998,38.259998,37.98,38.16,1032800,32.828102
"3",38.220001,38.290001,37.700001,38.110001,1334700,32.785088
"4",37.959999,38.080002,37.77,37.799999,1331600,32.518402
"5",37.860001,38.060001,37.240002,37.279999,807400,32.071056
"6",37.27,37.389999,37,37.240002,572300,32.036652
"7",37.330002,37.82,37.169998,37.75,706200,32.475391
"8",37.75,37.810001,37.389999,37.650002,812400,32.389366
"9",37.580002,37.700001,37.32,37.490002,949600,32.251728
"10",37.619999,37.990002,37.529999,37.75,1111600,32.475391
"11",37.700001,37.82,37.59,37.700001,937200,32.432373
"12",37.490002,37.720001,37.220001,37.279999,723700,32.071056
"13",37.43,37.48,37.16,37.360001,718900,32.139877
"14",37.369999,37.549999,37.009998,37.029999,1096100,31.855991
"15",36.82,37.09,36.709999,36.950001,1370700,31.787167
"16",36.869999,37.009998,36.619999,36.889999,1015700,31.735548
"17",36.880001,37.200001,36.77,36.950001,750400,31.787167
"18",36.84,36.900002,36.560001,36.889999,1124000,32.008419
"19",37.07,37.080002,36.639999,36.860001,911600,31.982395
"20",36.880001,37.709999,36.810001,37.650002,1666800,32.667854
"21",37.369999,37.52,36.799999,36.98,1191100,32.086521
"22",36.990002,37.52,36.91,37.509998,747900,32.546375
"23",37.529999,37.91,37.52,37.82,1520600,32.815357
"24",37.990002,37.990002,37.57,37.66,852600,32.676525
"25",37.720001,37.799999,37.52,37.799999,758500,32.798004
"26",37.889999,38.150002,37.759998,38.150002,1542800,33.101688
"27",38.060001,38.200001,37.630001,37.650002,1060800,32.667854
"28",37.650002,37.889999,37.580002,37.860001,903600,32.850067
"29",37.889999,37.990002,37.639999,37.990002,978900,32.962864
"30",37.889999,37.970001,37.419998,37.669998,887400,32.685211
"31",37.23,37.580002,37.049999,37.540001,1144500,32.572414
"32",37.549999,37.950001,37.549999,37.93,1478700,32.910805
"33",37.970001,38.16,37.740002,38.080002,1254900,33.040951
"34",37.900002,38.48,37.799999,38.43,1184300,33.344643
"35",38.400002,38.720001,38.25,38.650002,1323800,33.53553
"36",38.84,39.150002,38.650002,39.110001,1103600,33.934654
"37",39.59,39.639999,38.970001,39.52,1538800,34.290398
"38",39.459999,39.560001,38.990002,39.049999,1746100,33.882599
"39",39.060001,39.59,38.990002,39.48,1927300,34.255695
"40",38.950001,39.41,38.540001,39.080002,1454800,33.908634
"41",38.900002,39.509998,38.869999,39.25,1183900,34.056137
"42",39.259998,39.259998,38.869999,39.189999,1175500,34.004066
"43",39.119999,39.369999,39.099998,39.18,1038500,33.995396
"44",39.200001,39.52,39,39.279999,1147000,34.082165
"45",38.98,39,38.389999,38.389999,1019300,33.309937
"46",38.360001,38.669998,38.240002,38.299999,1121900,33.231838
"47",38.490002,38.68,38.349998,38.610001,1102500,33.500816
"48",38.610001,38.84,38.41,38.75,1656600,33.622299
"49",38.810001,38.939999,38.619999,38.869999,1061900,33.726414
"50",39.029999,39.810001,38.93,39.580002,1537100,34.342472
"51",39.330002,39.619999,39.02,39.130001,1612400,33.952007
"52",39.360001,39.779999,39.290001,39.560001,5360200,34.325111
"53",39.619999,39.68,39.080002,39.099998,917700,33.92598
"54",39.029999,39.77,39.029999,39.700001,1250500,34.446579
"55",39.939999,40.200001,39.720001,39.779999,1151100,34.515991
"56",39.709999,40.25,39.700001,39.84,877200,34.568062
"57",39.860001,40.220001,39.73,40.099998,777900,34.793648
"58",40.240002,40.32,39.82,40.060001,1156600,34.758945
"59",40.009998,40.16,39.869999,40.119999,915400,34.811005
"60",40.040001,40.099998,39.779999,39.98,989000,34.689526
"61",39.889999,39.889999,39.490002,39.57,847200,34.333782
"62",39.549999,39.84,39.540001,39.610001,1026700,34.368496
"63",39.630001,39.630001,39.27,39.59,1045800,34.351143
"64",39.540001,39.990002,39.540001,39.869999,1020500,34.594082
"65",39.73,40.009998,39.549999,39.98,1186100,34.689526
"66",39.849998,39.990002,39.700001,39.869999,657100,34.594082
"67",40.009998,40.07,39.650002,39.700001,1063400,34.446579
"68",39.709999,39.970001,39.439999,39.709999,739000,34.455257
"69",39.689999,39.790001,39.360001,39.700001,850900,34.446579
"70",39.59,39.93,39.529999,39.889999,1445100,34.61145
"71",39.869999,39.900002,39.439999,39.619999,1173300,34.377167
"72",39.720001,39.91,39.68,39.880001,912000,34.602768
"73",39.849998,40.220001,39.84,40.150002,1276900,34.837036
"74",40.130001,40.220001,39.68,39.810001,970500,34.542023
"75",39.810001,39.810001,39.34,39.720001,1248000,34.463928
"76",39.700001,40.139999,39.689999,39.959999,1219800,34.672173
"77",40.029999,40.119999,39.549999,40.07,1351600,34.767616
"78",39.939999,40.09,39.709999,40.009998,1496400,34.715557
