"","LUMN.Open","LUMN.High","LUMN.Low","LUMN.Close","LUMN.Volume","LUMN.Adjusted"
"1",24.35,25.43,24.26,25.35,17376400,16.050657
"2",25.49,25.65,25.34,25.48,10443800,16.132971
"3",25.52,25.67,25.15,25.5,7921700,16.145636
"4",25.49,25.52,25.32,25.379999,5736200,16.069654
"5",25.43,25.51,25.190001,25.23,6765300,15.974676
"6",25.35,25.360001,25.09,25.200001,8275000,15.955688
"7",25.309999,25.35,24.940001,25.24,5567000,15.98101
"8",25.18,25.200001,24.9,25.18,7340800,15.94302
"9",25.24,25.389999,25.02,25.26,5313100,15.993673
"10",25.26,25.52,25.040001,25.469999,7753900,16.126635
"11",25.59,25.690001,25.42,25.469999,5841800,16.126635
"12",25.57,25.629999,25.4,25.5,4364200,16.145636
"13",25.629999,25.82,25.52,25.559999,4866500,16.18362
"14",25.559999,25.83,25.440001,25.809999,4439800,16.341911
"15",25.57,25.709999,25.5,25.57,5655100,16.189953
"16",25.780001,25.85,25.540001,25.690001,7489200,16.265932
"17",25.65,26.17,25.4,26.059999,7653700,16.5002
"18",26.059999,26.15,25.799999,25.959999,4935100,16.436886
"19",26.01,26.049999,25.549999,25.809999,4880700,16.341911
"20",25.93,26.049999,25.6,25.860001,11316000,16.373569
"21",25.950001,26.290001,25.43,25.51,8832800,16.151966
"22",25.5,25.57,25.07,25.26,6190600,15.993673
"23",25.459999,25.49,25.280001,25.42,5228400,16.094982
"24",25.5,25.530001,24.99,25.049999,6353000,15.860707
"25",25.110001,25.120001,24.75,24.879999,6022200,15.75307
"26",24.85,24.860001,24.25,24.43,13671500,15.468147
"27",24.43,24.85,24.01,24.42,10179900,15.461817
"28",24.4,24.52,24.219999,24.49,5882600,15.506141
"29",24.540001,24.780001,24.51,24.620001,6555700,15.588453
"30",24.66,24.700001,24.459999,24.540001,4962900,15.537797
"31",24.48,24.52,24.290001,24.4,5599600,15.449153
"32",24.450001,24.450001,24.209999,24.280001,5162900,15.373176
"33",24.24,24.290001,24.1,24.280001,5123000,15.373176
"34",24.299999,24.709999,24.290001,24.67,6846800,15.620107
"35",24.74,24.93,24.639999,24.83,6431600,15.721416
"36",24.889999,24.969999,24.559999,24.709999,6598000,15.645434
"37",24.629999,24.73,24.43,24.58,6056600,15.563126
"38",24.57,24.73,24.450001,24.610001,6722200,15.58212
"39",24.629999,24.700001,24.190001,24.26,13031800,15.36051
"40",23.92,24.15,23.41,24.040001,14735800,15.567735
"41",23.93,23.99,23.530001,23.530001,10003100,15.237472
"42",23.629999,23.639999,23.379999,23.48,8418900,15.205095
"43",23.379999,23.42,22.959999,23.1,8175100,14.959017
"44",23.030001,23.09,22.370001,22.5,11620900,14.570466
"45",22.549999,22.700001,22.4,22.450001,7310200,14.538091
"46",22.4,22.860001,22.4,22.73,7984300,14.719412
"47",22.780001,23.15,22.75,23.139999,6382000,14.984921
"48",23.1,23.469999,23.09,23.459999,8358900,15.192142
"49",23.459999,23.459999,23.059999,23.34,5893000,15.114433
"50",23.34,23.85,23.34,23.77,10642800,15.392893
"51",23.790001,23.870001,23.280001,23.370001,10729000,15.133862
"52",23.51,23.82,23.360001,23.65,24891600,15.315181
"53",23.68,23.75,23.51,23.639999,8139000,15.308703
"54",23.700001,23.75,23.219999,23.360001,7234700,15.127385
"55",23.299999,23.309999,22.610001,22.809999,12577300,14.771218
"56",22.75,22.889999,22.58,22.639999,6887400,14.661127
"57",22.719999,22.940001,22.620001,22.76,5890200,14.738839
"58",22.66,22.68,22.35,22.610001,9057400,14.641702
"59",22.52,22.59,22.33,22.52,7325800,14.583417
"60",22.780001,23.190001,22.700001,23.09,8208200,14.952537
"61",23.1,23.42,23.01,23.41,7465900,15.159764
"62",23.4,23.629999,23.32,23.57,7533600,15.263374
"63",23.559999,23.66,23.33,23.6,6992500,15.2828
"64",23.530001,23.969999,23.530001,23.959999,12820300,15.515927
"65",23.969999,24.440001,23.85,24.209999,12561400,15.677824
"66",24.25,24.65,24.139999,24.459999,7640800,15.839715
"67",24.51,24.91,24.42,24.540001,9662300,15.891524
"68",24.629999,24.969999,24.58,24.870001,8136800,16.105225
"69",24.9,25,24.629999,24.9,8899900,16.124653
"70",24.85,25.139999,24.780001,25.139999,10806200,16.280071
"71",25.110001,25.32,24.85,25.120001,9958700,16.26712
"72",25.200001,25.5,25.129999,25.299999,7317900,16.383684
"73",25.24,25.309999,25,25.059999,7294900,16.228262
"74",25.18,25.299999,25.110001,25.290001,11207600,16.377207
"75",25.219999,25.620001,25.040001,25.49,8715400,16.506718
"76",25.379999,25.42,25.200001,25.32,7432200,16.396633
"77",25.5,25.67,25.360001,25.450001,7725600,16.480814
"78",25.540001,25.940001,25.5,25.93,11383300,16.791656
"79",26,26.07,25.790001,25.870001,8972300,16.752802
"80",25.860001,26.02,25.75,25.790001,12119300,16.700996
"81",25.77,25.790001,25.309999,25.67,11581200,16.623285
"82",25.74,25.75,25.35,25.379999,9826300,16.435488
