"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"1",87.019997,87.800003,85.870003,86.879997,2560300,70.141434
"2",87.25,89.279999,87.230003,88.790001,3022900,71.683441
"3",88.400002,89.589996,87.910004,88.68,2330800,71.594627
"4",88.82,88.879997,87.379997,88.169998,1937600,71.182899
"5",87.809998,88.5,86.790001,86.889999,3227400,70.14949
"6",87.019997,87.540001,86.300003,86.879997,2707900,70.141434
"7",87.18,88.459999,86.559998,88.440002,2841000,71.400879
"8",88.449997,90,88.199997,89.620003,3429400,72.353523
"9",89.730003,90.699997,89.25,89.730003,1920000,72.442345
"10",89.639999,90.220001,89.370003,89.970001,2778100,72.636093
"11",89.989998,90.709999,89.610001,90.050003,2030500,72.700676
"12",90.239998,90.470001,89.059998,89.760002,2095200,72.466553
"13",90.919998,91.949997,90.160004,90.889999,3372700,73.378838
"14",90.589996,91.199997,90.230003,91.160004,2396700,73.596817
"15",91.879997,95.889999,91.75,95.129997,4948400,76.801949
"16",95.099998,96.830002,94.190002,96.379997,4606500,77.811127
"17",95.82,97.639999,94.879997,95.389999,4841400,77.011864
"18",95.32,95.68,94.480003,95.300003,2579300,76.939209
"19",94.970001,94.970001,93.639999,94.300003,2846600,76.131866
"20",93.769997,93.879997,92.809998,93.269997,3850100,75.300316
"21",93.75,95.379997,93.68,95.07,2506300,76.753525
"22",94.860001,95.190002,93.400002,93.75,4174800,75.687828
"23",93.75,95.919998,93,94.690002,5093800,76.446747
"24",94.209999,95.419998,94.120003,94.940002,2788400,76.64856
"25",93.169998,94.209999,91.400002,92.349998,4435000,74.557556
"26",92.400002,92.5,91.330002,91.660004,4523100,74.000496
"27",91.660004,92.809998,91.660004,92.239998,3110500,74.46875
"28",92,92.790001,91.370003,91.860001,3765200,74.161957
"29",92.669998,92.779999,91.760002,92.220001,2646700,74.452606
"30",92.300003,93.25,92.059998,93.150002,1991000,75.20343
"31",93.019997,93.279999,92.349998,93.089996,1765000,75.154984
"32",93,93.540001,92.419998,92.690002,1698400,74.832062
"33",92.470001,93.5,92.25,92.910004,2401800,75.009674
"34",93.239998,94.709999,92.860001,94.519997,2704500,76.309471
"35",94.019997,94.790001,93.669998,94.010002,2244400,75.897736
"36",94.220001,94.650002,92.599998,93.129997,2015100,75.187286
"37",92.230003,92.5,91.360001,92.43,2639200,74.622131
"38",91.32,92.639999,90.580002,91.330002,2683900,73.734093
"39",91.019997,91.68,89.860001,91.239998,4352800,73.661407
"40",92.610001,94.830002,92.550003,93.889999,3413400,75.80085
"41",92.940002,93.510002,92.220001,92.290001,2671900,75.189819
"42",92.300003,92.669998,91.739998,92.239998,1672600,75.149086
"43",91.949997,92.32,91.400002,91.550003,2361900,74.586937
"44",91.330002,91.5,90.260002,91.230003,2455300,74.326225
"45",91.190002,91.5,89.519997,89.790001,2968300,73.153053
"46",89.900002,89.910004,88.610001,89.5,3085600,72.916786
"47",90.07,90.089996,88.809998,89.790001,2666400,73.153053
"48",89.839996,90.32,89.540001,90.18,1673600,73.470772
"49",89.199997,89.410004,87.900002,88.580002,3030500,72.167229
"50",89.669998,91.400002,89.239998,90.889999,3070100,74.049232
"51",91.120003,91.18,90.089996,90.349998,1900800,73.609291
"52",90.650002,90.980003,90.010002,90.080002,2405900,73.389305
"53",90.129997,90.470001,89.330002,90.300003,1694100,73.568535
"54",90.239998,90.879997,87.949997,88.150002,2728600,71.816933
"55",88.169998,88.68,87.589996,88.150002,2252200,71.816933
"56",88.050003,89.059998,87.32,88.300003,2165500,71.939133
"57",88.349998,88.809998,87.040001,87.559998,1698100,71.336235
"58",86.739998,88.879997,85.660004,88.620003,2467100,72.199829
"59",88.650002,91.660004,88.650002,90.900002,3151600,74.057373
"60",90.650002,91.529999,90.269997,90.730003,1996100,73.918877
"61",90.860001,91.919998,90.610001,91.269997,1487700,74.358826
"62",90.980003,91.519997,90.610001,91.190002,1850300,74.29364
"63",91.489998,91.75,89.239998,90.260002,1643900,73.535965
