"","MDLZ.Open","MDLZ.High","MDLZ.Low","MDLZ.Close","MDLZ.Volume","MDLZ.Adjusted"
"1",44.709999,44.880001,44.419998,44.849998,6169900,40.513115
"2",44.849998,45.200001,44.669998,44.799999,4817700,40.467953
"3",44.77,45.130001,44.650002,45,7145800,40.648609
"4",45.080002,45.369999,44.599998,45.060001,5118600,40.702816
"5",45.279999,45.279999,44.619999,44.689999,6490100,40.368587
"6",44.560001,44.759998,44.110001,44.169998,10070500,39.898876
"7",44.119999,45.290001,44.110001,45.07,8076800,40.711845
"8",45,45.18,44.75,44.889999,4278800,40.549248
"9",44.970001,45.169998,44.41,44.599998,5273100,40.287289
"10",44.560001,44.900002,44.400002,44.900002,5090900,40.558289
"11",45,45.459999,44.900002,45.029999,5577000,40.675713
"12",45.009998,45.029999,44.400002,44.59,6937700,40.278263
"13",44.93,45.450001,44.689999,45.200001,9815200,40.829269
"14",45.060001,45.200001,44.52,44.860001,7453400,40.522152
"15",44.84,45.16,44.669998,44.93,8751900,40.585384
"16",45.150002,45.369999,44.919998,45.09,6783000,40.729908
"17",45.09,45.09,44.580002,44.610001,4829800,40.296322
"18",44.68,44.759998,44.150002,44.200001,9441400,39.925964
"19",44.18,44.889999,44.029999,44.43,7350200,40.133736
"20",44.419998,44.549999,43.919998,44.279999,10229500,39.998238
"21",44.18,44.349998,43.650002,43.889999,6027200,39.64595
"22",43.880001,44.349998,43.880001,44.009998,5258300,39.754337
"23",44.32,44.529999,44,44.360001,5238700,40.070503
"24",44.349998,44.490002,43.91,44.009998,4567100,39.754337
"25",44.040001,44.139999,43.830002,43.93,7063200,39.682076
"26",43.59,45.23,43.580002,44.470001,15334500,40.169865
"27",44.599998,45.209999,44.490002,44.700001,11048800,40.377621
"28",44.799999,45.299999,44.610001,44.990002,9971200,40.639587
"29",45.07,45.169998,44.400002,45.029999,6873100,40.675713
"30",45.009998,45.169998,44.720001,44.990002,5640700,40.639587
"31",44.790001,45.48,44.5,45.369999,5831900,40.982826
"32",45.23,45.290001,43.02,43.200001,20664000,39.022671
"33",41.860001,42.91,41.299999,42.5,29197400,38.390362
"34",44.259998,45.040001,43.939999,44.970001,17097600,40.621517
