"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"1",46.880001,46.900002,46.52,46.794998,1026800,43.309292
"2",46.93,46.98,46.630001,46.66,1335800,43.184349
"3",46.619999,46.665001,45.715,45.744999,2789800,42.337502
"4",45.775002,45.935001,45.52,45.700001,2560200,42.295856
"5",45.705002,45.814999,44.98,45.07,1672200,41.712776
"6",44.919998,45.084999,44.875,44.895,1867600,41.550823
"7",44.904999,45.285,44.825001,45.115002,1001000,41.754429
"8",45.005001,45.384998,44.919998,45.349998,1415800,41.971924
"9",45.27,45.845001,45.27,45.685001,2049200,42.281971
"10",45.669998,46.34,45.505001,46.34,1474200,42.888176
"11",46.41,46.555,46.325001,46.529999,930600,43.06403
"12",46.470001,46.555,46.375,46.505001,1559800,43.04089
"13",46.720001,46.900002,46.419998,46.654999,1173000,43.179718
"14",46.650002,46.654999,46.400002,46.584999,921800,43.114925
"15",46.610001,47.244999,46.605,47.025002,2446200,43.522156
"16",46.915001,48.110001,46.834999,47.895,2777800,44.327351
"17",47.880001,48.07,47.674999,47.799999,1909800,44.239426
"18",48.025002,48.060001,47.605,47.939999,1794000,44.369003
"19",47.919998,47.974998,47.419998,47.740002,1646000,44.183899
"20",47.77,47.900002,47.485001,47.775002,2460600,44.216286
"21",47.634998,47.825001,47.125,47.275002,1805600,43.75354
"22",47.389999,47.794998,47.305,47.540001,1533000,43.998787
"23",47.860001,48.23,47.639999,47.93,1168600,44.359741
"24",47.889999,47.889999,47.244999,47.255001,1494200,43.735023
"25",47.305,47.91,47.305,47.779999,1478200,44.220913
"26",47.724998,48.395,47.724998,48.25,1884800,44.65591
"27",48.25,48.775002,48.07,48.525002,1383000,44.910423
"28",48.485001,48.93,48.205002,48.625,1277200,45.002972
"29",48.625,48.759998,48.380001,48.639999,1440000,45.016861
"30",48.535,48.639999,48.125,48.424999,1121400,44.817871
"31",48.334999,48.535,47.540001,48.52,1831000,44.905792
"32",48.365002,48.75,47.939999,48.220001,1777400,44.628143
"33",47.935001,48.895,47.834999,48.794998,2576200,45.160313
"34",48.915001,49.365002,48.77,49.259998,2110400,45.590675
"35",49.064999,49.185001,48.869999,49.005001,1339000,45.354675
"36",49.084999,49.705002,48.939999,49.455002,2630400,45.771152
"37",49.450001,49.73,49.224998,49.665001,1542400,45.965508
"38",49.615002,49.830002,48.68,48.75,1769800,45.11866
"39",48.794998,49.415001,48.794998,49.209999,1618200,45.544395
"40",49.169998,49.669998,48.759998,49.529999,1380200,45.840565
"41",49.48,49.84,49.325001,49.68,1130400,45.979382
"42",49.66,49.73,49.419998,49.715,1033800,46.01178
"43",49.509998,49.73,49.349998,49.619999,1030400,45.923859
"44",49.619999,49.84,49.470001,49.5,1094000,45.812798
"45",49.355,49.654999,49.275002,49.474998,1191200,45.789658
"46",49.59,50.060001,49.540001,49.994999,1316200,46.270924
"47",50.240002,50.400002,49.955002,50.16,1186200,46.423634
"48",50.025002,50.195,49.939999,50.189999,1240400,46.451397
"49",50.080002,50.389999,50.07,50.330002,988200,46.580971
"50",50.400002,51.040001,50.305,50.935001,1484000,47.140907
"51",50.955002,51.040001,50.615002,50.740002,1135200,46.960423
"52",50.845001,51.134998,50.650002,51,1728200,47.201061
"53",50.990002,51.110001,50.814999,51.009998,1132400,47.210308
"54",50.919998,51.209999,50.755001,50.834999,1418600,47.048359
"55",50.814999,51.02,50.389999,50.68,1185000,46.9049
"56",50.634998,50.945,50.535,50.610001,1008600,46.840115
"57",50.715,50.845001,50.455002,50.505001,1054200,46.742935
"58",50.294998,50.759998,50.244999,50.68,1742200,46.9049
"59",50,50.459999,49.119999,49.215,3053400,45.549023
"60",49.005001,49.34,48.830002,49.025002,2914600,45.37318
"61",48.875,48.990002,48.549999,48.764999,1728200,45.132538
"62",48.685001,48.955002,48.625,48.775002,1729400,45.1418
"63",49.099998,49.459999,48.805,49.075001,1966000,45.419445
"64",49.134998,49.235001,48.669998,49.209999,1719800,45.544395
"65",49.605,50.439999,49.529999,50.32,2793200,46.571716
"66",50.259998,50.259998,49.855,50.040001,1771000,46.529869
"67",50.139999,50.139999,49.779999,49.794998,1775600,46.302063
